Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.6361044049263,0.36389559507369995,True,True,True,True,False
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.5283010005950928,0.4716989994049072,True,True,True,True,False
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.6288663744926453,0.37113362550735474,True,True,True,True,False
p00006,Description_Simple,0.4,0.4,0.4,0.4,False,0.6832273006439209,0.2832273006439209,False,False,True,False,False
p00007,Description_Simple,0.9,0.9,0.9,0.9,True,0.46082809567451477,0.43917190432548525,False,True,False,False,False
p00005,Description_Simple,0.9,0.9,0.9,0.9,True,0.7470898628234863,0.1529101371765137,True,True,True,True,False
p02256,Description_Simple,0.3,0.3,0.3,0.3,False,0.5884196758270264,0.2884196758270264,False,False,True,False,False
p00011,Description_Simple,1.0,1.0,1.0,1.0,True,0.2921193838119507,0.7078806161880493,False,True,False,False,False
p02257,Description_Simple,0.2,0.2,0.2,0.2,False,0.6438102722167969,0.44381027221679686,False,False,True,False,False
p02255,Description_Simple,0.9,0.9,0.9,0.9,True,0.7261463403701782,0.1738536596298218,True,True,True,True,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.5092277526855469,0.4907722473144531,True,True,True,True,False
p02259,Description_Simple,0.9,0.9,0.9,0.9,True,0.7798024415969849,0.12019755840301516,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.805996298789978,0.19400370121002197,True,True,True,True,False
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.45514631271362305,0.544853687286377,False,True,False,False,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.8068113327026367,0.19318866729736328,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.678532063961029,0.32146793603897095,True,True,True,True,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.6467886567115784,0.35321134328842163,True,True,True,True,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.46250662207603455,0.5374933779239655,False,True,False,False,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.48002326488494873,0.5199767351150513,False,True,False,False,False
p02398,Description_Simple,1.0,1.0,1.0,1.0,True,0.750516414642334,0.24948358535766602,True,True,True,True,False
p02389,Description_Simple,0.8,0.8,0.8,0.8,True,0.5397226810455322,0.2602773189544678,True,True,True,True,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.5886723399162292,0.41132766008377075,True,True,True,True,False
p02396,Description_Simple,0.9,0.9,0.9,0.9,True,0.47154319286346436,0.42845680713653567,False,True,False,False,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.42411619424819946,0.47588380575180056,False,True,False,False,False
p02403,Description_Simple,1.0,1.0,1.0,1.0,True,0.35448628664016724,0.6455137133598328,False,True,False,False,False
p02390,Description_Simple,0.8,0.8,0.8,0.8,True,0.44678062200546265,0.3532193779945374,False,True,False,False,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.7186645865440369,0.28133541345596313,True,True,True,True,False
p02392,Description_Simple,0.6,0.6,0.6,0.6,True,0.6605264544487,0.06052645444869997,True,True,True,True,False
