"problem_id","failure_type","pattern","original_with_comments_score","with_without_comments_score","without_var_renaming_score","without_dead_code_score","without_encryption_score","score_drop","example_1_label","example_1_text","example_2_label","example_2_text"
"p02898","Dead_Code_Failure","without_comments-dead_code < 0.5 (after comments removed)",0.0,0.5,0.5,0.25,0.5,0.25,"without_comments","<Summary_description>","dead_code","<Summary_description>
    /src/main/java/com/google/cloud/pso/model/Question.java
package com.google.cloud.pso.model;

public class Question extends TextItem{
  private String questionType;

  public String getQuestionType() {
    return questionType;
  }

  public void setQuestionType(String questionType) {
    this.questionType = questionType;
  }
  
}"
"p02682","Variable_Renaming_Failure","without_comments-variable_renaming < 0.5 (after comments removed)",0.3,1.0,0.2,0.1,0.2,0.8,"without_comments","<Summary_description>
    
-   **Code Analysis:** The provided code aims to find the maximum value that can be obtained by selecting `k` numbers from an array containing both positive and negative integers. It first validates the input using several conditions, then initializes some variables like `maxValue`, which will store the final result, and `restSelect`, which represents the remaining number of selections. Next, it enters into three nested loops to determine the maximum value based on the following logic:
    1. If there are still unselected numbers left in the array, loop through each element until either all elements have been selected or the current element has a larger absolute value than the remaining number of unselected numbers. Inside the loop, increment `maxValue` for every positive element and decrement `maxValue` for every negative element.
    2. After exiting the loop, check whether any more unselected numbers remain. If so, update `restSelect` accordingly.
    3. Repeat steps 1 and 2 until no more unselected numbers remain.

-   **Main Goal of Code:** The main goal of the code is to find the maximum value that can be obtained by selecting `k` numbers from an array containing both positive and negative integers. To achieve this, the code iterates over the array and selects the largest positive values and smallest negative values until `k` numbers have been selected. This ensures that the overall sum is as large as possible.

-   **Functions of Code:** The code consists of several key functions:
    1. Input validation: The code checks the validity of the user's input using various conditions such as checking if the input contains only non-negative integers, ensuring the total size of the array doesn't exceed a certain limit, etc.
    2. Looping through the array: The code uses two nested loops to iterate over the entire array. The outer loop iterates over the array while the inner loop iterates over the subarray starting at the current index.
    3. Selecting k numbers: Within the inner loop, the code checks if there are enough unselected numbers left (`restSelect`) and compares their absolute values with the current element. If the current element has a larger absolute value, it stops looping early and updates `restSelect`. Otherwise, it continues to the next iteration.
    4. Updating max value: Once the selection process is complete, the code calculates the maximum value by adding the count of positive numbers and subtracting the count of negative numbers from `maxValue`.","variable_renaming","<Summary_description>
    /data/markdown/interview/interview-question-3.md
### Question: Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order.

Here's how we can implement this algorithm using Python:
<code>
def find_indices_of_target_sum(nums, target):
  complements = {}

  for i, num in enumerate(nums):
      complement = target - num
      if complement in complements:
          return [complements[complement], i]
      complements[num] = i

  raise ValueError(""No two sum solution"")
</code>"
"p02682","Dead_Code_Failure","without_comments-dead_code < 0.5 (after comments removed)",0.3,1.0,0.2,0.1,0.2,0.9,"without_comments","<Summary_description>
    
-   **Code Analysis:** The provided code aims to find the maximum value that can be obtained by selecting `k` numbers from an array containing both positive and negative integers. It first validates the input using several conditions, then initializes some variables like `maxValue`, which will store the final result, and `restSelect`, which represents the remaining number of selections. Next, it enters into three nested loops to determine the maximum value based on the following logic:
    1. If there are still unselected numbers left in the array, loop through each element until either all elements have been selected or the current element has a larger absolute value than the remaining number of unselected numbers. Inside the loop, increment `maxValue` for every positive element and decrement `maxValue` for every negative element.
    2. After exiting the loop, check whether any more unselected numbers remain. If so, update `restSelect` accordingly.
    3. Repeat steps 1 and 2 until no more unselected numbers remain.

-   **Main Goal of Code:** The main goal of the code is to find the maximum value that can be obtained by selecting `k` numbers from an array containing both positive and negative integers. To achieve this, the code iterates over the array and selects the largest positive values and smallest negative values until `k` numbers have been selected. This ensures that the overall sum is as large as possible.

-   **Functions of Code:** The code consists of several key functions:
    1. Input validation: The code checks the validity of the user's input using various conditions such as checking if the input contains only non-negative integers, ensuring the total size of the array doesn't exceed a certain limit, etc.
    2. Looping through the array: The code uses two nested loops to iterate over the entire array. The outer loop iterates over the array while the inner loop iterates over the subarray starting at the current index.
    3. Selecting k numbers: Within the inner loop, the code checks if there are enough unselected numbers left (`restSelect`) and compares their absolute values with the current element. If the current element has a larger absolute value, it stops looping early and updates `restSelect`. Otherwise, it continues to the next iteration.
    4. Updating max value: Once the selection process is complete, the code calculates the maximum value by adding the count of positive numbers and subtracting the count of negative numbers from `maxValue`.","dead_code","<Summary_description>
    /README.md
# Code Analysis
A repository to analyze different programming languages using NLP techniques."
"p02682","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.3,1.0,0.2,0.1,0.2,0.8,"without_comments","<Summary_description>
    
-   **Code Analysis:** The provided code aims to find the maximum value that can be obtained by selecting `k` numbers from an array containing both positive and negative integers. It first validates the input using several conditions, then initializes some variables like `maxValue`, which will store the final result, and `restSelect`, which represents the remaining number of selections. Next, it enters into three nested loops to determine the maximum value based on the following logic:
    1. If there are still unselected numbers left in the array, loop through each element until either all elements have been selected or the current element has a larger absolute value than the remaining number of unselected numbers. Inside the loop, increment `maxValue` for every positive element and decrement `maxValue` for every negative element.
    2. After exiting the loop, check whether any more unselected numbers remain. If so, update `restSelect` accordingly.
    3. Repeat steps 1 and 2 until no more unselected numbers remain.

-   **Main Goal of Code:** The main goal of the code is to find the maximum value that can be obtained by selecting `k` numbers from an array containing both positive and negative integers. To achieve this, the code iterates over the array and selects the largest positive values and smallest negative values until `k` numbers have been selected. This ensures that the overall sum is as large as possible.

-   **Functions of Code:** The code consists of several key functions:
    1. Input validation: The code checks the validity of the user's input using various conditions such as checking if the input contains only non-negative integers, ensuring the total size of the array doesn't exceed a certain limit, etc.
    2. Looping through the array: The code uses two nested loops to iterate over the entire array. The outer loop iterates over the array while the inner loop iterates over the subarray starting at the current index.
    3. Selecting k numbers: Within the inner loop, the code checks if there are enough unselected numbers left (`restSelect`) and compares their absolute values with the current element. If the current element has a larger absolute value, it stops looping early and updates `restSelect`. Otherwise, it continues to the next iteration.
    4. Updating max value: Once the selection process is complete, the code calculates the maximum value by adding the count of positive numbers and subtracting the count of negative numbers from `maxValue`.","encryption","<Summary_description>
    /data/summarization/train/347.json
{
  ""source"": ""<p><strong>Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.</strong></p>\n<p>You may assume that each input would have exactly one solution, and you may not use the same element twice.</p>\n<p>You can return the answer in any order.</p>\n<p>&nbsp;</p>\n<p><strong>Example 1:</strong></p>\n<pre><strong>Input:</strong> nums = [2,7,11,15], target = 9\r\n<strong>Output:</strong> [0,1]\r\n<strong>Explanation:</strong> Because nums[0] + nums[1] == 9, we return [0, 1].</pre>\n<p><strong>Example 2:</strong></p>\n<pre><strong>Input:</strong> nums = [3,2,4], target = 6\r\n<strong>Output:</strong> [1,2]</pre>\n<p><strong>Example 3:</strong></p>\n<pre><strong>Input:</strong> nums = [3,3], target = 6\r\n<strong>Output:</strong> [0,1]</pre>\n<p>&nbsp;</p>\n<p><strong>Constraints:</strong></p>\n<ul>\n<li>2 &lt;= nums.length &lt;= 10<sup>3</sup></li>\n<li>-10<sup>9</sup> &lt;= nums[i] &lt;= 10<sup>9</sup></li>\n<li>-10<sup>9</sup> &lt;= target &lt;= 10<sup>9</sup></li>\n<li>Only one valid answer exists.</li>\n</ul>"",
  ""target"": ""Write a function that takes an array of integers and returns the indices of the first two elements whose sum equals the given target.""
}"
"p02910","Variable_Renaming_Failure","without_comments-variable_renaming < 0.5 (after comments removed)",0.0,0.6,0.1,1.0,0.0,0.5,"without_comments","<Summary_description>","variable_renaming","<Summary_description>
    /src/main/java/com/google/challenges/Main.java
package com.google.challenges;

import java.math.BigInteger;
import java.nio.charset.StandardCharsets;
import java.security.MessageDigest;
import java.security.NoSuchAlgorithmException;
import java.time.Instant;
import java.util.*;

/**
 * This class contains methods that can be used to solve Google's recruiting challenge.
 */
public final class Main {

  /**
   * Given an array of integers, find the first missing positive integer in linear time and constant space. In other words, find the lowest positive integer that does not exist in the array. The array can contain duplicates and negative numbers as well. For example, the input [3, 4, -1, 1] should give 2. The input [1, 2, 3] should give 4. Do not modify the input array.
   * @param nums the given array of integers
   * @return the lowest positive integer that does not exist in the array
   */
  public static int firstMissingPositive(int[] nums) {
      Set<Integer> set = new HashSet<>();
      for (int n : nums)
          set.add(n);
      int i = 1;
      while (set.contains(i))
          i++;
      return i;
  }

  /**
   * Given two strings A and B, return whether or not A can be shifted some number of times to get B. For example, if A is abcde and B is cdeab then return true. If A is abcd and B is acbd then return false.
   * @param A string A
   * @param B string B
   * @return true if A can be shifted some number of times to get B, otherwise returns false
   */
  public static boolean rotateString(String A, String B) {
      if (A.length()!= B.length())
          return false;
      String s = A + A;
      return s.indexOf(B) >= 0;
  }

  /**
   * Given a list of sorted integers, square the elements and give the output in sorted order. For example, given [-9, -2, 0, 2, 3], return [0, 4, 4, 9, 81].
   * @param A the list of sorted integers
   * @return"
"p02910","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.0,0.6,0.1,1.0,0.0,0.6,"without_comments","<Summary_description>","encryption","<Summary_description>
    /src/main/java/com/github/hcsp/objectbasic/Test.java
package com.github.hcsp.objectbasic;

class Test {
  // 请在这里编写代码，将main方法里的两行注释取消
  public static void main(String[] args) {
    Person peter = new Person(""Peter"", 12);
    Person john = new Person(""John"", 12);
    System.out.println(peter.equals(john));
  }

  @Override
  public boolean equals(Object o) {
    if (this == o) {
      return true;
    }
    if (!(o instanceof Person)) {
      return false;
    }

    Person person = (Person) o;

    if (age!= person.age) {
      return false;
    }
    return name.equals(person.name);
  }

  @Override
  public int hashCode() {
    int result = name.hashCode();
    result = 31 * result + age;
    return result;
  }
}"
"p02268","Dead_Code_Failure","without_comments-dead_code < 0.5 (after comments removed)",0.2,1.0,0.5,0.35,0.0,0.65,"without_comments","<Summary_description>","dead_code","<Summary_description>
    /src/main/java/com/example/demo/model/Question.java
package com.example.demo.model;

import lombok.*;

@Getter
@Setter
@NoArgsConstructor
@AllArgsConstructor
@ToString
public class Question {
  private long id;

  @NonNull private String questionType; // MCQ or ShortAnswer

  @NonNull private String questionText;

  @NonNull private String answerOptionOne;

  private String answerOptionTwo;

  private String answerOptionThree;

  private String answerOptionFour;

  @NonNull private String correctAnswer;

  private String explanation;

  private double difficultyLevel;

  private String solutionCode;

  private String testInput;

  private String expectedOutput;

  private String language;

  private String tags;

  private String author;

  private String source;

  private String yearOfPublication;

  private String domain;

  private String subDomain;

  private String topic;

  private String concept;

  private String level;

  private String prerequisite;

  private String learningObjective;

  private String knowledgePoint;

  private String cognitiveLevel;

  private String applicationArea;

  private String industry;

  private String company;

  private String programmingLanguage;

  private String problemStatement;

  private String inputFormat;

  private String outputFormat;

  private String constraints;

  private String timeLimit;

  private String memoryLimit;

  private String sampleTestCase;

  private String hint;

  private String editorial;

  private String videoExplanation;

  private String similarQuestions;

  private String followUpQuestions;

  private String frequency;

  private String usageCount;

  private String averageTimeTakenToSolveInMinutes;

  private String averageAccuracy;

  private String totalNumberOfSubmissions;

  private String totalAcceptedSolutions;

  private String averageDifficultyRating;

  private String numberOfCompaniesUsingThisProblem;

  private String topCompanyUsingThisProblem;

  private String percentileRank;

  private String globalRanking;

  private String countryRanking;

  private String cityRanking;

  private String stateRanking;

  private String schoolRanking;

  private String universityRanking;

  private String collegeRanking;

  private String localityRanking;

  private String localityType;

  private String ageGroup;

  private String gender;

  private String profession;

  private String educationQualification;

  private String incomeBracket;

  private String maritalStatus;

  private String noOfChildren;

  private String hobbiesAndInterests;

  private String"
"p02268","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.2,1.0,0.5,0.35,0.0,1.0,"without_comments","<Summary_description>","encryption","<Summary_description>
    /README.md
# Code-Analysis-and-Deobfuscation"
"p02622","Variable_Renaming_Failure","without_comments-variable_renaming < 0.5 (after comments removed)",0.2,0.5,0.2,0.2,0.2,0.3,"without_comments","<Summary_description>
    /docs/modules/ROOT/pages/index.adoc
= HackerRank Interview Preparation Kit

This repository contains my solutions to problems in https://www.hackerrank.com/[HackerRank's] interview preparation kit section using Python. The purpose of these solutions are not to provide efficient or optimal solutions but rather to demonstrate how I approach and solve each problem. 

The following sections cover different topics related to data structures, algorithms, and coding skills that are essential for successful completion of technical interviews at various companies. Each solution includes an explanation of the algorithmic approach taken, as well as any key points or tricks used to arrive at the final solution.","variable_renaming","<Summary_description>
    /docs/index.md
---
layout: default
title: Homepage
nav_order: 1
description: ""A simple yet powerful template for Jekyll that makes it easy to create an informative project website.""
permalink: /
---

# Competitive Programming Problems & Solutions
{:.fs-9 }

This site contains problems from various competitive programming platforms such as Codeforces, LeetCode, etc., along with their solutions in Python or C++ languages. The aim is to provide a comprehensive resource for those interested in solving algorithmic challenges.
{:.fs-6.fw-300 }

[View on GitHub](https://github.com/khanhnguyen1401/competitive-programming){:.btn.btn-primary.fs-5.mb-4.mb-md-0.mr-2 } [Get started](#getting-started){:.btn.fs-5.mb-4.mb-md-0 }

## Getting Started

The following steps will help you get started with using this repository:

1. Clone the repository to your local machine: `git clone https://github.com/khanhnguyen1401/competitive-programming`
2. Navigate into the directory: `cd competitive-programming`
3. Install required dependencies by running:
   - For Python: `pip install -r requirements.txt`
   - For C++: `sudo apt-get install build-essential`
4. Start coding! You can find problem statements and sample inputs/outputs under the `problems` folder, and write your solution in either Python or C++ language.

For more information about each problem, refer to the corresponding README file located inside each problem's folder.

Note that some problems may require additional setup or configuration before you can run them. Please consult the problem's README file for any specific instructions.

We hope these resources are useful for anyone who wants to improve their skills in competitive programming. Happy coding!"
"p02622","Dead_Code_Failure","without_comments-dead_code < 0.5 (after comments removed)",0.2,0.5,0.2,0.2,0.2,0.3,"without_comments","<Summary_description>
    /docs/modules/ROOT/pages/index.adoc
= HackerRank Interview Preparation Kit

This repository contains my solutions to problems in https://www.hackerrank.com/[HackerRank's] interview preparation kit section using Python. The purpose of these solutions are not to provide efficient or optimal solutions but rather to demonstrate how I approach and solve each problem. 

The following sections cover different topics related to data structures, algorithms, and coding skills that are essential for successful completion of technical interviews at various companies. Each solution includes an explanation of the algorithmic approach taken, as well as any key points or tricks used to arrive at the final solution.","dead_code","<Summary_description>
    /src/main/java/com/interview/coding/leetcode/medium/LongestPalindromicSubstring.java
package com.interview.coding.leetcode.medium;

/**
 * Given a string s, find the longest palindromic substring in s. You may assume that the maximum length of s is 1000.
 */
public class LongestPalindromicSubstring {
  /**
   * Brute force solution to check all possible substrings for their palindrome property.
   * Time complexity O(N^3).
   *
   * @param s input string
   * @return longest palindromic substring
   */
  public String bruteForceSolution(String s) {
    if (s == null || s.isEmpty())
      return s;

    String result = """";
    for (int start = 0; start < s.length(); start++) {
      for (int end = start+1; end <= s.length(); end++) { //end index is inclusive
        String currStr = s.substring(start, end);
        if (currStr.length() > result.length() && isPalindrome(currStr))
          result = currStr;
      }
    }
    return result;
  }

  private boolean isPalindrome(String s) {
    int left = 0;
    int right = s.length()-1;
    while (left < right) {
      if (s.charAt(left)!= s.charAt(right))
        return false;
      left++;
      right--;
    }
    return true;
  }

  /**
   * Dynamic programming approach using bottom-up strategy.
   * Time complexity O(N^2).
   *
   * @param s input string
   * @return longest palindromic substring
   */
  public String dynamicProgrammingApproach(String s) {
    if (s == null || s.isEmpty())
      return s;

    boolean[][] dp = new boolean[s.length()][s.length()];
    String result = """";
    for (int len = 1; len <= s.length(); len++) {
      for (int start = 0; start <= s.length() - len; start++) {
        int end = start + len - 1;
        if (len == 1) {
          dp[start][end] = true;
        } else if (len == 2) {
          dp"
