Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02922,Description_Fewshot,0.9,0.9,0.9,True,0.4493468701839447,0.4506531298160553,False,True,False,False,False
p02922,Description_Reason,0.1,0.1,0.1,False,0.27241769433021545,0.17241769433021545,True,False,False,False,True
p02922,Description_Simple,0.9,0.9,0.9,True,0.2941534221172333,0.6058465778827667,False,True,False,False,False
p02982,Description_Fewshot,0.1,0.1,0.1,False,0.7166458368301392,0.6166458368301392,False,False,True,False,False
p02982,Description_Reason,0.7,0.0,0.35,False,0.7123512029647827,0.36235120296478274,False,False,True,False,False
p02982,Description_Simple,0.9,0.9,0.9,True,0.8380639553070068,0.061936044692993186,True,True,True,True,False
p03059,Description_Fewshot,0.0,0.7,0.35,False,0.22259385883808136,0.12740614116191862,True,False,False,False,True
p03059,Description_Reason,0.9,0.9,0.9,True,0.2529895007610321,0.6470104992389679,False,True,False,False,False
p03059,Description_Simple,0.0,0.4,0.2,False,0.13025856018066406,0.06974143981933595,True,False,False,False,True
p02410,Description_Fewshot,0.7,0.9,0.8,True,0.6240885257720947,0.17591147422790532,True,True,True,True,False
p02410,Description_Reason,0.9,0.4,0.65,True,0.6423271298408508,0.007672870159149192,True,True,True,True,False
p02410,Description_Simple,0.4,1.0,0.7,True,0.6899573802947998,0.010042619705200151,True,True,True,True,False
p02398,Description_Fewshot,0.4,0.0,0.2,False,0.636756420135498,0.43675642013549804,False,False,True,False,False
p02398,Description_Reason,0.9,0.9,0.9,True,0.5418897867202759,0.35811021327972414,True,True,True,True,False
p02398,Description_Simple,1.0,1.0,1.0,True,0.5729430913925171,0.4270569086074829,True,True,True,True,False
p02578,Description_Fewshot,0.3,0.1,0.2,False,0.4709014594554901,0.2709014594554901,True,False,False,False,True
p02578,Description_Reason,0.9,0.9,0.9,True,0.4324321746826172,0.46756782531738283,False,True,False,False,False
p02578,Description_Simple,0.1,0.1,0.1,False,0.46888893842697144,0.36888893842697146,True,False,False,False,True
p02725,Description_Fewshot,0.4,0.1,0.25,False,0.5662606954574585,0.3162606954574585,False,False,True,False,False
p02725,Description_Reason,0.0,0.3,0.15,False,0.46732938289642334,0.3173293828964233,True,False,False,False,True
p02725,Description_Simple,0.0,0.0,0.0,False,0.5162891149520874,0.5162891149520874,False,False,True,False,False
p03775,Description_Fewshot,0.1,0.0,0.05,False,0.591661810874939,0.5416618108749389,False,False,True,False,False
p03775,Description_Reason,0.1,0.4,0.25,False,0.4736097455024719,0.22360974550247192,True,False,False,False,True
p03775,Description_Simple,1.0,1.0,1.0,True,0.41423484683036804,0.585765153169632,False,True,False,False,False
p03308,Description_Fewshot,1.0,1.0,1.0,True,0.5440627932548523,0.4559372067451477,True,True,True,True,False
p03308,Description_Reason,1.0,1.0,1.0,True,0.5367926955223083,0.46320730447769165,True,True,True,True,False
p03308,Description_Simple,0.3,0.3,0.3,False,0.6755648851394653,0.37556488513946534,False,False,True,False,False
p03324,Description_Fewshot,0.7,0.7,0.7,True,0.39527931809425354,0.3047206819057464,False,True,False,False,False
p03324,Description_Reason,0.1,0.1,0.1,False,0.5350901484489441,0.4350901484489441,False,False,True,False,False
p03324,Description_Simple,0.0,0.0,0.0,False,0.17637506127357483,0.17637506127357483,True,False,False,False,True
p03680,Description_Fewshot,0.4,0.9,0.65,True,0.3695753216743469,0.2804246783256531,False,True,False,False,False
p03680,Description_Reason,0.9,0.9,0.9,True,0.36360856890678406,0.536391431093216,False,True,False,False,False
p03680,Description_Simple,0.9,0.1,0.5,True,0.30590903759002686,0.19409096240997314,False,True,False,False,False
p02629,Description_Fewshot,0.9,1.0,0.95,True,0.5565639138221741,0.3934360861778259,True,True,True,True,False
p02629,Description_Reason,1.0,0.9,0.95,True,0.5412228107452393,0.4087771892547607,True,True,True,True,False
p02629,Description_Simple,0.1,0.8,0.45,False,0.5283685326576233,0.07836853265762328,False,False,True,False,False
p02412,Description_Fewshot,0.9,0.4,0.65,True,0.7249552607536316,0.07495526075363157,True,True,True,True,False
p02412,Description_Reason,0.3,0.3,0.3,False,0.6504848003387451,0.35048480033874513,False,False,True,False,False
p02412,Description_Simple,0.4,0.0,0.2,False,0.711287260055542,0.511287260055542,False,False,True,False,False
p03035,Description_Fewshot,0.0,0.0,0.0,False,0.1279146671295166,0.1279146671295166,True,False,False,False,True
p03035,Description_Reason,0.0,0.0,0.0,False,0.24619901180267334,0.24619901180267334,True,False,False,False,True
p03035,Description_Simple,0.0,0.0,0.0,False,0.2022261768579483,0.2022261768579483,True,False,False,False,True
p02753,Description_Fewshot,0.0,0.0,0.0,False,0.27412617206573486,0.27412617206573486,True,False,False,False,True
p02753,Description_Reason,0.0,0.4,0.2,False,0.3612876832485199,0.1612876832485199,True,False,False,False,True
p02753,Description_Simple,0.0,0.0,0.0,False,0.17976273596286774,0.17976273596286774,True,False,False,False,True
p03037,Description_Fewshot,0.1,0.1,0.1,False,0.2916030287742615,0.19160302877426147,True,False,False,False,True
p03037,Description_Reason,0.7,1.0,0.85,True,0.3575679659843445,0.4924320340156555,False,True,False,False,False
p03037,Description_Simple,0.3,0.3,0.3,False,0.3270808160305023,0.02708081603050233,True,False,False,False,True
p03041,Description_Fewshot,0.1,0.7,0.39999999999999997,False,0.24856418371200562,0.15143581628799435,True,False,False,False,True
p03041,Description_Reason,0.1,0.1,0.1,False,0.5652061104774475,0.46520611047744753,False,False,True,False,False
p03041,Description_Simple,0.0,0.4,0.2,False,0.5875195860862732,0.3875195860862732,False,False,True,False,False
p02959,Description_Fewshot,0.4,0.0,0.2,False,0.24490311741828918,0.04490311741828917,True,False,False,False,True
p02959,Description_Reason,1.0,0.1,0.55,True,0.14014384150505066,0.4098561584949494,False,True,False,False,False
p02959,Description_Simple,0.0,0.0,0.0,False,0.13364994525909424,0.13364994525909424,True,False,False,False,True
p03001,Description_Fewshot,0.0,0.1,0.05,False,0.620589554309845,0.5705895543098449,False,False,True,False,False
p03001,Description_Reason,0.1,0.0,0.05,False,0.48492687940597534,0.43492687940597535,True,False,False,False,True
p03001,Description_Simple,0.1,0.1,0.1,False,0.13030239939689636,0.030302399396896357,True,False,False,False,True
p03285,Description_Fewshot,0.0,0.1,0.05,False,0.3568534553050995,0.3068534553050995,True,False,False,False,True
p03285,Description_Reason,0.0,0.0,0.0,False,0.37033694982528687,0.37033694982528687,True,False,False,False,True
p03285,Description_Simple,0.1,0.0,0.05,False,0.275518000125885,0.22551800012588502,True,False,False,False,True
p02946,Description_Fewshot,1.0,0.0,0.5,True,0.3117498755455017,0.1882501244544983,False,True,False,False,False
p02946,Description_Reason,0.0,0.9,0.45,False,0.276009738445282,0.17399026155471803,True,False,False,False,True
p02946,Description_Simple,0.1,1.0,0.55,True,0.10211600363254547,0.4478839963674546,False,True,False,False,False
p02771,Description_Fewshot,0.3,0.1,0.2,False,0.5349321961402893,0.3349321961402893,False,False,True,False,False
p02771,Description_Reason,0.7,1.0,0.85,True,0.6273261904716492,0.2226738095283508,True,True,True,True,False
p02771,Description_Simple,0.1,0.7,0.39999999999999997,False,0.6755781769752502,0.2755781769752503,False,False,True,False,False
p03434,Description_Fewshot,0.9,0.1,0.5,True,0.5409677624702454,0.04096776247024536,True,True,True,True,False
