Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02753,Description_Simple,0.0,0.0,0.0,False,0.22724708914756775,0.22724708914756775,True,False,False,False,True
p03292,Description_Simple,0.0,0.9,0.45,False,0.47404778003692627,0.02404778003692626,True,False,False,False,True
p02641,Description_Simple,0.4,0.0,0.2,False,0.650452196598053,0.45045219659805297,False,False,True,False,False
p02677,Description_Simple,0.4,0.2,0.30000000000000004,False,0.3769385814666748,0.07693858146667476,True,False,False,False,True
p02621,Description_Simple,0.6,0.0,0.3,False,0.33781805634498596,0.03781805634498597,True,False,False,False,True
p03416,Description_Simple,0.4,0.9,0.65,True,0.2686593532562256,0.38134064674377444,False,True,False,False,False
p02628,Description_Simple,0.0,0.6,0.3,False,0.6832753419876099,0.3832753419876099,False,False,True,False,False
p03011,Description_Simple,0.0,0.0,0.0,False,0.23209616541862488,0.23209616541862488,True,False,False,False,True
p02953,Description_Simple,0.3,0.0,0.15,False,0.24721598625183105,0.09721598625183106,True,False,False,False,True
p03285,Description_Simple,0.0,0.9,0.45,False,0.3296239376068115,0.12037606239318849,True,False,False,False,True
p02791,Description_Simple,1.0,0.9,0.95,True,0.5883159041404724,0.36168409585952754,True,True,True,True,False
p02258,Description_Simple,0.0,0.1,0.05,False,0.46895891427993774,0.41895891427993776,True,False,False,False,True
p02801,Description_Simple,1.0,0.6,0.8,True,0.1998722106218338,0.6001277893781662,False,True,False,False,False
p03325,Description_Simple,1.0,0.0,0.5,True,0.3269449472427368,0.17305505275726318,False,True,False,False,False
p02705,Description_Simple,1.0,0.9,0.95,True,0.752957820892334,0.19704217910766597,True,True,True,True,False
p00005,Description_Simple,0.0,0.2,0.1,False,0.7741279602050781,0.6741279602050781,False,False,True,False,False
p03109,Description_Simple,0.7,0.0,0.35,False,0.2545813322067261,0.0954186677932739,True,False,False,False,True
p03371,Description_Simple,0.0,0.9,0.45,False,0.5357321500778198,0.08573215007781981,False,False,True,False,False
p03456,Description_Simple,1.0,0.3,0.65,True,0.5392484664916992,0.1107515335083008,True,True,True,True,False
p03239,Description_Simple,0.7,0.5,0.6,True,0.33891740441322327,0.2610825955867767,False,True,False,False,False
p02263,Description_Simple,0.6,0.0,0.3,False,0.7644209861755371,0.4644209861755371,False,False,True,False,False
p03998,Description_Simple,0.4,0.8,0.6000000000000001,True,0.38216814398765564,0.21783185601234445,False,True,False,False,False
p02947,Description_Simple,0.7,0.0,0.35,False,0.8052029609680176,0.4552029609680176,False,False,True,False,False
p02420,Description_Simple,1.0,0.6,0.8,True,0.3447585999965668,0.45524140000343327,False,True,False,False,False
p02571,Description_Simple,0.0,0.1,0.05,False,0.4582814574241638,0.40828145742416383,True,False,False,False,True
p02767,Description_Simple,0.4,0.2,0.30000000000000004,False,0.34677135944366455,0.046771359443664506,True,False,False,False,True
p03243,Description_Simple,0.0,0.0,0.0,False,0.26945146918296814,0.26945146918296814,True,False,False,False,True
p02729,Description_Simple,0.4,0.2,0.30000000000000004,False,0.31954115629196167,0.019541156291961626,True,False,False,False,True
p02577,Description_Simple,0.0,0.6,0.3,False,0.3776525855064392,0.07765258550643922,True,False,False,False,True
p02723,Description_Simple,0.6,0.6,0.6,True,0.37080761790275574,0.22919238209724424,False,True,False,False,False
p03695,Description_Simple,0.4,0.9,0.65,True,0.5604311227798462,0.08956887722015383,True,True,True,True,False
p02397,Description_Simple,0.6,0.9,0.75,True,0.6756262183189392,0.07437378168106079,True,True,True,True,False
p02995,Description_Simple,1.0,0.9,0.95,True,0.572407066822052,0.37759293317794795,True,True,True,True,False
p02946,Description_Simple,1.0,0.1,0.55,True,0.3278150260448456,0.22218497395515446,False,True,False,False,False
p02917,Description_Simple,0.0,0.0,0.0,False,0.41931095719337463,0.41931095719337463,True,False,False,False,True
p03545,Description_Simple,0.0,0.9,0.45,False,0.5348305702209473,0.08483057022094725,False,False,True,False,False
p02405,Description_Simple,0.4,0.6,0.5,True,0.35726407170295715,0.14273592829704285,False,True,False,False,False
p02802,Description_Simple,1.0,0.6,0.8,True,0.05377091467380524,0.7462290853261948,False,True,False,False,False
p00011,Description_Simple,0.4,0.2,0.30000000000000004,False,0.598102331161499,0.298102331161499,False,False,True,False,False
p03720,Description_Simple,0.4,0.6,0.5,True,0.46141287684440613,0.03858712315559387,False,True,False,False,False
p03281,Description_Simple,1.0,0.6,0.8,True,0.7559045553207397,0.0440954446792603,True,True,True,True,False
p02259,Description_Simple,0.4,0.3,0.35,False,0.6251446008682251,0.2751446008682251,False,False,True,False,False
p02713,Description_Simple,0.0,0.5,0.25,False,0.7944949269294739,0.5444949269294739,False,False,True,False,False
p02257,Description_Simple,0.0,0.1,0.05,False,0.7825468182563782,0.7325468182563781,False,False,True,False,False
p02706,Description_Simple,0.9,0.0,0.45,False,0.24046838283538818,0.20953161716461183,True,False,False,False,True
p02393,Description_Simple,1.0,0.9,0.95,True,0.7618683576583862,0.18813164234161373,True,True,True,True,False
p02578,Description_Simple,0.7,0.9,0.8,True,0.6253158450126648,0.17468415498733525,True,True,True,True,False
p02759,Description_Simple,0.0,0.1,0.05,False,0.2757772207260132,0.2257772207260132,True,False,False,False,True
p02755,Description_Simple,0.4,0.6,0.5,True,0.4476708471775055,0.05232915282249451,False,True,False,False,False
p02552,Description_Simple,1.0,0.9,0.95,True,0.37192684412002563,0.5780731558799743,False,True,False,False,False
p03013,Description_Simple,0.0,0.9,0.45,False,0.586132287979126,0.13613228797912597,False,False,True,False,False
p03160,Description_Simple,0.4,0.9,0.65,True,0.5774035453796387,0.07259645462036135,True,True,True,True,False
p03644,Description_Simple,1.0,0.1,0.55,True,0.4404507875442505,0.10954921245574956,False,True,False,False,False
p02831,Description_Simple,0.0,0.9,0.45,False,0.49714013934135437,0.04714013934135436,True,False,False,False,True
p03471,Description_Simple,0.7,0.6,0.6499999999999999,True,0.37476006150245667,0.27523993849754325,False,True,False,False,False
p02790,Description_Simple,0.4,0.0,0.2,False,0.6274018883705139,0.4274018883705139,False,False,True,False,False
p02707,Description_Simple,0.0,0.2,0.1,False,0.20989999175071716,0.10989999175071716,True,False,False,False,True
p03289,Description_Simple,0.0,0.9,0.45,False,0.37557387351989746,0.07442612648010255,True,False,False,False,True
p03071,Description_Simple,0.6,0.1,0.35,False,0.3511198163032532,0.001119816303253196,True,False,False,False,True
p02724,Description_Simple,0.0,0.5,0.25,False,0.28702017664909363,0.03702017664909363,True,False,False,False,True
p03102,Description_Simple,0.0,0.0,0.0,False,0.6768403053283691,0.6768403053283691,False,False,True,False,False
p03324,Description_Simple,0.9,0.2,0.55,True,0.4199923276901245,0.13000767230987553,False,True,False,False,False
p03076,Description_Simple,0.3,0.9,0.6,True,0.2955910563468933,0.30440894365310667,False,True,False,False,False
p02909,Description_Simple,0.0,0.0,0.0,False,0.18073593080043793,0.18073593080043793,True,False,False,False,True
p02627,Description_Simple,0.0,0.9,0.45,False,0.4468437433242798,0.003156256675720226,True,False,False,False,True
p02945,Description_Simple,0.0,0.0,0.0,False,0.6526896357536316,0.6526896357536316,False,False,True,False,False
p02390,Description_Simple,0.6,0.0,0.3,False,0.30008792877197266,8.792877197266735e-05,True,False,False,False,True
p02419,Description_Simple,1.0,0.9,0.95,True,0.7322089672088623,0.21779103279113765,True,True,True,True,False
p03220,Description_Simple,1.0,0.1,0.55,True,0.448574423789978,0.10142557621002202,False,True,False,False,False
p03316,Description_Simple,0.0,0.6,0.3,False,0.4654315114021301,0.16543151140213014,True,False,False,False,True
p02772,Description_Simple,1.0,0.0,0.5,True,0.5970405340194702,0.09704053401947021,True,True,True,True,False
