Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.5876629948616028,0.4123370051383972,True,True,True,True,False
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.63778156042099,0.26221843957901003,True,True,True,True,False
p02921,Description_Simple,0.6,0.6,0.6,0.6,True,0.6013731956481934,0.0013731956481933816,True,True,True,True,False
p02773,Description_Simple,0.4,0.4,0.4,0.4,False,0.6996116042137146,0.2996116042137146,False,False,True,False,False
p02910,Description_Simple,0.0,0.0,0.0,0.0,False,0.6225395202636719,0.6225395202636719,False,False,True,False,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.7828224301338196,0.21717756986618042,True,True,True,True,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.6645614504814148,0.3354385495185852,True,True,True,True,False
p03035,Description_Simple,0.6,0.6,0.6,0.6,True,0.3544620871543884,0.24553791284561155,False,True,False,False,False
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.7067347168922424,0.29326528310775757,True,True,True,True,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.4676138162612915,0.4676138162612915,True,False,False,False,True
p03469,Description_Simple,0.4,0.4,0.4,0.4,False,0.7024927735328674,0.3024927735328674,False,False,True,False,False
p02917,Description_Simple,0.0,0.0,0.0,0.0,False,0.6010144948959351,0.6010144948959351,False,False,True,False,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.3347344994544983,0.6652655005455017,False,True,False,False,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.49641522765159607,0.5035847723484039,False,True,False,False,False
p02381,Description_Simple,0.5,0.5,0.5,0.5,True,0.6533718109130859,0.15337181091308594,True,True,True,True,False
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.5787135362625122,0.3787135362625122,False,False,True,False,False
