,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,0.0,27.6,8.0,11.200000000000001,95.19999999999999,4.8,73.06122448979592,90.0,6.0,34.0,8.4,66.4,94.77911646586345,36.0
GPT3.5,27.6,0.0,27.6,31.6,72.39999999999999,26.8,55.51020408163265,68.8,28.799999999999997,31.2,25.6,53.2,71.8875502008032,32.4
GPT4o,8.0,27.6,0.0,10.4,96.0,5.6000000000000005,73.46938775510205,90.8,4.3999999999999995,34.0,7.6,66.4,95.98393574297188,36.8
Gemini,11.200000000000001,31.6,10.4,0.0,92.0,8.0,73.46938775510205,86.8,7.6,34.0,11.600000000000001,66.4,91.56626506024097,36.8
LlamaVL,95.19999999999999,72.39999999999999,96.0,92.0,0.0,97.6,24.897959183673468,6.0,98.0,66.0,93.2,31.2,1.2048192771084338,63.2
O4-mini,4.8,26.8,5.6000000000000005,8.0,97.6,0.0,73.46938775510205,92.4,3.5999999999999996,34.0,7.6,67.2,97.18875502008032,36.0
Qwen3VL,73.06122448979592,55.51020408163265,73.46938775510205,73.46938775510205,24.897959183673468,73.46938775510205,0.0,26.93877551020408,75.91836734693878,55.91836734693878,69.79591836734694,37.142857142857146,24.18032786885246,54.285714285714285
codellama,90.0,68.8,90.8,86.8,6.0,92.4,26.93877551020408,0.0,92.80000000000001,65.60000000000001,88.0,33.2,6.425702811244979,59.599999999999994
deepseek-r1,6.0,28.799999999999997,4.3999999999999995,7.6,98.0,3.5999999999999996,75.91836734693878,92.80000000000001,0.0,32.0,6.4,68.4,97.59036144578313,36.4
mistral,34.0,31.2,34.0,34.0,66.0,34.0,55.91836734693878,65.60000000000001,32.0,0.0,34.4,49.2,66.26506024096386,38.0
qwencoder32B,8.4,25.6,7.6,11.600000000000001,93.2,7.6,69.79591836734694,88.0,6.4,34.4,0.0,66.8,92.7710843373494,34.8
starchat,66.4,53.2,66.4,66.4,31.2,67.2,37.142857142857146,33.2,68.4,49.2,66.8,0.0,31.72690763052209,53.6
starcoder,94.77911646586345,71.8875502008032,95.98393574297188,91.56626506024097,1.2048192771084338,97.18875502008032,24.18032786885246,6.425702811244979,97.59036144578313,66.26506024096386,92.7710843373494,31.72690763052209,0.0,62.65060240963856
Llama70B,36.0,32.4,36.8,36.8,63.2,36.0,54.285714285714285,59.599999999999994,36.4,38.0,34.8,53.6,62.65060240963856,0.0
