Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02847,Description_Fewshot,0.4,1.0,0.7,True,0.5780635476112366,0.12193645238876338,True,True,True,True,False
p02847,Description_Reason,0.4,0.9,0.65,True,0.6060373783111572,0.043962621688842796,True,True,True,True,False
p02847,Description_Simple,1.0,0.7,0.85,True,0.5638183951377869,0.2861816048622131,True,True,True,True,False
p00006,Description_Fewshot,0.7,0.4,0.55,True,0.6778480410575867,0.12784804105758663,True,True,True,True,False
p00006,Description_Reason,1.0,0.4,0.7,True,0.6765155792236328,0.023484420776367143,True,True,True,True,False
p00006,Description_Simple,0.7,0.7,0.7,True,0.6526493430137634,0.04735065698623653,True,True,True,True,False
p02659,Description_Fewshot,0.9,0.4,0.65,True,0.6062372922897339,0.043762707710266135,True,True,True,True,False
p02659,Description_Reason,0.4,1.0,0.7,True,0.4569060802459717,0.24309391975402828,False,True,False,False,False
p02659,Description_Simple,0.4,0.4,0.4,False,0.5859012603759766,0.18590126037597654,False,False,True,False,False
p02400,Description_Fewshot,1.0,0.7,0.85,True,0.82591712474823,0.024082875251769997,True,True,True,True,False
p02400,Description_Reason,0.9,0.9,0.9,True,0.7981130480766296,0.10188695192337038,True,True,True,True,False
p02400,Description_Simple,0.0,0.0,0.0,False,0.7628233432769775,0.7628233432769775,False,False,True,False,False
p03292,Description_Fewshot,0.7,0.0,0.35,False,0.42840301990509033,0.07840301990509035,True,False,False,False,True
p03292,Description_Reason,0.0,1.0,0.5,True,0.43884673714637756,0.061153262853622437,False,True,False,False,False
p03292,Description_Simple,1.0,1.0,1.0,True,0.45351532101631165,0.5464846789836884,False,True,False,False,False
p03072,Description_Fewshot,1.0,0.1,0.55,True,0.5357386469841003,0.014261353015899703,True,True,True,True,False
p03072,Description_Reason,0.1,1.0,0.55,True,0.5494270324707031,0.0005729675292969194,True,True,True,True,False
p03072,Description_Simple,0.1,1.0,0.55,True,0.5114744305610657,0.03852556943893437,True,True,True,True,False
p02725,Description_Fewshot,1.0,0.3,0.65,True,0.47537606954574585,0.17462393045425417,False,True,False,False,False
p02725,Description_Reason,1.0,1.0,1.0,True,0.5070828199386597,0.49291718006134033,True,True,True,True,False
p02725,Description_Simple,1.0,0.1,0.55,True,0.5383251905441284,0.011674809455871626,True,True,True,True,False
p02701,Description_Fewshot,0.1,1.0,0.55,True,0.5422898530960083,0.007710146903991744,True,True,True,True,False
p02701,Description_Reason,1.0,1.0,1.0,True,0.513656735420227,0.48634326457977295,True,True,True,True,False
p02701,Description_Simple,1.0,1.0,1.0,True,0.5410802960395813,0.4589197039604187,True,True,True,True,False
p02641,Description_Fewshot,1.0,0.7,0.85,True,0.5339490175247192,0.31605098247528074,True,True,True,True,False
