Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.5857795476913452,0.4142204523086548,True,True,True,True,False
p00006,Description_Simple,0.7,0.7,0.7,0.7,True,0.3635188341140747,0.33648116588592525,False,True,False,False,False
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.7089831829071045,0.19101681709289553,True,True,True,True,False
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.7429162859916687,0.2570837140083313,True,True,True,True,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.6840381622314453,0.3159618377685547,True,True,True,True,False
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.414846807718277,0.585153192281723,False,True,False,False,False
p02256,Description_Simple,1.0,1.0,1.0,1.0,True,0.6914450526237488,0.3085549473762512,True,True,True,True,False
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.6536816954612732,0.3463183045387268,True,True,True,True,False
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.6876608729362488,0.3123391270637512,True,True,True,True,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.8218166828155518,0.17818331718444824,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7658185958862305,0.23418140411376953,True,True,True,True,False
p00011,Description_Simple,0.7,0.7,0.7,0.7,True,0.24597451090812683,0.4540254890918731,False,True,False,False,False
p02263,Description_Simple,0.9,0.9,0.9,0.9,True,0.5610853433609009,0.33891465663909914,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7828717231750488,0.21712827682495117,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.5980159640312195,0.4019840359687805,True,True,True,True,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.35916969180107117,0.6408303081989288,False,True,False,False,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.39724165201187134,0.6027583479881287,False,True,False,False,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.6636717915534973,0.3363282084465027,True,True,True,True,False
p02389,Description_Simple,0.9,0.9,0.9,0.9,True,0.5573740005493164,0.3426259994506836,True,True,True,True,False
p02392,Description_Simple,1.0,1.0,1.0,1.0,True,0.7130755186080933,0.28692448139190674,True,True,True,True,False
p02396,Description_Simple,1.0,1.0,1.0,1.0,True,0.41278424859046936,0.5872157514095306,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.5687812566757202,0.4312187433242798,True,True,True,True,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.4969576299190521,0.5030423700809479,False,True,False,False,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.655146062374115,0.344853937625885,True,True,True,True,False
p02390,Description_Simple,0.4,0.4,0.4,0.4,False,0.43457141518592834,0.03457141518592832,True,False,False,False,True
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.5123245716094971,0.48767542839050293,True,True,True,True,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.6218153834342957,0.37818461656570435,True,True,True,True,False
p02400,Description_Simple,0.9,0.9,0.9,0.9,True,0.6680757999420166,0.23192420005798342,True,True,True,True,False
p02398,Description_Simple,1.0,1.0,1.0,1.0,True,0.7488667964935303,0.2511332035064697,True,True,True,True,False
p02404,Description_Simple,1.0,1.0,1.0,1.0,True,0.5073976516723633,0.4926023483276367,True,True,True,True,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.5919925570487976,0.4080074429512024,True,True,True,True,False
p02403,Description_Simple,0.8,0.8,0.8,0.8,True,0.4787735939025879,0.32122640609741215,False,True,False,False,False
p02406,Description_Simple,1.0,1.0,1.0,1.0,True,0.21058914065361023,0.7894108593463898,False,True,False,False,False
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.6565240025520325,0.34347599744796753,True,True,True,True,False
p02413,Description_Simple,0.9,0.9,0.9,0.9,True,0.5122430324554443,0.3877569675445557,True,True,True,True,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.6160240769386292,0.38397592306137085,True,True,True,True,False
p02408,Description_Simple,1.0,1.0,1.0,1.0,True,0.6544728875160217,0.34552711248397827,True,True,True,True,False
p02407,Description_Simple,1.0,1.0,1.0,1.0,True,0.7241053581237793,0.2758946418762207,True,True,True,True,False
p02416,Description_Simple,0.9,0.9,0.9,0.9,True,0.5318360924720764,0.3681639075279236,True,True,True,True,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.4089134931564331,0.5910865068435669,False,True,False,False,False
p02414,Description_Simple,1.0,1.0,1.0,1.0,True,0.7084776759147644,0.2915223240852356,True,True,True,True,False
p02417,Description_Simple,0.8,0.8,0.8,0.8,True,0.6146894097328186,0.18531059026718144,True,True,True,True,False
p02419,Description_Simple,1.0,1.0,1.0,1.0,True,0.5486388206481934,0.45136117935180664,True,True,True,True,False
p02420,Description_Simple,1.0,1.0,1.0,1.0,True,0.37189579010009766,0.6281042098999023,False,True,False,False,False
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.6773750185966492,0.32262498140335083,True,True,True,True,False
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.6362778544425964,0.36372214555740356,True,True,True,True,False
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.5970144271850586,0.4029855728149414,True,True,True,True,False
p02411,Description_Simple,0.9,0.9,0.9,0.9,True,0.65962153673172,0.24037846326828005,True,True,True,True,False
p02421,Description_Simple,1.0,1.0,1.0,1.0,True,0.7146011590957642,0.28539884090423584,True,True,True,True,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.19345355033874512,0.8065464496612549,False,True,False,False,False
p02547,Description_Simple,1.0,1.0,1.0,1.0,True,0.38358333706855774,0.6164166629314423,False,True,False,False,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.47478747367858887,0.5252125263214111,False,True,False,False,False
p02622,Description_Simple,1.0,1.0,1.0,1.0,True,0.3513503968715668,0.6486496031284332,False,True,False,False,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.42802852392196655,0.5719714760780334,False,True,False,False,False
p02578,Description_Simple,1.0,1.0,1.0,1.0,True,0.23206228017807007,0.7679377198219299,False,True,False,False,False
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.445326566696167,0.554673433303833,False,True,False,False,False
p02595,Description_Simple,1.0,1.0,1.0,1.0,True,0.4084470272064209,0.5915529727935791,False,True,False,False,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.4484708607196808,0.5515291392803192,False,True,False,False,False
p02552,Description_Simple,1.0,1.0,1.0,1.0,True,0.4543980658054352,0.5456019341945648,False,True,False,False,False
p02553,Description_Simple,1.0,1.0,1.0,1.0,True,0.6415382623672485,0.35846173763275146,True,True,True,True,False
p02621,Description_Simple,1.0,1.0,1.0,1.0,True,0.3336176872253418,0.6663823127746582,False,True,False,False,False
p02613,Description_Simple,0.9,0.9,0.9,0.9,True,0.518283486366272,0.38171651363372805,True,True,True,True,False
p02627,Description_Simple,0.0,0.0,0.0,0.0,False,0.3634415864944458,0.3634415864944458,True,False,False,False,True
p02612,Description_Simple,0.0,0.0,0.0,0.0,False,0.3889673948287964,0.3889673948287964,True,False,False,False,True
p02641,Description_Simple,0.7,0.7,0.7,0.7,True,0.5024520754814148,0.19754792451858516,True,True,True,True,False
p02658,Description_Simple,1.0,1.0,1.0,1.0,True,0.5163334608078003,0.4836665391921997,True,True,True,True,False
p02659,Description_Simple,0.9,0.9,0.9,0.9,True,0.5874616503715515,0.3125383496284485,True,True,True,True,False
p02639,Description_Simple,1.0,1.0,1.0,1.0,True,0.3489481210708618,0.6510518789291382,False,True,False,False,False
p02688,Description_Simple,1.0,1.0,1.0,1.0,True,0.26191502809524536,0.7380849719047546,False,True,False,False,False
p02681,Description_Simple,1.0,1.0,1.0,1.0,True,0.48486950993537903,0.515130490064621,False,True,False,False,False
p02629,Description_Simple,1.0,1.0,1.0,1.0,True,0.24515199661254883,0.7548480033874512,False,True,False,False,False
p02640,Description_Simple,1.0,1.0,1.0,1.0,True,0.2489580661058426,0.7510419338941574,False,True,False,False,False
p02694,Description_Simple,1.0,1.0,1.0,1.0,True,0.41113969683647156,0.5888603031635284,False,True,False,False,False
p02676,Description_Simple,1.0,1.0,1.0,1.0,True,0.3877175748348236,0.6122824251651764,False,True,False,False,False
p02628,Description_Simple,1.0,1.0,1.0,1.0,True,0.29812419414520264,0.7018758058547974,False,True,False,False,False
p02682,Description_Simple,1.0,1.0,1.0,1.0,True,0.48595380783081055,0.5140461921691895,False,True,False,False,False
p02687,Description_Simple,1.0,1.0,1.0,1.0,True,0.4409147799015045,0.5590852200984955,False,True,False,False,False
p02675,Description_Simple,1.0,1.0,1.0,1.0,True,0.5352430939674377,0.46475690603256226,True,True,True,True,False
p02657,Description_Simple,0.9,0.9,0.9,0.9,True,0.45909860730171204,0.440901392698288,False,True,False,False,False
p02693,Description_Simple,1.0,1.0,1.0,1.0,True,0.3297131657600403,0.6702868342399597,False,True,False,False,False
p02699,Description_Simple,1.0,1.0,1.0,1.0,True,0.3862496018409729,0.6137503981590271,False,True,False,False,False
p02700,Description_Simple,0.6,0.6,0.6,0.6,True,0.590174674987793,0.009825325012207009,True,True,True,True,False
p02701,Description_Simple,1.0,1.0,1.0,1.0,True,0.36032289266586304,0.639677107334137,False,True,False,False,False
p02712,Description_Simple,1.0,1.0,1.0,1.0,True,0.43849602341651917,0.5615039765834808,False,True,False,False,False
p02713,Description_Simple,1.0,1.0,1.0,1.0,True,0.5955907106399536,0.4044092893600464,True,True,True,True,False
p02707,Description_Simple,1.0,1.0,1.0,1.0,True,0.20863279700279236,0.7913672029972076,False,True,False,False,False
p02717,Description_Simple,1.0,1.0,1.0,1.0,True,0.3813713788986206,0.6186286211013794,False,True,False,False,False
p02711,Description_Simple,1.0,1.0,1.0,1.0,True,0.48301461338996887,0.5169853866100311,False,True,False,False,False
p02706,Description_Simple,1.0,1.0,1.0,1.0,True,0.1987408697605133,0.8012591302394867,False,True,False,False,False
p02729,Description_Simple,1.0,1.0,1.0,1.0,True,0.5024021863937378,0.4975978136062622,True,True,True,True,False
p02730,Description_Simple,0.7,0.7,0.7,0.7,True,0.5869833827018738,0.11301661729812618,True,True,True,True,False
p02725,Description_Simple,1.0,1.0,1.0,1.0,True,0.40675339102745056,0.5932466089725494,False,True,False,False,False
p02723,Description_Simple,1.0,1.0,1.0,1.0,True,0.4758102595806122,0.5241897404193878,False,True,False,False,False
p02719,Description_Simple,1.0,1.0,1.0,1.0,True,0.4684831500053406,0.5315168499946594,False,True,False,False,False
p02718,Description_Simple,1.0,1.0,1.0,1.0,True,0.4286724925041199,0.5713275074958801,False,True,False,False,False
p02724,Description_Simple,1.0,1.0,1.0,1.0,True,0.622779369354248,0.37722063064575195,True,True,True,True,False
p02766,Description_Simple,1.0,1.0,1.0,1.0,True,0.6642415523529053,0.3357584476470947,True,True,True,True,False
p02759,Description_Simple,1.0,1.0,1.0,1.0,True,0.28041431307792664,0.7195856869220734,False,True,False,False,False
