Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.49941688776016235,0.5005831122398376,False,True,False,False,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.8133272528648376,0.18667274713516235,True,True,True,True,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.6299511790275574,0.3700488209724426,True,True,True,True,False
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.44074153900146484,0.5592584609985352,False,True,False,False,False
p00007,Description_Simple,0.6,0.6,0.6,0.6,True,0.5202152132987976,0.07978478670120237,True,True,True,True,False
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.5428704619407654,0.4571295380592346,True,True,True,True,False
p00011,Description_Simple,0.4,0.4,0.4,0.4,False,0.3322615921497345,0.06773840785026553,True,False,False,False,True
p02256,Description_Simple,1.0,1.0,1.0,1.0,True,0.6344443559646606,0.36555564403533936,True,True,True,True,False
p00006,Description_Simple,0.8,0.8,0.8,0.8,True,0.3181384205818176,0.4818615794181824,False,True,False,False,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.6347170472145081,0.36528295278549194,True,True,True,True,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.734692394733429,0.26530760526657104,True,True,True,True,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.4135441780090332,0.5864558219909668,False,True,False,False,False
p02255,Description_Simple,0.9,0.9,0.9,0.9,True,0.6558926105499268,0.24410738945007326,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7377051115036011,0.2622948884963989,True,True,True,True,False
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.4391469359397888,0.5608530640602112,False,True,False,False,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.6241534948348999,0.3758465051651001,True,True,True,True,False
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.11988900601863861,0.8801109939813614,False,True,False,False,False
p02392,Description_Simple,1.0,1.0,1.0,1.0,True,0.555324912071228,0.444675087928772,True,True,True,True,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.6541614532470703,0.3458385467529297,True,True,True,True,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.35306471586227417,0.6469352841377258,False,True,False,False,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.43185538053512573,0.5681446194648743,False,True,False,False,False
p02398,Description_Simple,0.8,0.8,0.8,0.8,True,0.599737823009491,0.20026217699050908,True,True,True,True,False
p02390,Description_Simple,0.7,0.7,0.7,0.7,True,0.49974000453948975,0.2002599954605102,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.535211443901062,0.464788556098938,True,True,True,True,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.7816140055656433,0.2183859944343567,True,True,True,True,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.2463499903678894,0.6536500096321106,False,True,False,False,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.5270041823387146,0.4729958176612854,True,True,True,True,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.5608996152877808,0.43910038471221924,True,True,True,True,False
p02396,Description_Simple,0.4,0.4,0.4,0.4,False,0.41975826025009155,0.01975826025009153,True,False,False,False,True
p02403,Description_Simple,1.0,1.0,1.0,1.0,True,0.49731525778770447,0.5026847422122955,False,True,False,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.7046639919281006,0.2953360080718994,True,True,True,True,False
p02402,Description_Simple,0.9,0.9,0.9,0.9,True,0.5878945589065552,0.31210544109344485,True,True,True,True,False
p02410,Description_Simple,0.6,0.6,0.6,0.6,True,0.4502275288105011,0.14977247118949888,False,True,False,False,False
p02411,Description_Simple,0.3,0.3,0.3,0.3,False,0.5848464965820312,0.28484649658203126,False,False,True,False,False
p02406,Description_Simple,1.0,1.0,1.0,1.0,True,0.2198384404182434,0.7801615595817566,False,True,False,False,False
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.6860887408256531,0.3139112591743469,True,True,True,True,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.6735514998435974,0.3264485001564026,True,True,True,True,False
