Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.4815579354763031,0.5184420645236969,False,True,False,False,False
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.6322436928749084,0.2677563071250916,True,True,True,True,False
p02921,Description_Simple,0.0,0.0,0.0,0.0,False,0.21971538662910461,0.21971538662910461,True,False,False,False,True
p02773,Description_Simple,0.8,0.8,0.8,0.8,True,0.6255328059196472,0.17446719408035283,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.647990345954895,0.352009654045105,True,True,True,True,False
p03035,Description_Simple,0.6,0.6,0.6,0.6,True,0.23558402061462402,0.36441597938537595,False,True,False,False,False
p02910,Description_Simple,0.0,0.0,0.0,0.0,False,0.34086477756500244,0.34086477756500244,True,False,False,False,True
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.2115733027458191,0.7884266972541809,False,True,False,False,False
p02917,Description_Simple,0.0,0.0,0.0,0.0,False,0.46535366773605347,0.46535366773605347,True,False,False,False,True
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.26646849513053894,0.26646849513053894,True,False,False,False,True
p03469,Description_Simple,0.0,0.0,0.0,0.0,False,0.285013347864151,0.285013347864151,True,False,False,False,True
p03456,Description_Simple,0.9,0.9,0.9,0.9,True,0.3806364834308624,0.5193635165691376,False,True,False,False,False
p02988,Description_Simple,0.0,0.0,0.0,0.0,False,0.43774569034576416,0.43774569034576416,True,False,False,False,True
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.22733694314956665,0.7726630568504333,False,True,False,False,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.6000012159347534,0.2999987840652466,True,True,True,True,False
p02711,Description_Simple,0.0,0.0,0.0,0.0,False,0.42169389128685,0.42169389128685,True,False,False,False,True
p03854,Description_Simple,0.0,0.0,0.0,0.0,False,0.2861902415752411,0.2861902415752411,True,False,False,False,True
p02718,Description_Simple,0.2,0.2,0.2,0.2,False,0.3675719201564789,0.16757192015647887,True,False,False,False,True
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.7005107998847961,0.0994892001152039,True,True,True,True,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.16548410058021545,0.8345158994197845,False,True,False,False,False
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.6878542900085449,0.3121457099914551,True,True,True,True,False
p02916,Description_Simple,0.1,0.1,0.1,0.1,False,0.2553101181983948,0.15531011819839477,True,False,False,False,True
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.5190625786781311,0.4809374213218689,True,True,True,True,False
p03457,Description_Simple,0.4,0.4,0.4,0.4,False,0.41487717628479004,0.014877176284790017,True,False,False,False,True
p02911,Description_Simple,1.0,1.0,1.0,1.0,True,0.24825984239578247,0.7517401576042175,False,True,False,False,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.38757985830307007,0.6124201416969299,False,True,False,False,False
p03239,Description_Simple,0.9,0.9,0.9,0.9,True,0.3063504695892334,0.5936495304107666,False,True,False,False,False
p02582,Description_Simple,0.1,0.1,0.1,0.1,False,0.29005658626556396,0.19005658626556396,True,False,False,False,True
p04012,Description_Simple,0.1,0.1,0.1,0.1,False,0.3167177736759186,0.21671777367591857,True,False,False,False,True
p02772,Description_Simple,0.6,0.6,0.6,0.6,True,0.6190210580825806,0.01902105808258059,True,True,True,True,False
p02547,Description_Simple,0.4,0.4,0.4,0.4,False,0.3793332576751709,0.020666742324829124,True,False,False,False,True
p02786,Description_Simple,0.0,0.0,0.0,0.0,False,0.3751070201396942,0.3751070201396942,True,False,False,False,True
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.29737332463264465,0.7026266753673553,False,True,False,False,False
p03435,Description_Simple,0.0,0.0,0.0,0.0,False,0.381959468126297,0.381959468126297,True,False,False,False,True
p02578,Description_Simple,0.0,0.0,0.0,0.0,False,0.5130836367607117,0.5130836367607117,False,False,True,False,False
