Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02922,Description_Fewshot,1.0,0.7,0.85,True,0.3475651144981384,0.5024348855018616,False,True,False,False,False
p02922,Description_Reason,1.0,0.9,0.95,True,0.33012911677360535,0.6198708832263946,False,True,False,False,False
p02922,Description_Simple,0.9,0.9,0.9,True,0.2666449546813965,0.6333550453186035,False,True,False,False,False
p02982,Description_Fewshot,0.9,1.0,0.95,True,0.7714257836341858,0.17857421636581416,True,True,True,True,False
p02982,Description_Reason,0.9,0.4,0.65,True,0.7640181183815002,0.11401811838150022,True,True,True,True,False
p02982,Description_Simple,0.4,0.9,0.65,True,0.7817590832710266,0.1317590832710266,True,True,True,True,False
p03059,Description_Fewshot,0.8,0.4,0.6000000000000001,True,0.37555742263793945,0.22444257736206064,False,True,False,False,False
p03059,Description_Reason,0.4,1.0,0.7,True,0.3911553621292114,0.30884463787078853,False,True,False,False,False
p03059,Description_Simple,0.1,0.4,0.25,False,0.4176073968410492,0.1676073968410492,True,False,False,False,True
p02410,Description_Fewshot,0.9,0.9,0.9,True,0.6852204203605652,0.21477957963943484,True,True,True,True,False
p02410,Description_Reason,0.9,0.9,0.9,True,0.6466829776763916,0.2533170223236084,True,True,True,True,False
p02410,Description_Simple,0.9,0.9,0.9,True,0.6785115599632263,0.2214884400367737,True,True,True,True,False
p02398,Description_Fewshot,0.4,0.9,0.65,True,0.5332549810409546,0.11674501895904543,True,True,True,True,False
p02398,Description_Reason,0.9,0.0,0.45,False,0.5524382591247559,0.10243825912475585,False,False,True,False,False
p02398,Description_Simple,0.0,0.4,0.2,False,0.6153954267501831,0.4153954267501831,False,False,True,False,False
p02578,Description_Fewshot,0.9,0.9,0.9,True,0.4710850119590759,0.4289149880409241,False,True,False,False,False
p02578,Description_Reason,0.1,0.1,0.1,False,0.4459579288959503,0.34595792889595034,True,False,False,False,True
p02578,Description_Simple,0.0,0.3,0.15,False,0.3983173668384552,0.2483173668384552,True,False,False,False,True
p02725,Description_Fewshot,0.7,0.9,0.8,True,0.4295683801174164,0.37043161988258366,False,True,False,False,False
p02725,Description_Reason,0.9,0.8,0.8500000000000001,True,0.4286936819553375,0.42130631804466256,False,True,False,False,False
p02725,Description_Simple,0.3,0.0,0.15,False,0.5550532341003418,0.4050532341003418,False,False,True,False,False
p03775,Description_Fewshot,0.2,0.1,0.15000000000000002,False,0.4143354296684265,0.2643354296684265,True,False,False,False,True
p03775,Description_Reason,0.0,0.0,0.0,False,0.4701349139213562,0.4701349139213562,True,False,False,False,True
p03775,Description_Simple,1.0,1.0,1.0,True,0.42420732975006104,0.575792670249939,False,True,False,False,False
p03308,Description_Fewshot,0.1,1.0,0.55,True,0.5005248785018921,0.049475121498107955,True,True,True,True,False
p03308,Description_Reason,1.0,0.2,0.6,True,0.5396608114242554,0.06033918857574461,True,True,True,True,False
p03308,Description_Simple,0.1,1.0,0.55,True,0.5178216099739075,0.032178390026092574,True,True,True,True,False
p03324,Description_Fewshot,0.9,0.9,0.9,True,0.49619579315185547,0.40380420684814455,False,True,False,False,False
p03324,Description_Reason,1.0,0.0,0.5,True,0.46321922540664673,0.03678077459335327,False,True,False,False,False
p03324,Description_Simple,0.2,0.1,0.15000000000000002,False,0.3866179883480072,0.23661798834800718,True,False,False,False,True
p03680,Description_Fewshot,0.4,0.9,0.65,True,0.35324203968048096,0.29675796031951907,False,True,False,False,False
p03680,Description_Reason,0.9,1.0,0.95,True,0.3281404376029968,0.6218595623970031,False,True,False,False,False
p03680,Description_Simple,0.9,0.9,0.9,True,0.22821959853172302,0.671780401468277,False,True,False,False,False
p02629,Description_Fewshot,0.8,0.8,0.8,True,0.43498092889785767,0.3650190711021424,False,True,False,False,False
p02629,Description_Reason,0.8,0.9,0.8500000000000001,True,0.5771474242210388,0.27285257577896127,True,True,True,True,False
p02629,Description_Simple,0.9,0.9,0.9,True,0.5763368010520935,0.3236631989479065,True,True,True,True,False
p02412,Description_Fewshot,1.0,0.8,0.9,True,0.7333719730377197,0.1666280269622803,True,True,True,True,False
p02412,Description_Reason,0.9,0.1,0.5,True,0.6328206062316895,0.13282060623168945,True,True,True,True,False
p02412,Description_Simple,0.4,0.1,0.25,False,0.7463904619216919,0.4963904619216919,False,False,True,False,False
p03035,Description_Fewshot,0.0,0.0,0.0,False,0.24653184413909912,0.24653184413909912,True,False,False,False,True
p03035,Description_Reason,0.1,0.4,0.25,False,0.2333235889673233,0.016676411032676697,True,False,False,False,True
p03035,Description_Simple,0.0,0.0,0.0,False,0.21157026290893555,0.21157026290893555,True,False,False,False,True
p02753,Description_Fewshot,0.0,0.0,0.0,False,0.42239105701446533,0.42239105701446533,True,False,False,False,True
p02753,Description_Reason,0.1,0.0,0.05,False,0.34078535437583923,0.29078535437583924,True,False,False,False,True
p02753,Description_Simple,0.0,0.4,0.2,False,0.22037194669246674,0.020371946692466725,True,False,False,False,True
p03037,Description_Fewshot,1.0,0.3,0.65,True,0.3054850995540619,0.34451490044593813,False,True,False,False,False
p03037,Description_Reason,0.2,1.0,0.6,True,0.3022037446498871,0.2977962553501129,False,True,False,False,False
p03037,Description_Simple,1.0,0.9,0.95,True,0.2909785807132721,0.6590214192867279,False,True,False,False,False
p03041,Description_Fewshot,0.9,0.7,0.8,True,0.5914546251296997,0.20854537487030034,True,True,True,True,False
p03041,Description_Reason,1.0,0.3,0.65,True,0.5671001672744751,0.08289983272552492,True,True,True,True,False
p03041,Description_Simple,0.4,1.0,0.7,True,0.534012496471405,0.16598750352859493,True,True,True,True,False
p02959,Description_Fewshot,0.7,0.4,0.55,True,0.18634286522865295,0.3636571347713471,False,True,False,False,False
p02959,Description_Reason,0.1,1.0,0.55,True,0.24896588921546936,0.3010341107845307,False,True,False,False,False
p02959,Description_Simple,0.1,0.1,0.1,False,0.1798553466796875,0.0798553466796875,True,False,False,False,True
p03001,Description_Fewshot,0.0,0.1,0.05,False,0.3355903923511505,0.2855903923511505,True,False,False,False,True
p03001,Description_Reason,0.1,0.1,0.1,False,0.4683002531528473,0.3683002531528473,True,False,False,False,True
p03001,Description_Simple,0.1,0.0,0.05,False,0.48604053258895874,0.43604053258895875,True,False,False,False,True
p03285,Description_Fewshot,0.1,0.1,0.1,False,0.2873525023460388,0.1873525023460388,True,False,False,False,True
p03285,Description_Reason,0.0,0.1,0.05,False,0.2887769043445587,0.23877690434455873,True,False,False,False,True
p03285,Description_Simple,0.1,0.1,0.1,False,0.37349602580070496,0.273496025800705,True,False,False,False,True
p02946,Description_Fewshot,0.0,0.9,0.45,False,0.3466814458370209,0.10331855416297914,True,False,False,False,True
p02946,Description_Reason,0.4,0.4,0.4,False,0.20682141184806824,0.19317858815193178,True,False,False,False,True
p02946,Description_Simple,0.9,1.0,0.95,True,0.24541187286376953,0.7045881271362304,False,True,False,False,False
p02771,Description_Fewshot,0.9,0.0,0.45,False,0.5865914225578308,0.1365914225578308,False,False,True,False,False
p02771,Description_Reason,0.4,0.0,0.2,False,0.6343715786933899,0.4343715786933899,False,False,True,False,False
p02771,Description_Simple,0.0,0.0,0.0,False,0.6354584097862244,0.6354584097862244,False,False,True,False,False
p03434,Description_Fewshot,0.0,0.9,0.45,False,0.6089566946029663,0.1589566946029663,False,False,True,False,False
p03434,Description_Reason,1.0,0.4,0.7,True,0.5483577847480774,0.15164221525192256,True,True,True,True,False
p03434,Description_Simple,0.9,0.9,0.9,True,0.6201980113983154,0.2798019886016846,True,True,True,True,False
p03289,Description_Fewshot,0.7,0.9,0.8,True,0.5886669158935547,0.21133308410644536,True,True,True,True,False
p03289,Description_Reason,0.9,0.4,0.65,True,0.5210303068161011,0.12896969318389895,True,True,True,True,False
p03289,Description_Simple,0.7,0.7,0.7,True,0.6610545516014099,0.038945448398590043,True,True,True,True,False
p02415,Description_Fewshot,0.4,0.6,0.5,True,0.5632604956626892,0.06326049566268921,True,True,True,True,False
p02415,Description_Reason,1.0,1.0,1.0,True,0.6209833025932312,0.3790166974067688,True,True,True,True,False
p02415,Description_Simple,0.6,0.7,0.6499999999999999,True,0.5918295383453369,0.058170461654663,True,True,True,True,False
p02723,Description_Fewshot,1.0,0.7,0.85,True,0.2727472484111786,0.5772527515888214,False,True,False,False,False
p02723,Description_Reason,0.7,1.0,0.85,True,0.32962995767593384,0.5203700423240661,False,True,False,False,False
p02723,Description_Simple,1.0,1.0,1.0,True,0.41016554832458496,0.589834451675415,False,True,False,False,False
p02627,Description_Fewshot,0.4,1.0,0.7,True,0.7998334765434265,0.09983347654342656,True,True,True,True,False
p02627,Description_Reason,0.4,0.4,0.4,False,0.7876787781715393,0.3876787781715393,False,False,True,False,False
p02627,Description_Simple,1.0,1.0,1.0,True,0.8406630754470825,0.15933692455291748,True,True,True,True,False
p03470,Description_Fewshot,1.0,1.0,1.0,True,0.44094640016555786,0.5590535998344421,False,True,False,False,False
p03470,Description_Reason,1.0,0.4,0.7,True,0.43532371520996094,0.264676284790039,False,True,False,False,False
