Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00003,Description_Fewshot,0.7,0.1,0.39999999999999997,False,0.3473179340362549,0.052682065963745084,True,False,False,False,True
p00003,Description_Reason,0.4,1.0,0.7,True,0.29031264781951904,0.4096873521804809,False,True,False,False,False
p00003,Description_Simple,0.0,0.3,0.15,False,0.6847833395004272,0.5347833395004272,False,False,True,False,False
p02413,Description_Fewshot,0.0,0.1,0.05,False,0.6739534139633179,0.6239534139633178,False,False,True,False,False
p02413,Description_Reason,0.1,0.0,0.05,False,0.6673066020011902,0.6173066020011901,False,False,True,False,False
p02413,Description_Simple,1.0,0.1,0.55,True,0.6700903177261353,0.12009031772613521,True,True,True,True,False
p03720,Description_Fewshot,0.8,0.7,0.75,True,0.39540544152259827,0.35459455847740173,False,True,False,False,False
p03720,Description_Reason,0.1,0.7,0.39999999999999997,False,0.17111995816230774,0.22888004183769223,True,False,False,False,True
p03720,Description_Simple,0.0,0.0,0.0,False,0.12434423714876175,0.12434423714876175,True,False,False,False,True
p03043,Description_Fewshot,0.0,0.0,0.0,False,0.1544165313243866,0.1544165313243866,True,False,False,False,True
p03043,Description_Reason,0.0,0.0,0.0,False,0.17475880682468414,0.17475880682468414,True,False,False,False,True
p03043,Description_Simple,0.0,0.0,0.0,False,0.1830042600631714,0.1830042600631714,True,False,False,False,True
p02881,Description_Fewshot,0.0,0.0,0.0,False,0.35054898262023926,0.35054898262023926,True,False,False,False,True
p02881,Description_Reason,0.0,0.0,0.0,False,0.18179969489574432,0.18179969489574432,True,False,False,False,True
p02881,Description_Simple,0.0,0.0,0.0,False,0.30612778663635254,0.30612778663635254,True,False,False,False,True
p02731,Description_Fewshot,0.0,0.0,0.0,False,0.23650214076042175,0.23650214076042175,True,False,False,False,True
p02731,Description_Reason,0.0,0.0,0.0,False,0.2506585419178009,0.2506585419178009,True,False,False,False,True
p02731,Description_Simple,0.0,0.0,0.0,False,0.31787019968032837,0.31787019968032837,True,False,False,False,True
p03435,Description_Fewshot,0.0,0.0,0.0,False,0.4494914412498474,0.4494914412498474,True,False,False,False,True
p03435,Description_Reason,0.0,0.0,0.0,False,0.42953988909721375,0.42953988909721375,True,False,False,False,True
p03435,Description_Simple,0.0,0.0,0.0,False,0.4756946563720703,0.4756946563720703,True,False,False,False,True
p02718,Description_Fewshot,0.0,0.0,0.0,False,0.4174247980117798,0.4174247980117798,True,False,False,False,True
p02718,Description_Reason,0.0,0.0,0.0,False,0.5163683891296387,0.5163683891296387,False,False,True,False,False
p02718,Description_Simple,0.0,0.0,0.0,False,0.4001854658126831,0.4001854658126831,True,False,False,False,True
p03835,Description_Fewshot,0.0,0.0,0.0,False,0.4089460074901581,0.4089460074901581,True,False,False,False,True
p03835,Description_Reason,0.0,0.0,0.0,False,0.33477261662483215,0.33477261662483215,True,False,False,False,True
p03835,Description_Simple,0.3,0.1,0.2,False,0.3917686343193054,0.1917686343193054,True,False,False,False,True
p02983,Description_Fewshot,0.1,0.1,0.1,False,0.5435332655906677,0.44353326559066775,False,False,True,False,False
p02983,Description_Reason,0.1,0.3,0.2,False,0.46541130542755127,0.26541130542755126,True,False,False,False,True
p02983,Description_Simple,0.0,0.1,0.05,False,0.45396602153778076,0.4039660215377808,True,False,False,False,True
p02724,Description_Fewshot,0.0,0.1,0.05,False,0.2040330469608307,0.1540330469608307,True,False,False,False,True
p02724,Description_Reason,0.1,0.9,0.5,True,0.0314800851047039,0.4685199148952961,False,True,False,False,False
p02724,Description_Simple,0.0,0.1,0.05,False,0.30266639590263367,0.2526663959026337,True,False,False,False,True
p02258,Description_Fewshot,0.0,0.0,0.0,False,0.5488160252571106,0.5488160252571106,False,False,True,False,False
p02258,Description_Reason,0.0,0.0,0.0,False,0.5763522386550903,0.5763522386550903,False,False,True,False,False
p02258,Description_Simple,0.0,0.0,0.0,False,0.6231493949890137,0.6231493949890137,False,False,True,False,False
p04012,Description_Fewshot,0.1,0.0,0.05,False,0.5065760612487793,0.4565760612487793,False,False,True,False,False
p04012,Description_Reason,0.9,0.0,0.45,False,0.6069071292877197,0.15690712928771972,False,False,True,False,False
