Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5099104046821594,0.4900895953178406,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.4612974226474762,0.061297422647476174,True,False,False,False,True
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.4369640052318573,0.5630359947681427,False,True,False,False,False
mbpp_0031,Description_Simple,1.0,1.0,1.0,1.0,True,0.5935355424880981,0.40646445751190186,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6060779094696045,0.3939220905303955,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.5940273404121399,0.4059726595878601,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.5023736357688904,0.4976263642311096,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.4241061508655548,0.5758938491344452,False,True,False,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5755486488342285,0.4244513511657715,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6095626354217529,0.39043736457824707,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.4756314158439636,0.5243685841560364,False,True,False,False,False
mbpp_0004,Description_Simple,1.0,1.0,1.0,1.0,True,0.5913708209991455,0.4086291790008545,True,True,True,True,False
mbpp_0822,Description_Simple,0.2,0.2,0.2,0.2,False,0.5113572478294373,0.31135724782943724,False,False,True,False,False
mbpp_0496,Description_Simple,0.6,0.6,0.6,0.6,True,0.6279036998748779,0.027903699874877952,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7500031590461731,0.2499968409538269,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5702708959579468,0.4297291040420532,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.6448256373405457,0.35517436265945435,True,True,True,True,False
mbpp_0209,Description_Simple,1.0,1.0,1.0,1.0,True,0.40660715103149414,0.5933928489685059,False,True,False,False,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6647798418998718,0.3352201581001282,True,True,True,True,False
mbpp_0108,Description_Simple,0.2,0.2,0.2,0.2,False,0.4350321292877197,0.23503212928771972,True,False,False,False,True
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7388954162597656,0.2611045837402344,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6475440859794617,0.35245591402053833,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.5482310056686401,0.45176899433135986,True,True,True,True,False
mbpp_0776,Description_Simple,0.1,0.1,0.1,0.1,False,0.661155641078949,0.561155641078949,False,False,True,False,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5183079838752747,0.48169201612472534,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7388038039207458,0.26119619607925415,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6495071053504944,0.3504928946495056,True,True,True,True,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.5864088535308838,0.4135911464691162,True,True,True,True,False
mbpp_0834,Description_Simple,0.2,0.2,0.2,0.2,False,0.6688681840896606,0.46886818408966063,False,False,True,False,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.6492855548858643,0.24928555488586424,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.687887966632843,0.312112033367157,True,True,True,True,False
mbpp_0074,Description_Simple,0.3,0.3,0.3,0.3,False,0.46726709604263306,0.16726709604263307,True,False,False,False,True
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.6540235877037048,0.34597641229629517,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.5546913743019104,0.4453086256980896,True,True,True,True,False
mbpp_0306,Description_Simple,0.2,0.2,0.2,0.2,False,0.45238304138183594,0.2523830413818359,True,False,False,False,True
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7073416709899902,0.29265832901000977,True,True,True,True,False
mbpp_0926,Description_Simple,0.9,0.9,0.9,0.9,True,0.38726842403411865,0.5127315759658814,False,True,False,False,False
mbpp_0523,Description_Simple,0.8,0.8,0.8,0.8,True,0.2648361623287201,0.53516383767128,False,True,False,False,False
mbpp_0850,Description_Simple,0.4,0.4,0.4,0.4,False,0.5567469000816345,0.1567469000816345,False,False,True,False,False
mbpp_0811,Description_Simple,0.9,0.9,0.9,0.9,True,0.40246298909187317,0.49753701090812685,False,True,False,False,False
mbpp_0453,Description_Simple,0.7,0.7,0.7,0.7,True,0.6554863452911377,0.04451365470886226,True,True,True,True,False
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.6427729725837708,0.35722702741622925,True,True,True,True,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.617418110370636,0.382581889629364,True,True,True,True,False
mbpp_0247,Description_Simple,1.0,1.0,1.0,1.0,True,0.6335510015487671,0.3664489984512329,True,True,True,True,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.5467920899391174,0.1467920899391174,False,False,True,False,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.5984392762184143,0.4015607237815857,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.6001733541488647,0.09982664585113521,True,True,True,True,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.43863025307655334,0.5613697469234467,False,True,False,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.5883921384811401,0.41160786151885986,True,True,True,True,False
mbpp_0689,Description_Simple,1.0,1.0,1.0,1.0,True,0.6995841264724731,0.30041587352752686,True,True,True,True,False
mbpp_0107,Description_Simple,0.1,0.1,0.1,0.1,False,0.6361900568008423,0.5361900568008423,False,False,True,False,False
mbpp_0239,Description_Simple,0.4,0.4,0.4,0.4,False,0.36458489298820496,0.035415107011795066,True,False,False,False,True
mbpp_0826,Description_Simple,0.7,0.7,0.7,0.7,True,0.6277658939361572,0.07223410606384273,True,True,True,True,False
mbpp_0466,Description_Simple,1.0,1.0,1.0,1.0,True,0.6307538151741028,0.3692461848258972,True,True,True,True,False
mbpp_0121,Description_Simple,0.7,0.7,0.7,0.7,True,0.4238446056842804,0.27615539431571956,False,True,False,False,False
mbpp_0349,Description_Simple,0.9,0.9,0.9,0.9,True,0.6748266220092773,0.22517337799072268,True,True,True,True,False
mbpp_0597,Description_Simple,1.0,1.0,1.0,1.0,True,0.5934706926345825,0.4065293073654175,True,True,True,True,False
mbpp_0129,Description_Simple,0.1,0.1,0.1,0.1,False,0.5897290706634521,0.48972907066345217,False,False,True,False,False
mbpp_0628,Description_Simple,1.0,1.0,1.0,1.0,True,0.5448329448699951,0.4551670551300049,True,True,True,True,False
mbpp_0485,Description_Simple,1.0,1.0,1.0,1.0,True,0.658483624458313,0.341516375541687,True,True,True,True,False
mbpp_0397,Description_Simple,1.0,1.0,1.0,1.0,True,0.6100385785102844,0.3899614214897156,True,True,True,True,False
mbpp_0863,Description_Simple,1.0,1.0,1.0,1.0,True,0.6444230675697327,0.35557693243026733,True,True,True,True,False
mbpp_0054,Description_Simple,1.0,1.0,1.0,1.0,True,0.6126987338066101,0.3873012661933899,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.5605973601341248,0.43940263986587524,True,True,True,True,False
mbpp_0685,Description_Simple,1.0,1.0,1.0,1.0,True,0.5079528093338013,0.49204719066619873,True,True,True,True,False
mbpp_0971,Description_Simple,1.0,1.0,1.0,1.0,True,0.4297711253166199,0.5702288746833801,False,True,False,False,False
mbpp_0648,Description_Simple,0.0,0.0,0.0,0.0,False,0.2995697855949402,0.2995697855949402,True,False,False,False,True
mbpp_0885,Description_Simple,1.0,1.0,1.0,1.0,True,0.6973603963851929,0.30263960361480713,True,True,True,True,False
mbpp_0918,Description_Simple,1.0,1.0,1.0,1.0,True,0.5664105415344238,0.43358945846557617,True,True,True,True,False
mbpp_0256,Description_Simple,1.0,1.0,1.0,1.0,True,0.6784487366676331,0.32155126333236694,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.646928608417511,0.353071391582489,True,True,True,True,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.6257340908050537,0.3742659091949463,True,True,True,True,False
mbpp_0702,Description_Simple,1.0,1.0,1.0,1.0,True,0.46318182349205017,0.5368181765079498,False,True,False,False,False
mbpp_0531,Description_Simple,1.0,1.0,1.0,1.0,True,0.6115731000900269,0.38842689990997314,True,True,True,True,False
mbpp_0751,Description_Simple,1.0,1.0,1.0,1.0,True,0.7045561075210571,0.29544389247894287,True,True,True,True,False
mbpp_0622,Description_Simple,0.9,0.9,0.9,0.9,True,0.7337220907211304,0.16627790927886965,True,True,True,True,False
mbpp_0181,Description_Simple,1.0,1.0,1.0,1.0,True,0.6771641969680786,0.3228358030319214,True,True,True,True,False
mbpp_0448,Description_Simple,0.2,0.2,0.2,0.2,False,0.3272734582424164,0.12727345824241637,True,False,False,False,True
mbpp_0717,Description_Simple,0.9,0.9,0.9,0.9,True,0.48368534445762634,0.4163146555423737,False,True,False,False,False
mbpp_0714,Description_Simple,0.0,0.0,0.0,0.0,False,0.5006237030029297,0.5006237030029297,False,False,True,False,False
mbpp_0386,Description_Simple,1.0,1.0,1.0,1.0,True,0.659316897392273,0.34068310260772705,True,True,True,True,False
mbpp_0846,Description_Simple,1.0,1.0,1.0,1.0,True,0.3783571422100067,0.6216428577899933,False,True,False,False,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6062501072883606,0.3937498927116394,True,True,True,True,False
mbpp_0853,Description_Simple,1.0,1.0,1.0,1.0,True,0.6649178266525269,0.33508217334747314,True,True,True,True,False
mbpp_0122,Description_Simple,0.0,0.0,0.0,0.0,False,0.4884920120239258,0.4884920120239258,True,False,False,False,True
mbpp_0020,Description_Simple,0.0,0.0,0.0,0.0,False,0.6433323621749878,0.6433323621749878,False,False,True,False,False
mbpp_0032,Description_Simple,1.0,1.0,1.0,1.0,True,0.667822003364563,0.332177996635437,True,True,True,True,False
mbpp_0395,Description_Simple,1.0,1.0,1.0,1.0,True,0.6510610580444336,0.3489389419555664,True,True,True,True,False
mbpp_0856,Description_Simple,1.0,1.0,1.0,1.0,True,0.6512451767921448,0.3487548232078552,True,True,True,True,False
mbpp_0684,Description_Simple,0.2,0.2,0.2,0.2,False,0.5424565076828003,0.3424565076828003,False,False,True,False,False
mbpp_0492,Description_Simple,1.0,1.0,1.0,1.0,True,0.47775939106941223,0.5222406089305878,False,True,False,False,False
mbpp_0001,Description_Simple,1.0,1.0,1.0,1.0,True,0.518974781036377,0.48102521896362305,True,True,True,True,False
mbpp_0231,Description_Simple,1.0,1.0,1.0,1.0,True,0.6025301814079285,0.39746981859207153,True,True,True,True,False
mbpp_0283,Description_Simple,1.0,1.0,1.0,1.0,True,0.3553928732872009,0.6446071267127991,False,True,False,False,False
mbpp_0351,Description_Simple,1.0,1.0,1.0,1.0,True,0.5092946887016296,0.49070531129837036,True,True,True,True,False
mbpp_0071,Description_Simple,1.0,1.0,1.0,1.0,True,0.5838066339492798,0.4161933660507202,True,True,True,True,False
mbpp_0374,Description_Simple,0.4,0.4,0.4,0.4,False,0.5752446055412292,0.17524460554122923,False,False,True,False,False
mbpp_0506,Description_Simple,1.0,1.0,1.0,1.0,True,0.5682765245437622,0.4317234754562378,True,True,True,True,False
mbpp_0428,Description_Simple,1.0,1.0,1.0,1.0,True,0.5869566202163696,0.41304337978363037,True,True,True,True,False
mbpp_0415,Description_Simple,1.0,1.0,1.0,1.0,True,0.6218611001968384,0.3781388998031616,True,True,True,True,False
mbpp_0576,Description_Simple,1.0,1.0,1.0,1.0,True,0.581790030002594,0.418209969997406,True,True,True,True,False
mbpp_0721,Description_Simple,0.0,0.0,0.0,0.0,False,0.6332963109016418,0.6332963109016418,False,False,True,False,False
mbpp_0922,Description_Simple,1.0,1.0,1.0,1.0,True,0.6560180187225342,0.3439819812774658,True,True,True,True,False
mbpp_0769,Description_Simple,0.7,0.7,0.7,0.7,True,0.5343535542488098,0.16564644575119014,True,True,True,True,False
mbpp_0377,Description_Simple,1.0,1.0,1.0,1.0,True,0.6692795753479004,0.3307204246520996,True,True,True,True,False
mbpp_0898,Description_Simple,0.1,0.1,0.1,0.1,False,0.28946593403816223,0.18946593403816223,True,False,False,False,True
mbpp_0130,Description_Simple,1.0,1.0,1.0,1.0,True,0.6303676962852478,0.3696323037147522,True,True,True,True,False
mbpp_0034,Description_Simple,1.0,1.0,1.0,1.0,True,0.5934112668037415,0.40658873319625854,True,True,True,True,False
mbpp_0029,Description_Simple,1.0,1.0,1.0,1.0,True,0.6891348361968994,0.3108651638031006,True,True,True,True,False
mbpp_0207,Description_Simple,1.0,1.0,1.0,1.0,True,0.5106239318847656,0.4893760681152344,True,True,True,True,False
mbpp_0937,Description_Simple,1.0,1.0,1.0,1.0,True,0.4529847502708435,0.5470152497291565,False,True,False,False,False
mbpp_0304,Description_Simple,0.0,0.0,0.0,0.0,False,0.3498081564903259,0.3498081564903259,True,False,False,False,True
mbpp_0661,Description_Simple,1.0,1.0,1.0,1.0,True,0.5093572735786438,0.4906427264213562,True,True,True,True,False
mbpp_0620,Description_Simple,1.0,1.0,1.0,1.0,True,0.38732922077178955,0.6126707792282104,False,True,False,False,False
mbpp_0438,Description_Simple,1.0,1.0,1.0,1.0,True,0.525463879108429,0.47453612089157104,True,True,True,True,False
mbpp_0781,Description_Simple,1.0,1.0,1.0,1.0,True,0.7813899517059326,0.21861004829406738,True,True,True,True,False
mbpp_0131,Description_Simple,1.0,1.0,1.0,1.0,True,0.8060709238052368,0.19392907619476318,True,True,True,True,False
mbpp_0842,Description_Simple,1.0,1.0,1.0,1.0,True,0.6588900089263916,0.3411099910736084,True,True,True,True,False
mbpp_0498,Description_Simple,1.0,1.0,1.0,1.0,True,0.5878738164901733,0.41212618350982666,True,True,True,True,False
mbpp_0510,Description_Simple,0.0,0.0,0.0,0.0,False,0.44925791025161743,0.44925791025161743,True,False,False,False,True
mbpp_0188,Description_Simple,1.0,1.0,1.0,1.0,True,0.6876708269119263,0.31232917308807373,True,True,True,True,False
mbpp_0659,Description_Simple,1.0,1.0,1.0,1.0,True,0.5244240760803223,0.47557592391967773,True,True,True,True,False
mbpp_0481,Description_Simple,1.0,1.0,1.0,1.0,True,0.5959161520004272,0.40408384799957275,True,True,True,True,False
