Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02753,Description_Simple,1.0,0.9,0.95,True,0.3351932466030121,0.6148067533969879,False,True,False,False,False
p03292,Description_Simple,0.7,0.1,0.39999999999999997,False,0.510107159614563,0.11010715961456302,False,False,True,False,False
p02641,Description_Simple,1.0,0.2,0.6,True,0.5183174014091492,0.08168259859085081,True,True,True,True,False
p02677,Description_Simple,0.4,0.6,0.5,True,0.6212460994720459,0.1212460994720459,True,True,True,True,False
p02621,Description_Simple,0.0,0.0,0.0,False,0.25259119272232056,0.25259119272232056,True,False,False,False,True
p03416,Description_Simple,0.0,0.9,0.45,False,0.23834693431854248,0.21165306568145753,True,False,False,False,True
p02628,Description_Simple,0.0,0.9,0.45,False,0.6388581395149231,0.18885813951492308,False,False,True,False,False
p03011,Description_Simple,0.4,0.9,0.65,True,0.15583881735801697,0.49416118264198305,False,True,False,False,False
p02953,Description_Simple,0.0,0.0,0.0,False,0.4227110743522644,0.4227110743522644,True,False,False,False,True
p03285,Description_Simple,0.6,0.9,0.75,True,0.3307170271873474,0.4192829728126526,False,True,False,False,False
p02791,Description_Simple,0.0,0.1,0.05,False,0.6624096035957336,0.6124096035957336,False,False,True,False,False
p02258,Description_Simple,1.0,0.0,0.5,True,0.5786852240562439,0.0786852240562439,True,True,True,True,False
p02801,Description_Simple,1.0,0.6,0.8,True,0.19973251223564148,0.6002674877643586,False,True,False,False,False
p03325,Description_Simple,0.4,0.9,0.65,True,0.3298022747039795,0.32019772529602053,False,True,False,False,False
p02705,Description_Simple,0.0,0.9,0.45,False,0.7290861010551453,0.27908610105514525,False,False,True,False,False
p00005,Description_Simple,0.9,0.6,0.75,True,0.8921535015106201,0.14215350151062012,True,True,True,True,False
p03109,Description_Simple,0.9,0.3,0.6,True,0.25686439871788025,0.34313560128211973,False,True,False,False,False
p03371,Description_Simple,0.6,0.9,0.75,True,0.519794225692749,0.23020577430725098,True,True,True,True,False
p03456,Description_Simple,0.7,0.1,0.39999999999999997,False,0.5461291074752808,0.1461291074752808,False,False,True,False,False
p03239,Description_Simple,0.9,0.8,0.8500000000000001,True,0.2600189447402954,0.5899810552597047,False,True,False,False,False
p02263,Description_Simple,0.0,0.9,0.45,False,0.747290849685669,0.29729084968566893,False,False,True,False,False
p03998,Description_Simple,0.7,0.9,0.8,True,0.37710750102996826,0.4228924989700318,False,True,False,False,False
p02947,Description_Simple,0.0,0.0,0.0,False,0.7556341290473938,0.7556341290473938,False,False,True,False,False
p02420,Description_Simple,0.0,0.1,0.05,False,0.2703700065612793,0.2203700065612793,True,False,False,False,True
p02571,Description_Simple,0.9,0.8,0.8500000000000001,True,0.49852627515792847,0.3514737248420716,False,True,False,False,False
p02767,Description_Simple,0.7,0.9,0.8,True,0.30740898847579956,0.4925910115242005,False,True,False,False,False
p03243,Description_Simple,0.0,0.1,0.05,False,0.24424147605895996,0.19424147605895997,True,False,False,False,True
p02729,Description_Simple,1.0,0.9,0.95,True,0.5272412300109863,0.4227587699890136,True,True,True,True,False
p02577,Description_Simple,0.0,0.4,0.2,False,0.7666563391685486,0.5666563391685486,False,False,True,False,False
p02723,Description_Simple,1.0,0.6,0.8,True,0.2703583240509033,0.5296416759490967,False,True,False,False,False
p03695,Description_Simple,0.9,0.9,0.9,True,0.40083423256874084,0.4991657674312592,False,True,False,False,False
p02397,Description_Simple,0.4,0.0,0.2,False,0.6288282871246338,0.4288282871246338,False,False,True,False,False
p02995,Description_Simple,1.0,0.9,0.95,True,0.5951858758926392,0.3548141241073608,True,True,True,True,False
p02946,Description_Simple,0.4,0.4,0.4,False,0.4077528715133667,0.007752871513366677,True,False,False,False,True
p02917,Description_Simple,0.0,0.9,0.45,False,0.5372559428215027,0.08725594282150267,False,False,True,False,False
p03545,Description_Simple,0.4,0.5,0.45,False,0.5494547486305237,0.09945474863052367,False,False,True,False,False
p02405,Description_Simple,0.4,0.9,0.65,True,0.4578646123409271,0.1921353876590729,False,True,False,False,False
p02802,Description_Simple,0.0,0.9,0.45,False,0.031557437032461166,0.41844256296753884,True,False,False,False,True
p00011,Description_Simple,0.3,0.9,0.6,True,0.6475980281829834,0.04759802818298342,True,True,True,True,False
p03720,Description_Simple,1.0,0.6,0.8,True,0.40345919132232666,0.3965408086776734,False,True,False,False,False
p03281,Description_Simple,1.0,0.2,0.6,True,0.619811475276947,0.019811475276947044,True,True,True,True,False
p02259,Description_Simple,0.6,0.2,0.4,False,0.5599569082260132,0.15995690822601316,False,False,True,False,False
p02713,Description_Simple,0.0,0.1,0.05,False,0.741484522819519,0.691484522819519,False,False,True,False,False
p02257,Description_Simple,0.7,0.0,0.35,False,0.5171715021133423,0.1671715021133423,False,False,True,False,False
p02706,Description_Simple,1.0,0.9,0.95,True,0.3069028854370117,0.6430971145629882,False,True,False,False,False
p02393,Description_Simple,1.0,0.9,0.95,True,0.7445312738418579,0.20546872615814205,True,True,True,True,False
p02578,Description_Simple,0.4,0.1,0.25,False,0.7210484147071838,0.47104841470718384,False,False,True,False,False
p02759,Description_Simple,0.7,0.9,0.8,True,0.24718037247657776,0.5528196275234223,False,True,False,False,False
p02755,Description_Simple,0.0,0.9,0.45,False,0.3874746561050415,0.06252534389495851,True,False,False,False,True
p02552,Description_Simple,1.0,0.9,0.95,True,0.462058424949646,0.48794157505035396,False,True,False,False,False
p03013,Description_Simple,1.0,0.9,0.95,True,0.4766422212123871,0.47335777878761287,False,True,False,False,False
p03160,Description_Simple,0.0,0.9,0.45,False,0.5536971092224121,0.1036971092224121,False,False,True,False,False
p03644,Description_Simple,0.4,0.6,0.5,True,0.5397979021072388,0.03979790210723877,True,True,True,True,False
p02831,Description_Simple,0.9,0.6,0.75,True,0.4165910482406616,0.3334089517593384,False,True,False,False,False
p03471,Description_Simple,0.4,0.1,0.25,False,0.40424644947052,0.15424644947052002,True,False,False,False,True
p02790,Description_Simple,1.0,0.6,0.8,True,0.6389160752296448,0.16108392477035527,True,True,True,True,False
p02707,Description_Simple,0.0,0.6,0.3,False,0.19048774242401123,0.10951225757598876,True,False,False,False,True
p03289,Description_Simple,0.0,0.1,0.05,False,0.2768816351890564,0.2268816351890564,True,False,False,False,True
p03071,Description_Simple,0.4,0.0,0.2,False,0.4231952130794525,0.2231952130794525,True,False,False,False,True
p02724,Description_Simple,0.0,0.1,0.05,False,0.3844750225543976,0.3344750225543976,True,False,False,False,True
p03102,Description_Simple,1.0,0.9,0.95,True,0.6158738136291504,0.33412618637084956,True,True,True,True,False
p03324,Description_Simple,0.0,0.7,0.35,False,0.4136309027671814,0.06363090276718142,True,False,False,False,True
p03076,Description_Simple,0.0,0.9,0.45,False,0.4029386043548584,0.04706139564514161,True,False,False,False,True
p02909,Description_Simple,0.0,0.0,0.0,False,0.24748188257217407,0.24748188257217407,True,False,False,False,True
p02627,Description_Simple,0.4,0.0,0.2,False,0.6926459074020386,0.49264590740203856,False,False,True,False,False
p02945,Description_Simple,1.0,0.6,0.8,True,0.5496527552604675,0.2503472447395325,True,True,True,True,False
p02390,Description_Simple,0.4,0.9,0.65,True,0.25682851672172546,0.39317148327827456,False,True,False,False,False
p02419,Description_Simple,0.0,0.0,0.0,False,0.6565974950790405,0.6565974950790405,False,False,True,False,False
p03220,Description_Simple,0.0,0.2,0.1,False,0.5103498697280884,0.4103498697280884,False,False,True,False,False
p03316,Description_Simple,0.9,0.9,0.9,True,0.5635311603546143,0.33646883964538576,True,True,True,True,False
p02772,Description_Simple,0.0,0.1,0.05,False,0.47019267082214355,0.42019267082214357,True,False,False,False,True
p02401,Description_Simple,0.0,0.6,0.3,False,0.6844733357429504,0.38447333574295045,False,False,True,False,False
p02959,Description_Simple,0.0,0.6,0.3,False,0.21427583694458008,0.08572416305541991,True,False,False,False,True
p02812,Description_Simple,1.0,0.0,0.5,True,0.2196630835533142,0.2803369164466858,False,True,False,False,False
p02399,Description_Simple,0.4,0.3,0.35,False,0.6522524356842041,0.3022524356842041,False,False,True,False,False
p02639,Description_Simple,0.9,0.2,0.55,True,0.3532268702983856,0.19677312970161442,False,True,False,False,False
p02415,Description_Simple,0.0,0.6,0.3,False,0.31231042742729187,0.012310427427291881,True,False,False,False,True
p02629,Description_Simple,0.0,0.1,0.05,False,0.5810068845748901,0.5310068845748901,False,False,True,False,False
p02836,Description_Simple,0.0,0.6,0.3,False,0.38787686824798584,0.08787686824798585,True,False,False,False,True
p02421,Description_Simple,0.4,0.4,0.4,False,0.4347772002220154,0.03477720022201536,True,False,False,False,True
p04043,Description_Simple,0.9,0.9,0.9,True,0.3978022336959839,0.5021977663040161,False,True,False,False,False
p02553,Description_Simple,0.4,0.0,0.2,False,0.5463158488273621,0.34631584882736205,False,False,True,False,False
p02659,Description_Simple,0.0,0.0,0.0,False,0.4175988435745239,0.4175988435745239,True,False,False,False,True
