Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03494,Description_Simple,0.0,0.0,0.0,0.0,False,0.5815427303314209,0.5815427303314209,False,False,True,False,False
p02921,Description_Simple,0.2,0.2,0.2,0.2,False,0.5727996826171875,0.3727996826171875,False,False,True,False,False
p02773,Description_Simple,0.9,0.9,0.9,0.9,True,0.6757411956787109,0.22425880432128908,True,True,True,True,False
p03493,Description_Simple,0.6,0.6,0.6,0.6,True,0.6052972078323364,0.005297207832336448,True,True,True,True,False
p02910,Description_Simple,0.1,0.1,0.1,0.1,False,0.5668995380401611,0.46689953804016116,False,False,True,False,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.4113435447216034,0.5886564552783966,False,True,False,False,False
p03035,Description_Simple,0.4,0.4,0.4,0.4,False,0.24342012405395508,0.15657987594604494,True,False,False,False,True
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.6423847675323486,0.35761523246765137,True,True,True,True,False
p02917,Description_Simple,1.0,1.0,1.0,1.0,True,0.5213412642478943,0.4786587357521057,True,True,True,True,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.41015347838401794,0.41015347838401794,True,False,False,False,True
p03456,Description_Simple,0.9,0.9,0.9,0.9,True,0.6553493738174438,0.24465062618255617,True,True,True,True,False
p03469,Description_Simple,0.3,0.3,0.3,0.3,False,0.5607327222824097,0.2607327222824097,False,False,True,False,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.51459139585495,0.48540860414505005,True,True,True,True,False
p02381,Description_Simple,0.6,0.6,0.6,0.6,True,0.5306624174118042,0.06933758258819578,True,True,True,True,False
p02711,Description_Simple,0.1,0.1,0.1,0.1,False,0.4474714994430542,0.3474714994430542,True,False,False,False,True
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.23135516047477722,0.7686448395252228,False,True,False,False,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.25933945178985596,0.740660548210144,False,True,False,False,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.420354425907135,0.220354425907135,True,False,False,False,True
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.7705104947090149,0.029489505290985152,True,True,True,True,False
p02718,Description_Simple,0.6,0.6,0.6,0.6,True,0.5062705874443054,0.09372941255569456,True,True,True,True,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.6112975478172302,0.3887024521827698,True,True,True,True,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.6481776237487793,0.3518223762512207,True,True,True,True,False
p02916,Description_Simple,0.2,0.2,0.2,0.2,False,0.5132943391799927,0.31329433917999266,False,False,True,False,False
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.7774919271469116,0.22250807285308838,True,True,True,True,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.5725499987602234,0.4274500012397766,True,True,True,True,False
p02911,Description_Simple,1.0,1.0,1.0,1.0,True,0.34252819418907166,0.6574718058109283,False,True,False,False,False
p02582,Description_Simple,0.6,0.6,0.6,0.6,True,0.39683347940444946,0.20316652059555051,False,True,False,False,False
p03239,Description_Simple,0.4,0.4,0.4,0.4,False,0.36532294750213623,0.03467705249786379,True,False,False,False,True
p04012,Description_Simple,0.9,0.9,0.9,0.9,True,0.5866551399230957,0.3133448600769043,True,True,True,True,False
p02547,Description_Simple,1.0,1.0,1.0,1.0,True,0.5832995772361755,0.41670042276382446,True,True,True,True,False
p02772,Description_Simple,0.8,0.8,0.8,0.8,True,0.5841808319091797,0.21581916809082036,True,True,True,True,False
p02786,Description_Simple,1.0,1.0,1.0,1.0,True,0.3404478430747986,0.6595521569252014,False,True,False,False,False
p03435,Description_Simple,0.0,0.0,0.0,0.0,False,0.5473896861076355,0.5473896861076355,False,False,True,False,False
p02578,Description_Simple,0.0,0.0,0.0,0.0,False,0.5481184720993042,0.5481184720993042,False,False,True,False,False
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.6848317980766296,0.31516820192337036,True,True,True,True,False
p02719,Description_Simple,1.0,1.0,1.0,1.0,True,0.5048045516014099,0.4951954483985901,True,True,True,True,False
p02945,Description_Simple,1.0,1.0,1.0,1.0,True,0.7069336175918579,0.2930663824081421,True,True,True,True,False
