dataset,model_key,model,variant,n_items,llm_mean,llm_median,llm_consensus_rate,st_mean,st_median,st_success_rate,agreement_rate,both_success_rate,neither_success_rate,eval_file,source,is_completed,import_method
java250,gpt4o,GPT-4o,with_comments,250,0.5831000000000001,0.6,0.712,0.49353129184246064,0.499905526638031,0.496,0.696,0.452,0.244,evaluation/java250/GPT4o_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,gpt4o,GPT-4o,without_comments,250,0.5844,0.6,0.68,0.49217226332426073,0.492359921336174,0.492,0.636,0.404,0.232,evaluation/java250/GPT4o_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,gpt4o,GPT-4o,renaming,250,0.5142,0.6,0.6,0.4645786217749119,0.4733419120311737,0.416,0.696,0.356,0.34,evaluation/java250/GPT4o_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,gpt4o,GPT-4o,dead_code,250,0.4995,0.6,0.584,0.4614554275237024,0.46704187989234924,0.42,0.692,0.348,0.344,evaluation/java250/GPT4o_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,gpt4o,GPT-4o,encryption,250,0.26180000000000003,0.2,0.224,0.38592091734707357,0.37458983063697815,0.216,0.792,0.116,0.676,evaluation/java250/GPT4o_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,gpt35,GPT-3.5-turbo,with_comments,250,0.5306000000000001,0.6,0.644,0.49477059197425843,0.49450328946113586,0.492,0.704,0.42,0.284,evaluation/java250/GPT3.5_Results/combined_results_Data_With_Comments_Description.json,direct,false,
java250,gpt35,GPT-3.5-turbo,without_comments,250,0.53,0.6,0.632,0.4921627390384674,0.49465523660182953,0.488,0.72,0.42,0.3,evaluation/java250/GPT3.5_Results/combined_results_Data_Without_Comments_Description.json,direct,false,
java250,gpt35,GPT-3.5-turbo,renaming,250,0.44260000000000005,0.4375,0.496,0.4047102746218443,0.3955606520175934,0.3,0.716,0.256,0.46,evaluation/java250/GPT3.5_Results/combined_results_Variable_Renaming_Description.json,direct,false,
java250,gpt35,GPT-3.5-turbo,dead_code,250,0.4669,0.5874999999999999,0.528,0.421934793561697,0.4091363698244095,0.34,0.684,0.276,0.408,evaluation/java250/GPT3.5_Results/combined_results_Dataset_DeadCode_Description.json,direct,false,
java250,gpt35,GPT-3.5-turbo,encryption,250,0.2323,0.1,0.216,0.32335155677422883,0.2982330769300461,0.156,0.804,0.088,0.716,evaluation/java250/GPT3.5_Results/combined_results_Dataset_Encryption_Description.json,direct,false,
java250,o4mini,O4-mini,with_comments,250,0.6732,0.7,0.824,0.5435313432812691,0.5455604791641235,0.616,0.688,0.564,0.124,evaluation/java250/O4-mini_Results/combined_results_Data_With_Comments_Description.json,direct,false,
