Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.816268265247345,0.18373173475265503,True,True,True,True,False
p00002,Description_Simple,0.9,0.9,0.9,0.9,True,0.6293950080871582,0.2706049919128418,True,True,True,True,False
p02259,Description_Simple,0.9,0.9,0.9,0.9,True,0.8267863392829895,0.07321366071701052,True,True,True,True,False
p00005,Description_Simple,0.9,0.9,0.9,0.9,True,0.8278533220291138,0.07214667797088625,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.632178008556366,0.36782199144363403,True,True,True,True,False
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.6805566549301147,0.31944334506988525,True,True,True,True,False
p00006,Description_Simple,0.4,0.4,0.4,0.4,False,0.5988552570343018,0.19885525703430174,False,False,True,False,False
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.5626373887062073,0.4373626112937927,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7650856971740723,0.23491430282592773,True,True,True,True,False
p02268,Description_Simple,0.9,0.9,0.9,0.9,True,0.44998544454574585,0.4500145554542542,False,True,False,False,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7942993640899658,0.20570063591003418,True,True,True,True,False
p02256,Description_Simple,0.2,0.2,0.2,0.2,False,0.5650962591171265,0.36509625911712645,False,False,True,False,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.4822947382926941,0.5177052617073059,False,True,False,False,False
p02257,Description_Simple,0.9,0.9,0.9,0.9,True,0.626716136932373,0.273283863067627,True,True,True,True,False
p02258,Description_Simple,0.7,0.7,0.7,0.7,True,0.5733851194381714,0.12661488056182857,True,True,True,True,False
p00011,Description_Simple,0.4,0.4,0.4,0.4,False,0.38091397285461426,0.019086027145385764,True,False,False,False,True
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.46347784996032715,0.5365221500396729,False,True,False,False,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.6733841300010681,0.3266158699989319,True,True,True,True,False
p02394,Description_Simple,0.9,0.9,0.9,0.9,True,0.7946504950523376,0.10534950494766238,True,True,True,True,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.5134800672531128,0.4865199327468872,True,True,True,True,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.547062337398529,0.45293766260147095,True,True,True,True,False
p02389,Description_Simple,0.0,0.0,0.0,0.0,False,0.23403456807136536,0.23403456807136536,True,False,False,False,True
p02390,Description_Simple,0.9,0.9,0.9,0.9,True,0.5766581892967224,0.3233418107032776,True,True,True,True,False
p02392,Description_Simple,1.0,1.0,1.0,1.0,True,0.45839810371398926,0.5416018962860107,False,True,False,False,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.481257826089859,0.418742173910141,False,True,False,False,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.490983784198761,0.509016215801239,False,True,False,False,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.4141058921813965,0.5858941078186035,False,True,False,False,False
p02398,Description_Simple,0.7,0.7,0.7,0.7,True,0.6594620943069458,0.040537905693054155,True,True,True,True,False
p02396,Description_Simple,0.2,0.2,0.2,0.2,False,0.2873538136482239,0.08735381364822387,True,False,False,False,True
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.5893528461456299,0.4106471538543701,True,True,True,True,False
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.36331573128700256,0.5366842687129975,False,True,False,False,False
p02400,Description_Simple,0.9,0.9,0.9,0.9,True,0.7589724659919739,0.14102753400802615,True,True,True,True,False
p02414,Description_Simple,0.0,0.0,0.0,0.0,False,0.7023137807846069,0.7023137807846069,False,False,True,False,False
p02407,Description_Simple,0.9,0.9,0.9,0.9,True,0.6800147891044617,0.21998521089553835,True,True,True,True,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.36775216460227966,0.6322478353977203,False,True,False,False,False
