Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.5650272369384766,0.33497276306152346,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5449671149253845,0.4550328850746155,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.33062151074409485,0.06937848925590517,True,False,False,False,True
mbpp_0635,Description_Simple,0.8,0.8,0.8,0.8,True,0.6315059065818787,0.16849409341812138,True,True,True,True,False
mbpp_0159,Description_Simple,0.8,0.8,0.8,0.8,True,0.6763408780097961,0.1236591219902039,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.6594212055206299,0.3405787944793701,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.5239308476448059,0.4760691523551941,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.7024018168449402,0.2975981831550598,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6118927001953125,0.3881072998046875,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6314482688903809,0.36855173110961914,True,True,True,True,False
mbpp_0004,Description_Simple,0.9,0.9,0.9,0.9,True,0.6020500063896179,0.2979499936103821,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6506798267364502,0.3493201732635498,True,True,True,True,False
mbpp_0496,Description_Simple,0.8,0.8,0.8,0.8,True,0.7310930490493774,0.0689069509506226,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8322587013244629,0.1677412986755371,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5783090591430664,0.4216909408569336,True,True,True,True,False
mbpp_0822,Description_Simple,0.2,0.2,0.2,0.2,False,0.6640042662620544,0.46400426626205443,False,False,True,False,False
mbpp_0108,Description_Simple,0.5,0.5,0.5,0.5,True,0.5267207026481628,0.026720702648162842,True,True,True,True,False
mbpp_0209,Description_Simple,1.0,1.0,1.0,1.0,True,0.6686638593673706,0.3313361406326294,True,True,True,True,False
