Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.7687925696372986,0.23120743036270142,True,True,True,True,False
p00002,Description_Simple,0.6,0.6,0.6,0.6,True,0.737716555595398,0.13771655559539797,True,True,True,True,False
p00001,Description_Simple,0.8,0.8,0.8,0.8,True,0.7462935447692871,0.053706455230712935,True,True,True,True,False
p00005,Description_Simple,0.8,0.8,0.8,0.8,True,0.8321713805198669,0.0321713805198669,True,True,True,True,False
p00011,Description_Simple,0.2,0.2,0.2,0.2,False,0.6598567366600037,0.45985673666000365,False,False,True,False,False
p00006,Description_Simple,0.6,0.6,0.6,0.6,True,0.6644924879074097,0.06449248790740969,True,True,True,True,False
p00007,Description_Simple,0.0,0.0,0.0,0.0,False,0.5232585668563843,0.5232585668563843,False,False,True,False,False
p02255,Description_Simple,0.8,0.8,0.8,0.8,True,0.7363870739936829,0.06361292600631718,True,True,True,True,False
p02257,Description_Simple,0.4,0.4,0.4,0.4,False,0.7567064166069031,0.35670641660690305,False,False,True,False,False
p02258,Description_Simple,0.9,0.9,0.9,0.9,True,0.6987061500549316,0.20129384994506838,True,True,True,True,False
p02256,Description_Simple,0.4,0.4,0.4,0.4,False,0.793471097946167,0.39347109794616697,False,False,True,False,False
p02259,Description_Simple,0.9,0.9,0.9,0.9,True,0.6147047281265259,0.28529527187347414,True,True,True,True,False
p02263,Description_Simple,0.8,0.8,0.8,0.8,True,0.8572239279747009,0.05722392797470088,True,True,True,True,False
p02268,Description_Simple,0.2,0.2,0.2,0.2,False,0.4778119623661041,0.2778119623661041,True,False,False,False,True
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.5538638830184937,0.44613611698150635,True,True,True,True,False
p02260,Description_Simple,0.9,0.9,0.9,0.9,True,0.7551242113113403,0.1448757886886597,True,True,True,True,False
p02390,Description_Simple,0.0,0.0,0.0,0.0,False,0.3512727916240692,0.3512727916240692,True,False,False,False,True
p02381,Description_Simple,0.6,0.6,0.6,0.6,True,0.6953350305557251,0.09533503055572512,True,True,True,True,False
p02389,Description_Simple,0.8,0.8,0.8,0.8,True,0.5096331238746643,0.29036687612533574,True,True,True,True,False
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.7567516565322876,0.04324834346771245,True,True,True,True,False
p02394,Description_Simple,0.4,0.4,0.4,0.4,False,0.7116578221321106,0.3116578221321106,False,False,True,False,False
p02391,Description_Simple,0.4,0.4,0.4,0.4,False,0.7721511721611023,0.3721511721611023,False,False,True,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.7721301913261414,0.22786980867385864,True,True,True,True,False
p02392,Description_Simple,1.0,1.0,1.0,1.0,True,0.8464893698692322,0.15351063013076782,True,True,True,True,False
p02397,Description_Simple,0.1,0.1,0.1,0.1,False,0.7193517088890076,0.6193517088890076,False,False,True,False,False
p02396,Description_Simple,0.7,0.7,0.7,0.7,True,0.558628499507904,0.1413715004920959,True,True,True,True,False
p02399,Description_Simple,0.8,0.8,0.8,0.8,True,0.6750736236572266,0.12492637634277348,True,True,True,True,False
p02398,Description_Simple,0.0,0.0,0.0,0.0,False,0.6062488555908203,0.6062488555908203,False,False,True,False,False
p02401,Description_Simple,0.7,0.7,0.7,0.7,True,0.700365424156189,0.00036542415618900925,True,True,True,True,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.6234939694404602,0.3765060305595398,True,True,True,True,False
p02400,Description_Simple,0.8,0.8,0.8,0.8,True,0.8160883188247681,0.016088318824768022,True,True,True,True,False
p02403,Description_Simple,0.6,0.6,0.6,0.6,True,0.3554765582084656,0.2445234417915344,False,True,False,False,False
p02407,Description_Simple,0.4,0.4,0.4,0.4,False,0.4479121267795563,0.04791212677955625,True,False,False,False,True
p02404,Description_Simple,0.4,0.4,0.4,0.4,False,0.41594377160072327,0.015943771600723244,True,False,False,False,True
p02406,Description_Simple,0.7,0.7,0.7,0.7,True,0.4052625298500061,0.29473747014999385,False,True,False,False,False
p02405,Description_Simple,0.4,0.4,0.4,0.4,False,0.7141565680503845,0.3141565680503845,False,False,True,False,False
p02408,Description_Simple,0.2,0.2,0.2,0.2,False,0.2769550085067749,0.07695500850677489,True,False,False,False,True
p02410,Description_Simple,0.9,0.9,0.9,0.9,True,0.6091253757476807,0.29087462425231936,True,True,True,True,False
p02411,Description_Simple,0.7,0.7,0.7,0.7,True,0.6633393168449402,0.03666068315505977,True,True,True,True,False
p02409,Description_Simple,0.7,0.7,0.7,0.7,True,0.4971679449081421,0.20283205509185787,False,True,False,False,False
p02414,Description_Simple,0.9,0.9,0.9,0.9,True,0.5988304018974304,0.3011695981025696,True,True,True,True,False
p02412,Description_Simple,0.9,0.9,0.9,0.9,True,0.7333117723464966,0.16668822765350344,True,True,True,True,False
p02413,Description_Simple,0.4,0.4,0.4,0.4,False,0.6687174439430237,0.26871744394302366,False,False,True,False,False
p02415,Description_Simple,0.4,0.4,0.4,0.4,False,0.7042854428291321,0.30428544282913206,False,False,True,False,False
p02416,Description_Simple,0.4,0.4,0.4,0.4,False,0.7000364661216736,0.30003646612167356,False,False,True,False,False
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.6626278758049011,0.3373721241950989,True,True,True,True,False
p02419,Description_Simple,0.5,0.5,0.5,0.5,True,0.706588625907898,0.20658862590789795,True,True,True,True,False
p02417,Description_Simple,0.9,0.9,0.9,0.9,True,0.8010048270225525,0.09899517297744753,True,True,True,True,False
p02547,Description_Simple,0.4,0.4,0.4,0.4,False,0.46377336978912354,0.06377336978912351,True,False,False,False,True
p02552,Description_Simple,0.9,0.9,0.9,0.9,True,0.6628178358078003,0.23718216419219973,True,True,True,True,False
p02421,Description_Simple,1.0,1.0,1.0,1.0,True,0.6039925217628479,0.3960074782371521,True,True,True,True,False
