rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Gemini,GLM-5,gemini,glm5,250,77.2000,48.8000,11.6000,16.8000,60.4000,65.6000,122,29,42
2,Gemini,Claude-5,gemini,claude_sonnet_5,250,76.4000,38.4000,22.0000,16.0000,60.4000,54.4000,96,55,40
3,Gemini,Kimi-K2.7,gemini,kimi_k25,250,76.4000,40.4000,20.0000,16.0000,60.4000,56.4000,101,50,40
4,O4-mini,GLM-5,o4mini,glm5,250,76.0000,47.6000,10.4000,18.0000,58.0000,65.6000,119,26,45
5,Gemini,Qwen3.7,gemini,qwen37_plus,250,75.6000,40.0000,20.4000,15.2000,60.4000,55.2000,100,51,38
6,O4-mini,Qwen3.7,o4mini,qwen37_plus,250,73.2000,40.0000,18.0000,15.2000,58.0000,55.2000,100,45,38
7,O4-mini,Gemini,o4mini,gemini,250,72.8000,45.6000,12.4000,14.8000,58.0000,60.4000,114,31,37
8,O4-mini,Kimi-K2.7,o4mini,kimi_k25,250,72.8000,41.6000,16.4000,14.8000,58.0000,56.4000,104,41,37
9,Gemini,DeepSeek-R1,gemini,deepseek_r1,250,72.8000,40.8000,19.6000,12.4000,60.4000,53.2000,102,49,31
10,Claude-5,GLM-5,claude_sonnet_5,glm5,250,72.4000,47.6000,6.8000,18.0000,54.4000,65.6000,119,17,45
11,O4-mini,Claude-5,o4mini,claude_sonnet_5,250,71.6000,40.8000,17.2000,13.6000,58.0000,54.4000,102,43,34
12,Gemini,DeepSeek-V4-Pro,gemini,deepseek_v4_pro,250,71.6000,35.6000,24.8000,11.2000,60.4000,46.8000,89,62,28
13,O4-mini,DeepSeek-R1,o4mini,deepseek_r1,250,71.2000,40.0000,18.0000,13.2000,58.0000,53.2000,100,45,33
