,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,1.0,0.7862903225806451,0.9718875502008032,0.992,0.008064516129032258,0.98,0.4256198347107438,0.044534412955465584,0.992,0.7831325301204819,0.9637096774193549,0.3709677419354839,0.016129032258064516,0.7258064516129032
GPT3.5,0.7862903225806451,1.0,0.7804878048780488,0.78,0.010256410256410256,0.782258064516129,0.3915094339622642,0.04591836734693878,0.78,0.6853448275862069,0.7860082304526749,0.37320574162679426,0.015306122448979591,0.6891891891891891
GPT4o,0.9718875502008032,0.7804878048780488,1.0,0.972,0.00823045267489712,0.96,0.4107883817427386,0.045454545454545456,0.972,0.7701612903225806,0.951417004048583,0.3673469387755102,0.01646090534979424,0.7056451612903226
Gemini,0.992,0.78,0.972,1.0,0.008,0.988,0.42213114754098363,0.04417670682730924,1.0,0.784,0.9717741935483871,0.368,0.016,0.72
LlamaVL,0.008064516129032258,0.010256410256410256,0.00823045267489712,0.008,1.0,0.008097165991902834,0.019417475728155338,0.08333333333333333,0.008,0.005076142131979695,0.008298755186721992,0.021739130434782608,0.0,0.011111111111111112
O4-mini,0.98,0.782258064516129,0.96,0.988,0.008097165991902834,1.0,0.4214876033057851,0.044715447154471545,0.988,0.7791164658634538,0.9676113360323887,0.36693548387096775,0.016194331983805668,0.7217741935483871
Qwen3VL,0.4256198347107438,0.3915094339622642,0.4107883817427386,0.42213114754098363,0.019417475728155338,0.4214876033057851,1.0,0.07547169811320754,0.42213114754098363,0.42995169082125606,0.43037974683544306,0.2953020134228188,0.009433962264150943,0.4
codellama,0.044534412955465584,0.04591836734693878,0.045454545454545456,0.04417670682730924,0.08333333333333333,0.044715447154471545,0.07547169811320754,1.0,0.04417670682730924,0.05612244897959184,0.04583333333333333,0.05154639175257732,0.0,0.049723756906077346
deepseek-r1,0.992,0.78,0.972,1.0,0.008,0.988,0.42213114754098363,0.04417670682730924,1.0,0.784,0.9717741935483871,0.368,0.016,0.72
mistral,0.7831325301204819,0.6853448275862069,0.7701612903225806,0.784,0.005076142131979695,0.7791164658634538,0.42995169082125606,0.05612244897959184,0.784,1.0,0.7909836065573771,0.3211009174311927,0.015228426395939087,0.6206896551724138
qwencoder32B,0.9637096774193549,0.7860082304526749,0.951417004048583,0.9717741935483871,0.008298755186721992,0.9676113360323887,0.43037974683544306,0.04583333333333333,0.9717741935483871,0.7909836065573771,1.0,0.3662551440329218,0.012396694214876033,0.7172131147540983
starchat,0.3709677419354839,0.37320574162679426,0.3673469387755102,0.368,0.021739130434782608,0.36693548387096775,0.2953020134228188,0.05154639175257732,0.368,0.3211009174311927,0.3662551440329218,1.0,0.0,0.35323383084577115
starcoder,0.016129032258064516,0.015306122448979591,0.01646090534979424,0.016,0.0,0.016194331983805668,0.009433962264150943,0.0,0.016,0.015228426395939087,0.012396694214876033,0.0,1.0,0.022222222222222223
Llama70B,0.7258064516129032,0.6891891891891891,0.7056451612903226,0.72,0.011111111111111112,0.7217741935483871,0.4,0.049723756906077346,0.72,0.6206896551724138,0.7172131147540983,0.35323383084577115,0.022222222222222223,1.0
