model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,20.0284,12.9261,47.4432,20.3125,13.9205,12.5,16.0511,13.3523,12.9261,14.7727,14.7727,14.3466,13.7784,16.1932
GPT-3.5,20.0284,0,26.9886,43.608,18.75,22.8693,22.8693,29.8295,23.4375,21.5909,26.5625,24.858,25.8523,26.7045,24.5739
O4-mini,12.9261,26.9886,0,48.7216,25,15.483,12.9261,13.6364,12.0739,13.9205,12.9261,13.7784,11.0795,9.65909,14.6307
Gemini,47.4432,43.608,48.7216,0,43.0398,45.7386,46.3068,48.4375,47.4432,47.017,48.5795,48.0114,47.8693,49.5739,45.4545
Llama-70B,20.3125,18.75,25,43.0398,0,21.1648,22.5852,26.7045,23.4375,19.8864,22.8693,23.7216,23.5795,24.1477,22.017
Mistral,13.9205,22.8693,15.483,45.7386,21.1648,0,17.0455,19.4602,16.7614,14.3466,16.1932,16.4773,18.0398,17.4716,16.1932
DeepSeek-V3.1,12.5,22.8693,12.9261,46.3068,22.5852,17.0455,0,14.9148,9.65909,14.0625,13.0682,12.5,12.358,11.7898,15.3409
DeepSeek-R1,16.0511,29.8295,13.6364,48.4375,26.7045,19.4602,14.9148,0,14.6307,18.4659,12.9261,14.0625,11.6477,11.0795,18.608
DeepSeek-V4-Pro,13.3523,23.4375,12.0739,47.4432,23.4375,16.7614,9.65909,14.6307,0,13.4943,14.7727,12.7841,11.5057,11.2216,16.7614
QwenCoder,12.9261,21.5909,13.9205,47.017,19.8864,14.3466,14.0625,18.4659,13.4943,0,16.0511,15.767,16.1932,15.625,14.9148
Qwen3.7,14.7727,26.5625,12.9261,48.5795,22.8693,16.1932,13.0682,12.9261,14.7727,16.0511,0,11.6477,11.5057,11.2216,16.1932
Claude-5,14.7727,24.858,13.7784,48.0114,23.7216,16.4773,12.5,14.0625,12.7841,15.767,11.6477,0,11.2216,11.5057,16.1932
GLM-5,14.3466,25.8523,11.0795,47.8693,23.5795,18.0398,12.358,11.6477,11.5057,16.1932,11.5057,11.2216,0,8.52273,15.1989
Kimi-K2.7,13.7784,26.7045,9.65909,49.5739,24.1477,17.4716,11.7898,11.0795,11.2216,15.625,11.2216,11.5057,8.52273,0,14.3466
GPT-5,16.1932,24.5739,14.6307,45.4545,22.017,16.1932,15.3409,18.608,16.7614,14.9148,16.1932,16.1932,15.1989,14.3466,0
