Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02773,Description_Simple,0.8,0.8,0.8,0.8,True,0.7093895673751831,0.09061043262481694,True,True,True,True,False
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.49313661456108093,0.5068633854389191,False,True,False,False,False
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.6206216812133789,0.2793783187866211,True,True,True,True,False
p02921,Description_Simple,0.5,0.5,0.5,0.5,True,0.6571494936943054,0.15714949369430542,True,True,True,True,False
p02910,Description_Simple,0.0,0.0,0.0,0.0,False,0.6061609983444214,0.6061609983444214,False,False,True,False,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.7719570994377136,0.22804290056228638,True,True,True,True,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.6179665923118591,0.38203340768814087,True,True,True,True,False
p03035,Description_Simple,0.4,0.4,0.4,0.4,False,0.7386447191238403,0.3386447191238403,False,False,True,False,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.5485166311264038,0.5485166311264038,False,False,True,False,False
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.6784101724624634,0.3215898275375366,True,True,True,True,False
p02917,Description_Simple,0.0,0.0,0.0,0.0,False,0.5807116031646729,0.5807116031646729,False,False,True,False,False
p03469,Description_Simple,0.2,0.2,0.2,0.2,False,0.5998056530952454,0.39980565309524535,False,False,True,False,False
p02988,Description_Simple,0.7,0.7,0.7,0.7,True,0.5110861659049988,0.18891383409500118,True,True,True,True,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.39005032181739807,0.6099496781826019,False,True,False,False,False
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.5251152515411377,0.3251152515411377,False,False,True,False,False
p02381,Description_Simple,0.7,0.7,0.7,0.7,True,0.6355730891227722,0.06442691087722774,True,True,True,True,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.450522243976593,0.549477756023407,False,True,False,False,False
p03854,Description_Simple,0.4,0.4,0.4,0.4,False,0.47040992975234985,0.07040992975234983,True,False,False,False,True
p02718,Description_Simple,0.7,0.7,0.7,0.7,True,0.5570590496063232,0.1429409503936767,True,True,True,True,False
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.7253550887107849,0.07464491128921513,True,True,True,True,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.5368924140930176,0.4631075859069824,True,True,True,True,False
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.7527130842208862,0.24728691577911377,True,True,True,True,False
p02916,Description_Simple,0.8,0.8,0.8,0.8,True,0.413291335105896,0.38670866489410405,False,True,False,False,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.7775821685791016,0.22241783142089844,True,True,True,True,False
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.8329588770866394,0.1670411229133606,True,True,True,True,False
p03239,Description_Simple,0.7,0.7,0.7,0.7,True,0.38219597935676575,0.3178040206432342,False,True,False,False,False
p02911,Description_Simple,1.0,1.0,1.0,1.0,True,0.6396591663360596,0.36034083366394043,True,True,True,True,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.6734735369682312,0.3265264630317688,True,True,True,True,False
p02786,Description_Simple,1.0,1.0,1.0,1.0,True,0.47211599349975586,0.5278840065002441,False,True,False,False,False
p02547,Description_Simple,0.4,0.4,0.4,0.4,False,0.584392249584198,0.18439224958419798,False,False,True,False,False
p02772,Description_Simple,0.9,0.9,0.9,0.9,True,0.8091333508491516,0.09086664915084841,True,True,True,True,False
p04012,Description_Simple,0.4,0.4,0.4,0.4,False,0.8580695390701294,0.4580695390701294,False,False,True,False,False
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.7928739786148071,0.20712602138519287,True,True,True,True,False
p03435,Description_Simple,0.2,0.2,0.2,0.2,False,0.4271804690361023,0.22718046903610228,True,False,False,False,True
p02578,Description_Simple,0.1,0.1,0.1,0.1,False,0.5829825401306152,0.48298254013061526,False,False,True,False,False
p02719,Description_Simple,1.0,1.0,1.0,1.0,True,0.6627004146575928,0.3372995853424072,True,True,True,True,False
p02987,Description_Simple,1.0,1.0,1.0,1.0,True,0.7108817100524902,0.28911828994750977,True,True,True,True,False
p02989,Description_Simple,0.2,0.2,0.2,0.2,False,0.4740610122680664,0.2740610122680664,True,False,False,False,True
p02945,Description_Simple,0.8,0.8,0.8,0.8,True,0.6616317629814148,0.13836823701858525,True,True,True,True,False
p03060,Description_Simple,1.0,1.0,1.0,1.0,True,0.7195178866386414,0.28048211336135864,True,True,True,True,False
p02830,Description_Simple,0.8,0.8,0.8,0.8,True,0.5900694131851196,0.20993058681488042,True,True,True,True,False
p02801,Description_Simple,0.9,0.9,0.9,0.9,True,0.7550416588783264,0.1449583411216736,True,True,True,True,False
p02717,Description_Simple,0.2,0.2,0.2,0.2,False,0.6482348442077637,0.44823484420776366,False,False,True,False,False
p03316,Description_Simple,0.7,0.7,0.7,0.7,True,0.5492528676986694,0.15074713230133052,True,True,True,True,False
p03775,Description_Simple,1.0,1.0,1.0,1.0,True,0.52064448595047,0.47935551404953003,True,True,True,True,False
p02263,Description_Simple,0.8,0.8,0.8,0.8,True,0.8825300931930542,0.08253009319305415,True,True,True,True,False
p02264,Description_Simple,0.9,0.9,0.9,0.9,True,0.6592243909835815,0.24077560901641848,True,True,True,True,False
p02899,Description_Simple,1.0,1.0,1.0,1.0,True,0.350248783826828,0.649751216173172,False,True,False,False,False
