model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,20,38.8,42.8,22,25.2,35.2,40.4,36.4,24.8,45.6,40.8,52,44.4,40.4
GPT-3.5,20,0,42.8,42,20.4,26,34.4,42,35.6,24.8,43.2,42.4,50.4,45.2,37.2
O4-mini,38.8,42.8,0,27.2,46.4,45.6,33.2,31.2,32.8,50.8,33.2,30.8,28.4,31.2,37.6
Gemini,42.8,42,27.2,0,48,48.8,35.6,32,36,54,35.6,38,28.4,36,36
Llama-70B,22,20.4,46.4,48,0,19.2,37.2,44.8,38.4,21.2,46.8,45.2,57.2,47.2,38.4
Mistral,25.2,26,45.6,48.8,19.2,0,38.8,44,40,17.2,46.8,45.2,54.8,48.8,37.6
DeepSeek-V3.1,35.2,34.4,33.2,35.6,37.2,38.8,0,18,18,36.8,21.6,23.2,28,23.6,23.6
DeepSeek-R1,40.4,42,31.2,32,44.8,44,18,0,22.4,44.4,22.8,21.2,22,21.6,20.8
DeepSeek-V4-Pro,36.4,35.6,32.8,36,38.4,40,18,22.4,0,38,23.6,18,26.8,24.8,22.4
QwenCoder,24.8,24.8,50.8,54,21.2,17.2,36.8,44.4,38,0,48,42.4,55.2,45.2,38
Qwen3.7,45.6,43.2,33.2,35.6,46.8,46.8,21.6,22.8,23.6,48,0,26.4,20.8,20.4,26.8
Claude-5,40.8,42.4,30.8,38,45.2,45.2,23.2,21.2,18,42.4,26.4,0,24.8,21.2,24.4
GLM-5,52,50.4,28.4,28.4,57.2,54.8,28,22,26.8,55.2,20.8,24.8,0,20.4,25.2
Kimi-K2.7,44.4,45.2,31.2,36,47.2,48.8,23.6,21.6,24.8,45.2,20.4,21.2,20.4,0,24
GPT-5,40.4,37.2,37.6,36,38.4,37.6,23.6,20.8,22.4,38,26.8,24.4,25.2,24,0
