Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5093650817871094,0.4906349182128906,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5196688175201416,0.4803311824798584,True,True,True,True,False
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.6214967966079712,0.27850320339202883,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.36034131050109863,0.03965868949890139,True,False,False,False,True
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.4523736834526062,0.5476263165473938,False,True,False,False,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.6989707350730896,0.3010292649269104,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6326237916946411,0.3673762083053589,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.7082356214523315,0.29176437854766846,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5979991555213928,0.4020008444786072,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5484946966171265,0.45150530338287354,True,True,True,True,False
mbpp_0039,Description_Simple,0.3,0.3,0.3,0.3,False,0.6177701950073242,0.31777019500732423,False,False,True,False,False
mbpp_0004,Description_Simple,0.9,0.9,0.9,0.9,True,0.6283986568450928,0.27160134315490725,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7834617495536804,0.21653825044631958,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.6315057873725891,0.3684942126274109,True,True,True,True,False
mbpp_0496,Description_Simple,0.7,0.7,0.7,0.7,True,0.7271305918693542,0.027130591869354292,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.6781237721443176,0.2781237721443176,False,False,True,False,False
mbpp_0209,Description_Simple,1.0,1.0,1.0,1.0,True,0.6283878684043884,0.3716121315956116,True,True,True,True,False
mbpp_0372,Description_Simple,0.4,0.4,0.4,0.4,False,0.6943058967590332,0.2943058967590332,False,False,True,False,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6475202441215515,0.3524797558784485,True,True,True,True,False
mbpp_0108,Description_Simple,0.3,0.3,0.3,0.3,False,0.5015897750854492,0.20158977508544923,False,False,True,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.8003478050231934,0.19965219497680664,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.7211571335792542,0.27884286642074585,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6837723851203918,0.31622761487960815,True,True,True,True,False
mbpp_0776,Description_Simple,0.1,0.1,0.1,0.1,False,0.6845413446426392,0.5845413446426392,False,False,True,False,False
