model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.768966,0.848933,0.42069,0.757627,0.806071,0.828666,0.806504,0.840796,0.846411,0.820847,0.835237,0.827697,0.835218,0.832226
GPT-3.5,0.768966,1,0.718954,0.42315,0.754098,0.718966,0.72093,0.680713,0.729549,0.749153,0.697561,0.706169,0.700321,0.701923,0.720736
O4-mini,0.848933,0.718954,1,0.414309,0.725649,0.825291,0.862295,0.857843,0.868421,0.831715,0.857143,0.880719,0.887805,0.895595,0.847791
Gemini,0.42069,0.42315,0.414309,1,0.417132,0.422182,0.406408,0.401007,0.408784,0.404399,0.400998,0.412646,0.401305,0.412151,0.411263
Llama-70B,0.757627,0.754098,0.725649,0.417132,1,0.759162,0.747913,0.684887,0.722039,0.770798,0.718241,0.732463,0.704293,0.722311,0.750842
Mistral,0.806071,0.718966,0.825291,0.422182,0.759162,1,0.832203,0.782537,0.813758,0.813131,0.8,0.81157,0.801303,0.814754,0.81113
DeepSeek-V3.1,0.828666,0.72093,0.862295,0.406408,0.747913,0.832203,1,0.819805,0.85738,0.841584,0.84918,0.85155,0.855754,0.857374,0.839669
DeepSeek-R1,0.806504,0.680713,0.857843,0.401007,0.684887,0.782537,0.819805,1,0.852893,0.784345,0.841762,0.841167,0.857374,0.858995,0.814332
DeepSeek-V4-Pro,0.840796,0.729549,0.868421,0.408784,0.722039,0.813758,0.85738,0.852893,1,0.826514,0.852217,0.863711,0.849758,0.869494,0.821604
QwenCoder,0.846411,0.749153,0.831715,0.404399,0.770798,0.813131,0.841584,0.784345,0.826514,1,0.807074,0.827141,0.816879,0.818471,0.818033
Qwen3.7,0.820847,0.697561,0.857143,0.400998,0.718241,0.8,0.84918,0.841762,0.852217,0.807074,1,0.858537,0.87785,0.888707,0.819805
Claude-5,0.835237,0.706169,0.880719,0.412646,0.732463,0.81157,0.85155,0.841167,0.863711,0.827141,0.858537,1,0.870968,0.88474,0.840131
GLM-5,0.827697,0.700321,0.887805,0.401305,0.704293,0.801303,0.855754,0.857374,0.849758,0.816879,0.87785,0.870968,1,0.879615,0.838449
Kimi-K2.7,0.835218,0.701923,0.895595,0.412151,0.722311,0.814754,0.857374,0.858995,0.869494,0.818471,0.888707,0.88474,0.879615,1,0.849026
GPT-5,0.832226,0.720736,0.847791,0.411263,0.750842,0.81113,0.839669,0.814332,0.821604,0.818033,0.819805,0.840131,0.838449,0.849026,1
