model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,60,68.8,81.6,85.2,67.6,65.6,78.4,80.4,79.6,65.6,81.6,80.8,82.8,81.6,78.4
GPT-3.5,68.8,49.2,81.6,84,59.6,56.4,72.8,77.6,72.8,56,79.2,74.4,80.4,78.4,73.2
O4-mini,81.6,81.6,76.4,88.8,78,79.6,85.2,88.8,87.6,78.4,89.2,87.6,89.2,88.8,85.6
Gemini,85.2,84,88.8,80,82.8,82.8,87.2,88,86.8,81.2,89.6,88,89.2,89.6,87.2
Llama-70B,67.6,59.6,78,82.8,44,52.8,69.6,75.2,71.2,52.4,75.6,71.6,77.6,74.8,70.8
Mistral,65.6,56.4,79.6,82.8,52.8,24.4,63.6,69.6,65.6,38.4,70.4,67.6,72.4,68.8,62
DeepSeek-V3.1,78.4,72.8,85.2,87.2,69.6,63.6,56.8,70.8,68.8,62,72,71.2,72.8,70.4,67.6
DeepSeek-R1,80.4,77.6,88.8,88,75.2,69.6,70.8,63.6,68.8,67.6,71.6,71.6,72,70.4,69.2
DeepSeek-V4-Pro,79.6,72.8,87.6,86.8,71.2,65.6,68.8,68.8,58.4,62.8,72.4,69.6,73.2,69.2,68
QwenCoder,65.6,56,78.4,81.2,52.4,38.4,62,67.6,62.8,24.8,67.2,64,69.2,67.2,60.8
Qwen3.7,81.6,79.2,89.2,89.6,75.6,70.4,72,71.6,72.4,67.2,63.6,74,73.2,71.2,68.8
Claude-5,80.8,74.4,87.6,88,71.6,67.6,71.2,71.6,69.6,64,74,59.6,74.8,72,70.4
GLM-5,82.8,80.4,89.2,89.2,77.6,72.4,72.8,72,73.2,69.2,73.2,74.8,64.8,72,70.4
Kimi-K2.7,81.6,78.4,88.8,89.6,74.8,68.8,70.4,70.4,69.2,67.2,71.2,72,72,62.8,68
GPT-5,78.4,73.2,85.6,87.2,70.8,62,67.6,69.2,68,60.8,68.8,70.4,70.4,68,55.2
