Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.7288024425506592,0.2711975574493408,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.7133532762527466,0.2866467237472534,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7518520355224609,0.24814796447753906,True,True,True,True,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.39069920778274536,0.6093007922172546,False,True,False,False,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.575859546661377,0.42414045333862305,True,True,True,True,False
p00006,Description_Simple,0.7,0.7,0.7,0.7,True,0.5801681280136108,0.11983187198638912,True,True,True,True,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.24133837223052979,0.7586616277694702,False,True,False,False,False
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.5127211213111877,0.48727887868881226,True,True,True,True,False
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.6492132544517517,0.3507867455482483,True,True,True,True,False
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.572056770324707,0.42794322967529297,True,True,True,True,False
p02258,Description_Simple,0.0,0.0,0.0,0.0,False,0.449219673871994,0.449219673871994,True,False,False,False,True
p02256,Description_Simple,0.7,0.7,0.7,0.7,True,0.6485182046890259,0.05148179531097408,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.6240308284759521,0.37596917152404785,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7562773823738098,0.24372261762619019,True,True,True,True,False
p00011,Description_Simple,0.4,0.4,0.4,0.4,False,0.3329215943813324,0.06707840561866762,True,False,False,False,True
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.7061458230018616,0.2938541769981384,True,True,True,True,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.6523808836936951,0.34761911630630493,True,True,True,True,False
p02389,Description_Simple,0.9,0.9,0.9,0.9,True,0.3324873447418213,0.5675126552581787,False,True,False,False,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.4029892086982727,0.5970107913017273,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.45653799176216125,0.5434620082378387,False,True,False,False,False
p02390,Description_Simple,0.8,0.8,0.8,0.8,True,0.5054681301116943,0.2945318698883057,True,True,True,True,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.5699017643928528,0.4300982356071472,True,True,True,True,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.43224936723709106,0.5677506327629089,False,True,False,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.6703924536705017,0.3296075463294983,True,True,True,True,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.533469557762146,0.366530442237854,True,True,True,True,False
p02396,Description_Simple,1.0,1.0,1.0,1.0,True,0.34741634130477905,0.652583658695221,False,True,False,False,False
p02403,Description_Simple,1.0,1.0,1.0,1.0,True,0.34830862283706665,0.6516913771629333,False,True,False,False,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.6324124336242676,0.3675875663757324,True,True,True,True,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.3861207365989685,0.6138792634010315,False,True,False,False,False
p02398,Description_Simple,1.0,1.0,1.0,1.0,True,0.5785287022590637,0.4214712977409363,True,True,True,True,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.46431586146354675,0.5356841385364532,False,True,False,False,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.40799710154533386,0.49200289845466616,False,True,False,False,False
p02406,Description_Simple,1.0,1.0,1.0,1.0,True,0.2605593204498291,0.7394406795501709,False,True,False,False,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.6115280985832214,0.38847190141677856,True,True,True,True,False
