Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6717559099197388,0.32824409008026123,True,True,True,True,False
mbpp_0323,Description_Simple,0.8,0.8,0.8,0.8,True,0.5599961876869202,0.24000381231307988,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.550869345664978,0.449130654335022,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.46319860219955444,0.5368013978004456,False,True,False,False,False
mbpp_0522,Description_Simple,0.8,0.8,0.8,0.8,True,0.21754291653633118,0.5824570834636689,False,True,False,False,False
mbpp_0245,Description_Simple,0.4,0.4,0.4,0.4,False,0.5502578020095825,0.1502578020095825,False,False,True,False,False
mbpp_0776,Description_Simple,0.1,0.1,0.1,0.1,False,0.5706514120101929,0.4706514120101929,False,False,True,False,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6271321177482605,0.3728678822517395,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.5231870412826538,0.4768129587173462,True,True,True,True,False
mbpp_0223,Description_Simple,0.7,0.7,0.7,0.7,True,0.5729607939720154,0.12703920602798457,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5410932302474976,0.45890676975250244,True,True,True,True,False
mbpp_0515,Description_Simple,0.9,0.9,0.9,0.9,True,0.41228726506233215,0.48771273493766787,False,True,False,False,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.457948237657547,0.057948237657546975,True,False,False,False,True
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5262420773506165,0.47375792264938354,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7589459419250488,0.24105405807495117,True,True,True,True,False
mbpp_0838,Description_Simple,0.2,0.2,0.2,0.2,False,0.7885336875915527,0.5885336875915528,False,False,True,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.701814591884613,0.29818540811538696,True,True,True,True,False
mbpp_0315,Description_Simple,0.2,0.2,0.2,0.2,False,0.6494453549385071,0.44944535493850707,False,False,True,False,False
mbpp_0628,Description_Simple,0.7,0.7,0.7,0.7,True,0.4829702377319336,0.21702976226806636,False,True,False,False,False
mbpp_0387,Description_Simple,0.0,0.0,0.0,0.0,False,0.5347595810890198,0.5347595810890198,False,False,True,False,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.5990119576454163,0.40098804235458374,True,True,True,True,False
mbpp_0834,Description_Simple,0.8,0.8,0.8,0.8,True,0.6316776871681213,0.1683223128318787,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6625839471817017,0.33741605281829834,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.49521273374557495,0.504787266254425,False,True,False,False,False
mbpp_0898,Description_Simple,0.1,0.1,0.1,0.1,False,0.37564224004745483,0.27564224004745486,True,False,False,False,True
mbpp_0665,Description_Simple,0.1,0.1,0.1,0.1,False,0.6619234681129456,0.5619234681129456,False,False,True,False,False
mbpp_0501,Description_Simple,0.6,0.6,0.6,0.6,True,0.7327460646629333,0.13274606466293337,True,True,True,True,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6837642788887024,0.3162357211112976,True,True,True,True,False
mbpp_0822,Description_Simple,0.7,0.7,0.7,0.7,True,0.54783034324646,0.15216965675354,True,True,True,True,False
mbpp_0149,Description_Simple,0.9,0.9,0.9,0.9,True,0.6538574695587158,0.2461425304412842,True,True,True,True,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.6532076001167297,0.34679239988327026,True,True,True,True,False
mbpp_0060,Description_Simple,0.1,0.1,0.1,0.1,False,0.625467836856842,0.5254678368568421,False,False,True,False,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.6298070549964905,0.3701929450035095,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.5795401334762573,0.4204598665237427,True,True,True,True,False
mbpp_0550,Description_Simple,0.4,0.4,0.4,0.4,False,0.5846616625785828,0.18466166257858274,False,False,True,False,False
mbpp_0523,Description_Simple,0.2,0.2,0.2,0.2,False,0.3964185118675232,0.19641851186752318,True,False,False,False,True
mbpp_0926,Description_Simple,0.9,0.9,0.9,0.9,True,0.6293185949325562,0.27068140506744387,True,True,True,True,False
mbpp_0881,Description_Simple,1.0,1.0,1.0,1.0,True,0.5809617042541504,0.4190382957458496,True,True,True,True,False
mbpp_0068,Description_Simple,0.7,0.7,0.7,0.7,True,0.7571419477462769,0.0571419477462769,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.5163300633430481,0.18366993665695186,True,True,True,True,False
mbpp_0907,Description_Simple,1.0,1.0,1.0,1.0,True,0.6114686131477356,0.3885313868522644,True,True,True,True,False
mbpp_0850,Description_Simple,0.0,0.0,0.0,0.0,False,0.39158836007118225,0.39158836007118225,True,False,False,False,True
mbpp_0866,Description_Simple,0.0,0.0,0.0,0.0,False,0.4793059229850769,0.4793059229850769,True,False,False,False,True
mbpp_0455,Description_Simple,0.1,0.1,0.1,0.1,False,0.5076372623443604,0.4076372623443604,False,False,True,False,False
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.6887845993041992,0.3112154006958008,True,True,True,True,False
mbpp_0074,Description_Simple,0.3,0.3,0.3,0.3,False,0.5105379819869995,0.21053798198699952,False,False,True,False,False
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.6016883254051208,0.2983116745948792,True,True,True,True,False
mbpp_0453,Description_Simple,0.4,0.4,0.4,0.4,False,0.7647620439529419,0.3647620439529419,False,False,True,False,False
mbpp_0113,Description_Simple,0.4,0.4,0.4,0.4,False,0.5519455075263977,0.15194550752639768,False,False,True,False,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.5667833089828491,0.4332166910171509,True,True,True,True,False
mbpp_0129,Description_Simple,0.4,0.4,0.4,0.4,False,0.6272575259208679,0.2272575259208679,False,False,True,False,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.5136290192604065,0.4863709807395935,True,True,True,True,False
mbpp_0639,Description_Simple,0.2,0.2,0.2,0.2,False,0.4835203289985657,0.28352032899856566,True,False,False,False,True
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.668039858341217,0.33196014165878296,True,True,True,True,False
mbpp_0247,Description_Simple,1.0,1.0,1.0,1.0,True,0.6799737215042114,0.3200262784957886,True,True,True,True,False
mbpp_0306,Description_Simple,0.2,0.2,0.2,0.2,False,0.47107651829719543,0.2710765182971954,True,False,False,False,True
mbpp_0239,Description_Simple,1.0,1.0,1.0,1.0,True,0.40266987681388855,0.5973301231861115,False,True,False,False,False
mbpp_0107,Description_Simple,0.7,0.7,0.7,0.7,True,0.6584033966064453,0.04159660339355464,True,True,True,True,False
mbpp_0689,Description_Simple,1.0,1.0,1.0,1.0,True,0.6781126260757446,0.32188737392425537,True,True,True,True,False
mbpp_0466,Description_Simple,1.0,1.0,1.0,1.0,True,0.6467067003250122,0.3532932996749878,True,True,True,True,False
mbpp_0885,Description_Simple,1.0,1.0,1.0,1.0,True,0.7782390713691711,0.22176092863082886,True,True,True,True,False
mbpp_0121,Description_Simple,0.0,0.0,0.0,0.0,False,0.40806400775909424,0.40806400775909424,True,False,False,False,True
mbpp_0826,Description_Simple,0.4,0.4,0.4,0.4,False,0.6567032337188721,0.25670323371887205,False,False,True,False,False
mbpp_0108,Description_Simple,0.7,0.7,0.7,0.7,True,0.5460706949234009,0.15392930507659908,True,True,True,True,False
mbpp_0231,Description_Simple,1.0,1.0,1.0,1.0,True,0.6487296223640442,0.3512703776359558,True,True,True,True,False
mbpp_0181,Description_Simple,0.4,0.4,0.4,0.4,False,0.46061134338378906,0.06061134338378904,True,False,False,False,True
mbpp_0570,Description_Simple,0.4,0.4,0.4,0.4,False,0.5370913147926331,0.13709131479263303,False,False,True,False,False
mbpp_0485,Description_Simple,0.8,0.8,0.8,0.8,True,0.7390282154083252,0.06097178459167485,True,True,True,True,False
mbpp_0526,Description_Simple,0.7,0.7,0.7,0.7,True,0.7397173047065735,0.03971730470657353,True,True,True,True,False
mbpp_0397,Description_Simple,1.0,1.0,1.0,1.0,True,0.6643940210342407,0.3356059789657593,True,True,True,True,False
mbpp_0863,Description_Simple,1.0,1.0,1.0,1.0,True,0.6594690084457397,0.34053099155426025,True,True,True,True,False
mbpp_0685,Description_Simple,1.0,1.0,1.0,1.0,True,0.7457784414291382,0.2542215585708618,True,True,True,True,False
mbpp_0632,Description_Simple,0.8,0.8,0.8,0.8,True,0.7175288200378418,0.08247117996215825,True,True,True,True,False
