Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0031,Description_Simple,0.8,0.8,0.8,0.8,True,0.7313512563705444,0.06864874362945561,True,True,True,True,False
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5896728038787842,0.4103271961212158,True,True,True,True,False
mbpp_0408,Description_Simple,0.2,0.2,0.2,0.2,False,0.46448659896850586,0.26448659896850585,True,False,False,False,True
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.543786883354187,0.456213116645813,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6442416310310364,0.3557583689689636,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6531462073326111,0.3468537926673889,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.6576539874076843,0.3423460125923157,True,True,True,True,False
mbpp_0771,Description_Simple,0.6,0.6,0.6,0.6,True,0.4836021065711975,0.11639789342880247,False,True,False,False,False
mbpp_0004,Description_Simple,0.8,0.8,0.8,0.8,True,0.6842805743217468,0.11571942567825322,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6077889800071716,0.39221101999282837,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.566440999507904,0.43355900049209595,True,True,True,True,False
mbpp_0039,Description_Simple,0.9,0.9,0.9,0.9,True,0.6442541480064392,0.2557458519935608,True,True,True,True,False
mbpp_0496,Description_Simple,0.9,0.9,0.9,0.9,True,0.7350255846977234,0.16497441530227663,True,True,True,True,False
mbpp_0822,Description_Simple,0.2,0.2,0.2,0.2,False,0.6398207545280457,0.43982075452804564,False,False,True,False,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5494264364242554,0.45057356357574463,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7946025133132935,0.20539748668670654,True,True,True,True,False
mbpp_0209,Description_Simple,0.9,0.9,0.9,0.9,True,0.7117925882339478,0.18820741176605227,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.6976631283760071,0.3023368716239929,True,True,True,True,False
mbpp_0123,Description_Simple,0.8,0.8,0.8,0.8,True,0.6489473581314087,0.15105264186859135,True,True,True,True,False
mbpp_0108,Description_Simple,0.4,0.4,0.4,0.4,False,0.4775795638561249,0.07757956385612486,True,False,False,False,True
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.7503409385681152,0.3503409385681152,False,False,True,False,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6490803360939026,0.3509196639060974,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.7087975740432739,0.2912024259567261,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7569297552108765,0.24307024478912354,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5494449734687805,0.4505550265312195,True,True,True,True,False
mbpp_0838,Description_Simple,0.0,0.0,0.0,0.0,False,0.7452104687690735,0.7452104687690735,False,False,True,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7452933192253113,0.2547066807746887,True,True,True,True,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.7228846549987793,0.2771153450012207,True,True,True,True,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6599814295768738,0.3400185704231262,True,True,True,True,False
mbpp_0501,Description_Simple,0.2,0.2,0.2,0.2,False,0.6130439639091492,0.41304396390914916,False,False,True,False,False
mbpp_0834,Description_Simple,0.1,0.1,0.1,0.1,False,0.7843145132064819,0.684314513206482,False,False,True,False,False
mbpp_0074,Description_Simple,0.8,0.8,0.8,0.8,True,0.5793766379356384,0.22062336206436162,True,True,True,True,False
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.7533968687057495,0.2466031312942505,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.656580924987793,0.34341907501220703,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.658103346824646,0.341896653175354,True,True,True,True,False
mbpp_0306,Description_Simple,0.8,0.8,0.8,0.8,True,0.7474343776702881,0.05256562232971196,True,True,True,True,False
mbpp_0926,Description_Simple,0.4,0.4,0.4,0.4,False,0.6047922968864441,0.20479229688644407,False,False,True,False,False
mbpp_0850,Description_Simple,0.7,0.7,0.7,0.7,True,0.4621671140193939,0.23783288598060603,False,True,False,False,False
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.5801035165786743,0.1801035165786743,False,False,True,False,False
mbpp_0811,Description_Simple,0.8,0.8,0.8,0.8,True,0.6762339472770691,0.12376605272293095,True,True,True,True,False
mbpp_0463,Description_Simple,0.9,0.9,0.9,0.9,True,0.6891138553619385,0.21088614463806155,True,True,True,True,False
mbpp_0453,Description_Simple,1.0,1.0,1.0,1.0,True,0.6774941682815552,0.3225058317184448,True,True,True,True,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.7029870748519897,0.29701292514801025,True,True,True,True,False
mbpp_0247,Description_Simple,1.0,1.0,1.0,1.0,True,0.7939932346343994,0.20600676536560059,True,True,True,True,False
