model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.777036,0.823684,0.820876,0.776406,0.727273,0.802703,0.780455,0.80027,0.77304,0.782205,0.815261,0.798942,0.774704,0.772
GPT-3.5,0.777036,1,0.769831,0.774936,0.766342,0.702216,0.757047,0.72619,0.733775,0.736264,0.726081,0.753623,0.733766,0.725849,0.713535
O4-mini,0.823684,0.769831,1,0.854756,0.743421,0.72118,0.809019,0.784777,0.783007,0.76573,0.779507,0.80704,0.807542,0.807087,0.781127
Gemini,0.820876,0.774936,0.854756,1,0.751295,0.704811,0.792526,0.798962,0.811198,0.725641,0.807494,0.816195,0.833118,0.809278,0.786082
Llama-70B,0.776406,0.766342,0.743421,0.751295,1,0.709169,0.74145,0.719512,0.724932,0.7223,0.719463,0.75,0.736631,0.728495,0.736986
Mistral,0.727273,0.702216,0.72118,0.704811,0.709169,1,0.730337,0.707928,0.706371,0.753323,0.691678,0.732044,0.716235,0.707819,0.723315
DeepSeek-V3.1,0.802703,0.757047,0.809019,0.792526,0.74145,0.730337,1,0.821727,0.822222,0.787024,0.823204,0.834938,0.842975,0.825069,0.820334
DeepSeek-R1,0.780455,0.72619,0.784777,0.798962,0.719512,0.707928,0.821727,1,0.844852,0.773876,0.837989,0.842105,0.850208,0.863188,0.827489
DeepSeek-V4-Pro,0.80027,0.733775,0.783007,0.811198,0.724932,0.706371,0.822222,0.844852,1,0.769553,0.8107,0.857939,0.845517,0.842837,0.827972
QwenCoder,0.77304,0.736264,0.76573,0.725641,0.7223,0.753323,0.787024,0.773876,0.769553,1,0.758621,0.770604,0.76881,0.765517,0.779972
Qwen3.7,0.782205,0.726081,0.779507,0.807494,0.719463,0.691678,0.823204,0.837989,0.8107,0.758621,1,0.828338,0.853994,0.836088,0.813793
Claude-5,0.815261,0.753623,0.80704,0.816195,0.75,0.732044,0.834938,0.842105,0.857939,0.770604,0.828338,1,0.85034,0.85282,0.848401
GLM-5,0.798942,0.733766,0.807542,0.833118,0.736631,0.716235,0.842975,0.850208,0.845517,0.76881,0.853994,0.85034,1,0.866022,0.851389
Kimi-K2.7,0.774704,0.725849,0.807087,0.809278,0.728495,0.707819,0.825069,0.863188,0.842837,0.765517,0.836088,0.85282,0.866022,1,0.843575
GPT-5,0.772,0.713535,0.781127,0.786082,0.736986,0.723315,0.820334,0.827489,0.827972,0.779972,0.813793,0.848401,0.851389,0.843575,1
