model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.78836,0.798122,0.778281,0.680851,0.582524,0.660465,0.608696,0.604762,0.467005,0.603774,0.610329,0.657005,0.625592,0.591549
GPT-3.5,0.78836,1,0.705607,0.712329,0.637363,0.54,0.62201,0.544118,0.563725,0.472826,0.555556,0.570048,0.616915,0.570048,0.535885
O4-mini,0.798122,0.705607,1,0.826087,0.641148,0.604545,0.69163,0.621622,0.647059,0.469767,0.631111,0.659193,0.666667,0.666667,0.626667
Gemini,0.778281,0.712329,0.826087,1,0.59009,0.578261,0.713043,0.622807,0.654867,0.481818,0.653509,0.666667,0.681416,0.659389,0.649123
Llama-70B,0.680851,0.637363,0.641148,0.59009,1,0.521277,0.546341,0.502564,0.515306,0.431034,0.507538,0.515,0.538071,0.522613,0.472906
Mistral,0.582524,0.54,0.604545,0.578261,0.521277,1,0.572115,0.561856,0.558376,0.523529,0.589744,0.557214,0.605128,0.534314,0.560606
DeepSeek-V3.1,0.660465,0.62201,0.69163,0.713043,0.546341,0.572115,1,0.73057,0.733333,0.534392,0.748718,0.711443,0.773196,0.764103,0.752577
DeepSeek-R1,0.608696,0.544118,0.621622,0.622807,0.502564,0.561856,0.73057,1,0.815029,0.621951,0.780899,0.777778,0.777778,0.797753,0.785311
DeepSeek-V4-Pro,0.604762,0.563725,0.647059,0.654867,0.515306,0.558376,0.733333,0.815029,1,0.616766,0.803371,0.751351,0.820225,0.810056,0.828571
QwenCoder,0.467005,0.472826,0.469767,0.481818,0.431034,0.523529,0.534392,0.621951,0.616766,1,0.596491,0.577143,0.586207,0.550562,0.572254
Qwen3.7,0.603774,0.555556,0.631111,0.653509,0.507538,0.589744,0.748718,0.780899,0.803371,0.596491,1,0.739362,0.786885,0.816667,0.78453
Claude-5,0.610329,0.570048,0.659193,0.666667,0.515,0.557214,0.711443,0.777778,0.751351,0.577143,0.739362,1,0.783784,0.746032,0.734043
GLM-5,0.657005,0.616915,0.666667,0.681416,0.538071,0.605128,0.773196,0.777778,0.820225,0.586207,0.786885,0.783784,1,0.803279,0.791209
Kimi-K2.7,0.625592,0.570048,0.666667,0.659389,0.522613,0.534314,0.764103,0.797753,0.810056,0.550562,0.816667,0.746032,0.803279,1,0.771739
GPT-5,0.591549,0.535885,0.626667,0.649123,0.472906,0.560606,0.752577,0.785311,0.828571,0.572254,0.78453,0.734043,0.791209,0.771739,1
