Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.509524941444397,0.39047505855560305,True,True,True,True,False
p02773,Description_Simple,0.0,0.0,0.0,0.0,False,0.6936332583427429,0.6936332583427429,False,False,True,False,False
p02921,Description_Simple,0.4,0.4,0.4,0.4,False,0.5421221256256104,0.14212212562561033,False,False,True,False,False
p03494,Description_Simple,0.4,0.4,0.4,0.4,False,0.3741118311882019,0.025888168811798118,True,False,False,False,True
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.5792262554168701,0.4207737445831299,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.6088910102844238,0.39110898971557617,True,True,True,True,False
p03035,Description_Simple,0.8,0.8,0.8,0.8,True,0.2838491201400757,0.5161508798599244,False,True,False,False,False
p02910,Description_Simple,0.1,0.1,0.1,0.1,False,0.4176592528820038,0.3176592528820038,True,False,False,False,True
p02917,Description_Simple,0.2,0.2,0.2,0.2,False,0.5303500890731812,0.33035008907318114,False,False,True,False,False
p03469,Description_Simple,0.2,0.2,0.2,0.2,False,0.6210827827453613,0.4210827827453613,False,False,True,False,False
p03456,Description_Simple,0.9,0.9,0.9,0.9,True,0.5262185335159302,0.37378146648406985,True,True,True,True,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.42135366797447205,0.42135366797447205,True,False,False,False,True
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.6751992702484131,0.22480072975158694,True,True,True,True,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.4400440752506256,0.5599559247493744,False,True,False,False,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.3661872446537018,0.6338127553462982,False,True,False,False,False
p02711,Description_Simple,0.1,0.1,0.1,0.1,False,0.4488830864429474,0.3488830864429474,True,False,False,False,True
p02981,Description_Simple,0.7,0.7,0.7,0.7,True,0.2746565341949463,0.42534346580505367,False,True,False,False,False
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.722443699836731,0.07755630016326909,True,True,True,True,False
p03854,Description_Simple,1.0,1.0,1.0,1.0,True,0.4280981421470642,0.5719018578529358,False,True,False,False,False
p02718,Description_Simple,0.0,0.0,0.0,0.0,False,0.4878346621990204,0.4878346621990204,True,False,False,False,True
