Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02818,Description_Detailed,0.0,0.0,0.0,False,0.06321394443511963,0.06321394443511963,True,False,False,False,True
p02818,Description_Fewshot,0.0,0.0,0.0,False,0.1725083887577057,0.1725083887577057,True,False,False,False,True
p02818,Description_Reason,0.0,0.0,0.0,False,0.17647936940193176,0.17647936940193176,True,False,False,False,True
p02818,Description_Simple,0.0,0.0,0.0,False,0.17206861078739166,0.17206861078739166,True,False,False,False,True
p02818,Description_Vague,0.0,0.0,0.0,False,0.18893271684646606,0.18893271684646606,True,False,False,False,True
p02713,Description_Detailed,0.0,0.0,0.0,False,0.5870597958564758,0.5870597958564758,False,False,True,False,False
p02713,Description_Fewshot,0.0,0.0,0.0,False,0.5044622421264648,0.5044622421264648,False,False,True,False,False
p02713,Description_Reason,0.0,0.0,0.0,False,0.12155943363904953,0.12155943363904953,True,False,False,False,True
p02713,Description_Simple,0.0,0.0,0.0,False,0.555550754070282,0.555550754070282,False,False,True,False,False
p02713,Description_Vague,0.0,0.1,0.05,False,0.5582395792007446,0.5082395792007446,False,False,True,False,False
p03545,Description_Detailed,0.1,0.0,0.05,False,0.2387275993824005,0.18872759938240052,True,False,False,False,True
p03545,Description_Fewshot,0.0,0.0,0.0,False,0.45563584566116333,0.45563584566116333,True,False,False,False,True
p03545,Description_Reason,0.0,0.0,0.0,False,0.1175491064786911,0.1175491064786911,True,False,False,False,True
p03545,Description_Simple,0.1,0.0,0.05,False,0.5017374753952026,0.45173747539520265,False,False,True,False,False
p03545,Description_Vague,0.0,0.1,0.05,False,0.4486052393913269,0.3986052393913269,True,False,False,False,True
p02755,Description_Detailed,0.0,0.0,0.0,False,0.36679303646087646,0.36679303646087646,True,False,False,False,True
p02755,Description_Fewshot,0.0,0.0,0.0,False,0.2716474235057831,0.2716474235057831,True,False,False,False,True
p02755,Description_Reason,0.0,0.9,0.45,False,0.22679507732391357,0.22320492267608644,True,False,False,False,True
