Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03086,Description_Detailed,0.4,0.0,0.2,False,0.5982882976531982,0.39828829765319823,False,False,True,False,False
p03086,Description_Fewshot,0.0,0.0,0.0,False,0.5582640767097473,0.5582640767097473,False,False,True,False,False
p03086,Description_Reason,0.4,0.4,0.4,False,0.3272039592266083,0.07279604077339175,True,False,False,False,True
p03086,Description_Simple,0.4,0.0,0.2,False,0.5542726516723633,0.35427265167236327,False,False,True,False,False
p03086,Description_Vague,0.4,0.4,0.4,False,0.6051318049430847,0.2051318049430847,False,False,True,False,False
p03325,Description_Detailed,0.0,0.4,0.2,False,0.3937268555164337,0.1937268555164337,True,False,False,False,True
p03325,Description_Fewshot,0.4,0.4,0.4,False,0.42242711782455444,0.02242711782455442,True,False,False,False,True
p03325,Description_Reason,0.0,0.4,0.2,False,0.2941369414329529,0.09413694143295287,True,False,False,False,True
p03325,Description_Simple,0.0,0.0,0.0,False,0.3632824420928955,0.3632824420928955,True,False,False,False,True
p03325,Description_Vague,0.0,0.0,0.0,False,0.3573579490184784,0.3573579490184784,True,False,False,False,True
p03493,Description_Detailed,0.1,0.9,0.5,True,0.42212748527526855,0.07787251472473145,False,True,False,False,False
p03493,Description_Fewshot,0.4,0.1,0.25,False,0.2711571455001831,0.021157145500183105,True,False,False,False,True
p03493,Description_Reason,0.1,0.1,0.1,False,0.19633686542510986,0.09633686542510986,True,False,False,False,True
p03493,Description_Simple,0.9,0.4,0.65,True,0.13946786522865295,0.5105321347713471,False,True,False,False,False
p03493,Description_Vague,0.7,0.7,0.7,True,0.23776698112487793,0.462233018875122,False,True,False,False,False
p02755,Description_Detailed,0.0,0.0,0.0,False,0.5871580243110657,0.5871580243110657,False,False,True,False,False
p02755,Description_Fewshot,0.1,0.0,0.05,False,0.4738180637359619,0.4238180637359619,True,False,False,False,True
p02755,Description_Reason,0.0,0.1,0.05,False,0.30110251903533936,0.25110251903533937,True,False,False,False,True
p02755,Description_Simple,0.0,0.1,0.05,False,0.28938162326812744,0.23938162326812745,True,False,False,False,True
p02755,Description_Vague,0.0,0.0,0.0,False,0.4040587544441223,0.4040587544441223,True,False,False,False,True
p02394,Description_Detailed,0.0,0.0,0.0,False,0.47716203331947327,0.47716203331947327,True,False,False,False,True
p02394,Description_Fewshot,0.0,0.0,0.0,False,0.5375553369522095,0.5375553369522095,False,False,True,False,False
p02394,Description_Reason,0.0,0.0,0.0,False,0.19330713152885437,0.19330713152885437,True,False,False,False,True
p02394,Description_Simple,0.1,0.1,0.1,False,0.48879390954971313,0.38879390954971316,True,False,False,False,True
p02394,Description_Vague,0.0,0.0,0.0,False,0.48710206151008606,0.48710206151008606,True,False,False,False,True
p02945,Description_Detailed,0.0,0.0,0.0,False,0.42480263113975525,0.42480263113975525,True,False,False,False,True
p02945,Description_Fewshot,0.1,0.0,0.05,False,0.4783158302307129,0.4283158302307129,True,False,False,False,True
p02945,Description_Reason,0.1,0.0,0.05,False,0.4288432002067566,0.3788432002067566,True,False,False,False,True
p02945,Description_Simple,0.0,0.0,0.0,False,0.5041486620903015,0.5041486620903015,False,False,True,False,False
p02945,Description_Vague,0.0,0.1,0.05,False,0.3773149251937866,0.32731492519378663,True,False,False,False,True
p03469,Description_Detailed,0.0,1.0,0.5,True,0.4072108864784241,0.09278911352157593,False,True,False,False,False
p03469,Description_Fewshot,1.0,0.0,0.5,True,0.20957663655281067,0.29042336344718933,False,True,False,False,False
p03469,Description_Reason,1.0,1.0,1.0,True,0.1919470578432083,0.8080529421567917,False,True,False,False,False
p03469,Description_Simple,0.1,0.0,0.05,False,0.21246662735939026,0.16246662735939027,True,False,False,False,True
p03469,Description_Vague,0.0,0.1,0.05,False,0.21616746485233307,0.16616746485233308,True,False,False,False,True
p02934,Description_Detailed,0.1,1.0,0.55,True,0.26223090291023254,0.2877690970897675,False,True,False,False,False
p02934,Description_Fewshot,0.0,0.1,0.05,False,0.2816113829612732,0.2316113829612732,True,False,False,False,True
p02934,Description_Reason,1.0,0.0,0.5,True,0.12283327430486679,0.3771667256951332,False,True,False,False,False
p02934,Description_Simple,1.0,1.0,1.0,True,0.32178211212158203,0.678217887878418,False,True,False,False,False
p02934,Description_Vague,1.0,0.9,0.95,True,0.25863462686538696,0.691365373134613,False,True,False,False,False
p03448,Description_Detailed,1.0,1.0,1.0,True,0.5854927897453308,0.4145072102546692,True,True,True,True,False
p03448,Description_Fewshot,1.0,1.0,1.0,True,0.6277524828910828,0.37224751710891724,True,True,True,True,False
p03448,Description_Reason,0.9,0.9,0.9,True,0.5095417499542236,0.3904582500457764,True,True,True,True,False
p03448,Description_Simple,0.9,1.0,0.95,True,0.6052354574203491,0.34476454257965083,True,True,True,True,False
p03448,Description_Vague,0.9,0.9,0.9,True,0.5955110192298889,0.3044889807701111,True,True,True,True,False
p02420,Description_Detailed,0.1,0.0,0.05,False,0.3321254849433899,0.2821254849433899,True,False,False,False,True
p02420,Description_Fewshot,0.1,0.1,0.1,False,0.41208523511886597,0.312085235118866,True,False,False,False,True
p02420,Description_Reason,0.0,0.1,0.05,False,0.20794877409934998,0.15794877409935,True,False,False,False,True
p02420,Description_Simple,0.1,0.1,0.1,False,0.35324397683143616,0.2532439768314362,True,False,False,False,True
p02420,Description_Vague,0.0,0.0,0.0,False,0.3692049980163574,0.3692049980163574,True,False,False,False,True
