Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,0.0,0.0,0.0,0.0,False,0.546562671661377,0.546562671661377,False,False,True,False,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.44712308049201965,0.5528769195079803,False,True,False,False,False
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.4826621413230896,0.5173378586769104,False,True,False,False,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.6183887720108032,0.3816112279891968,True,True,True,True,False
p00003,Description_Simple,0.0,0.0,0.0,0.0,False,0.39665281772613525,0.39665281772613525,True,False,False,False,True
p00011,Description_Simple,0.0,0.0,0.0,0.0,False,0.305557519197464,0.305557519197464,True,False,False,False,True
p00006,Description_Simple,0.9,0.9,0.9,0.9,True,0.3620520830154419,0.5379479169845581,False,True,False,False,False
p02256,Description_Simple,0.1,0.1,0.1,0.1,False,0.6083002686500549,0.508300268650055,False,False,True,False,False
p02258,Description_Simple,0.0,0.0,0.0,0.0,False,0.3619583547115326,0.3619583547115326,True,False,False,False,True
p02268,Description_Simple,0.0,0.0,0.0,0.0,False,-0.00600381288677454,0.00600381288677454,True,False,False,False,True
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.5775834321975708,0.4224165678024292,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.6234381794929504,0.37656182050704956,True,True,True,True,False
p02264,Description_Simple,0.0,0.0,0.0,0.0,False,0.6087874174118042,0.6087874174118042,False,False,True,False,False
p00007,Description_Simple,0.0,0.0,0.0,0.0,False,0.504185140132904,0.504185140132904,False,False,True,False,False
p00005,Description_Simple,0.0,0.0,0.0,0.0,False,0.11656805872917175,0.11656805872917175,True,False,False,False,True
p02259,Description_Simple,0.0,0.0,0.0,0.0,False,0.6847622990608215,0.6847622990608215,False,False,True,False,False
p02404,Description_Simple,1.0,1.0,1.0,1.0,True,0.18115286529064178,0.8188471347093582,False,True,False,False,False
p02388,Description_Simple,0.0,0.0,0.0,0.0,False,0.029770327731966972,0.029770327731966972,True,False,False,False,True
p02403,Description_Simple,1.0,1.0,1.0,1.0,True,0.4036060869693756,0.5963939130306244,False,True,False,False,False
p02381,Description_Simple,0.0,0.0,0.0,0.0,False,0.6465954780578613,0.6465954780578613,False,False,True,False,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.07305940240621567,0.9269405975937843,False,True,False,False,False
p02390,Description_Simple,1.0,1.0,1.0,1.0,True,0.4804391860961914,0.5195608139038086,False,True,False,False,False
p02389,Description_Simple,0.0,0.0,0.0,0.0,False,0.20017139613628387,0.20017139613628387,True,False,False,False,True
p02392,Description_Simple,1.0,1.0,1.0,1.0,True,0.2684924006462097,0.7315075993537903,False,True,False,False,False
p02394,Description_Simple,0.8,0.8,0.8,0.8,True,0.2226162552833557,0.5773837447166443,False,True,False,False,False
p02393,Description_Simple,0.0,0.0,0.0,0.0,False,0.6403038501739502,0.6403038501739502,False,False,True,False,False
p02401,Description_Simple,0.0,0.0,0.0,0.0,False,0.42586392164230347,0.42586392164230347,True,False,False,False,True
p02402,Description_Simple,0.0,0.0,0.0,0.0,False,0.3974928855895996,0.3974928855895996,True,False,False,False,True
p02400,Description_Simple,0.0,0.0,0.0,0.0,False,0.03621825948357582,0.03621825948357582,True,False,False,False,True
p02397,Description_Simple,0.1,0.1,0.1,0.1,False,0.4252638816833496,0.32526388168334963,True,False,False,False,True
p02398,Description_Simple,0.0,0.0,0.0,0.0,False,0.5285280346870422,0.5285280346870422,False,False,True,False,False
p02396,Description_Simple,0.0,0.0,0.0,0.0,False,0.3139045238494873,0.3139045238494873,True,False,False,False,True
p02409,Description_Simple,0.0,0.0,0.0,0.0,False,0.45491665601730347,0.45491665601730347,True,False,False,False,True
p02405,Description_Simple,0.0,0.0,0.0,0.0,False,0.13563844561576843,0.13563844561576843,True,False,False,False,True
p02408,Description_Simple,1.0,1.0,1.0,1.0,True,0.5884387493133545,0.4115612506866455,True,True,True,True,False
p02406,Description_Simple,0.0,0.0,0.0,0.0,False,0.07335998862981796,0.07335998862981796,True,False,False,False,True
p02412,Description_Simple,0.0,0.0,0.0,0.0,False,0.07170835137367249,0.07170835137367249,True,False,False,False,True
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.5163549780845642,0.4836450219154358,True,True,True,True,False
p02413,Description_Simple,0.0,0.0,0.0,0.0,False,0.5412414073944092,0.5412414073944092,False,False,True,False,False
p02411,Description_Simple,0.0,0.0,0.0,0.0,False,0.552858293056488,0.552858293056488,False,False,True,False,False
p02415,Description_Simple,0.9,0.9,0.9,0.9,True,0.4694344103336334,0.4305655896663666,False,True,False,False,False
p02416,Description_Simple,0.0,0.0,0.0,0.0,False,0.5825760364532471,0.5825760364532471,False,False,True,False,False
p02407,Description_Simple,0.0,0.0,0.0,0.0,False,0.4671201705932617,0.4671201705932617,True,False,False,False,True
p02419,Description_Simple,0.0,0.0,0.0,0.0,False,0.32653647661209106,0.32653647661209106,True,False,False,False,True
p02420,Description_Simple,0.0,0.0,0.0,0.0,False,0.2260732352733612,0.2260732352733612,True,False,False,False,True
p02417,Description_Simple,0.0,0.0,0.0,0.0,False,0.5411667227745056,0.5411667227745056,False,False,True,False,False
p02414,Description_Simple,0.0,0.0,0.0,0.0,False,0.5167009830474854,0.5167009830474854,False,False,True,False,False
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.4301075339317322,0.5698924660682678,False,True,False,False,False
p02595,Description_Simple,0.0,0.0,0.0,0.0,False,0.46590718626976013,0.46590718626976013,True,False,False,False,True
p02553,Description_Simple,0.0,0.0,0.0,0.0,False,0.511720597743988,0.511720597743988,False,False,True,False,False
p02578,Description_Simple,0.0,0.0,0.0,0.0,False,0.24855738878250122,0.24855738878250122,True,False,False,False,True
p02627,Description_Simple,0.0,0.0,0.0,0.0,False,0.4214971959590912,0.4214971959590912,True,False,False,False,True
p02622,Description_Simple,1.0,1.0,1.0,1.0,True,0.31777021288871765,0.6822297871112823,False,True,False,False,False
p02582,Description_Simple,0.0,0.0,0.0,0.0,False,0.4777824580669403,0.4777824580669403,True,False,False,False,True
p02612,Description_Simple,1.0,1.0,1.0,1.0,True,0.5707118511199951,0.4292881488800049,True,True,True,True,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.4531850218772888,0.5468149781227112,False,True,False,False,False
p02613,Description_Simple,0.0,0.0,0.0,0.0,False,0.39693382382392883,0.39693382382392883,True,False,False,False,True
p02547,Description_Simple,0.0,0.0,0.0,0.0,False,0.3618009090423584,0.3618009090423584,True,False,False,False,True
p02621,Description_Simple,0.4,0.4,0.4,0.4,False,0.4506264925003052,0.050626492500305154,True,False,False,False,True
p02552,Description_Simple,0.0,0.0,0.0,0.0,False,0.1597198247909546,0.1597198247909546,True,False,False,False,True
