Problem_ID,Success_Rate,Success_Count,Failure_Count,Total_Evaluations
p02994,0.28,63,162,225
p02922,0.3688888888888889,83,142,225
p02414,0.48444444444444446,109,116,225
p03854,0.17777777777777778,40,185,225
p03324,0.2088888888888889,47,178,225
p02970,0.37777777777777777,85,140,225
p02771,0.41333333333333333,93,132,225
p02258,0.40444444444444444,91,134,225
p02682,0.4311111111111111,97,128,225
p02677,0.23555555555555555,53,172,225
p02628,0.4088888888888889,92,133,225
p03814,0.39555555555555555,89,136,225
p02959,0.32,72,153,225
p03220,0.17333333333333334,39,186,225
p02909,0.21777777777777776,49,176,225
p02389,0.37333333333333335,84,141,225
p03448,0.5111111111111111,115,110,225
p02717,0.11555555555555555,26,199,225
p03109,0.24888888888888888,56,169,225
p02391,0.38666666666666666,87,138,225
p02577,0.47555555555555556,107,118,225
p02880,0.3022222222222222,68,157,225
p03293,0.5066666666666667,114,111,225
p03102,0.4311111111111111,97,128,225
p02729,0.28444444444444444,64,161,225
p03434,0.4666666666666667,105,120,225
p02706,0.40444444444444444,91,134,225
p02404,0.39111111111111113,88,137,225
p04030,0.2311111111111111,52,173,225
p02911,0.2088888888888889,47,178,225
p03325,0.20444444444444446,46,179,225
p02418,0.28888888888888886,65,160,225
p02779,0.26666666666666666,60,165,225
p00011,0.24888888888888888,56,169,225
p02832,0.29333333333333333,66,159,225
p02578,0.3288888888888889,74,151,225
p02718,0.32,72,153,225
p02396,0.3333333333333333,75,150,225
p02641,0.30666666666666664,69,156,225
p02621,0.27111111111111114,61,164,225
p02399,0.44,99,126,225
p02879,0.4444444444444444,100,125,225
p02812,0.4533333333333333,102,123,225
p02923,0.31555555555555553,71,154,225
p02419,0.37333333333333335,84,141,225
p02388,0.5022222222222222,113,112,225
p03076,0.25333333333333335,57,168,225
p02639,0.17333333333333334,39,186,225
p02263,0.4622222222222222,104,121,225
p03282,0.15555555555555556,35,190,225
p02693,0.27555555555555555,62,163,225
p02886,0.28888888888888886,65,160,225
p04012,0.40444444444444444,91,134,225
p02786,0.3466666666666667,78,147,225
p02847,0.30666666666666664,69,156,225
p03239,0.29777777777777775,67,158,225
p03041,0.3466666666666667,78,147,225
p03242,0.12444444444444444,28,197,225
p02731,0.17777777777777778,40,185,225
p03013,0.17777777777777778,40,185,225
p02701,0.6577777777777778,148,77,225
p02958,0.3422222222222222,77,148,225
p03261,0.39555555555555555,89,136,225
p03455,0.39555555555555555,89,136,225
p02887,0.4533333333333333,102,123,225
p02640,0.21333333333333335,48,177,225
p02402,0.4577777777777778,103,122,225
p02409,0.3288888888888889,74,151,225
p02421,0.4,90,135,225
p02921,0.24,54,171,225
p02993,0.39111111111111113,88,137,225
p03011,0.27555555555555555,62,163,225
p03370,0.26666666666666666,60,165,225
