model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,16,17.2,19.6,24,34.4,29.2,32.4,33.2,42,33.6,33.2,28.4,31.6,34.8
GPT-3.5,16,0,25.2,25.2,26.4,36.8,31.6,37.2,35.6,38.8,36.8,35.6,30.8,35.6,38.8
O4-mini,17.2,25.2,0,16,30,34.8,28,33.6,31.2,45.6,33.2,30.4,29.6,29.6,33.6
Gemini,19.6,25.2,16,0,36.4,38.8,26.4,34.4,31.2,45.6,31.6,30.4,28.8,31.2,32
Llama-70B,24,26.4,30,36.4,0,36,37.2,38.8,38,39.6,39.2,38.8,36.4,38,42.8
Mistral,34.4,36.8,34.8,38.8,36,0,35.6,34,34.8,32.4,32,35.6,30.8,38,34.8
DeepSeek-V3.1,29.2,31.6,28,26.4,37.2,35.6,0,20.8,20.8,35.2,19.6,23.2,17.6,18.4,19.2
DeepSeek-R1,32.4,37.2,33.6,34.4,38.8,34,20.8,0,12.8,24.8,15.6,16,16,14.4,15.2
DeepSeek-V4-Pro,33.2,35.6,31.2,31.2,38,34.8,20.8,12.8,0,25.6,14,18.4,12.8,13.6,12
QwenCoder,42,38.8,45.6,45.6,39.6,32.4,35.2,24.8,25.6,0,27.6,29.6,28.8,32,29.6
Qwen3.7,33.6,36.8,33.2,31.6,39.2,32,19.6,15.6,14,27.6,0,19.6,15.6,13.2,15.6
Claude-5,33.2,35.6,30.4,30.4,38.8,35.6,23.2,16,18.4,29.6,19.6,0,16,19.2,20
GLM-5,28.4,30.8,29.6,28.8,36.4,30.8,17.6,16,12.8,28.8,15.6,16,0,14.4,15.2
Kimi-K2.7,31.6,35.6,29.6,31.2,38,38,18.4,14.4,13.6,32,13.2,19.2,14.4,0,16.8
GPT-5,34.8,38.8,33.6,32,42.8,34.8,19.2,15.2,12,29.6,15.6,20,15.2,16.8,0
