Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.4411219656467438,0.5588780343532562,False,True,False,False,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.44980892539024353,0.5501910746097565,False,True,False,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.7466520667076111,0.2533479332923889,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6406188607215881,0.35938113927841187,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6335664987564087,0.3664335012435913,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.44630083441734314,0.5536991655826569,False,True,False,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.819713830947876,0.18028616905212402,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.7093877196311951,0.7093877196311951,False,False,True,False,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.7854004502296448,0.21459954977035522,True,True,True,True,False
mbpp_0123,Description_Simple,0.9,0.9,0.9,0.9,True,0.6399741768836975,0.2600258231163025,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.4484708309173584,0.5515291690826416,False,True,False,False,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.43891698122024536,0.5610830187797546,False,True,False,False,False
mbpp_0423,Description_Simple,0.4,0.4,0.4,0.4,False,0.6119256615638733,0.21192566156387327,False,False,True,False,False
mbpp_0838,Description_Simple,0.0,0.0,0.0,0.0,False,0.7389141321182251,0.7389141321182251,False,False,True,False,False
mbpp_0408,Description_Simple,0.3,0.3,0.3,0.3,False,0.5913722515106201,0.29137225151062013,False,False,True,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.790876030921936,0.20912396907806396,True,True,True,True,False
mbpp_0315,Description_Simple,0.2,0.2,0.2,0.2,False,0.6833497285842896,0.48334972858428954,False,False,True,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.694107711315155,0.30589228868484497,True,True,True,True,False
mbpp_0628,Description_Simple,0.7,0.7,0.7,0.7,True,0.5968962907791138,0.10310370922088619,True,True,True,True,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.6188098192214966,0.3811901807785034,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6321430802345276,0.3678569197654724,True,True,True,True,False
mbpp_0834,Description_Simple,0.2,0.2,0.2,0.2,False,0.7868394255638123,0.5868394255638123,False,False,True,False,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.6493978500366211,0.3506021499633789,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6946468949317932,0.3053531050682068,True,True,True,True,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6789381504058838,0.3210618495941162,True,True,True,True,False
mbpp_0665,Description_Simple,0.1,0.1,0.1,0.1,False,0.4201448857784271,0.32014488577842715,True,False,False,False,True
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.7249729633331299,0.32497296333312986,False,False,True,False,False
mbpp_0898,Description_Simple,0.2,0.2,0.2,0.2,False,0.4819745421409607,0.2819745421409607,True,False,False,False,True
mbpp_0822,Description_Simple,0.2,0.2,0.2,0.2,False,0.5780408382415771,0.37804083824157714,False,False,True,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.724332332611084,0.275667667388916,True,True,True,True,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.7187022566795349,0.3187022566795349,False,False,True,False,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.660638153553009,0.33936184644699097,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7232214212417603,0.27677857875823975,True,True,True,True,False
mbpp_0550,Description_Simple,0.2,0.2,0.2,0.2,False,0.5181460976600647,0.3181460976600647,False,False,True,False,False
mbpp_0523,Description_Simple,0.6,0.6,0.6,0.6,True,0.6280729174613953,0.028072917461395286,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.7186585068702698,0.2813414931297302,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.7406309247016907,0.2593690752983093,True,True,True,True,False
mbpp_0755,Description_Simple,0.6,0.6,0.6,0.6,True,0.5134609341621399,0.08653906583786009,True,True,True,True,False
mbpp_0881,Description_Simple,1.0,1.0,1.0,1.0,True,0.5515732765197754,0.4484267234802246,True,True,True,True,False
mbpp_0926,Description_Simple,0.9,0.9,0.9,0.9,True,0.5989487171173096,0.30105128288269045,True,True,True,True,False
mbpp_0455,Description_Simple,1.0,1.0,1.0,1.0,True,0.7139269113540649,0.28607308864593506,True,True,True,True,False
mbpp_0907,Description_Simple,1.0,1.0,1.0,1.0,True,0.773840069770813,0.226159930229187,True,True,True,True,False
mbpp_0866,Description_Simple,1.0,1.0,1.0,1.0,True,0.7281802296638489,0.2718197703361511,True,True,True,True,False
mbpp_0850,Description_Simple,0.0,0.0,0.0,0.0,False,0.5128445625305176,0.5128445625305176,False,False,True,False,False
mbpp_0463,Description_Simple,0.9,0.9,0.9,0.9,True,0.7026698589324951,0.1973301410675049,True,True,True,True,False
mbpp_0453,Description_Simple,0.4,0.4,0.4,0.4,False,0.669809877872467,0.269809877872467,False,False,True,False,False
mbpp_0074,Description_Simple,0.2,0.2,0.2,0.2,False,0.5379429459571838,0.3379429459571838,False,False,True,False,False
mbpp_0031,Description_Simple,1.0,1.0,1.0,1.0,True,0.7347300052642822,0.2652699947357178,True,True,True,True,False
mbpp_0129,Description_Simple,0.1,0.1,0.1,0.1,False,0.6053354740142822,0.5053354740142822,False,False,True,False,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.4798486828804016,0.5201513171195984,False,True,False,False,False
mbpp_0469,Description_Simple,0.8,0.8,0.8,0.8,True,0.4251294732093811,0.37487052679061894,False,True,False,False,False
mbpp_0113,Description_Simple,0.9,0.9,0.9,0.9,True,0.624595046043396,0.275404953956604,True,True,True,True,False
mbpp_0247,Description_Simple,1.0,1.0,1.0,1.0,True,0.7331008911132812,0.26689910888671875,True,True,True,True,False
mbpp_0639,Description_Simple,0.4,0.4,0.4,0.4,False,0.554757833480835,0.15475783348083494,False,False,True,False,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.7144056558609009,0.2855943441390991,True,True,True,True,False
mbpp_0306,Description_Simple,0.4,0.4,0.4,0.4,False,0.6543760895729065,0.25437608957290647,False,False,True,False,False
mbpp_0689,Description_Simple,1.0,1.0,1.0,1.0,True,0.8409675359725952,0.15903246402740479,True,True,True,True,False
mbpp_0239,Description_Simple,0.0,0.0,0.0,0.0,False,0.46687233448028564,0.46687233448028564,True,False,False,False,True
mbpp_0466,Description_Simple,1.0,1.0,1.0,1.0,True,0.7562776207923889,0.24372237920761108,True,True,True,True,False
mbpp_0107,Description_Simple,0.1,0.1,0.1,0.1,False,0.7357858419418335,0.6357858419418335,False,False,True,False,False
mbpp_0121,Description_Simple,0.9,0.9,0.9,0.9,True,0.5431838035583496,0.3568161964416504,True,True,True,True,False
mbpp_0885,Description_Simple,1.0,1.0,1.0,1.0,True,0.7568427920341492,0.24315720796585083,True,True,True,True,False
mbpp_0108,Description_Simple,0.7,0.7,0.7,0.7,True,0.5994229912757874,0.1005770087242126,True,True,True,True,False
mbpp_0826,Description_Simple,0.4,0.4,0.4,0.4,False,0.7548113465309143,0.3548113465309143,False,False,True,False,False
mbpp_0570,Description_Simple,0.3,0.3,0.3,0.3,False,0.5263603329658508,0.22636033296585084,False,False,True,False,False
mbpp_0485,Description_Simple,0.9,0.9,0.9,0.9,True,0.7192075848579407,0.18079241514205935,True,True,True,True,False
mbpp_0231,Description_Simple,1.0,1.0,1.0,1.0,True,0.6945288777351379,0.30547112226486206,True,True,True,True,False
mbpp_0181,Description_Simple,1.0,1.0,1.0,1.0,True,0.7335265278816223,0.2664734721183777,True,True,True,True,False
mbpp_0685,Description_Simple,1.0,1.0,1.0,1.0,True,0.7137242555618286,0.2862757444381714,True,True,True,True,False
mbpp_0397,Description_Simple,1.0,1.0,1.0,1.0,True,0.6687389016151428,0.3312610983848572,True,True,True,True,False
mbpp_0526,Description_Simple,0.9,0.9,0.9,0.9,True,0.7274894714355469,0.17251052856445315,True,True,True,True,False
mbpp_0863,Description_Simple,1.0,1.0,1.0,1.0,True,0.7159631252288818,0.28403687477111816,True,True,True,True,False
mbpp_0632,Description_Simple,0.8,0.8,0.8,0.8,True,0.565894365310669,0.2341056346893311,True,True,True,True,False
mbpp_0971,Description_Simple,1.0,1.0,1.0,1.0,True,0.5443603992462158,0.4556396007537842,True,True,True,True,False
mbpp_0745,Description_Simple,1.0,1.0,1.0,1.0,True,0.668660044670105,0.331339955329895,True,True,True,True,False
mbpp_0943,Description_Simple,0.8,0.8,0.8,0.8,True,0.4262229800224304,0.3737770199775696,False,True,False,False,False
mbpp_0256,Description_Simple,1.0,1.0,1.0,1.0,True,0.6673372983932495,0.3326627016067505,True,True,True,True,False
mbpp_0620,Description_Simple,0.0,0.0,0.0,0.0,False,0.5817970037460327,0.5817970037460327,False,False,True,False,False
mbpp_0054,Description_Simple,1.0,1.0,1.0,1.0,True,0.565888524055481,0.43411147594451904,True,True,True,True,False
mbpp_0597,Description_Simple,0.8,0.8,0.8,0.8,True,0.605954110622406,0.19404588937759404,True,True,True,True,False
mbpp_0922,Description_Simple,1.0,1.0,1.0,1.0,True,0.6223906874656677,0.3776093125343323,True,True,True,True,False
mbpp_0476,Description_Simple,1.0,1.0,1.0,1.0,True,0.6334164142608643,0.36658358573913574,True,True,True,True,False
mbpp_0588,Description_Simple,1.0,1.0,1.0,1.0,True,0.41742053627967834,0.5825794637203217,False,True,False,False,False
mbpp_0415,Description_Simple,1.0,1.0,1.0,1.0,True,0.7214731574058533,0.27852684259414673,True,True,True,True,False
mbpp_0531,Description_Simple,1.0,1.0,1.0,1.0,True,0.6830386519432068,0.3169613480567932,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5503748655319214,0.4496251344680786,True,True,True,True,False
mbpp_0751,Description_Simple,1.0,1.0,1.0,1.0,True,0.6677877306938171,0.33221226930618286,True,True,True,True,False
mbpp_0918,Description_Simple,1.0,1.0,1.0,1.0,True,0.6378703117370605,0.36212968826293945,True,True,True,True,False
mbpp_0819,Description_Simple,0.9,0.9,0.9,0.9,True,0.5274883508682251,0.3725116491317749,True,True,True,True,False
mbpp_0702,Description_Simple,1.0,1.0,1.0,1.0,True,0.38620245456695557,0.6137975454330444,False,True,False,False,False
mbpp_0622,Description_Simple,0.9,0.9,0.9,0.9,True,0.6262590885162354,0.27374091148376467,True,True,True,True,False
mbpp_0448,Description_Simple,1.0,1.0,1.0,1.0,True,0.7177932262420654,0.28220677375793457,True,True,True,True,False
mbpp_0717,Description_Simple,1.0,1.0,1.0,1.0,True,0.4285663068294525,0.5714336931705475,False,True,False,False,False
mbpp_0141,Description_Simple,1.0,1.0,1.0,1.0,True,0.7649643421173096,0.23503565788269043,True,True,True,True,False
mbpp_0853,Description_Simple,1.0,1.0,1.0,1.0,True,0.8139232993125916,0.18607670068740845,True,True,True,True,False
mbpp_0714,Description_Simple,0.2,0.2,0.2,0.2,False,0.5858446359634399,0.38584463596343993,False,False,True,False,False
mbpp_0071,Description_Simple,1.0,1.0,1.0,1.0,True,0.6206803917884827,0.37931960821151733,True,True,True,True,False
mbpp_0122,Description_Simple,0.2,0.2,0.2,0.2,False,0.5124180316925049,0.31241803169250487,False,False,True,False,False
mbpp_0131,Description_Simple,1.0,1.0,1.0,1.0,True,0.825741171836853,0.17425882816314697,True,True,True,True,False
mbpp_0374,Description_Simple,0.9,0.9,0.9,0.9,True,0.5820747017860413,0.31792529821395876,True,True,True,True,False
mbpp_0175,Description_Simple,0.8,0.8,0.8,0.8,True,0.6462647914886475,0.15373520851135258,True,True,True,True,False
mbpp_0386,Description_Simple,1.0,1.0,1.0,1.0,True,0.7338413000106812,0.26615869998931885,True,True,True,True,False
mbpp_0846,Description_Simple,1.0,1.0,1.0,1.0,True,0.7007206678390503,0.2992793321609497,True,True,True,True,False
mbpp_0652,Description_Simple,0.2,0.2,0.2,0.2,False,0.4512459635734558,0.2512459635734558,True,False,False,False,True
mbpp_0001,Description_Simple,1.0,1.0,1.0,1.0,True,0.5944485664367676,0.4055514335632324,True,True,True,True,False
mbpp_0661,Description_Simple,0.0,0.0,0.0,0.0,False,0.6723432540893555,0.6723432540893555,False,False,True,False,False
mbpp_0395,Description_Simple,1.0,1.0,1.0,1.0,True,0.7351730465888977,0.2648269534111023,True,True,True,True,False
mbpp_0829,Description_Simple,1.0,1.0,1.0,1.0,True,0.6395600438117981,0.3604399561882019,True,True,True,True,False
mbpp_0020,Description_Simple,0.0,0.0,0.0,0.0,False,0.5966855883598328,0.5966855883598328,False,False,True,False,False
mbpp_0492,Description_Simple,0.9,0.9,0.9,0.9,True,0.6351519227027893,0.2648480772972107,True,True,True,True,False
mbpp_0070,Description_Simple,0.7,0.7,0.7,0.7,True,0.5501320958137512,0.14986790418624873,True,True,True,True,False
mbpp_0038,Description_Simple,1.0,1.0,1.0,1.0,True,0.5426427125930786,0.4573572874069214,True,True,True,True,False
mbpp_0594,Description_Simple,1.0,1.0,1.0,1.0,True,0.608443021774292,0.391556978225708,True,True,True,True,False
mbpp_0508,Description_Simple,1.0,1.0,1.0,1.0,True,0.5406531095504761,0.4593468904495239,True,True,True,True,False
mbpp_0496,Description_Simple,0.8,0.8,0.8,0.8,True,0.5537812113761902,0.24621878862380986,True,True,True,True,False
mbpp_0576,Description_Simple,1.0,1.0,1.0,1.0,True,0.7185304164886475,0.28146958351135254,True,True,True,True,False
mbpp_0810,Description_Simple,0.1,0.1,0.1,0.1,False,0.2404382824897766,0.1404382824897766,True,False,False,False,True
mbpp_0784,Description_Simple,0.8,0.8,0.8,0.8,True,0.45111867785453796,0.3488813221454621,False,True,False,False,False
mbpp_0032,Description_Simple,1.0,1.0,1.0,1.0,True,0.8292754888534546,0.1707245111465454,True,True,True,True,False
mbpp_0684,Description_Simple,0.0,0.0,0.0,0.0,False,0.5589590072631836,0.5589590072631836,False,False,True,False,False
mbpp_0608,Description_Simple,1.0,1.0,1.0,1.0,True,0.7011094093322754,0.2988905906677246,True,True,True,True,False
mbpp_0781,Description_Simple,1.0,1.0,1.0,1.0,True,0.8591271638870239,0.14087283611297607,True,True,True,True,False
mbpp_0428,Description_Simple,1.0,1.0,1.0,1.0,True,0.6499512195587158,0.3500487804412842,True,True,True,True,False
mbpp_0158,Description_Simple,0.7,0.7,0.7,0.7,True,0.5592943429946899,0.14070565700531001,True,True,True,True,False
mbpp_0283,Description_Simple,0.0,0.0,0.0,0.0,False,0.6019663214683533,0.6019663214683533,False,False,True,False,False
mbpp_0506,Description_Simple,1.0,1.0,1.0,1.0,True,0.6475220322608948,0.3524779677391052,True,True,True,True,False
mbpp_0362,Description_Simple,1.0,1.0,1.0,1.0,True,0.5947929620742798,0.4052070379257202,True,True,True,True,False
mbpp_0856,Description_Simple,0.7,0.7,0.7,0.7,True,0.5344295501708984,0.16557044982910152,True,True,True,True,False
mbpp_0869,Description_Simple,0.4,0.4,0.4,0.4,False,0.5000033974647522,0.10000339746475218,False,False,True,False,False
mbpp_0011,Description_Simple,0.4,0.4,0.4,0.4,False,0.7304830551147461,0.33048305511474607,False,False,True,False,False
mbpp_0721,Description_Simple,0.4,0.4,0.4,0.4,False,0.7118571400642395,0.3118571400642395,False,False,True,False,False
mbpp_0602,Description_Simple,0.9,0.9,0.9,0.9,True,0.5397374033927917,0.3602625966072083,True,True,True,True,False
mbpp_0034,Description_Simple,0.8,0.8,0.8,0.8,True,0.6993039846420288,0.10069601535797124,True,True,True,True,False
mbpp_0232,Description_Simple,1.0,1.0,1.0,1.0,True,0.5710614919662476,0.42893850803375244,True,True,True,True,False
mbpp_0130,Description_Simple,0.9,0.9,0.9,0.9,True,0.5374360680580139,0.3625639319419861,True,True,True,True,False
mbpp_0029,Description_Simple,0.9,0.9,0.9,0.9,True,0.6972537636756897,0.20274623632431032,True,True,True,True,False
mbpp_0304,Description_Simple,0.1,0.1,0.1,0.1,False,0.3683415949344635,0.2683415949344635,True,False,False,False,True
mbpp_0659,Description_Simple,0.8,0.8,0.8,0.8,True,0.6022257804870605,0.1977742195129395,True,True,True,True,False
mbpp_0207,Description_Simple,0.2,0.2,0.2,0.2,False,0.6558225750923157,0.45582257509231566,False,False,True,False,False
mbpp_0604,Description_Simple,1.0,1.0,1.0,1.0,True,0.6339768171310425,0.3660231828689575,True,True,True,True,False
mbpp_0366,Description_Simple,0.9,0.9,0.9,0.9,True,0.8346166014671326,0.06538339853286745,True,True,True,True,False
mbpp_0275,Description_Simple,0.0,0.0,0.0,0.0,False,0.5536141395568848,0.5536141395568848,False,False,True,False,False
mbpp_0842,Description_Simple,0.9,0.9,0.9,0.9,True,0.636008620262146,0.263991379737854,True,True,True,True,False
mbpp_0192,Description_Simple,1.0,1.0,1.0,1.0,True,0.5653240084648132,0.43467599153518677,True,True,True,True,False
mbpp_0188,Description_Simple,0.6,0.6,0.6,0.6,True,0.6382328271865845,0.038232827186584495,True,True,True,True,False
mbpp_0510,Description_Simple,0.8,0.8,0.8,0.8,True,0.35896551609039307,0.441034483909607,False,True,False,False,False
mbpp_0498,Description_Simple,0.7,0.7,0.7,0.7,True,0.6547561883926392,0.045243811607360795,True,True,True,True,False
mbpp_0577,Description_Simple,1.0,1.0,1.0,1.0,True,0.8565468788146973,0.14345312118530273,True,True,True,True,False
mbpp_0552,Description_Simple,1.0,1.0,1.0,1.0,True,0.5712027549743652,0.42879724502563477,True,True,True,True,False
mbpp_0183,Description_Simple,0.1,0.1,0.1,0.1,False,0.4239966869354248,0.3239966869354248,True,False,False,False,True
mbpp_0899,Description_Simple,0.0,0.0,0.0,0.0,False,0.7492765188217163,0.7492765188217163,False,False,True,False,False
mbpp_0916,Description_Simple,1.0,1.0,1.0,1.0,True,0.5159767866134644,0.48402321338653564,True,True,True,True,False
mbpp_0672,Description_Simple,1.0,1.0,1.0,1.0,True,0.6239471435546875,0.3760528564453125,True,True,True,True,False
mbpp_0172,Description_Simple,1.0,1.0,1.0,1.0,True,0.5446091890335083,0.4553908109664917,True,True,True,True,False
mbpp_0227,Description_Simple,1.0,1.0,1.0,1.0,True,0.528147280216217,0.47185271978378296,True,True,True,True,False
mbpp_0438,Description_Simple,1.0,1.0,1.0,1.0,True,0.44617676734924316,0.5538232326507568,False,True,False,False,False
mbpp_0481,Description_Simple,1.0,1.0,1.0,1.0,True,0.5141050219535828,0.48589497804641724,True,True,True,True,False
mbpp_0663,Description_Simple,0.7,0.7,0.7,0.7,True,0.47449249029159546,0.2255075097084045,False,True,False,False,False
mbpp_0191,Description_Simple,1.0,1.0,1.0,1.0,True,0.6231751441955566,0.37682485580444336,True,True,True,True,False
mbpp_0876,Description_Simple,1.0,1.0,1.0,1.0,True,0.7958477735519409,0.20415222644805908,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6983025074005127,0.3016974925994873,True,True,True,True,False
mbpp_0961,Description_Simple,1.0,1.0,1.0,1.0,True,0.7029889225959778,0.2970110774040222,True,True,True,True,False
mbpp_0018,Description_Simple,1.0,1.0,1.0,1.0,True,0.4381128251552582,0.5618871748447418,False,True,False,False,False
