Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02921,Description_Simple,0.4,0.4,0.4,0.4,False,0.6688101887702942,0.26881018877029417,False,False,True,False,False
p02773,Description_Simple,0.4,0.4,0.4,0.4,False,0.703636884689331,0.30363688468933103,False,False,True,False,False
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.5202361941337585,0.47976380586624146,True,True,True,True,False
p03493,Description_Simple,0.8,0.8,0.8,0.8,True,0.5950213670730591,0.20497863292694096,True,True,True,True,False
p03035,Description_Simple,0.4,0.4,0.4,0.4,False,0.7722751498222351,0.3722751498222351,False,False,True,False,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.7916337847709656,0.20836621522903442,True,True,True,True,False
p02910,Description_Simple,1.0,1.0,1.0,1.0,True,0.5986930727958679,0.4013069272041321,True,True,True,True,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.1878523826599121,0.8121476173400879,False,True,False,False,False
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.6952862739562988,0.30471372604370117,True,True,True,True,False
p03469,Description_Simple,0.4,0.4,0.4,0.4,False,0.611471951007843,0.211471951007843,False,False,True,False,False
p02729,Description_Simple,0.1,0.1,0.1,0.1,False,0.42427659034729004,0.32427659034729006,True,False,False,False,True
p02917,Description_Simple,1.0,1.0,1.0,1.0,True,0.5680786967277527,0.4319213032722473,True,True,True,True,False
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.5408939719200134,0.3408939719200134,False,False,True,False,False
p02381,Description_Simple,0.7,0.7,0.7,0.7,True,0.767716646194458,0.06771664619445805,True,True,True,True,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.18405158817768097,0.815948411822319,False,True,False,False,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.4744213819503784,0.5255786180496216,False,True,False,False,False
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.7595458030700684,0.14045419692993166,True,True,True,True,False
p02718,Description_Simple,0.6,0.6,0.6,0.6,True,0.5219190716743469,0.07808092832565305,True,True,True,True,False
p02981,Description_Simple,0.0,0.0,0.0,0.0,False,0.25517553091049194,0.25517553091049194,True,False,False,False,True
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.4854898452758789,0.2854898452758789,True,False,False,False,True
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.5728740692138672,0.4271259307861328,True,True,True,True,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.7295395731925964,0.27046042680740356,True,True,True,True,False
p02916,Description_Simple,1.0,1.0,1.0,1.0,True,0.3833293318748474,0.6166706681251526,False,True,False,False,False
p02571,Description_Simple,0.9,0.9,0.9,0.9,True,0.6878268122673035,0.21217318773269656,True,True,True,True,False
p03239,Description_Simple,0.4,0.4,0.4,0.4,False,0.28431007266044617,0.11568992733955386,True,False,False,False,True
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.8515272736549377,0.14847272634506226,True,True,True,True,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.15525585412979126,0.8447441458702087,False,True,False,False,False
p02911,Description_Simple,0.0,0.0,0.0,0.0,False,0.2603708505630493,0.2603708505630493,True,False,False,False,True
p02772,Description_Simple,0.9,0.9,0.9,0.9,True,0.7347733974456787,0.1652266025543213,True,True,True,True,False
p02786,Description_Simple,1.0,1.0,1.0,1.0,True,0.29426178336143494,0.7057382166385651,False,True,False,False,False
p04012,Description_Simple,0.4,0.4,0.4,0.4,False,0.7260629534721375,0.32606295347213743,False,False,True,False,False
p02547,Description_Simple,0.9,0.9,0.9,0.9,True,0.5302744507789612,0.36972554922103884,True,True,True,True,False
p03435,Description_Simple,1.0,1.0,1.0,1.0,True,0.4577079713344574,0.5422920286655426,False,True,False,False,False
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.8314444422721863,0.16855555772781372,True,True,True,True,False
p02578,Description_Simple,0.9,0.9,0.9,0.9,True,0.6772618293762207,0.22273817062377932,True,True,True,True,False
p02719,Description_Simple,1.0,1.0,1.0,1.0,True,0.7209528684616089,0.2790471315383911,True,True,True,True,False
p02945,Description_Simple,0.9,0.9,0.9,0.9,True,0.6648581027984619,0.2351418972015381,True,True,True,True,False
p02987,Description_Simple,1.0,1.0,1.0,1.0,True,0.6631274223327637,0.33687257766723633,True,True,True,True,False
p03060,Description_Simple,0.0,0.0,0.0,0.0,False,0.23830197751522064,0.23830197751522064,True,False,False,False,True
p02989,Description_Simple,0.0,0.0,0.0,0.0,False,0.3589096963405609,0.3589096963405609,True,False,False,False,True
p03316,Description_Simple,0.7,0.7,0.7,0.7,True,0.5598977208137512,0.14010227918624873,True,True,True,True,False
p02717,Description_Simple,0.6,0.6,0.6,0.6,True,0.5405201315879822,0.0594798684120178,True,True,True,True,False
p02830,Description_Simple,0.8,0.8,0.8,0.8,True,0.5601425170898438,0.2398574829101563,True,True,True,True,False
p02801,Description_Simple,1.0,1.0,1.0,1.0,True,0.7188010215759277,0.28119897842407227,True,True,True,True,False
p02899,Description_Simple,1.0,1.0,1.0,1.0,True,0.3291170001029968,0.6708829998970032,False,True,False,False,False
p02263,Description_Simple,0.8,0.8,0.8,0.8,True,0.8818122148513794,0.08181221485137935,True,True,True,True,False
p03775,Description_Simple,1.0,1.0,1.0,1.0,True,0.4841582775115967,0.5158417224884033,False,True,False,False,False
p02264,Description_Simple,0.9,0.9,0.9,0.9,True,0.6119810342788696,0.2880189657211304,True,True,True,True,False
p02404,Description_Simple,0.7,0.7,0.7,0.7,True,0.41325843334198,0.28674156665802,False,True,False,False,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.7260267734527588,0.2739732265472412,True,True,True,True,False
p03146,Description_Simple,0.9,0.9,0.9,0.9,True,0.4453502297401428,0.4546497702598572,False,True,False,False,False
p02897,Description_Simple,0.9,0.9,0.9,0.9,True,0.6972668170928955,0.20273318290710451,True,True,True,True,False
p02831,Description_Simple,1.0,1.0,1.0,1.0,True,0.5466936826705933,0.45330631732940674,True,True,True,True,False
p02836,Description_Simple,0.9,0.9,0.9,0.9,True,0.5555763244628906,0.3444236755371094,True,True,True,True,False
p02699,Description_Simple,0.4,0.4,0.4,0.4,False,0.7179493308067322,0.31794933080673216,False,False,True,False,False
p02403,Description_Simple,0.4,0.4,0.4,0.4,False,0.5045967698097229,0.10459676980972288,False,False,True,False,False
p03147,Description_Simple,0.9,0.9,0.9,0.9,True,0.2673074007034302,0.6326925992965698,False,True,False,False,False
p02405,Description_Simple,0.4,0.4,0.4,0.4,False,0.7426568269729614,0.3426568269729614,False,False,True,False,False
p02639,Description_Simple,0.0,0.0,0.0,0.0,False,0.3683324456214905,0.3683324456214905,True,False,False,False,True
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.5335699915885925,0.46643000841140747,True,True,True,True,False
p02411,Description_Simple,0.7,0.7,0.7,0.7,True,0.803875207901001,0.10387520790100102,True,True,True,True,False
p02416,Description_Simple,0.3,0.3,0.3,0.3,False,0.7538556456565857,0.4538556456565857,False,False,True,False,False
p03720,Description_Simple,1.0,1.0,1.0,1.0,True,0.458136647939682,0.541863352060318,False,True,False,False,False
p02898,Description_Simple,0.9,0.9,0.9,0.9,True,0.4248085021972656,0.4751914978027344,False,True,False,False,False
p02418,Description_Simple,0.9,0.9,0.9,0.9,True,0.7369363903999329,0.16306360960006716,True,True,True,True,False
p02847,Description_Simple,0.2,0.2,0.2,0.2,False,0.6096212267875671,0.4096212267875671,False,False,True,False,False
p02420,Description_Simple,0.2,0.2,0.2,0.2,False,0.4465874433517456,0.2465874433517456,True,False,False,False,True
p02612,Description_Simple,0.1,0.1,0.1,0.1,False,0.303846150636673,0.20384615063667297,True,False,False,False,True
p03109,Description_Simple,0.3,0.3,0.3,0.3,False,0.5262966156005859,0.22629661560058595,False,False,True,False,False
p02677,Description_Simple,0.4,0.4,0.4,0.4,False,0.554847240447998,0.15484724044799802,False,False,True,False,False
p03136,Description_Simple,1.0,1.0,1.0,1.0,True,0.5177950263023376,0.48220497369766235,True,True,True,True,False
p02641,Description_Simple,1.0,1.0,1.0,1.0,True,0.554092288017273,0.44590771198272705,True,True,True,True,False
p02613,Description_Simple,0.0,0.0,0.0,0.0,False,0.4704340696334839,0.4704340696334839,True,False,False,False,True
p03107,Description_Simple,0.4,0.4,0.4,0.4,False,0.4562360644340515,0.05623606443405149,True,False,False,False,True
p02879,Description_Simple,0.6,0.6,0.6,0.6,True,0.4590572714805603,0.14094272851943968,False,True,False,False,False
p02421,Description_Simple,1.0,1.0,1.0,1.0,True,0.7177895307540894,0.28221046924591064,True,True,True,True,False
p03360,Description_Simple,1.0,1.0,1.0,1.0,True,0.6427633166313171,0.35723668336868286,True,True,True,True,False
p02410,Description_Simple,0.8,0.8,0.8,0.8,True,0.626467227935791,0.17353277206420903,True,True,True,True,False
p02622,Description_Simple,1.0,1.0,1.0,1.0,True,0.411432147026062,0.588567852973938,False,True,False,False,False
p02419,Description_Simple,0.5,0.5,0.5,0.5,True,0.6944654583930969,0.19446545839309692,True,True,True,True,False
p02417,Description_Simple,0.9,0.9,0.9,0.9,True,0.8573933243751526,0.042606675624847434,True,True,True,True,False
p02682,Description_Simple,1.0,1.0,1.0,1.0,True,0.14634546637535095,0.853654533624649,False,True,False,False,False
p03106,Description_Simple,1.0,1.0,1.0,1.0,True,0.6286782622337341,0.37132173776626587,True,True,True,True,False
p02848,Description_Simple,1.0,1.0,1.0,1.0,True,0.5526312589645386,0.4473687410354614,True,True,True,True,False
p02812,Description_Simple,0.7,0.7,0.7,0.7,True,0.672524094581604,0.02747590541839595,True,True,True,True,False
p02676,Description_Simple,0.7,0.7,0.7,0.7,True,0.6340000033378601,0.06599999666213985,True,True,True,True,False
p02994,Description_Simple,0.0,0.0,0.0,0.0,False,0.5188188552856445,0.5188188552856445,False,False,True,False,False
p02640,Description_Simple,0.6,0.6,0.6,0.6,True,0.2889522910118103,0.3110477089881897,False,True,False,False,False
p03042,Description_Simple,0.2,0.2,0.2,0.2,False,0.5376999378204346,0.33769993782043456,False,False,True,False,False
p02958,Description_Simple,0.9,0.9,0.9,0.9,True,0.7297201156616211,0.17027988433837893,True,True,True,True,False
p02993,Description_Simple,0.4,0.4,0.4,0.4,False,0.6451916694641113,0.2451916694641113,False,False,True,False,False
p02394,Description_Simple,0.3,0.3,0.3,0.3,False,0.7782337665557861,0.47823376655578614,False,False,True,False,False
p03073,Description_Simple,0.4,0.4,0.4,0.4,False,0.40326109528541565,0.003261095285415627,True,False,False,False,True
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.7809357047080994,0.21906429529190063,True,True,True,True,False
p03087,Description_Simple,0.6,0.6,0.6,0.6,True,0.6752437949180603,0.07524379491806032,True,True,True,True,False
p02951,Description_Simple,1.0,1.0,1.0,1.0,True,0.321895956993103,0.678104043006897,False,True,False,False,False
p02766,Description_Simple,1.0,1.0,1.0,1.0,True,0.6873996257781982,0.31260037422180176,True,True,True,True,False
p00007,Description_Simple,0.1,0.1,0.1,0.1,False,0.5799492597579956,0.4799492597579956,False,False,True,False,False
p02759,Description_Simple,0.7,0.7,0.7,0.7,True,0.2520243525505066,0.44797564744949336,False,True,False,False,False
p04030,Description_Simple,0.0,0.0,0.0,0.0,False,0.5968148708343506,0.5968148708343506,False,False,True,False,False
p03011,Description_Simple,0.9,0.9,0.9,0.9,True,0.6719600558280945,0.22803994417190554,True,True,True,True,False
p02553,Description_Simple,1.0,1.0,1.0,1.0,True,0.6761428713798523,0.3238571286201477,True,True,True,True,False
p02934,Description_Simple,1.0,1.0,1.0,1.0,True,0.47239774465560913,0.5276022553443909,False,True,False,False,False
