Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02389,Description_Detailed,0.0,0.0,0.0,False,0.25623756647109985,0.25623756647109985,True,False,False,False,True
p02389,Description_Fewshot,0.0,0.0,0.0,False,0.13421449065208435,0.13421449065208435,True,False,False,False,True
p02389,Description_Reason,0.0,0.0,0.0,False,0.1382555067539215,0.1382555067539215,True,False,False,False,True
p02389,Description_Simple,0.0,0.0,0.0,False,0.12136321514844894,0.12136321514844894,True,False,False,False,True
p02389,Description_Vague,0.0,0.0,0.0,False,0.1750008761882782,0.1750008761882782,True,False,False,False,True
p02397,Description_Detailed,0.0,0.0,0.0,False,0.1540399044752121,0.1540399044752121,True,False,False,False,True
p02397,Description_Fewshot,0.0,0.0,0.0,False,0.29871392250061035,0.29871392250061035,True,False,False,False,True
p02397,Description_Reason,0.0,0.0,0.0,False,0.1673315167427063,0.1673315167427063,True,False,False,False,True
p02397,Description_Simple,0.0,0.0,0.0,False,0.3095906972885132,0.3095906972885132,True,False,False,False,True
p02397,Description_Vague,0.0,0.0,0.0,False,0.3199707865715027,0.3199707865715027,True,False,False,False,True
p02553,Description_Detailed,0.0,0.0,0.0,False,0.2058010697364807,0.2058010697364807,True,False,False,False,True
p02553,Description_Fewshot,0.0,0.0,0.0,False,-0.08152732253074646,0.08152732253074646,True,False,False,False,True
p02553,Description_Reason,0.0,0.0,0.0,False,0.35911405086517334,0.35911405086517334,True,False,False,False,True
p02553,Description_Simple,0.0,0.0,0.0,False,-0.03297804668545723,0.03297804668545723,True,False,False,False,True
p02553,Description_Vague,0.0,0.0,0.0,False,0.08631784468889236,0.08631784468889236,True,False,False,False,True
p02409,Description_Detailed,0.0,0.0,0.0,False,0.30011487007141113,0.30011487007141113,True,False,False,False,True
p02409,Description_Fewshot,0.0,0.0,0.0,False,0.07942177355289459,0.07942177355289459,True,False,False,False,True
p02409,Description_Reason,0.0,0.0,0.0,False,0.15892985463142395,0.15892985463142395,True,False,False,False,True
p02409,Description_Simple,0.0,0.0,0.0,False,0.31807878613471985,0.31807878613471985,True,False,False,False,True
p02409,Description_Vague,0.0,0.0,0.0,False,0.2711831331253052,0.2711831331253052,True,False,False,False,True
p02899,Description_Detailed,0.0,0.0,0.0,False,0.13904832303524017,0.13904832303524017,True,False,False,False,True
p02899,Description_Fewshot,0.0,0.0,0.0,False,0.15987032651901245,0.15987032651901245,True,False,False,False,True
p02899,Description_Reason,0.0,0.0,0.0,False,0.24828720092773438,0.24828720092773438,True,False,False,False,True
p02899,Description_Simple,0.0,0.0,0.0,False,0.09791172295808792,0.09791172295808792,True,False,False,False,True
p02899,Description_Vague,0.0,0.0,0.0,False,0.2328224778175354,0.2328224778175354,True,False,False,False,True
p02408,Description_Detailed,0.0,0.0,0.0,False,0.03195890039205551,0.03195890039205551,True,False,False,False,True
p02408,Description_Fewshot,0.0,0.0,0.0,False,0.06957371532917023,0.06957371532917023,True,False,False,False,True
p02408,Description_Reason,0.0,0.0,0.0,False,0.13368943333625793,0.13368943333625793,True,False,False,False,True
p02408,Description_Simple,0.0,0.0,0.0,False,0.07360845804214478,0.07360845804214478,True,False,False,False,True
p02408,Description_Vague,0.0,0.0,0.0,False,0.08386737108230591,0.08386737108230591,True,False,False,False,True
p02911,Description_Detailed,0.0,0.0,0.0,False,0.2781282961368561,0.2781282961368561,True,False,False,False,True
p02911,Description_Fewshot,0.0,0.0,0.0,False,0.19246900081634521,0.19246900081634521,True,False,False,False,True
p02911,Description_Reason,0.0,0.0,0.0,False,0.2536570429801941,0.2536570429801941,True,False,False,False,True
p02911,Description_Simple,0.0,0.0,0.0,False,0.070248544216156,0.070248544216156,True,False,False,False,True
p02911,Description_Vague,0.0,0.0,0.0,False,0.18537960946559906,0.18537960946559906,True,False,False,False,True
p02812,Description_Detailed,0.0,0.0,0.0,False,0.1679413616657257,0.1679413616657257,True,False,False,False,True
p02812,Description_Fewshot,0.0,0.0,0.0,False,0.3166268467903137,0.3166268467903137,True,False,False,False,True
p02812,Description_Reason,0.0,0.0,0.0,False,0.17981600761413574,0.17981600761413574,True,False,False,False,True
p02812,Description_Simple,0.0,0.0,0.0,False,0.013555308803915977,0.013555308803915977,True,False,False,False,True
p02812,Description_Vague,0.0,0.0,0.0,False,0.11212637275457382,0.11212637275457382,True,False,False,False,True
p02724,Description_Detailed,0.0,0.0,0.0,False,0.12147156894207001,0.12147156894207001,True,False,False,False,True
p02724,Description_Fewshot,0.0,0.0,0.0,False,-0.04333856701850891,0.04333856701850891,True,False,False,False,True
p02724,Description_Reason,0.0,0.0,0.0,False,0.13929295539855957,0.13929295539855957,True,False,False,False,True
p02724,Description_Simple,0.0,0.0,0.0,False,0.04573536664247513,0.04573536664247513,True,False,False,False,True
p02724,Description_Vague,0.0,0.0,0.0,False,0.05027753487229347,0.05027753487229347,True,False,False,False,True
