Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.5558034777641296,0.44419652223587036,True,True,True,True,False
p00006,Description_Simple,0.4,0.4,0.4,0.4,False,0.3991924524307251,0.0008075475692749245,True,False,False,False,True
p02255,Description_Simple,0.8,0.8,0.8,0.8,True,0.6162840723991394,0.18371592760086064,True,True,True,True,False
p00007,Description_Simple,0.4,0.4,0.4,0.4,False,0.4286883473396301,0.028688347339630105,True,False,False,False,True
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.5750334858894348,0.4249665141105652,True,True,True,True,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.7376308441162109,0.26236915588378906,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.5668959617614746,0.4331040382385254,True,True,True,True,False
p00011,Description_Simple,1.0,1.0,1.0,1.0,True,0.24883423745632172,0.7511657625436783,False,True,False,False,False
p00002,Description_Simple,0.5,0.5,0.5,0.5,True,0.3193265199661255,0.1806734800338745,False,True,False,False,False
p02256,Description_Simple,0.6,0.6,0.6,0.6,True,0.3601384162902832,0.23986158370971677,False,True,False,False,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.30352985858917236,0.6964701414108276,False,True,False,False,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.5948701500892639,0.4051298499107361,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.6480839848518372,0.35191601514816284,True,True,True,True,False
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.43397393822669983,0.5660260617733002,False,True,False,False,False
p02257,Description_Simple,0.4,0.4,0.4,0.4,False,0.49050474166870117,0.09050474166870115,True,False,False,False,True
p02259,Description_Simple,0.7,0.7,0.7,0.7,True,0.6924152970314026,0.007584702968597368,True,True,True,True,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.6072244644165039,0.3927755355834961,True,True,True,True,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.39037081599235535,0.5096291840076447,False,True,False,False,False
p02390,Description_Simple,0.7,0.7,0.7,0.7,True,0.4328680634498596,0.26713193655014034,False,True,False,False,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.4425051510334015,0.5574948489665985,False,True,False,False,False
p02392,Description_Simple,1.0,1.0,1.0,1.0,True,0.46942460536956787,0.5305753946304321,False,True,False,False,False
p02388,Description_Simple,0.7,0.7,0.7,0.7,True,0.3099226653575897,0.39007733464241023,False,True,False,False,False
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.32927852869033813,0.5707214713096619,False,True,False,False,False
p02396,Description_Simple,0.4,0.4,0.4,0.4,False,0.10957951843738556,0.29042048156261446,True,False,False,False,True
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.5167555809020996,0.4832444190979004,True,True,True,True,False
p02401,Description_Simple,0.9,0.9,0.9,0.9,True,0.4910620152950287,0.40893798470497134,False,True,False,False,False
p02398,Description_Simple,0.6,0.6,0.6,0.6,True,0.4250132739543915,0.1749867260456085,False,True,False,False,False
p02389,Description_Simple,0.1,0.1,0.1,0.1,False,0.21964134275913239,0.11964134275913238,True,False,False,False,True
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.39387181401252747,0.5061281859874726,False,True,False,False,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.4531400203704834,0.5468599796295166,False,True,False,False,False
p02399,Description_Simple,0.9,0.9,0.9,0.9,True,0.457679808139801,0.442320191860199,False,True,False,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.597190797328949,0.402809202671051,True,True,True,True,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.35727784037590027,0.6427221596240997,False,True,False,False,False
p02417,Description_Simple,0.9,0.9,0.9,0.9,True,0.5950633883476257,0.3049366116523743,True,True,True,True,False
p02407,Description_Simple,0.9,0.9,0.9,0.9,True,0.5517423152923584,0.3482576847076416,True,True,True,True,False
p02416,Description_Simple,0.2,0.2,0.2,0.2,False,0.4697391986846924,0.26973919868469237,True,False,False,False,True
p02414,Description_Simple,1.0,1.0,1.0,1.0,True,0.5032292604446411,0.4967707395553589,True,True,True,True,False
p02406,Description_Simple,0.0,0.0,0.0,0.0,False,0.16115880012512207,0.16115880012512207,True,False,False,False,True
p02419,Description_Simple,1.0,1.0,1.0,1.0,True,0.37884652614593506,0.6211534738540649,False,True,False,False,False
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.5056177377700806,0.49438226222991943,True,True,True,True,False
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.6017928123474121,0.3982071876525879,True,True,True,True,False
p02411,Description_Simple,0.9,0.9,0.9,0.9,True,0.5483337640762329,0.3516662359237671,True,True,True,True,False
p02413,Description_Simple,1.0,1.0,1.0,1.0,True,0.5082486867904663,0.4917513132095337,True,True,True,True,False
p02420,Description_Simple,0.0,0.0,0.0,0.0,False,0.30260419845581055,0.30260419845581055,True,False,False,False,True
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.5219287276268005,0.47807127237319946,True,True,True,True,False
p02408,Description_Simple,0.8,0.8,0.8,0.8,True,0.6910440921783447,0.10895590782165532,True,True,True,True,False
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.5064217448234558,0.4935782551765442,True,True,True,True,False
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.5912476778030396,0.40875232219696045,True,True,True,True,False
p02421,Description_Simple,1.0,1.0,1.0,1.0,True,0.3355337977409363,0.6644662022590637,False,True,False,False,False
p02627,Description_Simple,0.3,0.3,0.3,0.3,False,0.3540005385875702,0.0540005385875702,True,False,False,False,True
p02621,Description_Simple,0.8,0.8,0.8,0.8,True,0.3055761754512787,0.49442382454872136,False,True,False,False,False
p02553,Description_Simple,1.0,1.0,1.0,1.0,True,0.5841678380966187,0.41583216190338135,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.47785112261772156,0.5221488773822784,False,True,False,False,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.47270500659942627,0.5272949934005737,False,True,False,False,False
p02547,Description_Simple,1.0,1.0,1.0,1.0,True,0.22278383374214172,0.7772161662578583,False,True,False,False,False
p02595,Description_Simple,1.0,1.0,1.0,1.0,True,0.4195592403411865,0.5804407596588135,False,True,False,False,False
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.44635772705078125,0.5536422729492188,False,True,False,False,False
p02612,Description_Simple,1.0,1.0,1.0,1.0,True,0.27846741676330566,0.7215325832366943,False,True,False,False,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.1843898743391037,0.8156101256608963,False,True,False,False,False
p02613,Description_Simple,1.0,1.0,1.0,1.0,True,0.40097576379776,0.59902423620224,False,True,False,False,False
p02552,Description_Simple,1.0,1.0,1.0,1.0,True,0.177969828248024,0.822030171751976,False,True,False,False,False
p02622,Description_Simple,1.0,1.0,1.0,1.0,True,0.273004949092865,0.726995050907135,False,True,False,False,False
p02578,Description_Simple,0.0,0.0,0.0,0.0,False,0.26261380314826965,0.26261380314826965,True,False,False,False,True
p02576,Description_Simple,0.4,0.4,0.4,0.4,False,0.1659654676914215,0.2340345323085785,True,False,False,False,True
p02628,Description_Simple,1.0,1.0,1.0,1.0,True,0.19108988344669342,0.8089101165533066,False,True,False,False,False
p02657,Description_Simple,1.0,1.0,1.0,1.0,True,0.26672711968421936,0.7332728803157806,False,True,False,False,False
p02629,Description_Simple,1.0,1.0,1.0,1.0,True,0.23442870378494263,0.7655712962150574,False,True,False,False,False
p02640,Description_Simple,1.0,1.0,1.0,1.0,True,0.26053082942962646,0.7394691705703735,False,True,False,False,False
p02658,Description_Simple,1.0,1.0,1.0,1.0,True,0.5843935012817383,0.4156064987182617,True,True,True,True,False
p02641,Description_Simple,1.0,1.0,1.0,1.0,True,0.38023102283477783,0.6197689771652222,False,True,False,False,False
