model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.850394,0.862434,0.516883,0.81137,0.849866,0.881266,0.836788,0.873016,0.864583,0.845953,0.860892,0.854545,0.871053,0.820312
GPT-3.5,0.850394,1,0.77635,0.514589,0.815303,0.795756,0.832461,0.748744,0.819372,0.830729,0.78866,0.79845,0.806701,0.803618,0.777202
O4-mini,0.862434,0.77635,1,0.515957,0.761538,0.841962,0.849206,0.828947,0.865591,0.857143,0.828496,0.833773,0.866667,0.888889,0.851351
Gemini,0.516883,0.514589,0.515957,1,0.507979,0.523288,0.535809,0.513158,0.522546,0.511688,0.519894,0.521164,0.542553,0.526455,0.518817
Llama-70B,0.81137,0.815303,0.761538,0.507979,1,0.785146,0.8125,0.751899,0.790155,0.825065,0.792208,0.792746,0.791774,0.793282,0.780679
Mistral,0.849866,0.795756,0.841962,0.523288,0.785146,1,0.831551,0.81117,0.837838,0.854447,0.835135,0.825737,0.819629,0.84097,0.82337
DeepSeek-V3.1,0.881266,0.832461,0.849206,0.535809,0.8125,0.831551,1,0.828571,0.889785,0.866142,0.867021,0.87234,0.860892,0.882667,0.831135
DeepSeek-R1,0.836788,0.748744,0.828947,0.513158,0.751899,0.81117,0.828571,1,0.825065,0.817481,0.841689,0.846966,0.865079,0.867021,0.815789
DeepSeek-V4-Pro,0.873016,0.819372,0.865591,0.522546,0.790155,0.837838,0.889785,0.825065,1,0.867725,0.83905,0.864,0.862434,0.879357,0.822751
QwenCoder,0.864583,0.830729,0.857143,0.511688,0.825065,0.854447,0.866142,0.817481,0.867725,1,0.826425,0.850785,0.84456,0.846354,0.848806
Qwen3.7,0.845953,0.78866,0.828496,0.519894,0.792208,0.835135,0.867021,0.841689,0.83905,0.826425,1,0.871314,0.854881,0.866667,0.824934
Claude-5,0.860892,0.79845,0.833773,0.521164,0.792746,0.825737,0.87234,0.846966,0.864,0.850785,0.871314,1,0.88,0.892183,0.859838
GLM-5,0.854545,0.806701,0.866667,0.542553,0.791774,0.819629,0.860892,0.865079,0.862434,0.84456,0.854881,0.88,1,0.890374,0.833773
Kimi-K2.7,0.871053,0.803618,0.888889,0.526455,0.793282,0.84097,0.882667,0.867021,0.879357,0.846354,0.866667,0.892183,0.890374,1,0.865229
GPT-5,0.820312,0.777202,0.851351,0.518817,0.780679,0.82337,0.831135,0.815789,0.822751,0.848806,0.824934,0.859838,0.833773,0.865229,1
