Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02773,Description_Simple,0.6,0.6,0.6,0.6,True,0.7082108855247498,0.10821088552474978,True,True,True,True,False
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.35174745321273804,0.648252546787262,False,True,False,False,False
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.6208953857421875,0.2791046142578125,True,True,True,True,False
p02921,Description_Simple,0.4,0.4,0.4,0.4,False,0.6078203320503235,0.20782033205032346,False,False,True,False,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.7916540503501892,0.2083459496498108,True,True,True,True,False
p02910,Description_Simple,1.0,1.0,1.0,1.0,True,0.4709659218788147,0.5290340781211853,False,True,False,False,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.38289788365364075,0.6171021163463593,False,True,False,False,False
p03035,Description_Simple,0.6,0.6,0.6,0.6,True,0.2630971372127533,0.3369028627872467,False,True,False,False,False
p03469,Description_Simple,0.4,0.4,0.4,0.4,False,0.3181442618370056,0.08185573816299441,True,False,False,False,True
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.36780351400375366,0.36780351400375366,True,False,False,False,True
p02917,Description_Simple,1.0,1.0,1.0,1.0,True,0.5402399897575378,0.45976001024246216,True,True,True,True,False
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.6278462409973145,0.37215375900268555,True,True,True,True,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.25763559341430664,0.7423644065856934,False,True,False,False,False
p02711,Description_Simple,0.1,0.1,0.1,0.1,False,0.42461949586868286,0.3246194958686829,True,False,False,False,True
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.5617285966873169,0.3382714033126831,True,True,True,True,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.42397114634513855,0.5760288536548615,False,True,False,False,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.12175175547599792,0.8782482445240021,False,True,False,False,False
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.6682366728782654,0.13176332712173466,True,True,True,True,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.42375680804252625,0.22375680804252623,True,False,False,False,True
p02718,Description_Simple,0.0,0.0,0.0,0.0,False,0.4469229280948639,0.4469229280948639,True,False,False,False,True
p02571,Description_Simple,0.8,0.8,0.8,0.8,True,0.3924159109592438,0.40758408904075627,False,True,False,False,False
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.633045494556427,0.366954505443573,True,True,True,True,False
p02916,Description_Simple,0.2,0.2,0.2,0.2,False,0.59312504529953,0.39312504529953,False,False,True,False,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.6984997987747192,0.30150020122528076,True,True,True,True,False
p02582,Description_Simple,0.1,0.1,0.1,0.1,False,0.45523953437805176,0.3552395343780518,True,False,False,False,True
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.1952652931213379,0.8047347068786621,False,True,False,False,False
p02911,Description_Simple,0.0,0.0,0.0,0.0,False,0.43476539850234985,0.43476539850234985,True,False,False,False,True
p03239,Description_Simple,0.6,0.6,0.6,0.6,True,0.11115231364965439,0.4888476863503456,False,True,False,False,False
p02772,Description_Simple,1.0,1.0,1.0,1.0,True,0.5661198496818542,0.43388015031814575,True,True,True,True,False
p04012,Description_Simple,0.4,0.4,0.4,0.4,False,0.7179038524627686,0.31790385246276853,False,False,True,False,False
p02547,Description_Simple,0.9,0.9,0.9,0.9,True,0.5811676383018494,0.31883236169815066,True,True,True,True,False
p02786,Description_Simple,0.0,0.0,0.0,0.0,False,0.27477553486824036,0.27477553486824036,True,False,False,False,True
p02719,Description_Simple,0.9,0.9,0.9,0.9,True,0.47353464365005493,0.4264653563499451,False,True,False,False,False
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.6916179060935974,0.3083820939064026,True,True,True,True,False
p03435,Description_Simple,0.0,0.0,0.0,0.0,False,0.5186820030212402,0.5186820030212402,False,False,True,False,False
