model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,78,79.6,92,81.6,80.8,87.2,90.8,94.4,90.8,86.4,93.2,90.8,94,93.6,88.4
GPT-3.5,79.6,51.6,90.4,62,66,81.2,88,93.2,88,81.2,91.6,89.2,93.6,93.6,84.4
O4-mini,92,90.4,88,90.4,90.4,92.4,92.8,96,92,92,94.8,92.4,94.4,94.4,93.6
Gemini,81.6,62,90.4,24.8,64,77.2,86.8,93.2,88.4,81.2,91.2,88,93.6,93.6,84.8
Llama-70B,80.8,66,90.4,64,56.8,79.6,86,94,88,81.2,91.2,88,93.2,92.8,83.6
Mistral,87.2,81.2,92.4,77.2,79.6,74.8,88.8,95.6,90.4,86.4,94,91.2,94.8,94.8,88.4
DeepSeek-V3.1,90.8,88,92.8,86.8,86,88.8,84,96,90.8,89.2,93.6,91.2,94.8,94.4,90.8
DeepSeek-R1,94.4,93.2,96,93.2,94,95.6,96,90,95.2,95.6,97.2,96,96.4,97.6,95.6
DeepSeek-V4-Pro,90.8,88,92,88.4,88,90.4,90.8,95.2,85.6,90,95.6,92.4,94.8,94.8,92.8
QwenCoder,86.4,81.2,92,81.2,81.2,86.4,89.2,95.6,90,77.6,93.2,90.8,94,94,89.2
Qwen3.7,93.2,91.6,94.8,91.2,91.2,94,93.6,97.2,95.6,93.2,90,95.2,95.2,94.4,95.2
Claude-5,90.8,89.2,92.4,88,88,91.2,91.2,96,92.4,90.8,95.2,86.4,95.2,94.8,92.8
GLM-5,94,93.6,94.4,93.6,93.2,94.8,94.8,96.4,94.8,94,95.2,95.2,91.6,96,95.2
Kimi-K2.7,93.6,93.6,94.4,93.6,92.8,94.8,94.4,97.6,94.8,94,94.4,94.8,96,92.4,95.2
GPT-5,88.4,84.4,93.6,84.8,83.6,88.4,90.8,95.6,92.8,89.2,95.2,92.8,95.2,95.2,81.6
