Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5632920265197754,0.4367079734802246,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.7338613271713257,0.2661386728286743,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.5962240099906921,0.40377599000930786,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.507374107837677,0.492625892162323,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7878632545471191,0.21213674545288086,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5949946045875549,0.40500539541244507,True,True,True,True,False
mbpp_0039,Description_Simple,0.9,0.9,0.9,0.9,True,0.6388786435127258,0.2611213564872742,True,True,True,True,False
mbpp_0776,Description_Simple,0.1,0.1,0.1,0.1,False,0.7854408025741577,0.6854408025741577,False,False,True,False,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6482181549072266,0.35178184509277344,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5248322486877441,0.47516775131225586,True,True,True,True,False
mbpp_0223,Description_Simple,0.6,0.6,0.6,0.6,True,0.6625646948814392,0.06256469488143923,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6295344829559326,0.3704655170440674,True,True,True,True,False
mbpp_0838,Description_Simple,0.0,0.0,0.0,0.0,False,0.6517593860626221,0.6517593860626221,False,False,True,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7533546090126038,0.24664539098739624,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6088171005249023,0.39118289947509766,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.5408690571784973,0.1408690571784973,False,False,True,False,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.8135960102081299,0.18640398979187012,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.646434485912323,0.353565514087677,True,True,True,True,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.8243233561515808,0.1756766438484192,True,True,True,True,False
mbpp_0628,Description_Simple,0.6,0.6,0.6,0.6,True,0.6324508786201477,0.03245087862014773,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.7009694576263428,0.2990305423736572,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6263923645019531,0.3736076354980469,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.5984017848968506,0.4015982151031494,True,True,True,True,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.7272514700889587,0.27274852991104126,True,True,True,True,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.767188310623169,0.3671883106231689,False,False,True,False,False
mbpp_0898,Description_Simple,0.0,0.0,0.0,0.0,False,0.5039882659912109,0.5039882659912109,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.769489586353302,0.230510413646698,True,True,True,True,False
mbpp_0665,Description_Simple,0.2,0.2,0.2,0.2,False,0.5723282098770142,0.37232820987701415,False,False,True,False,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.6426775455474854,0.24267754554748533,False,False,True,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.7878888249397278,0.21211117506027222,True,True,True,True,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.7156292200088501,0.2843707799911499,True,True,True,True,False
mbpp_0060,Description_Simple,0.2,0.2,0.2,0.2,False,0.76151442527771,0.56151442527771,False,False,True,False,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.7319924831390381,0.2680075168609619,True,True,True,True,False
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.7734459638595581,0.2265540361404419,True,True,True,True,False
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.6112744212150574,0.21127442121505735,False,False,True,False,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7249178886413574,0.2750821113586426,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.7465320229530334,0.25346797704696655,True,True,True,True,False
mbpp_0881,Description_Simple,0.7,0.7,0.7,0.7,True,0.6825793981552124,0.017420601844787553,True,True,True,True,False
mbpp_0926,Description_Simple,0.4,0.4,0.4,0.4,False,0.6146456003189087,0.21464560031890867,False,False,True,False,False
mbpp_0755,Description_Simple,0.6,0.6,0.6,0.6,True,0.5066815614700317,0.09331843852996824,True,True,True,True,False
mbpp_0455,Description_Simple,1.0,1.0,1.0,1.0,True,0.75513756275177,0.24486243724822998,True,True,True,True,False
