rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,GPT-3.5,Gemini,gpt35,gemini,656,85.2134,64.6341,5.7927,14.7866,70.4268,79.4207,424,38,97
2,GPT-3.5,GLM-5,gpt35,glm5,656,83.6890,64.7866,5.6402,13.2622,70.4268,78.0488,425,37,87
3,Gemini,DeepSeek-V3.1,gemini,deepseek_v31,656,83.5366,68.2927,11.1280,4.1159,79.4207,72.4085,448,73,27
4,Llama-70B,GLM-5,llama70b,glm5,656,83.3841,64.6341,5.3354,13.4146,69.9695,78.0488,424,35,88
5,Gemini,Llama-70B,gemini,llama70b,656,83.2317,66.1585,13.2622,3.8110,79.4207,69.9695,434,87,25
6,Gemini,DeepSeek-V4-Pro,gemini,deepseek_v4_pro,656,83.2317,69.2073,10.2134,3.8110,79.4207,73.0183,454,67,25
7,GPT-3.5,Qwen3.7,gpt35,qwen37_plus,656,82.9268,61.8902,8.5366,12.5000,70.4268,74.3902,406,56,82
8,Gemini,Mistral,gemini,mistral,656,82.9268,65.0915,14.3293,3.5061,79.4207,68.5976,427,94,23
9,Gemini,GLM-5,gemini,glm5,656,82.9268,74.5427,4.8780,3.5061,79.4207,78.0488,489,32,23
10,Gemini,Qwen3.7,gemini,qwen37_plus,656,82.6220,71.1890,8.2317,3.2012,79.4207,74.3902,467,54,21
11,GPT-4o,Gemini,gpt4o,gemini,656,82.4695,68.9024,3.0488,10.5183,71.9512,79.4207,452,20,69
12,GPT-3.5,Claude-5,gpt35,claude_sonnet_5,656,82.4695,62.3476,8.0793,12.0427,70.4268,74.3902,409,53,79
13,DeepSeek-V4-Pro,GLM-5,deepseek_v4_pro,glm5,656,82.4695,68.5976,4.4207,9.4512,73.0183,78.0488,450,29,62
