Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02921,Description_Fewshot,0.3,0.3,0.3,False,-0.006486818194389343,0.30648681819438933,True,False,False,False,True
p02921,Description_Reason,1.0,0.0,0.5,True,-0.030310871079564095,0.5303108710795641,False,True,False,False,False
p02921,Description_Simple,1.0,0.3,0.65,True,0.5380905866622925,0.11190941333770754,True,True,True,True,False
p02419,Description_Fewshot,0.3,1.0,0.65,True,0.5689443349838257,0.08105566501617434,True,True,True,True,False
p02419,Description_Reason,1.0,0.3,0.65,True,0.4079735279083252,0.24202647209167483,False,True,False,False,False
p02419,Description_Simple,0.3,0.0,0.15,False,0.5309191346168518,0.3809191346168518,False,False,True,False,False
p03107,Description_Fewshot,0.0,1.0,0.5,True,0.1693766713142395,0.3306233286857605,False,True,False,False,False
p03107,Description_Reason,0.0,1.0,0.5,True,0.06517364084720612,0.4348263591527939,False,True,False,False,False
p03107,Description_Simple,0.0,0.0,0.0,False,0.2620803415775299,0.2620803415775299,True,False,False,False,True
p02256,Description_Fewshot,0.0,0.0,0.0,False,0.23147466778755188,0.23147466778755188,True,False,False,False,True
p02256,Description_Reason,0.1,0.0,0.05,False,0.2890796661376953,0.23907966613769532,True,False,False,False,True
p02256,Description_Simple,1.0,0.0,0.5,True,0.29482680559158325,0.20517319440841675,False,True,False,False,False
p02801,Description_Fewshot,0.0,0.1,0.05,False,0.0531749427318573,0.003174942731857297,True,False,False,False,True
p02801,Description_Reason,0.0,0.0,0.0,False,0.28601425886154175,0.28601425886154175,True,False,False,False,True
p02801,Description_Simple,0.0,1.0,0.5,True,0.6207869052886963,0.12078690528869629,True,True,True,True,False
p02766,Description_Fewshot,0.0,1.0,0.5,True,0.2566337287425995,0.2433662712574005,False,True,False,False,False
p02766,Description_Reason,1.0,0.0,0.5,True,0.22251465916633606,0.27748534083366394,False,True,False,False,False
p02766,Description_Simple,0.0,0.0,0.0,False,0.25100916624069214,0.25100916624069214,True,False,False,False,True
p04043,Description_Fewshot,0.0,0.1,0.05,False,0.22478465735912323,0.17478465735912324,True,False,False,False,True
p04043,Description_Reason,0.0,0.0,0.0,False,0.24630539119243622,0.24630539119243622,True,False,False,False,True
p04043,Description_Simple,0.1,0.0,0.05,False,0.4448028802871704,0.3948028802871704,True,False,False,False,True
p02753,Description_Fewshot,0.0,0.0,0.0,False,0.2828364074230194,0.2828364074230194,True,False,False,False,True
p02753,Description_Reason,0.0,0.0,0.0,False,0.09239915758371353,0.09239915758371353,True,False,False,False,True
p02753,Description_Simple,0.0,0.0,0.0,False,0.4904962182044983,0.4904962182044983,True,False,False,False,True
p03000,Description_Fewshot,0.1,0.1,0.1,False,0.2547008693218231,0.15470086932182311,True,False,False,False,True
p03000,Description_Reason,0.0,0.0,0.0,False,0.13653165102005005,0.13653165102005005,True,False,False,False,True
p03000,Description_Simple,0.0,0.0,0.0,False,0.4752790927886963,0.4752790927886963,True,False,False,False,True
p03471,Description_Fewshot,0.0,0.0,0.0,False,0.1399531364440918,0.1399531364440918,True,False,False,False,True
p03471,Description_Reason,0.0,0.0,0.0,False,0.18430769443511963,0.18430769443511963,True,False,False,False,True
p03471,Description_Simple,0.0,0.0,0.0,False,0.2791183888912201,0.2791183888912201,True,False,False,False,True
p03146,Description_Fewshot,0.0,0.0,0.0,False,0.02762526087462902,0.02762526087462902,True,False,False,False,True
p03146,Description_Reason,0.0,1.0,0.5,True,0.16836543381214142,0.3316345661878586,False,True,False,False,False
p03146,Description_Simple,0.0,0.0,0.0,False,0.36840495467185974,0.36840495467185974,True,False,False,False,True
p03378,Description_Fewshot,0.3,0.0,0.15,False,0.2959471046924591,0.1459471046924591,True,False,False,False,True
p03378,Description_Reason,0.9,1.0,0.95,True,0.18502303957939148,0.7649769604206085,False,True,False,False,False
p03378,Description_Simple,1.0,0.9,0.95,True,0.38660508394241333,0.5633949160575866,False,True,False,False,False
p02682,Description_Fewshot,0.0,0.0,0.0,False,-0.04950669780373573,0.04950669780373573,True,False,False,False,True
p02682,Description_Reason,1.0,0.3,0.65,True,0.015947289764881134,0.6340527102351189,False,True,False,False,False
p02682,Description_Simple,0.0,0.9,0.45,False,0.10590997338294983,0.3440900266170502,True,False,False,False,True
p03293,Description_Fewshot,0.8,0.8,0.8,True,0.5278564095497131,0.2721435904502869,True,True,True,True,False
p03293,Description_Reason,0.0,0.0,0.0,False,0.6298725008964539,0.6298725008964539,False,False,True,False,False
p03293,Description_Simple,0.9,0.7,0.8,True,0.717318594455719,0.08268140554428105,True,True,True,True,False
p00005,Description_Fewshot,0.0,0.0,0.0,False,0.12112452834844589,0.12112452834844589,True,False,False,False,True
p00005,Description_Reason,0.4,0.0,0.2,False,0.06933008134365082,0.1306699186563492,True,False,False,False,True
p00005,Description_Simple,0.7,0.4,0.55,True,0.8349753618240356,0.2849753618240356,True,True,True,True,False
p02994,Description_Fewshot,1.0,1.0,1.0,True,0.11380050331354141,0.8861994966864586,False,True,False,False,False
p02994,Description_Reason,0.0,0.0,0.0,False,-0.02577613666653633,0.02577613666653633,True,False,False,False,True
p02994,Description_Simple,1.0,1.0,1.0,True,0.2913970649242401,0.7086029350757599,False,True,False,False,False
p02886,Description_Fewshot,1.0,1.0,1.0,True,0.07741156220436096,0.922588437795639,False,True,False,False,False
p02886,Description_Reason,0.0,1.0,0.5,True,0.09307330846786499,0.406926691532135,False,True,False,False,False
p02886,Description_Simple,0.0,0.0,0.0,False,0.02616957202553749,0.02616957202553749,True,False,False,False,True
p02935,Description_Fewshot,1.0,0.1,0.55,True,0.24860665202140808,0.30139334797859196,False,True,False,False,False
p02935,Description_Reason,0.0,0.0,0.0,False,0.22837769985198975,0.22837769985198975,True,False,False,False,True
p02935,Description_Simple,0.0,0.0,0.0,False,0.2175816148519516,0.2175816148519516,True,False,False,False,True
p03220,Description_Fewshot,0.0,0.0,0.0,False,0.07772666960954666,0.07772666960954666,True,False,False,False,True
p03220,Description_Reason,0.1,0.0,0.05,False,0.13880281150341034,0.08880281150341034,True,False,False,False,True
p03220,Description_Simple,0.0,0.0,0.0,False,0.26574844121932983,0.26574844121932983,True,False,False,False,True
p02711,Description_Fewshot,0.0,0.1,0.05,False,0.02253004163503647,0.027469958364963534,True,False,False,False,True
p02711,Description_Reason,0.0,0.0,0.0,False,0.1967477947473526,0.1967477947473526,True,False,False,False,True
p02711,Description_Simple,0.3,0.4,0.35,False,0.5638182163238525,0.21381821632385256,False,False,True,False,False
p02578,Description_Fewshot,0.0,0.0,0.0,False,0.1025238186120987,0.1025238186120987,True,False,False,False,True
p02578,Description_Reason,1.0,0.0,0.5,True,0.1706238090991974,0.3293761909008026,False,True,False,False,False
p02578,Description_Simple,0.9,1.0,0.95,True,0.5766030550003052,0.3733969449996948,True,True,True,True,False
p02260,Description_Fewshot,0.0,0.9,0.45,False,0.41384202241897583,0.03615797758102418,True,False,False,False,True
p02260,Description_Reason,1.0,1.0,1.0,True,0.23361745476722717,0.7663825452327728,False,True,False,False,False
p02260,Description_Simple,0.0,0.0,0.0,False,0.7100245356559753,0.7100245356559753,False,False,True,False,False
p02677,Description_Fewshot,0.0,0.0,0.0,False,0.517487108707428,0.517487108707428,False,False,True,False,False
p02677,Description_Reason,0.4,0.4,0.4,False,0.08850811421871185,0.31149188578128817,True,False,False,False,True
p02677,Description_Simple,0.0,0.4,0.2,False,0.4830114543437958,0.28301145434379577,True,False,False,False,True
p02389,Description_Fewshot,1.0,0.0,0.5,True,0.11092648655176163,0.3890735134482384,False,True,False,False,False
p02389,Description_Reason,0.0,1.0,0.5,True,0.15545408427715302,0.344545915722847,False,True,False,False,False
p02389,Description_Simple,0.0,0.0,0.0,False,0.3652488887310028,0.3652488887310028,True,False,False,False,True
p02659,Description_Fewshot,0.0,0.0,0.0,False,0.2706468105316162,0.2706468105316162,True,False,False,False,True
p02659,Description_Reason,0.4,0.0,0.2,False,0.22599788010120392,0.025997880101203907,True,False,False,False,True
p02659,Description_Simple,0.1,0.1,0.1,False,0.6762826442718506,0.5762826442718506,False,False,True,False,False
p02911,Description_Fewshot,0.0,0.0,0.0,False,0.25302138924598694,0.25302138924598694,True,False,False,False,True
p02911,Description_Reason,0.0,0.0,0.0,False,0.09970907866954803,0.09970907866954803,True,False,False,False,True
p02911,Description_Simple,0.0,0.0,0.0,False,0.16339436173439026,0.16339436173439026,True,False,False,False,True
p02847,Description_Fewshot,0.0,0.0,0.0,False,0.26215335726737976,0.26215335726737976,True,False,False,False,True
p02847,Description_Reason,0.0,0.0,0.0,False,0.10189540684223175,0.10189540684223175,True,False,False,False,True
p02847,Description_Simple,0.0,1.0,0.5,True,0.5502180457115173,0.050218045711517334,True,True,True,True,False
p02700,Description_Fewshot,0.0,0.0,0.0,False,0.25750285387039185,0.25750285387039185,True,False,False,False,True
p02700,Description_Reason,1.0,0.0,0.5,True,0.10809067636728287,0.39190932363271713,False,True,False,False,False
p02700,Description_Simple,0.1,0.0,0.05,False,0.631195604801178,0.5811956048011779,False,False,True,False,False
p00007,Description_Fewshot,0.0,0.1,0.05,False,0.20463693141937256,0.15463693141937257,True,False,False,False,True
p00007,Description_Reason,1.0,0.0,0.5,True,0.1990986168384552,0.3009013831615448,False,True,False,False,False
p00007,Description_Simple,0.0,1.0,0.5,True,0.12843166291713715,0.37156833708286285,False,True,False,False,False
p02993,Description_Fewshot,0.0,0.0,0.0,False,-0.016677269712090492,0.016677269712090492,True,False,False,False,True
p02993,Description_Reason,0.0,0.0,0.0,False,0.08610092848539352,0.08610092848539352,True,False,False,False,True
p02993,Description_Simple,0.7,0.7,0.7,True,0.5739526748657227,0.1260473251342773,True,True,True,True,False
p02786,Description_Fewshot,0.0,0.0,0.0,False,0.07466254383325577,0.07466254383325577,True,False,False,False,True
p02786,Description_Reason,1.0,1.0,1.0,True,0.11769411712884903,0.882305882871151,False,True,False,False,False
p02786,Description_Simple,0.0,1.0,0.5,True,0.2655128240585327,0.23448717594146729,False,True,False,False,False
p02778,Description_Fewshot,0.0,0.0,0.0,False,0.28634366393089294,0.28634366393089294,True,False,False,False,True
p02778,Description_Reason,1.0,0.0,0.5,True,0.06461737304925919,0.4353826269507408,False,True,False,False,False
p02778,Description_Simple,0.0,0.0,0.0,False,0.11996147781610489,0.11996147781610489,True,False,False,False,True
p02717,Description_Fewshot,0.0,0.0,0.0,False,0.4049397110939026,0.4049397110939026,True,False,False,False,True
p02717,Description_Reason,0.0,0.0,0.0,False,0.003332216292619705,0.003332216292619705,True,False,False,False,True
p02717,Description_Simple,0.0,1.0,0.5,True,0.4160628020763397,0.08393719792366028,False,True,False,False,False
p02879,Description_Fewshot,0.0,0.0,0.0,False,0.07257775962352753,0.07257775962352753,True,False,False,False,True
p02879,Description_Reason,1.0,0.0,0.5,True,0.1282038539648056,0.3717961460351944,False,True,False,False,False
p02879,Description_Simple,0.0,0.0,0.0,False,0.1032276451587677,0.1032276451587677,True,False,False,False,True
p02812,Description_Fewshot,1.0,0.0,0.5,True,0.28459203243255615,0.21540796756744385,False,True,False,False,False
p02812,Description_Reason,0.0,1.0,0.5,True,-0.0029467660933732986,0.5029467660933733,False,True,False,False,False
p02812,Description_Simple,0.0,0.0,0.0,False,0.06511286646127701,0.06511286646127701,True,False,False,False,True
p00006,Description_Fewshot,0.0,0.0,0.0,False,0.6053696274757385,0.6053696274757385,False,False,True,False,False
p00006,Description_Reason,1.0,0.0,0.5,True,0.1081005111336708,0.3918994888663292,False,True,False,False,False
p00006,Description_Simple,0.0,0.8,0.4,False,0.471458375453949,0.07145837545394895,True,False,False,False,True
p02408,Description_Fewshot,0.1,0.3,0.2,False,0.31570592522621155,0.11570592522621154,True,False,False,False,True
p02408,Description_Reason,0.0,1.0,0.5,True,0.2126399427652359,0.2873600572347641,False,True,False,False,False
p02408,Description_Simple,0.8,0.0,0.4,False,0.33146530389785767,0.06853469610214236,True,False,False,False,True
p02401,Description_Fewshot,0.0,0.0,0.0,False,0.16850751638412476,0.16850751638412476,True,False,False,False,True
p02401,Description_Reason,0.0,0.0,0.0,False,0.3795442283153534,0.3795442283153534,True,False,False,False,True
p02401,Description_Simple,0.0,0.0,0.0,False,0.3090851604938507,0.3090851604938507,True,False,False,False,True
p03545,Description_Fewshot,0.0,0.0,0.0,False,0.22605064511299133,0.22605064511299133,True,False,False,False,True
p03545,Description_Reason,1.0,0.0,0.5,True,0.3192826509475708,0.1807173490524292,False,True,False,False,False
p03545,Description_Simple,1.0,1.0,1.0,True,0.14786556363105774,0.8521344363689423,False,True,False,False,False
p02772,Description_Fewshot,0.0,0.1,0.05,False,0.2879098355770111,0.23790983557701112,True,False,False,False,True
p02772,Description_Reason,0.1,0.0,0.05,False,0.21972569823265076,0.16972569823265077,True,False,False,False,True
p02772,Description_Simple,0.0,1.0,0.5,True,0.22535440325737,0.27464559674263,False,True,False,False,False
p03285,Description_Fewshot,0.0,1.0,0.5,True,0.2729616165161133,0.22703838348388672,False,True,False,False,False
p03285,Description_Reason,0.0,0.0,0.0,False,0.13072483241558075,0.13072483241558075,True,False,False,False,True
p03285,Description_Simple,1.0,0.0,0.5,True,0.35790008306503296,0.14209991693496704,False,True,False,False,False
p02916,Description_Fewshot,0.0,0.0,0.0,False,0.1693306565284729,0.1693306565284729,True,False,False,False,True
p02916,Description_Reason,0.0,1.0,0.5,True,0.2617107033729553,0.23828929662704468,False,True,False,False,False
p02916,Description_Simple,1.0,0.0,0.5,True,0.01952167972922325,0.48047832027077675,False,True,False,False,False
p02880,Description_Fewshot,0.0,0.1,0.05,False,0.1639297902584076,0.11392979025840759,True,False,False,False,True
p02880,Description_Reason,0.1,0.0,0.05,False,0.14266987144947052,0.09266987144947052,True,False,False,False,True
p02880,Description_Simple,0.0,0.0,0.0,False,0.5164381265640259,0.5164381265640259,False,False,True,False,False
p02398,Description_Fewshot,0.0,0.0,0.0,False,0.2880983352661133,0.2880983352661133,True,False,False,False,True
p02398,Description_Reason,0.0,0.0,0.0,False,0.36530402302742004,0.36530402302742004,True,False,False,False,True
p02398,Description_Simple,0.0,0.0,0.0,False,0.5134674310684204,0.5134674310684204,False,False,True,False,False
p02731,Description_Fewshot,0.0,0.0,0.0,False,0.008468398824334145,0.008468398824334145,True,False,False,False,True
p02731,Description_Reason,0.0,0.6,0.3,False,0.14573346078395844,0.15426653921604155,True,False,False,False,True
p02731,Description_Simple,0.6,0.0,0.3,False,0.3844729959964752,0.08447299599647523,True,False,False,False,True
p03457,Description_Fewshot,0.0,0.0,0.0,False,0.12821879982948303,0.12821879982948303,True,False,False,False,True
p03457,Description_Reason,0.0,0.0,0.0,False,0.03554922342300415,0.03554922342300415,True,False,False,False,True
p03457,Description_Simple,0.0,1.0,0.5,True,0.03816857561469078,0.4618314243853092,False,True,False,False,False
p03370,Description_Fewshot,0.0,0.0,0.0,False,0.013552209362387657,0.013552209362387657,True,False,False,False,True
p03370,Description_Reason,0.0,0.0,0.0,False,0.15071985125541687,0.15071985125541687,True,False,False,False,True
p03370,Description_Simple,0.0,0.0,0.0,False,0.1155753955245018,0.1155753955245018,True,False,False,False,True
p02848,Description_Fewshot,0.0,0.0,0.0,False,0.3824642598628998,0.3824642598628998,True,False,False,False,True
p02848,Description_Reason,1.0,0.0,0.5,True,0.5835573673248291,0.0835573673248291,True,True,True,True,False
p02848,Description_Simple,0.7,0.7,0.7,True,0.5281844139099121,0.17181558609008785,True,True,True,True,False
p03126,Description_Fewshot,0.1,0.0,0.05,False,0.08619718998670578,0.03619718998670578,True,False,False,False,True
p03126,Description_Reason,0.0,0.0,0.0,False,0.100209079682827,0.100209079682827,True,False,False,False,True
p03126,Description_Simple,0.0,1.0,0.5,True,0.28847768902778625,0.21152231097221375,False,True,False,False,False
p02791,Description_Fewshot,0.0,0.0,0.0,False,0.25819826126098633,0.25819826126098633,True,False,False,False,True
p02791,Description_Reason,0.0,0.1,0.05,False,0.07344750314950943,0.023447503149509427,True,False,False,False,True
p02791,Description_Simple,0.0,0.0,0.0,False,0.26799845695495605,0.26799845695495605,True,False,False,False,True
p02393,Description_Fewshot,0.0,0.0,0.0,False,0.3618438243865967,0.3618438243865967,True,False,False,False,True
p02393,Description_Reason,0.0,1.0,0.5,True,0.08185163140296936,0.41814836859703064,False,True,False,False,False
p02393,Description_Simple,1.0,0.1,0.55,True,0.7176196575164795,0.16761965751647945,True,True,True,True,False
p02621,Description_Fewshot,0.0,1.0,0.5,True,0.1875857561826706,0.3124142438173294,False,True,False,False,False
p02621,Description_Reason,0.7,0.0,0.35,False,-0.030049938708543777,0.38004993870854376,True,False,False,False,True
p02621,Description_Simple,1.0,0.0,0.5,True,0.38104474544525146,0.11895525455474854,False,True,False,False,False
p03011,Description_Fewshot,0.0,0.0,0.0,False,0.08759333193302155,0.08759333193302155,True,False,False,False,True
p03011,Description_Reason,0.1,0.7,0.39999999999999997,False,0.151095911860466,0.24890408813953396,True,False,False,False,True
p03011,Description_Simple,0.0,0.1,0.05,False,0.13921117782592773,0.08921117782592773,True,False,False,False,True
p03243,Description_Fewshot,0.0,0.9,0.45,False,0.2192331701517105,0.2307668298482895,True,False,False,False,True
p03243,Description_Reason,0.0,0.0,0.0,False,0.2384078949689865,0.2384078949689865,True,False,False,False,True
p03243,Description_Simple,0.4,0.4,0.4,False,0.5577650666236877,0.15776506662368772,False,False,True,False,False
p03075,Description_Fewshot,0.0,0.0,0.0,False,0.49449190497398376,0.49449190497398376,True,False,False,False,True
p03075,Description_Reason,0.9,0.0,0.45,False,0.3055128753185272,0.1444871246814728,True,False,False,False,True
p03075,Description_Simple,0.0,0.0,0.0,False,0.5825715065002441,0.5825715065002441,False,False,True,False,False
p03435,Description_Fewshot,0.0,1.0,0.5,True,0.2937546372413635,0.20624536275863647,False,True,False,False,False
p03435,Description_Reason,0.0,0.0,0.0,False,-0.051346104592084885,0.051346104592084885,True,False,False,False,True
p03435,Description_Simple,0.7,0.0,0.35,False,-0.022086963057518005,0.372086963057518,True,False,False,False,True
p04012,Description_Fewshot,0.0,1.0,0.5,True,0.5571272969245911,0.057127296924591064,True,True,True,True,False
p04012,Description_Reason,0.0,0.0,0.0,False,0.0683339387178421,0.0683339387178421,True,False,False,False,True
p04012,Description_Simple,0.0,0.0,0.0,False,0.09302963316440582,0.09302963316440582,True,False,False,False,True
p03292,Description_Fewshot,1.0,0.0,0.5,True,0.2991010844707489,0.2008989155292511,False,True,False,False,False
p03292,Description_Reason,1.0,0.7,0.85,True,0.2386736422777176,0.6113263577222824,False,True,False,False,False
p03292,Description_Simple,0.0,0.0,0.0,False,0.2582157254219055,0.2582157254219055,True,False,False,False,True
p02640,Description_Fewshot,0.0,0.0,0.0,False,0.486907958984375,0.486907958984375,True,False,False,False,True
p02640,Description_Reason,0.0,0.0,0.0,False,0.20864157378673553,0.20864157378673553,True,False,False,False,True
p02640,Description_Simple,0.0,0.0,0.0,False,0.08266805112361908,0.08266805112361908,True,False,False,False,True
p03324,Description_Fewshot,0.0,0.0,0.0,False,-0.04121871292591095,0.04121871292591095,True,False,False,False,True
p03324,Description_Reason,0.0,0.0,0.0,False,-0.09478314965963364,0.09478314965963364,True,False,False,False,True
p03324,Description_Simple,0.0,0.0,0.0,False,0.42668041586875916,0.42668041586875916,True,False,False,False,True
p02409,Description_Fewshot,0.0,0.0,0.0,False,-0.009021257050335407,0.009021257050335407,True,False,False,False,True
p02409,Description_Reason,0.0,0.0,0.0,False,0.3786902129650116,0.3786902129650116,True,False,False,False,True
p02409,Description_Simple,0.4,0.4,0.4,False,0.554667055606842,0.15466705560684202,False,False,True,False,False
p02681,Description_Fewshot,0.4,0.1,0.25,False,0.09411868453025818,0.15588131546974182,True,False,False,False,True
p02681,Description_Reason,0.0,0.0,0.0,False,0.24279838800430298,0.24279838800430298,True,False,False,False,True
p02681,Description_Simple,0.0,0.0,0.0,False,0.4541766941547394,0.4541766941547394,True,False,False,False,True
p03072,Description_Fewshot,0.0,0.0,0.0,False,0.23282012343406677,0.23282012343406677,True,False,False,False,True
