Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6539831161499023,0.34601688385009766,True,True,True,True,False
mbpp_0323,Description_Simple,0.9,0.9,0.9,0.9,True,0.48523998260498047,0.41476001739501955,False,True,False,False,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.4070444107055664,0.5929555892944336,False,True,False,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6815598607063293,0.31844013929367065,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.5983368754386902,0.4016631245613098,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.5853720903396606,0.5853720903396606,False,False,True,False,False
mbpp_0245,Description_Simple,0.1,0.1,0.1,0.1,False,0.5818971395492554,0.4818971395492554,False,False,True,False,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.5086379051208496,0.4913620948791504,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6067743897438049,0.39322561025619507,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.49825403094291687,0.5017459690570831,False,True,False,False,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.48312291502952576,0.5168770849704742,False,True,False,False,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.3877851665019989,0.6122148334980011,False,True,False,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7407159805297852,0.25928401947021484,True,True,True,True,False
mbpp_0838,Description_Simple,0.4,0.4,0.4,0.4,False,0.808583676815033,0.40858367681503294,False,False,True,False,False
mbpp_0408,Description_Simple,0.5,0.5,0.5,0.5,True,0.4412294030189514,0.058770596981048584,False,True,False,False,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5794135928153992,0.42058640718460083,True,True,True,True,False
mbpp_0628,Description_Simple,0.7,0.7,0.7,0.7,True,0.5781574249267578,0.12184257507324214,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6816551685333252,0.3183448314666748,True,True,True,True,False
