model,problem_id,problem_consistency,avg_similarity,consistent_pairs,total_pairs
Dataset_DeepseekV3.1,p03012,0.8666666666666667,0.6633333333333334,13,15
Dataset_DeepseekV3.1,p02898,1.0,0.7400000000000001,15,15
Dataset_DeepseekV3.1,p03013,0.4666666666666667,0.5066666666666667,7,15
Dataset_DeepseekV3.1,p02899,0.6666666666666666,0.5399999999999998,10,15
Dataset_DeepseekV3.1,p03371,0.6666666666666666,0.58,10,15
Dataset_DeepseekV3.1,p02640,0.6,0.46,9,15
Dataset_DeepseekV3.1,p03775,0.8666666666666667,0.7066666666666668,13,15
Dataset_DeepseekV3.1,p03239,0.8,0.6933333333333335,12,15
Dataset_DeepseekV3.1,p02682,0.7333333333333333,0.66,11,15
Dataset_DeepseekV3.1,p02641,0.6666666666666666,0.56,10,15
Dataset_DeepseekV3.1,p02681,0.8,0.57,12,15
Dataset_DeepseekV3.1,p03416,0.8,0.6866666666666668,12,15
Dataset_DeepseekV3.1,p02911,0.5333333333333333,0.48999999999999994,8,15
Dataset_DeepseekV3.1,p02723,0.6666666666666666,0.6600000000000001,10,15
Dataset_DeepseekV3.1,p02694,0.9333333333333333,0.7200000000000001,14,15
Dataset_DeepseekV3.1,p03370,0.7333333333333333,0.5966666666666666,11,15
Dataset_DeepseekV3.1,p03011,0.8,0.6633333333333333,12,15
Dataset_DeepseekV3.1,p02657,0.6666666666666666,0.6533333333333334,10,15
Dataset_DeepseekV3.1,p02910,0.6,0.5666666666666668,9,15
Dataset_DeepseekV3.1,p04030,0.7333333333333333,0.7333333333333335,11,15
Dataset_DeepseekV3.1,p02257,0.9333333333333333,0.7233333333333335,14,15
Dataset_DeepseekV3.1,p03161,1.0,0.75,15,15
Dataset_DeepseekV3.1,p02860,0.9333333333333333,0.6900000000000001,14,15
Dataset_DeepseekV3.1,p03160,1.0,0.7033333333333334,15,15
Dataset_DeepseekV3.1,p02256,0.5333333333333333,0.5266666666666666,8,15
Dataset_DeepseekV3.1,p02848,0.6666666666666666,0.5566666666666666,10,15
Dataset_DeepseekV3.1,p03000,0.5333333333333333,0.49,8,15
Dataset_DeepseekV3.1,p03835,0.9333333333333333,0.69,14,15
Dataset_DeepseekV3.1,p03001,0.7333333333333333,0.5633333333333332,11,15
Dataset_DeepseekV3.1,p02718,0.8,0.6466666666666667,12,15
Dataset_DeepseekV3.1,p03360,0.9333333333333333,0.6833333333333332,14,15
Dataset_DeepseekV3.1,p02268,0.7333333333333333,0.6033333333333334,11,15
Dataset_DeepseekV3.1,p02730,0.6666666666666666,0.62,10,15
Dataset_DeepseekV3.1,p02687,0.4,0.47666666666666674,6,15
Dataset_DeepseekV3.1,p02725,0.8666666666666667,0.61,13,15
Dataset_DeepseekV3.1,p02693,0.6666666666666666,0.5966666666666668,10,15
Dataset_DeepseekV3.1,p02724,0.6,0.5700000000000001,9,15
Dataset_DeepseekV3.1,p02916,0.7333333333333333,0.5466666666666666,11,15
Dataset_DeepseekV3.1,p02917,0.8,0.6483333333333333,12,15
Dataset_DeepseekV3.1,p02731,0.4666666666666667,0.46333333333333343,7,15
Dataset_DeepseekV3.1,p02255,0.9333333333333333,0.7166666666666668,14,15
Dataset_DeepseekV3.1,p02719,0.9333333333333333,0.7533333333333335,14,15
Dataset_DeepseekV3.1,p03448,1.0,0.7333333333333333,15,15
Dataset_DeepseekV3.1,p02622,0.6666666666666666,0.58,10,15
Dataset_DeepseekV3.1,p03474,0.7333333333333333,0.6033333333333335,11,15
