dataset,model_key,model,s_enc,s_dead,s_lex,comprehension_level,n_problems,source,is_completed
java250,claude_sonnet_5,Claude Sonnet 5,0.510680,0.641175,0.601850,Semantic,250,direct,false
java250,deepseek_r1,DeepSeek-R1,0.598700,0.729675,0.664950,Semantic,250,direct,false
java250,deepseek_v31,DeepSeek-V3.1,0.519100,0.711825,0.666100,Semantic,250,direct,false
java250,deepseek_v4_pro,DeepSeek-V4-Pro,0.513900,0.657075,0.666683,Semantic,250,direct,false
java250,gemini,Gemini-3-preview,0.610700,0.671975,0.689400,Semantic,250,direct,false
java250,glm5,GLM-5,0.592880,0.700575,0.659800,Semantic,250,direct,false
java250,gpt35,GPT-3.5-turbo,0.422220,0.585850,0.524067,Structural,250,direct,false
java250,gpt4o,GPT-4o,0.500720,0.696450,0.634783,Semantic,250,direct,false
java250,gpt5,GPT-5-nano,0.566990,0.714475,0.649900,Semantic,250,direct,false
java250,kimi_k25,Kimi-K2.7,0.612480,0.733825,0.676333,Semantic,250,direct,false
java250,llama70b,Llama-70B,0.401840,0.552700,0.517450,Structural,250,direct,false
java250,mistral,Mistral,0.423220,0.544925,0.476550,Structural,250,direct,false
java250,o4mini,O4-mini,0.600820,0.714600,0.647667,Semantic,250,direct,false
java250,qwen37_plus,Qwen3.7-plus,0.595720,0.695550,0.650383,Semantic,250,direct,false
java250,qwencoder32b,Qwen2.5-Coder-32B,0.532040,0.671750,0.628550,Semantic,250,direct,false
java250,llamavl,Llama-3.2-11B-Vision-Instruct,0.263760,0.248800,0.224400,Lexical,250,baseline,false
java250,qwen3vl,Qwen3-VL-8B-Instruct,0.363033,0.393750,0.437633,Lexical,250,baseline,false
java250,codellama,CodeLlama,0.190260,0.248217,0.253753,Lexical,250,baseline,false
java250,starchat,StarChat,0.338933,0.439167,0.385123,Lexical,250,baseline,false
java250,starcoder,StarCoder,0.135700,0.131401,0.128700,Lexical,250,baseline,false
java656,claude_sonnet_5,Claude Sonnet 5,0.756044,0.844407,0.837049,Semantic,656,direct,false
java656,deepseek_r1,DeepSeek-R1,0.750953,0.832155,0.806231,Semantic,656,direct,false
java656,deepseek_v31,DeepSeek-V3.1,0.712355,0.812214,0.835950,Semantic,656,direct,false
java656,deepseek_v4_pro,DeepSeek-V4-Pro,0.658956,0.755526,0.792771,Semantic,656,direct,false
java656,gemini,Gemini-3-preview,0.805777,0.856622,0.861795,Semantic,656,direct,false
java656,glm5,GLM-5,0.801695,0.857204,0.860967,Semantic,655,direct,false
java656,gpt35,GPT-3.5-turbo,0.626136,0.782460,0.800902,Semantic,656,direct,false
java656,gpt4o,GPT-4o,0.645312,0.745246,0.784306,Semantic,656,direct,false
java656,gpt5,GPT-5-nano,0.711897,0.830421,0.804052,Semantic,656,direct,false
java656,kimi_k25,Kimi-K2.7,0.798285,0.861433,0.853919,Semantic,656,direct,false
java656,llama70b,Llama-70B,0.662239,0.797942,0.788269,Semantic,656,direct,false
java656,mistral,Mistral,0.622119,0.777058,0.799962,Semantic,656,direct,false
java656,o4mini,O4-mini,0.798735,0.862471,0.846202,Semantic,656,direct,false
java656,qwen37_plus,Qwen3.7-plus,0.773079,0.818112,0.816217,Semantic,656,direct,false
java656,qwencoder32b,Qwen2.5-Coder-32B,0.584268,0.744480,0.789855,Semantic,656,direct,false
java656,llamavl,Llama-3.2-11B-Vision-Instruct,0.391146,0.354786,0.342938,Lexical,656,completed,true
java656,qwen3vl,Qwen3-VL-8B-Instruct,0.538364,0.561484,0.668810,Semantic,656,completed,true
java656,codellama,CodeLlama,0.282148,0.353955,0.387797,Lexical,656,completed,true
java656,starchat,StarChat,0.502624,0.626248,0.588562,Semantic,656,completed,true
java656,starcoder,StarCoder,0.201238,0.187377,0.196685,Lexical,656,completed,true
java906,claude_sonnet_5,Claude Sonnet 5,0.688338702,0.7883275298,0.7721486137,Semantic,906,direct,false
java906,codellama,CodeLlama,0.2567925916,0.3247778477,0.3508091413,Lexical,906,pooled,true
java906,deepseek_r1,DeepSeek-R1,0.7089405828,0.8038768543,0.7672461766,Semantic,906,direct,false
java906,deepseek_v31,DeepSeek-V3.1,0.6590285651,0.7845128411,0.7890818985,Semantic,906,direct,false
java906,deepseek_v4_pro,DeepSeek-V4-Pro,0.6189295099,0.7283596093,0.7579785055,Semantic,906,direct,false
java906,gemini,Gemini-3-preview,0.7519478057,0.8056708411,0.8142246358,Semantic,906,direct,false
java906,glm5,GLM-5,0.7440112983,0.8139363204,0.8053960055,Semantic,905,direct,false
java906,gpt35,GPT-3.5-turbo,0.5698677881,0.7282077925,0.7245126512,Semantic,906,direct,false
java906,gpt4o,GPT-4o,0.6054135453,0.7317813201,0.743046894,Semantic,906,direct,false
java906,gpt5,GPT-5-nano,0.6719116247,0.7984270706,0.7615155762,Semantic,906,direct,false
java906,kimi_k25,Kimi-K2.7,0.7470143046,0.8262210795,0.8049162406,Semantic,906,direct,false
java906,llama70b,Llama-70B,0.5903849713,0.7302703664,0.7135396954,Semantic,906,direct,false
java906,llamavl,Llama-3.2-11B-Vision-Instruct,0.3559953377,0.325540415,0.3102288389,Lexical,906,pooled,true
java906,mistral,Mistral,0.56723517,0.7130036402,0.7107202781,Semantic,906,direct,false
java906,o4mini,O4-mini,0.7441226932,0.8216677439,0.7914186115,Semantic,906,direct,false
java906,qwen37_plus,Qwen3.7-plus,0.7241388786,0.7842924636,0.7704570662,Semantic,906,direct,false
java906,qwen3vl,Qwen3-VL-8B-Instruct,0.4899834812,0.5151997837,0.6050194371,Structural,906,pooled,true
java906,qwencoder32b,Qwen2.5-Coder-32B,0.5698563002,0.7244110155,0.7453447903,Semantic,906,direct,false
java906,starchat,StarChat,0.4574554018,0.5746252075,0.5324254106,Structural,906,pooled,true
java906,starcoder,StarCoder,0.1831535629,0.1719310839,0.1779253422,Lexical,906,pooled,true
