Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.4482824504375458,0.5517175495624542,False,True,False,False,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.5507308840751648,0.4492691159248352,True,True,True,True,False
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.7065414190292358,0.29345858097076416,True,True,True,True,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.6709561944007874,0.32904380559921265,True,True,True,True,False
p02258,Description_Simple,0.0,0.0,0.0,0.0,False,0.4242289662361145,0.4242289662361145,True,False,False,False,True
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.3645011782646179,0.6354988217353821,False,True,False,False,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7642266750335693,0.23577332496643066,True,True,True,True,False
p00011,Description_Simple,0.1,0.1,0.1,0.1,False,0.3712615370750427,0.27126153707504275,True,False,False,False,True
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.768268346786499,0.23173165321350098,True,True,True,True,False
p02256,Description_Simple,1.0,1.0,1.0,1.0,True,0.6222944855690002,0.37770551443099976,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.6773061752319336,0.3226938247680664,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.5893828868865967,0.4106171131134033,True,True,True,True,False
p00006,Description_Simple,0.7,0.7,0.7,0.7,True,0.630366325378418,0.06963367462158199,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.6443379521369934,0.3556620478630066,True,True,True,True,False
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.6311254501342773,0.36887454986572266,True,True,True,True,False
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.4600778818130493,0.4399221181869507,False,True,False,False,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.8692963719367981,0.1307036280632019,True,True,True,True,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.3225730061531067,0.6774269938468933,False,True,False,False,False
p02398,Description_Simple,0.9,0.9,0.9,0.9,True,0.5504567623138428,0.34954323768615725,True,True,True,True,False
p02396,Description_Simple,1.0,1.0,1.0,1.0,True,0.3958486318588257,0.6041513681411743,False,True,False,False,False
p02390,Description_Simple,1.0,1.0,1.0,1.0,True,0.4730588495731354,0.5269411504268646,False,True,False,False,False
p02392,Description_Simple,0.7,0.7,0.7,0.7,True,0.7769293189048767,0.07692931890487675,True,True,True,True,False
p02389,Description_Simple,0.8,0.8,0.8,0.8,True,0.36193138360977173,0.4380686163902283,False,True,False,False,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.5144270658493042,0.4855729341506958,True,True,True,True,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.5734610557556152,0.3265389442443848,True,True,True,True,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.4686005711555481,0.4313994288444519,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.6370075941085815,0.36299240589141846,True,True,True,True,False
p02400,Description_Simple,0.9,0.9,0.9,0.9,True,0.7597103118896484,0.14028968811035158,True,True,True,True,False
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.31296512484550476,0.5870348751544953,False,True,False,False,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.600605845451355,0.399394154548645,True,True,True,True,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.510776162147522,0.489223837852478,True,True,True,True,False
p02397,Description_Simple,0.9,0.9,0.9,0.9,True,0.4516671895980835,0.4483328104019165,False,True,False,False,False
p02406,Description_Simple,1.0,1.0,1.0,1.0,True,0.2557891607284546,0.7442108392715454,False,True,False,False,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.6238175630569458,0.3761824369430542,True,True,True,True,False
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.5771614909172058,0.4228385090827942,True,True,True,True,False
