model_key,model,javascript250:p00001,javascript250:p00002,javascript250:p00003,javascript250:p00005,javascript250:p00006,javascript250:p00007,javascript250:p00011,javascript250:p02255,javascript250:p02256,javascript250:p02257,javascript250:p02258,javascript250:p02259,javascript250:p02260,javascript250:p02263,javascript250:p02264,javascript250:p02268,javascript250:p02381,javascript250:p02388,javascript250:p02389,javascript250:p02390,javascript250:p02392,javascript250:p02393,javascript250:p02394,javascript250:p02396,javascript250:p02397,javascript250:p02398,javascript250:p02399,javascript250:p02400,javascript250:p02401,javascript250:p02402,javascript250:p02403,javascript250:p02404,javascript250:p02405,javascript250:p02406,javascript250:p02407,javascript250:p02408,javascript250:p02409,javascript250:p02410,javascript250:p02411,javascript250:p02412,javascript250:p02413,javascript250:p02414,javascript250:p02415,javascript250:p02416,javascript250:p02417,javascript250:p02418,javascript250:p02419,javascript250:p02420,javascript250:p02421,javascript250:p02547,javascript250:p02552,javascript250:p02553,javascript250:p02570,javascript250:p02571,javascript250:p02576,javascript250:p02577,javascript250:p02578,javascript250:p02582,javascript250:p02595,javascript250:p02612,javascript250:p02613,javascript250:p02621,javascript250:p02622,javascript250:p02627,javascript250:p02628,javascript250:p02629,javascript250:p02639,javascript250:p02640,javascript250:p02641,javascript250:p02657,javascript250:p02658,javascript250:p02659,javascript250:p02675,javascript250:p02676,javascript250:p02681,javascript250:p02682,javascript250:p02687,javascript250:p02688,javascript250:p02693,javascript250:p02694,javascript250:p02699,javascript250:p02700,javascript250:p02701,javascript250:p02706,javascript250:p02707,javascript250:p02711,javascript250:p02712,javascript250:p02713,javascript250:p02717,javascript250:p02718,javascript250:p02719,javascript250:p02723,javascript250:p02724,javascript250:p02725,javascript250:p02729,javascript250:p02730,javascript250:p02743,javascript250:p02753,javascript250:p02754,javascript250:p02755,javascript250:p02759,javascript250:p02766,javascript250:p02767,javascript250:p02771,javascript250:p02772,javascript250:p02773,javascript250:p02777,javascript250:p02778,javascript250:p02779,javascript250:p02783,javascript250:p02784,javascript250:p02785,javascript250:p02786,javascript250:p02789,javascript250:p02790,javascript250:p02791,javascript250:p02801,javascript250:p02802,javascript250:p02811,javascript250:p02812,javascript250:p02817,javascript250:p02818,javascript250:p02819,javascript250:p02829,javascript250:p02830,javascript250:p02831,javascript250:p02832,javascript250:p02835,javascript250:p02836,javascript250:p02847,javascript250:p02848,javascript250:p02860,javascript250:p02879,javascript250:p02880,javascript250:p02881,javascript250:p02886,javascript250:p02887,javascript250:p02897,javascript250:p02898,javascript250:p02899,javascript250:p02909,javascript250:p02910,javascript250:p02911,javascript250:p02916,javascript250:p02917,javascript250:p02921,javascript250:p02922,javascript250:p02923,javascript250:p02924,javascript250:p02934,javascript250:p02935,javascript250:p02945,javascript250:p02946,javascript250:p02947,javascript250:p02951,javascript250:p02952,javascript250:p02953,javascript250:p02957,javascript250:p02958,javascript250:p02959,javascript250:p02970,javascript250:p02971,javascript250:p02981,javascript250:p02982,javascript250:p02983,javascript250:p02987,javascript250:p02988,javascript250:p02989,javascript250:p02993,javascript250:p02994,javascript250:p02995,javascript250:p03000,javascript250:p03001,javascript250:p03011,javascript250:p03012,javascript250:p03013,javascript250:p03035,javascript250:p03037,javascript250:p03041,javascript250:p03042,javascript250:p03059,javascript250:p03060,javascript250:p03071,javascript250:p03072,javascript250:p03073,javascript250:p03075,javascript250:p03076,javascript250:p03086,javascript250:p03087,javascript250:p03102,javascript250:p03106,javascript250:p03107,javascript250:p03109,javascript250:p03126,javascript250:p03136,javascript250:p03146,javascript250:p03147,javascript250:p03160,javascript250:p03161,javascript250:p03220,javascript250:p03239,javascript250:p03242,javascript250:p03243,javascript250:p03261,javascript250:p03281,javascript250:p03282,javascript250:p03285,javascript250:p03289,javascript250:p03292,javascript250:p03293,javascript250:p03308,javascript250:p03315,javascript250:p03316,javascript250:p03324,javascript250:p03325,javascript250:p03352,javascript250:p03360,javascript250:p03370,javascript250:p03371,javascript250:p03378,javascript250:p03416,javascript250:p03434,javascript250:p03435,javascript250:p03448,javascript250:p03449,javascript250:p03455,javascript250:p03456,javascript250:p03457,javascript250:p03469,javascript250:p03470,javascript250:p03471,javascript250:p03474,javascript250:p03478,javascript250:p03493,javascript250:p03494,javascript250:p03545,javascript250:p03632,javascript250:p03644,javascript250:p03680,javascript250:p03695,javascript250:p03720,javascript250:p03775,javascript250:p03814,javascript250:p03835,javascript250:p03854,javascript250:p03998,javascript250:p04012,javascript250:p04030,javascript250:p04043,javascript250:p04044,javascript454:mbpp_0016,javascript454:mbpp_0018,javascript454:mbpp_0039,javascript454:mbpp_0043,javascript454:mbpp_0044,javascript454:mbpp_0070,javascript454:mbpp_0079,javascript454:mbpp_0083,javascript454:mbpp_0100,javascript454:mbpp_0102,javascript454:mbpp_0108,javascript454:mbpp_0109,javascript454:mbpp_0123,javascript454:mbpp_0125,javascript454:mbpp_0128,javascript454:mbpp_0131,javascript454:mbpp_0134,javascript454:mbpp_0159,javascript454:mbpp_0165,javascript454:mbpp_0172,javascript454:mbpp_0175,javascript454:mbpp_0178,javascript454:mbpp_0181,javascript454:mbpp_0186,javascript454:mbpp_0202,javascript454:mbpp_0217,javascript454:mbpp_0220,javascript454:mbpp_0226,javascript454:mbpp_0264,javascript454:mbpp_0285,javascript454:mbpp_0315,javascript454:mbpp_0321,javascript454:mbpp_0349,javascript454:mbpp_0350,javascript454:mbpp_0364,javascript454:mbpp_0374,javascript454:mbpp_0377,javascript454:mbpp_0386,javascript454:mbpp_0387,javascript454:mbpp_0396,javascript454:mbpp_0406,javascript454:mbpp_0415,javascript454:mbpp_0433,javascript454:mbpp_0434,javascript454:mbpp_0437,javascript454:mbpp_0449,javascript454:mbpp_0454,javascript454:mbpp_0480,javascript454:mbpp_0482,javascript454:mbpp_0509,javascript454:mbpp_0523,javascript454:mbpp_0526,javascript454:mbpp_0532,javascript454:mbpp_0537,javascript454:mbpp_0552,javascript454:mbpp_0563,javascript454:mbpp_0570,javascript454:mbpp_0602,javascript454:mbpp_0619,javascript454:mbpp_0628,javascript454:mbpp_0643,javascript454:mbpp_0664,javascript454:mbpp_0674,javascript454:mbpp_0719,javascript454:mbpp_0745,javascript454:mbpp_0756,javascript454:mbpp_0757,javascript454:mbpp_0764,javascript454:mbpp_0771,javascript454:mbpp_0774,javascript454:mbpp_0776,javascript454:mbpp_0781,javascript454:mbpp_0787,javascript454:mbpp_0794,javascript454:mbpp_0818,javascript454:mbpp_0823,javascript454:mbpp_0826,javascript454:mbpp_0838,javascript454:mbpp_0868,javascript454:mbpp_0879,javascript454:mbpp_0880,javascript454:mbpp_0885,javascript454:mbpp_0897,javascript454:mbpp_0909,javascript454:mbpp_0917,javascript454:mbpp_0930,javascript454:mbpp_0937,javascript454:mbpp_0958,javascript454:mbpp_0964
gpt4o,GPT-4o,1,0,1,1,0,0,0,0.9,0.9,0.7,0,1,1,1,1,0.9,0.8,0,0,0.4,1,1,0.1,0.3,1,1,0.9,1,0.9,1,0.9,0.9,1,0.8,0,0.8,0.9,0.4,0,1,0.4,0.9,1,0,0.9,1,0.2,0,0.2,1,0.7,0.9,1,0,0.4,0.9,0,1,0.1,0.1,0.9,0.1,0.9,0.8,0.1,0.2,0.2,0,0,0.8,0,0,0.4,0,0.1,0,0,0,0.8,0,0.4,0.9,0.9,0.9,0.9,1,1,1,0.9,0.4,0.1,0.4,1,0.1,0.4,0.6,0,1,0,1,0.6,0,1,1,1,1,0.2,0.9,1,0.4,0.1,0.9,0.9,1,0,1,0,0,1,1,0,0.1,0.9,0,0,0.2,0,0.1,0,0,0,0,0.9,0.2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.8,0,1,0.2,0,0.9,0,0,0,0,0.4,0,1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.2,0,0,0,0,0,0.1,0.9,0.4,0,0,0,0,0,0,0,0,0.7,0,1,0.1,0.2,0,1,0.9,1,0,1,0,0,0.9,0,0.2,1,1,0.1,0,0,0.9,0.7,1,0,1,1,0.1,1,0,0,0,0.8,1,0,0.3,1,0,1,0,0,0,1,1,1,0.7,0.7,0.6,1,0.4,0.3,0.1,0.7,0.1,1,0.8,0.4,0,1,0,0.9,1,0.2,1,1,0.4,0.7,0.2,0.7,0.4,0.8,1,0.9,0.4,1,0.9,0.2,0.9,0.8,0.7,1,0.4,0.2,0.7,0,0,0.8,0.9,0.7,0.4,0.9,1,0.1,1,0.6,0.8,0.7,0.9,1,1,1,0.8,0.7,1,0.8,0.9,1,1,0.9,0.7,1,1,1,0.8,1,0.8,0.1,0.8,0.2,0.4,0.4,0.3,0.7,1,1,0.9,1,1,0.8,1,0.3,1,0.8,1,0.4
gpt35,GPT-3.5,0.8,0,0.9,1,0,0,0,0.4,0.3,0.3,0.1,0.9,0,1,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.7,0,0.2,0.3,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0.2,1,0,0.1,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1,1,0,0.2,0,0.1,0,0.2,0,0,0.1,1,0,0,0,0,0.1,0,0.9,0.1,0.1,0,1,0,0.2,0,0,0.8,0,0,0.1,0,0.2,1,0,0.1,0.9,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0.2,0,0,0,0,1,0,0,0,0,0,0,0.2,0.4,0,0,0,0,0,0.9,0.2,0,0.2,0.9,0.1,0,0,0.4,0,0,0,1,1,0.3,0,0.8,0,0.4,0.7,0,0.6,1,0.2,1,0.3,0,0,0,0.7,0,0,0,0.4,0,0,0.5,0.2,0.8,0.1,1,0.1,0,0,0.3,0.7,0,0.2,0.7,0,0.4,0.7,0,0.9,0.2,0.9,1,1,0.6,0,0,0,0.9,0.6,0.1,0.2,0.4,0,0.7,0,0,0.3,1,0.4,0.4,0.4,0,0,0,0.1,1,0.7,1,0.1,1,0.9,0.3,1,0.2,0,0.9,1,0
o4mini,O4-mini,1,0.4,1,1,1,1,0.1,0.9,0.7,0.2,1,1,1,1,1,1,0.1,0.8,1,0.8,1,1,1,0.9,1,0.4,0.8,1,1,1,0.9,0.9,1,1,0,1,1,1,0.3,0.4,1,1,1,0.2,0.9,1,0.8,1,1,1,1,1,1,1,0.4,1,1,0.9,1,0,0.6,1,1,0,1,1,0.7,1,1,1,1,0,1,1,0.9,1,0.1,1,0.1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0.6,0,1,0,0.9,0.4,1,1,1,1,1,1,1,1,0.4,0.1,1,0,1,0,1,0.1,1,1,1,0.1,1,0.9,1,1,1,1,1,0.9,0.9,0.1,1,1,1,1,1,0.9,1,0,0,0,0.2,1,1,0,1,1,1,0,1,0.1,1,0,1,0,0.8,0,0.8,1,1,0.9,1,1,0,0.1,0.8,0,0,1,0.4,0.9,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0.2,0.9,1,0.6,1,0,0,1,0,1,1,1,1,0.7,1,1,1,1,0,1,0.4,1,1,1,0.9,1,0,1,0.9,1,1,0,1,1,1,0,1,0,1,0,0.9,0,1,0.9,1,1,0.7,1,1,0.1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,0.4,1,0.6,0.4,0,0.1,0.4,0.4,1,0.7,0.4,0,1,0,0.9,1,0,1,0.9,0.4,0.7,0.1,0.8,0.8,0.7,0.8,0.8,1,1,0.9,0.9,1,0.6,0.1,1,0.4,0.7,0.1,0,0.7,0.4,0.8,0.4,0.4,0.8,1,0.3,1,0.4,1,0.7,0.8,1,1,0.9,0.7,0.9,1,0.6,0.9,1,0.9,0.7,0.3,0.6,0.8,0.9,0.4,0.9,0.9,0.4,0.8,0.6,0.6,0.4,0.1,0.4,1,1,0.8,1,1,1,1,0.4,0.4,0.8,1,0.4
gemini,Gemini,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.4,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.9,0,0,0,0,0,0,0.1,0.1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0,1,0.9,0,0,0,0,0,1,0,1,0.1,0,0,0,0,1,0,0,0,0,1,0,0.9,0,0,0,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,0.9,1,0,0.4,1,0,0,0,0,0,0,1,0,0,0.4,1,0,0,0.1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,0.8,0,1,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,1,0
llama70b,Llama-70B,0.1,0,1,1,0,0,0,0.6,1,0,0.4,1,1,0.7,0.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8,0,0.9,0,1,0,0,0,0.9,1,0,0,0.1,1,1,0,0,1,0,0,0,0.4,0,0.1,0.1,0.2,0.4,0,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.2,0,0.1,1,0,0.3,0,0.2,0.2,0.2,0,0.9,0,1,0,0,0.6,0,0.1,0,0.1,0.1,0.9,0.1,1,0,0,0.1,0,1,0,0,0,0,1,1,0,0.2,0.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0.2,0.1,0,0,0,0.9,1,0,0.3,1,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0.1,0,0,1,0,0.3,0,1,0,0.2,0.8,0,0.4,0.1,0,1,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.8,0.1,0,0.2,0,0,0.2,1,0,0,0.1,1,0,0.7,0,0.8,0,0,0.7,1,0,0.1,0.2,0,0,0.9,0.1,0.3,0.1,0,0.1,0,0,0,0,0.4,0.2,0,0,0,0,0,0.8,0,1,0,0.1,0.3,0,0,0,0,0.2,0.9,0
mistral,Mistral,0.2,0,0.6,1,0,0,0,0.7,0.8,0.4,0.3,0.8,1,1,0.8,0.4,0,0,0.1,0,1,0.7,0,0,0,0.2,0.6,1,0.7,0,0.1,0.4,0.2,0.9,0,0,1,0.9,0.1,0.9,0.6,0.9,0.4,0,0.8,0,0.2,0,0.9,1,0,0,0,0,0,1,0,1,0.7,0,0.4,0.4,0,0,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0.9,0,1,0,0.2,1,0.9,1,1,1,0,1,0,0.6,0.1,0.2,1,0.9,0,1,0,0,0.4,0,1,0,0,0.1,0,0.4,1,0.3,0.2,0.1,0.4,1,0,0,0,0,0,1,0,0.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.4,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.1,0,0,0,1,0,0.7,0.1,1,0,0.1,0.4,0,0.2,0,0,0.9,0,0.2,1,0,0.9,0,0,0,0.4,0.9,1,0,0.6,0.1,0,0.1,0,0,0.2,0,1,0.8,0.4,0,1,0,0.7,1,0,1,0,0.4,1,0,0.9,0.6,0.2,0.8,0,0,1,1,0,0.1,0.1,0.4,1,0,0.2,0.4,1,0,0.3,1,0,0.1,0.7,1,0.7,0.7,0.6,1,0.4,0.8,1,0.9,1,0.4,0.7,0.7,0.2,0.7,0,1,0.4,0,0,0.8,0,0.4,0.9,0.9,0.3,0.7,0.4,0.2,0.3,0,1,1,1,0.9,1,0.8,0.3,1,0.3,0.2,0.7,1,0.4
deepseek_v31,DeepSeek-V3.1,1,0.2,1,1,0,1,1,0.8,0.7,0.4,0,1,1,1,1,1,0.6,1,1,0.8,1,0.9,0.8,0.4,1,1,0.9,1,0.9,1,0.9,1,1,0,0,0.2,0,0.3,0.9,1,1,1,1,0,0.9,1,1,1,0.7,1,0.1,1,1,1,0.2,1,0,0.9,1,0.8,0.1,0.8,1,1,0.9,1,1,0.9,0.4,0.9,1,0.8,1,0,0.1,0.8,0,0.9,1,1,1,0,1,0.9,1,1,1,1,1,1,0,0.9,0.4,0.9,1,0.6,0,1,0,0.9,0.4,0,1,1,1,1,1,0.1,1,1,0.8,1,0.8,1,0,1,0.1,1,1,1,0,0.4,1,0.1,0,1,0.8,0.4,1,0,1,0,0.3,0.9,1,1,0.9,1,0,0.1,0,0,0,0,0.1,0,0,1,0,0.4,0.7,0.4,0,0.4,0,0,0.1,0.7,0.4,1,0.1,0,0,0,0.1,0,1,0,0.4,0.1,0,0,0,0,1,0.2,0,0.1,0,0,0,0,0.1,0.9,1,0.1,0,0,1,0.9,1,0,0,1,0.4,0.1,0.2,0.9,0,0.2,0.4,0,0,1,1,0,1,0,1,0.8,0.9,1,1,0.6,1,0,0.4,0,0.9,0.4,1,0,0,1,0,0.9,0,1,0,1,1,1,1,0,1,0.9,0.4,0.1,0.9,1,1,1,1,0.3,0,0,0,1,1,0.1,0.7,1,0.6,0.4,0.3,0,0.4,0.2,0.9,1,0.4,0,1,0,0.9,1,0,1,0.8,1,0.9,0.2,1,0.8,0.7,1,1,1,0.7,1,0.8,1,0.8,0,1,0.4,0.9,1,0.9,0.6,0.9,1,0.4,0.6,0.2,0.6,0.2,1,0.4,1,0.8,1,1,1,1,0.2,0.4,1,0.8,0.7,1,1,0.9,0.7,1,1,0.9,1,1,1,0.4,1,0.9,0.6,1,0.4,0.5,0.4,1,0.8,1,1,1,1,0,0.1,1,1,0.1
deepseek_r1,DeepSeek-R1,1,0.3,1,0.9,0.4,0.7,1,0.7,0.7,0.2,0,1,1,1,1,1,0.8,0.8,0,1,0.9,1,1,0,1,0.4,1,1,0.9,0.9,0.9,0.8,1,0.9,0,0.2,1,1,0.9,1,1,0.2,1,0.7,0.9,1,0.8,1,1,1,0.9,0.9,0.8,1,0,1,1,1,1,0,0.3,0.9,1,0.1,1,1,0.6,1,1,1,0.6,1,0,1,0.3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.6,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0.6,1,1,1,1,0,1,0.9,0.6,1,1,0.2,1,1,1,0.9,1,1,1,0,0,0.4,0.8,1,0.8,1,1,0.8,0,0,0,0,0,1,1,0,0.9,1,0.1,1,1,0.2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0.9,1,0,0.3,1,0.1,0,0.1,1,1,0,0.4,0.4,0,0,0.4,0,0.9,1,1,0.9,0,0.3,0.9,1,1,0,0,0.6,1,0,1,1,1,1,0.7,0,1,1,1,0,1,0.8,1,1,1,0.9,1,1,1,1,1,0.2,0.9,0,1,1,0,1,1,0.9,0,1,0,1,1,0.9,1,1,1,0.9,0.2,1,1,1,1,1,1,1,0.9,0,0,1,1,0,0.4,1,1,0.3,0.2,0,0.4,0,1,1,0.3,0,1,0.4,0.6,1,0,0.7,1,1,1,0,1,0.8,1,1,0.1,1,0.9,1,0.9,1,0.4,0,1,0.6,1,1,1,0.6,0.2,1,0,0.8,0,1,0.4,1,0.4,1,0.6,0.9,1,1,1,1,0.7,1,0.1,0.6,1,0.9,0.3,0.9,0.7,1,0.9,0.1,1,0.9,0,1,1,0.6,1,0.4,0.4,1,1,0.8,1,0.7,0.9,1,0.4,0.6,1,1,0.4
deepseek_v4_pro,DeepSeek-V4-Pro,0.6,1,1,1,0.4,1,1,0.9,0.9,0.2,0,1,1,0.8,1,1,0.3,0.8,0.8,0.9,1,1,0.2,0.4,1,0.4,0.8,1,0.9,1,0.7,0.9,1,0.9,0,0,1,0.4,1,0.9,1,0.4,1,0,0.9,1,0.7,0.9,0.4,1,0.1,1,0,0.9,0.4,1,0,1,1,0,0.9,0.9,0.9,0.1,0,1,0.9,1,0.4,0.8,0.9,0.4,0.9,1,0,1,0,1,1,0.9,1,1,0.8,1,1,1,1,1,0,1,0,1,1,1,1,0.6,0,1,1,1,0,0,1,1,1,1,1,0.1,1,0.4,0,1,1,1,0,1,0,0.2,1,1,0,0.8,1,0,0,1,0.6,0.7,0.1,0,0.4,0,1,1,1,0.9,0,1,0,0,0,0.1,0.1,1,0,0.7,0.8,1,0,0.4,0.9,0.1,0.8,1,1,0,0.4,0.8,0.9,0.9,0.1,0,1,0,0.1,0,1,0,1,0.8,0,0,0.6,0,1,1,0.4,0,0,0,0.1,0.9,1,0,0,0,0,0,0.2,0.9,0.3,0,0,0.2,1,0.2,0.1,0.8,1,1,1,0,0,0.3,0.1,0,1,0.1,1,0.2,0,0.9,1,0,1,0,0.7,0.1,0.1,0,1,1,0,1,0,0.9,0,1,0,1,1,0.2,1,0,1,0.9,0.2,1,0.9,0.3,1,0,1,1,0.1,0.4,1,1,1,1,0.7,1,1,0.6,0.3,0.2,0.4,0.2,1,1,0.4,0,1,0.1,0.6,1,0,1,1,1,0.8,0.4,1,0.2,1,1,1,1,0.7,1,0.4,1,0.9,1,1,0.4,1,1,1,0.7,1,1,0.9,0.7,0,0,0.3,1,0.2,1,0.7,1,1,1,1,0.7,0.6,1,0.7,0.7,1,0.9,0.9,0.4,1,1,0.4,1,1,0.9,0,0.9,0.9,0.4,1,0.4,0.4,0.4,1,0.7,1,1,1,1,0.4,0.4,1,1,0.4
qwencoder32b,QwenCoder,1,0.9,1,1,0,0.1,0.2,0.4,1,0.8,0.4,1,1,0.9,1,0.8,0.4,0,0.8,0.7,1,0.9,0,0.9,0,0,1,1,1,0,0.9,0.9,0.9,0.8,0,0,1,1,0.4,1,0.9,1,1,0,0.8,1,0.3,0,0.2,1,0,0.1,1,0,0.4,1,0,1,0,0,0.4,0.4,0,0,0,0.9,0,0,0,0.4,0.1,0,0,0,0,0,0,0.9,1,0,0.8,0,0.4,0.1,1,0.1,1,1,0.1,0.7,0,1,0.1,0.7,0,1,0,1,0,0.9,0.6,0,1,0,1,0.9,0.1,1,1,0.6,0,0,0.4,1,0,0,0.1,0,0,1,0,0.4,1,0,0,0.1,0,0,0,0.1,0,0.2,1,0.8,1,0,0,0.4,0,0,0,0.1,0,0,0,0,0,0.4,0,0,0,0.9,0,0,0,0,0,0,0.8,0,0,0.1,0,0,0.1,0.9,0.2,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.4,0,0,0.3,0,0.1,0,0,0,0.9,0,1,0.1,0.1,1,0.9,1,1,0,0,0,0,0.1,0,0,1,0.1,0.1,0.2,0,0,0,0.9,0.1,1,1,0,0.6,0,1,0.8,0,0.1,0,0.1,1,0,1,0.1,0,0,1,0.1,0.4,0,0.8,0.4,0.9,0.4,0.8,0,0.6,0,1,0.8,0.6,0,1,0,0,1,0,1,1,1,0.9,0,0.7,0.2,0.7,0,0.7,0,0.4,0.3,0,0.1,0,0.4,1,0.4,0.3,0,0,0.6,0.8,1,0.7,0.6,0.8,0.8,0.2,1,0.7,0.7,0.1,0.7,1,1,0.8,0.1,0.6,1,0,0.3,0.8,0.9,0.3,0,0.7,0.8,1,0,1,1,0,1,0,0.1,0.2,0.1,1,1,1,0,1,1,0.4,1,0,0,1,1,0.6
