Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.42231327295303345,0.022313272953033425,True,False,False,False,True
mbpp_0031,Description_Simple,1.0,1.0,1.0,1.0,True,0.529675304889679,0.47032469511032104,True,True,True,True,False
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5657819509506226,0.43421804904937744,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5422846078872681,0.45771539211273193,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.5528867244720459,0.4471132755279541,True,True,True,True,False
mbpp_0159,Description_Simple,0.8,0.8,0.8,0.8,True,0.6636987924575806,0.13630120754241948,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.45714420080184937,0.5428557991981506,False,True,False,False,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6350463628768921,0.3649536371231079,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5164777040481567,0.48352229595184326,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5363340377807617,0.4636659622192383,True,True,True,True,False
mbpp_0004,Description_Simple,0.9,0.9,0.9,0.9,True,0.5451071262359619,0.3548928737640381,True,True,True,True,False
mbpp_0039,Description_Simple,0.7,0.7,0.7,0.7,True,0.5740153789520264,0.1259846210479736,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.573708713054657,0.426291286945343,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.6813034415245056,0.3186965584754944,True,True,True,True,False
mbpp_0822,Description_Simple,0.2,0.2,0.2,0.2,False,0.6243698596954346,0.42436985969543456,False,False,True,False,False
mbpp_0496,Description_Simple,0.6,0.6,0.6,0.6,True,0.712840735912323,0.11284073591232302,True,True,True,True,False
mbpp_0209,Description_Simple,0.4,0.4,0.4,0.4,False,0.5827809572219849,0.18278095722198484,False,False,True,False,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6300340294837952,0.36996597051620483,True,True,True,True,False
mbpp_0108,Description_Simple,0.5,0.5,0.5,0.5,True,0.4460294842720032,0.053970515727996826,False,True,False,False,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.728309154510498,0.27169084548950195,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.8155800104141235,0.8155800104141235,False,False,True,False,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.7048982977867126,0.29510170221328735,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.6879431009292603,0.31205689907073975,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.41776081919670105,0.582239180803299,False,True,False,False,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5221879482269287,0.4778120517730713,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6567074656486511,0.3432925343513489,True,True,True,True,False
mbpp_0315,Description_Simple,0.0,0.0,0.0,0.0,False,0.5973960161209106,0.5973960161209106,False,False,True,False,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7029504179954529,0.2970495820045471,True,True,True,True,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6817550659179688,0.31824493408203125,True,True,True,True,False
mbpp_0074,Description_Simple,0.2,0.2,0.2,0.2,False,0.5148196220397949,0.3148196220397949,False,False,True,False,False
mbpp_0501,Description_Simple,0.2,0.2,0.2,0.2,False,0.551673173904419,0.35167317390441893,False,False,True,False,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.7424179315567017,0.25758206844329834,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.6779064536094666,0.32209354639053345,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.6506873369216919,0.3493126630783081,True,True,True,True,False
mbpp_0550,Description_Simple,0.6,0.6,0.6,0.6,True,0.5100648999214172,0.08993510007858274,True,True,True,True,False
mbpp_0306,Description_Simple,0.3,0.3,0.3,0.3,False,0.6400290727615356,0.34002907276153566,False,False,True,False,False
mbpp_0850,Description_Simple,0.0,0.0,0.0,0.0,False,0.4572877287864685,0.4572877287864685,True,False,False,False,True
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.454841673374176,0.054841673374176,True,False,False,False,True
mbpp_0926,Description_Simple,0.7,0.7,0.7,0.7,True,0.5657320022583008,0.13426799774169917,True,True,True,True,False
mbpp_0811,Description_Simple,0.8,0.8,0.8,0.8,True,0.5830327272415161,0.21696727275848393,True,True,True,True,False
mbpp_0247,Description_Simple,1.0,1.0,1.0,1.0,True,0.7786874771118164,0.2213125228881836,True,True,True,True,False
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.7723421454429626,0.22765785455703735,True,True,True,True,False
mbpp_0453,Description_Simple,0.1,0.1,0.1,0.1,False,0.6677775382995605,0.5677775382995606,False,False,True,False,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.6307798624038696,0.36922013759613037,True,True,True,True,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.6722400188446045,0.3277599811553955,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.6490508317947388,0.050949168205261186,True,True,True,True,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.5284067392349243,0.4715932607650757,True,True,True,True,False
mbpp_0060,Description_Simple,0.1,0.1,0.1,0.1,False,0.7922947406768799,0.6922947406768799,False,False,True,False,False
mbpp_0689,Description_Simple,1.0,1.0,1.0,1.0,True,0.7552174925804138,0.24478250741958618,True,True,True,True,False
mbpp_0107,Description_Simple,0.2,0.2,0.2,0.2,False,0.6625344753265381,0.4625344753265381,False,False,True,False,False
mbpp_0239,Description_Simple,0.0,0.0,0.0,0.0,False,0.5285082459449768,0.5285082459449768,False,False,True,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.7954820394515991,0.20451796054840088,True,True,True,True,False
mbpp_0349,Description_Simple,0.4,0.4,0.4,0.4,False,0.5491809248924255,0.14918092489242551,False,False,True,False,False
mbpp_0826,Description_Simple,0.4,0.4,0.4,0.4,False,0.5904231071472168,0.19042310714721677,False,False,True,False,False
mbpp_0466,Description_Simple,1.0,1.0,1.0,1.0,True,0.7014521360397339,0.2985478639602661,True,True,True,True,False
mbpp_0121,Description_Simple,1.0,1.0,1.0,1.0,True,0.4797076880931854,0.5202923119068146,False,True,False,False,False
mbpp_0597,Description_Simple,1.0,1.0,1.0,1.0,True,0.6364067792892456,0.3635932207107544,True,True,True,True,False
mbpp_0129,Description_Simple,0.2,0.2,0.2,0.2,False,0.613947331905365,0.413947331905365,False,False,True,False,False
mbpp_0485,Description_Simple,1.0,1.0,1.0,1.0,True,0.6837129592895508,0.3162870407104492,True,True,True,True,False
mbpp_0628,Description_Simple,0.6,0.6,0.6,0.6,True,0.6466392278671265,0.04663922786712649,True,True,True,True,False
mbpp_0397,Description_Simple,1.0,1.0,1.0,1.0,True,0.8314631581306458,0.16853684186935425,True,True,True,True,False
mbpp_0863,Description_Simple,1.0,1.0,1.0,1.0,True,0.7984922528266907,0.20150774717330933,True,True,True,True,False
mbpp_0054,Description_Simple,1.0,1.0,1.0,1.0,True,0.5898841619491577,0.4101158380508423,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6574746966362,0.34252530336380005,True,True,True,True,False
mbpp_0648,Description_Simple,0.4,0.4,0.4,0.4,False,0.5284096002578735,0.1284096002578735,False,False,True,False,False
mbpp_0885,Description_Simple,1.0,1.0,1.0,1.0,True,0.6417949795722961,0.35820502042770386,True,True,True,True,False
mbpp_0685,Description_Simple,1.0,1.0,1.0,1.0,True,0.5975766181945801,0.4024233818054199,True,True,True,True,False
mbpp_0971,Description_Simple,1.0,1.0,1.0,1.0,True,0.438012957572937,0.561987042427063,False,True,False,False,False
mbpp_0256,Description_Simple,1.0,1.0,1.0,1.0,True,0.5839027166366577,0.4160972833633423,True,True,True,True,False
mbpp_0468,Description_Simple,0.2,0.2,0.2,0.2,False,0.74138343334198,0.54138343334198,False,False,True,False,False
mbpp_0918,Description_Simple,1.0,1.0,1.0,1.0,True,0.555942952632904,0.44405704736709595,True,True,True,True,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.6939131617546082,0.30608683824539185,True,True,True,True,False
mbpp_0531,Description_Simple,1.0,1.0,1.0,1.0,True,0.7487057447433472,0.25129425525665283,True,True,True,True,False
mbpp_0751,Description_Simple,1.0,1.0,1.0,1.0,True,0.7214765548706055,0.27852344512939453,True,True,True,True,False
mbpp_0702,Description_Simple,1.0,1.0,1.0,1.0,True,0.35938331484794617,0.6406166851520538,False,True,False,False,False
mbpp_0622,Description_Simple,1.0,1.0,1.0,1.0,True,0.7622475028038025,0.2377524971961975,True,True,True,True,False
mbpp_0714,Description_Simple,0.2,0.2,0.2,0.2,False,0.565339207649231,0.36533920764923095,False,False,True,False,False
mbpp_0181,Description_Simple,1.0,1.0,1.0,1.0,True,0.6148322224617004,0.38516777753829956,True,True,True,True,False
mbpp_0717,Description_Simple,0.8,0.8,0.8,0.8,True,0.566763162612915,0.233236837387085,True,True,True,True,False
mbpp_0448,Description_Simple,0.0,0.0,0.0,0.0,False,0.32732537388801575,0.32732537388801575,True,False,False,False,True
mbpp_0853,Description_Simple,0.0,0.0,0.0,0.0,False,0.5627118349075317,0.5627118349075317,False,False,True,False,False
mbpp_0846,Description_Simple,1.0,1.0,1.0,1.0,True,0.1262868046760559,0.8737131953239441,False,True,False,False,False
mbpp_0386,Description_Simple,0.2,0.2,0.2,0.2,False,0.5659175515174866,0.36591755151748656,False,False,True,False,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6172794103622437,0.38272058963775635,True,True,True,True,False
mbpp_0032,Description_Simple,1.0,1.0,1.0,1.0,True,0.7463617324829102,0.25363826751708984,True,True,True,True,False
mbpp_0122,Description_Simple,1.0,1.0,1.0,1.0,True,0.5877040028572083,0.41229599714279175,True,True,True,True,False
mbpp_0020,Description_Simple,0.0,0.0,0.0,0.0,False,0.41501176357269287,0.41501176357269287,True,False,False,False,True
mbpp_0395,Description_Simple,1.0,1.0,1.0,1.0,True,0.6787872910499573,0.3212127089500427,True,True,True,True,False
mbpp_0492,Description_Simple,0.9,0.9,0.9,0.9,True,0.6588429808616638,0.2411570191383362,True,True,True,True,False
mbpp_0856,Description_Simple,1.0,1.0,1.0,1.0,True,0.49806344509124756,0.5019365549087524,False,True,False,False,False
mbpp_0001,Description_Simple,0.6,0.6,0.6,0.6,True,0.6129682064056396,0.01296820640563967,True,True,True,True,False
mbpp_0684,Description_Simple,0.0,0.0,0.0,0.0,False,0.5205711722373962,0.5205711722373962,False,False,True,False,False
mbpp_0283,Description_Simple,1.0,1.0,1.0,1.0,True,0.6281837821006775,0.3718162178993225,True,True,True,True,False
mbpp_0351,Description_Simple,0.9,0.9,0.9,0.9,True,0.5703801512718201,0.32961984872817995,True,True,True,True,False
mbpp_0071,Description_Simple,1.0,1.0,1.0,1.0,True,0.6333072781562805,0.3666927218437195,True,True,True,True,False
mbpp_0231,Description_Simple,0.1,0.1,0.1,0.1,False,0.5163895487785339,0.41638954877853396,False,False,True,False,False
mbpp_0428,Description_Simple,1.0,1.0,1.0,1.0,True,0.5911113023757935,0.40888869762420654,True,True,True,True,False
mbpp_0415,Description_Simple,1.0,1.0,1.0,1.0,True,0.6989297270774841,0.30107027292251587,True,True,True,True,False
mbpp_0506,Description_Simple,1.0,1.0,1.0,1.0,True,0.5596815347671509,0.4403184652328491,True,True,True,True,False
mbpp_0374,Description_Simple,0.0,0.0,0.0,0.0,False,0.7128124237060547,0.7128124237060547,False,False,True,False,False
mbpp_0576,Description_Simple,1.0,1.0,1.0,1.0,True,0.5007965564727783,0.4992034435272217,True,True,True,True,False
mbpp_0769,Description_Simple,0.5,0.5,0.5,0.5,True,0.5981104969978333,0.09811049699783325,True,True,True,True,False
mbpp_0922,Description_Simple,0.9,0.9,0.9,0.9,True,0.7957137823104858,0.10428621768951418,True,True,True,True,False
mbpp_0721,Description_Simple,0.4,0.4,0.4,0.4,False,0.7734456062316895,0.37344560623168943,False,False,True,False,False
mbpp_0898,Description_Simple,0.1,0.1,0.1,0.1,False,0.48233112692832947,0.3823311269283295,True,False,False,False,True
mbpp_0377,Description_Simple,1.0,1.0,1.0,1.0,True,0.7051835060119629,0.2948164939880371,True,True,True,True,False
mbpp_0130,Description_Simple,0.9,0.9,0.9,0.9,True,0.6709133386611938,0.22908666133880617,True,True,True,True,False
mbpp_0034,Description_Simple,1.0,1.0,1.0,1.0,True,0.5398452877998352,0.4601547122001648,True,True,True,True,False
mbpp_0029,Description_Simple,0.8,0.8,0.8,0.8,True,0.7193450927734375,0.08065490722656254,True,True,True,True,False
mbpp_0304,Description_Simple,0.0,0.0,0.0,0.0,False,0.34719938039779663,0.34719938039779663,True,False,False,False,True
mbpp_0937,Description_Simple,1.0,1.0,1.0,1.0,True,0.7319320440292358,0.26806795597076416,True,True,True,True,False
mbpp_0207,Description_Simple,0.1,0.1,0.1,0.1,False,0.6595937609672546,0.5595937609672547,False,False,True,False,False
mbpp_0781,Description_Simple,1.0,1.0,1.0,1.0,True,0.7056715488433838,0.2943284511566162,True,True,True,True,False
mbpp_0661,Description_Simple,0.0,0.0,0.0,0.0,False,0.6927440762519836,0.6927440762519836,False,False,True,False,False
mbpp_0438,Description_Simple,0.8,0.8,0.8,0.8,True,0.6564499139785767,0.14355008602142338,True,True,True,True,False
mbpp_0620,Description_Simple,1.0,1.0,1.0,1.0,True,0.6820607781410217,0.31793922185897827,True,True,True,True,False
mbpp_0498,Description_Simple,0.6,0.6,0.6,0.6,True,0.6124194860458374,0.012419486045837425,True,True,True,True,False
mbpp_0510,Description_Simple,0.0,0.0,0.0,0.0,False,0.4337921738624573,0.4337921738624573,True,False,False,False,True
mbpp_0131,Description_Simple,1.0,1.0,1.0,1.0,True,0.7371698617935181,0.26283013820648193,True,True,True,True,False
mbpp_0842,Description_Simple,1.0,1.0,1.0,1.0,True,0.6944618225097656,0.3055381774902344,True,True,True,True,False
mbpp_0175,Description_Simple,0.9,0.9,0.9,0.9,True,0.6756809949874878,0.22431900501251223,True,True,True,True,False
mbpp_0659,Description_Simple,1.0,1.0,1.0,1.0,True,0.5825884342193604,0.41741156578063965,True,True,True,True,False
mbpp_0481,Description_Simple,1.0,1.0,1.0,1.0,True,0.6542654037475586,0.3457345962524414,True,True,True,True,False
mbpp_0188,Description_Simple,0.0,0.0,0.0,0.0,False,0.5692984461784363,0.5692984461784363,False,False,True,False,False
mbpp_0672,Description_Simple,1.0,1.0,1.0,1.0,True,0.6931759119033813,0.30682408809661865,True,True,True,True,False
mbpp_0899,Description_Simple,0.0,0.0,0.0,0.0,False,0.43134576082229614,0.43134576082229614,True,False,False,False,True
mbpp_0916,Description_Simple,0.9,0.9,0.9,0.9,True,0.6787270307540894,0.22127296924591067,True,True,True,True,False
mbpp_0691,Description_Simple,1.0,1.0,1.0,1.0,True,0.49094057083129883,0.5090594291687012,False,True,False,False,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.7198127508163452,0.2801872491836548,True,True,True,True,False
mbpp_0192,Description_Simple,1.0,1.0,1.0,1.0,True,0.5989227890968323,0.4010772109031677,True,True,True,True,False
mbpp_0891,Description_Simple,1.0,1.0,1.0,1.0,True,0.651156485080719,0.348843514919281,True,True,True,True,False
mbpp_0172,Description_Simple,1.0,1.0,1.0,1.0,True,0.5893656611442566,0.4106343388557434,True,True,True,True,False
mbpp_0227,Description_Simple,1.0,1.0,1.0,1.0,True,0.7314678430557251,0.2685321569442749,True,True,True,True,False
mbpp_0018,Description_Simple,1.0,1.0,1.0,1.0,True,0.5161194801330566,0.48388051986694336,True,True,True,True,False
mbpp_0876,Description_Simple,1.0,1.0,1.0,1.0,True,0.6583533883094788,0.34164661169052124,True,True,True,True,False
mbpp_0663,Description_Simple,0.4,0.4,0.4,0.4,False,0.48663076758384705,0.08663076758384702,True,False,False,False,True
mbpp_0520,Description_Simple,1.0,1.0,1.0,1.0,True,0.5660150051116943,0.43398499488830566,True,True,True,True,False
mbpp_0364,Description_Simple,1.0,1.0,1.0,1.0,True,0.7341518998146057,0.2658481001853943,True,True,True,True,False
mbpp_0819,Description_Simple,0.5,0.5,0.5,0.5,True,0.7329089641571045,0.2329089641571045,True,True,True,True,False
mbpp_0179,Description_Simple,1.0,1.0,1.0,1.0,True,0.4597957134246826,0.5402042865753174,False,True,False,False,False
mbpp_0815,Description_Simple,0.3,0.3,0.3,0.3,False,0.5688812136650085,0.26888121366500856,False,False,True,False,False
mbpp_0836,Description_Simple,1.0,1.0,1.0,1.0,True,0.6577996015548706,0.3422003984451294,True,True,True,True,False
mbpp_0541,Description_Simple,1.0,1.0,1.0,1.0,True,0.6408465504646301,0.3591534495353699,True,True,True,True,False
mbpp_0711,Description_Simple,1.0,1.0,1.0,1.0,True,0.7172493934631348,0.28275060653686523,True,True,True,True,False
mbpp_0136,Description_Simple,0.7,0.7,0.7,0.7,True,0.7043061256408691,0.004306125640869185,True,True,True,True,False
mbpp_0070,Description_Simple,0.8,0.8,0.8,0.8,True,0.7126935124397278,0.08730648756027226,True,True,True,True,False
mbpp_0316,Description_Simple,1.0,1.0,1.0,1.0,True,0.6854151487350464,0.3145848512649536,True,True,True,True,False
mbpp_0195,Description_Simple,0.7,0.7,0.7,0.7,True,0.4845717251300812,0.21542827486991878,False,True,False,False,False
mbpp_0733,Description_Simple,1.0,1.0,1.0,1.0,True,0.6967347860336304,0.30326521396636963,True,True,True,True,False
mbpp_0532,Description_Simple,1.0,1.0,1.0,1.0,True,0.6632365584373474,0.3367634415626526,True,True,True,True,False
mbpp_0326,Description_Simple,1.0,1.0,1.0,1.0,True,0.6591050028800964,0.34089499711990356,True,True,True,True,False
mbpp_0603,Description_Simple,1.0,1.0,1.0,1.0,True,0.30109769105911255,0.6989023089408875,False,True,False,False,False
mbpp_0793,Description_Simple,1.0,1.0,1.0,1.0,True,0.3992912471294403,0.6007087528705597,False,True,False,False,False
mbpp_0907,Description_Simple,1.0,1.0,1.0,1.0,True,0.44558200240135193,0.5544179975986481,False,True,False,False,False
mbpp_0480,Description_Simple,1.0,1.0,1.0,1.0,True,0.6581171751022339,0.3418828248977661,True,True,True,True,False
mbpp_0571,Description_Simple,0.4,0.4,0.4,0.4,False,0.7130893468856812,0.31308934688568113,False,False,True,False,False
mbpp_0806,Description_Simple,0.4,0.4,0.4,0.4,False,0.7448543310165405,0.3448543310165405,False,False,True,False,False
mbpp_0953,Description_Simple,0.0,0.0,0.0,0.0,False,0.445506751537323,0.445506751537323,True,False,False,False,True
mbpp_0709,Description_Simple,0.0,0.0,0.0,0.0,False,0.4067199230194092,0.4067199230194092,True,False,False,False,True
mbpp_0617,Description_Simple,0.1,0.1,0.1,0.1,False,0.43947774171829224,0.33947774171829226,True,False,False,False,True
mbpp_0923,Description_Simple,0.0,0.0,0.0,0.0,False,0.47151967883110046,0.47151967883110046,True,False,False,False,True
mbpp_0030,Description_Simple,1.0,1.0,1.0,1.0,True,0.6997040510177612,0.30029594898223877,True,True,True,True,False
mbpp_0113,Description_Simple,0.9,0.9,0.9,0.9,True,0.73479163646698,0.16520836353302004,True,True,True,True,False
mbpp_0338,Description_Simple,1.0,1.0,1.0,1.0,True,0.7829079627990723,0.21709203720092773,True,True,True,True,False
mbpp_0275,Description_Simple,0.0,0.0,0.0,0.0,False,0.4776722192764282,0.4776722192764282,True,False,False,False,True
mbpp_0134,Description_Simple,0.0,0.0,0.0,0.0,False,0.5451880097389221,0.5451880097389221,False,False,True,False,False
