Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5963752269744873,0.4036247730255127,True,True,True,True,False
mbpp_0323,Description_Simple,0.7,0.7,0.7,0.7,True,0.7462577819824219,0.04625778198242192,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.48367637395858765,0.5163236260414124,False,True,False,False,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6405693292617798,0.3594306707382202,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8681610226631165,0.13183897733688354,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6536768078804016,0.3463231921195984,True,True,True,True,False
mbpp_0776,Description_Simple,0.2,0.2,0.2,0.2,False,0.7327845096588135,0.5327845096588135,False,False,True,False,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5845568180084229,0.41544318199157715,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5705487728118896,0.42945122718811035,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6898755431175232,0.3101244568824768,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.7155985832214355,0.28440141677856445,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.5901970267295837,0.40980297327041626,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5755826234817505,0.4244173765182495,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.8121135830879211,0.18788641691207886,True,True,True,True,False
mbpp_0408,Description_Simple,0.5,0.5,0.5,0.5,True,0.5961605906486511,0.09616059064865112,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7900423407554626,0.20995765924453735,True,True,True,True,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.7689184546470642,0.2310815453529358,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6864359378814697,0.3135640621185303,True,True,True,True,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.7686710357666016,0.23132896423339844,True,True,True,True,False
mbpp_0628,Description_Simple,1.0,1.0,1.0,1.0,True,0.6634705066680908,0.3365294933319092,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.553661584854126,0.446338415145874,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6988632082939148,0.3011367917060852,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6380007863044739,0.3619992136955261,True,True,True,True,False
mbpp_0834,Description_Simple,0.2,0.2,0.2,0.2,False,0.7923610210418701,0.5923610210418702,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,-0.06293308734893799,1.062933087348938,False,True,False,False,False
mbpp_0898,Description_Simple,0.1,0.1,0.1,0.1,False,0.5534660816192627,0.4534660816192627,False,False,True,False,False
mbpp_0501,Description_Simple,0.2,0.2,0.2,0.2,False,0.6543012857437134,0.45430128574371337,False,False,True,False,False
mbpp_0665,Description_Simple,0.2,0.2,0.2,0.2,False,0.702156662940979,0.502156662940979,False,False,True,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.782450795173645,0.21754920482635498,True,True,True,True,False
mbpp_0822,Description_Simple,0.2,0.2,0.2,0.2,False,0.6490098237991333,0.4490098237991333,False,False,True,False,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.6606743931770325,0.33932560682296753,True,True,True,True,False
mbpp_0060,Description_Simple,0.1,0.1,0.1,0.1,False,0.7510145306587219,0.651014530658722,False,False,True,False,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.8553061485290527,0.14469385147094727,True,True,True,True,False
mbpp_0550,Description_Simple,0.2,0.2,0.2,0.2,False,0.4842015504837036,0.2842015504837036,True,False,False,False,True
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.8120620250701904,0.18793797492980957,True,True,True,True,False
mbpp_0523,Description_Simple,0.6,0.6,0.6,0.6,True,0.4538818597793579,0.14611814022064207,False,True,False,False,False
mbpp_0755,Description_Simple,0.6,0.6,0.6,0.6,True,0.48630380630493164,0.11369619369506834,False,True,False,False,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.8015338778495789,0.19846612215042114,True,True,True,True,False
