Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5076021552085876,0.49239784479141235,True,True,True,True,False
mbpp_0031,Description_Simple,0.8,0.8,0.8,0.8,True,0.584778904914856,0.2152210950851441,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.4220026135444641,0.02200261354446409,True,False,False,False,True
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.6218058466911316,0.3781941533088684,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.5106980204582214,0.48930197954177856,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.6983119249343872,0.3016880750656128,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6590130925178528,0.3409869074821472,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.660630464553833,0.339369535446167,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6559809446334839,0.3440190553665161,True,True,True,True,False
mbpp_0039,Description_Simple,0.9,0.9,0.9,0.9,True,0.4580421447753906,0.4419578552246094,False,True,False,False,False
mbpp_0004,Description_Simple,1.0,1.0,1.0,1.0,True,0.6203075647354126,0.3796924352645874,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6477975845336914,0.3522024154663086,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.6514164805412292,0.34858351945877075,True,True,True,True,False
mbpp_0822,Description_Simple,0.2,0.2,0.2,0.2,False,0.7164252996444702,0.5164252996444703,False,False,True,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8408182263374329,0.15918177366256714,True,True,True,True,False
mbpp_0496,Description_Simple,0.7,0.7,0.7,0.7,True,0.7186877131462097,0.01868771314620976,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6275315880775452,0.37246841192245483,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7216258645057678,0.2783741354942322,True,True,True,True,False
mbpp_0108,Description_Simple,0.6,0.6,0.6,0.6,True,0.39680927991867065,0.20319072008132932,False,True,False,False,False
mbpp_0209,Description_Simple,1.0,1.0,1.0,1.0,True,0.656566321849823,0.343433678150177,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7747831344604492,0.22521686553955078,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.5333520770072937,0.4666479229927063,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6247082352638245,0.37529176473617554,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.6438191533088684,0.6438191533088684,False,False,True,False,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7804837822914124,0.21951621770858765,True,True,True,True,False
mbpp_0315,Description_Simple,0.0,0.0,0.0,0.0,False,0.6881730556488037,0.6881730556488037,False,False,True,False,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.662013828754425,0.33798617124557495,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7293816804885864,0.2706183195114136,True,True,True,True,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.7841261625289917,0.3841261625289917,False,False,True,False,False
mbpp_0074,Description_Simple,0.4,0.4,0.4,0.4,False,0.5958564877510071,0.19585648775100706,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6837772130966187,0.31622278690338135,True,True,True,True,False
mbpp_0834,Description_Simple,0.2,0.2,0.2,0.2,False,0.7887057065963745,0.5887057065963746,False,False,True,False,False
mbpp_0306,Description_Simple,0.3,0.3,0.3,0.3,False,0.6875795722007751,0.38757957220077516,False,False,True,False,False
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.8013966083526611,0.19860339164733887,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7769060134887695,0.22309398651123047,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.6425420045852661,0.3574579954147339,True,True,True,True,False
mbpp_0926,Description_Simple,0.4,0.4,0.4,0.4,False,0.5723342299461365,0.17233422994613645,False,False,True,False,False
mbpp_0523,Description_Simple,0.1,0.1,0.1,0.1,False,0.30487361550331116,0.20487361550331115,True,False,False,False,True
mbpp_0811,Description_Simple,1.0,1.0,1.0,1.0,True,0.26467466354370117,0.7353253364562988,False,True,False,False,False
mbpp_0850,Description_Simple,0.4,0.4,0.4,0.4,False,0.5642685890197754,0.16426858901977537,False,False,True,False,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.7105359435081482,0.2894640564918518,True,True,True,True,False
mbpp_0247,Description_Simple,1.0,1.0,1.0,1.0,True,0.792509913444519,0.20749008655548096,True,True,True,True,False
mbpp_0453,Description_Simple,0.2,0.2,0.2,0.2,False,0.7404043674468994,0.5404043674468995,False,False,True,False,False
mbpp_0463,Description_Simple,0.9,0.9,0.9,0.9,True,0.7664356231689453,0.1335643768310547,True,True,True,True,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.7395695447921753,0.2604304552078247,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.6910907030105591,0.008909296989440874,True,True,True,True,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.5566068887710571,0.44339311122894287,True,True,True,True,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.7901766896247864,0.39017668962478635,False,False,True,False,False
mbpp_0107,Description_Simple,0.1,0.1,0.1,0.1,False,0.732092022895813,0.632092022895813,False,False,True,False,False
mbpp_0689,Description_Simple,0.9,0.9,0.9,0.9,True,0.8496374487876892,0.05036255121231081,True,True,True,True,False
mbpp_0239,Description_Simple,1.0,1.0,1.0,1.0,True,0.6151183247566223,0.3848816752433777,True,True,True,True,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.7883764505386353,0.21162354946136475,True,True,True,True,False
mbpp_0349,Description_Simple,0.0,0.0,0.0,0.0,False,0.544234573841095,0.544234573841095,False,False,True,False,False
mbpp_0466,Description_Simple,1.0,1.0,1.0,1.0,True,0.7589468955993652,0.24105310440063477,True,True,True,True,False
mbpp_0826,Description_Simple,1.0,1.0,1.0,1.0,True,0.6700356006622314,0.32996439933776855,True,True,True,True,False
mbpp_0121,Description_Simple,0.4,0.4,0.4,0.4,False,0.5669638514518738,0.16696385145187376,False,False,True,False,False
mbpp_0485,Description_Simple,1.0,1.0,1.0,1.0,True,0.7970569133758545,0.2029430866241455,True,True,True,True,False
mbpp_0597,Description_Simple,1.0,1.0,1.0,1.0,True,0.5471793413162231,0.45282065868377686,True,True,True,True,False
mbpp_0129,Description_Simple,0.1,0.1,0.1,0.1,False,0.688727855682373,0.5887278556823731,False,False,True,False,False
mbpp_0628,Description_Simple,0.3,0.3,0.3,0.3,False,0.4341973066329956,0.13419730663299562,True,False,False,False,True
mbpp_0054,Description_Simple,1.0,1.0,1.0,1.0,True,0.591802179813385,0.408197820186615,True,True,True,True,False
mbpp_0397,Description_Simple,1.0,1.0,1.0,1.0,True,0.7641645669937134,0.23583543300628662,True,True,True,True,False
mbpp_0863,Description_Simple,1.0,1.0,1.0,1.0,True,0.7664905786514282,0.23350942134857178,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.7195304036140442,0.2804695963859558,True,True,True,True,False
mbpp_0971,Description_Simple,1.0,1.0,1.0,1.0,True,0.6080594658851624,0.39194053411483765,True,True,True,True,False
mbpp_0885,Description_Simple,1.0,1.0,1.0,1.0,True,0.7247884273529053,0.2752115726470947,True,True,True,True,False
mbpp_0648,Description_Simple,0.2,0.2,0.2,0.2,False,0.5288366079330444,0.3288366079330444,False,False,True,False,False
mbpp_0685,Description_Simple,1.0,1.0,1.0,1.0,True,0.5997428297996521,0.4002571702003479,True,True,True,True,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.7477433681488037,0.2522566318511963,True,True,True,True,False
mbpp_0256,Description_Simple,1.0,1.0,1.0,1.0,True,0.6664674282073975,0.33353257179260254,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.8092528581619263,0.19074714183807373,True,True,True,True,False
mbpp_0918,Description_Simple,1.0,1.0,1.0,1.0,True,0.6316204071044922,0.3683795928955078,True,True,True,True,False
mbpp_0751,Description_Simple,1.0,1.0,1.0,1.0,True,0.7538847923278809,0.24611520767211914,True,True,True,True,False
mbpp_0531,Description_Simple,1.0,1.0,1.0,1.0,True,0.7692543268203735,0.23074567317962646,True,True,True,True,False
mbpp_0622,Description_Simple,1.0,1.0,1.0,1.0,True,0.7873972058296204,0.21260279417037964,True,True,True,True,False
mbpp_0702,Description_Simple,1.0,1.0,1.0,1.0,True,0.5221157073974609,0.47788429260253906,True,True,True,True,False
mbpp_0448,Description_Simple,1.0,1.0,1.0,1.0,True,0.4332847595214844,0.5667152404785156,False,True,False,False,False
mbpp_0714,Description_Simple,0.0,0.0,0.0,0.0,False,0.570408821105957,0.570408821105957,False,False,True,False,False
mbpp_0717,Description_Simple,1.0,1.0,1.0,1.0,True,0.6393576860427856,0.36064231395721436,True,True,True,True,False
mbpp_0181,Description_Simple,0.7,0.7,0.7,0.7,True,0.5018105506896973,0.1981894493103027,True,True,True,True,False
mbpp_0386,Description_Simple,0.0,0.0,0.0,0.0,False,0.41646602749824524,0.41646602749824524,True,False,False,False,True
mbpp_0853,Description_Simple,1.0,1.0,1.0,1.0,True,0.6749043464660645,0.32509565353393555,True,True,True,True,False
mbpp_0846,Description_Simple,1.0,1.0,1.0,1.0,True,0.7138071060180664,0.2861928939819336,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6041573882102966,0.39584261178970337,True,True,True,True,False
mbpp_0020,Description_Simple,1.0,1.0,1.0,1.0,True,0.6133509874343872,0.3866490125656128,True,True,True,True,False
mbpp_0122,Description_Simple,0.0,0.0,0.0,0.0,False,0.6706709265708923,0.6706709265708923,False,False,True,False,False
mbpp_0395,Description_Simple,1.0,1.0,1.0,1.0,True,0.8583699464797974,0.14163005352020264,True,True,True,True,False
mbpp_0032,Description_Simple,1.0,1.0,1.0,1.0,True,0.6955645084381104,0.30443549156188965,True,True,True,True,False
mbpp_0684,Description_Simple,0.4,0.4,0.4,0.4,False,0.6541224718093872,0.2541224718093872,False,False,True,False,False
mbpp_0856,Description_Simple,1.0,1.0,1.0,1.0,True,0.6111187934875488,0.38888120651245117,True,True,True,True,False
mbpp_0492,Description_Simple,1.0,1.0,1.0,1.0,True,0.7281410098075867,0.27185899019241333,True,True,True,True,False
mbpp_0001,Description_Simple,0.6,0.6,0.6,0.6,True,0.6620755195617676,0.0620755195617676,True,True,True,True,False
mbpp_0071,Description_Simple,1.0,1.0,1.0,1.0,True,0.6456759572029114,0.3543240427970886,True,True,True,True,False
mbpp_0351,Description_Simple,1.0,1.0,1.0,1.0,True,0.7731821537017822,0.22681784629821777,True,True,True,True,False
mbpp_0231,Description_Simple,0.9,0.9,0.9,0.9,True,0.7431378960609436,0.15686210393905642,True,True,True,True,False
mbpp_0283,Description_Simple,1.0,1.0,1.0,1.0,True,0.5260837078094482,0.47391629219055176,True,True,True,True,False
mbpp_0415,Description_Simple,1.0,1.0,1.0,1.0,True,0.7732301354408264,0.22676986455917358,True,True,True,True,False
mbpp_0506,Description_Simple,1.0,1.0,1.0,1.0,True,0.6629844903945923,0.3370155096054077,True,True,True,True,False
mbpp_0428,Description_Simple,1.0,1.0,1.0,1.0,True,0.6069514155387878,0.39304858446121216,True,True,True,True,False
mbpp_0374,Description_Simple,0.4,0.4,0.4,0.4,False,0.44351398944854736,0.04351398944854734,True,False,False,False,True
mbpp_0576,Description_Simple,1.0,1.0,1.0,1.0,True,0.7180923819541931,0.2819076180458069,True,True,True,True,False
mbpp_0769,Description_Simple,0.9,0.9,0.9,0.9,True,0.4514694809913635,0.4485305190086365,False,True,False,False,False
mbpp_0721,Description_Simple,0.4,0.4,0.4,0.4,False,0.6887402534484863,0.2887402534484863,False,False,True,False,False
mbpp_0922,Description_Simple,1.0,1.0,1.0,1.0,True,0.7531730532646179,0.24682694673538208,True,True,True,True,False
mbpp_0130,Description_Simple,0.8,0.8,0.8,0.8,True,0.5999642014503479,0.20003579854965214,True,True,True,True,False
mbpp_0034,Description_Simple,0.8,0.8,0.8,0.8,True,0.5342966914176941,0.26570330858230595,True,True,True,True,False
mbpp_0898,Description_Simple,0.1,0.1,0.1,0.1,False,0.6518404483795166,0.5518404483795166,False,False,True,False,False
mbpp_0377,Description_Simple,0.3,0.3,0.3,0.3,False,0.44867047667503357,0.14867047667503358,True,False,False,False,True
mbpp_0029,Description_Simple,1.0,1.0,1.0,1.0,True,0.6904903054237366,0.3095096945762634,True,True,True,True,False
mbpp_0304,Description_Simple,0.2,0.2,0.2,0.2,False,0.6894674897193909,0.48946748971939086,False,False,True,False,False
mbpp_0207,Description_Simple,0.4,0.4,0.4,0.4,False,0.654316782951355,0.25431678295135496,False,False,True,False,False
mbpp_0937,Description_Simple,1.0,1.0,1.0,1.0,True,0.5519644021987915,0.4480355978012085,True,True,True,True,False
mbpp_0438,Description_Simple,1.0,1.0,1.0,1.0,True,0.597752571105957,0.40224742889404297,True,True,True,True,False
mbpp_0661,Description_Simple,0.1,0.1,0.1,0.1,False,0.6221268773078918,0.5221268773078919,False,False,True,False,False
mbpp_0781,Description_Simple,1.0,1.0,1.0,1.0,True,0.8116793632507324,0.18832063674926758,True,True,True,True,False
mbpp_0620,Description_Simple,1.0,1.0,1.0,1.0,True,0.6284759640693665,0.37152403593063354,True,True,True,True,False
mbpp_0842,Description_Simple,0.9,0.9,0.9,0.9,True,0.7115493416786194,0.18845065832138064,True,True,True,True,False
mbpp_0498,Description_Simple,0.7,0.7,0.7,0.7,True,0.6867080926895142,0.013291907310485795,True,True,True,True,False
mbpp_0510,Description_Simple,0.6,0.6,0.6,0.6,True,0.6829149127006531,0.0829149127006531,True,True,True,True,False
mbpp_0131,Description_Simple,1.0,1.0,1.0,1.0,True,0.8122401833534241,0.18775981664657593,True,True,True,True,False
mbpp_0481,Description_Simple,1.0,1.0,1.0,1.0,True,0.7120891809463501,0.2879108190536499,True,True,True,True,False
mbpp_0659,Description_Simple,0.9,0.9,0.9,0.9,True,0.6408964395523071,0.2591035604476929,True,True,True,True,False
mbpp_0175,Description_Simple,0.9,0.9,0.9,0.9,True,0.6688212156295776,0.23117878437042239,True,True,True,True,False
mbpp_0188,Description_Simple,1.0,1.0,1.0,1.0,True,0.6531568765640259,0.3468431234359741,True,True,True,True,False
mbpp_0672,Description_Simple,1.0,1.0,1.0,1.0,True,0.5442690849304199,0.4557309150695801,True,True,True,True,False
mbpp_0691,Description_Simple,1.0,1.0,1.0,1.0,True,0.5660627484321594,0.4339372515678406,True,True,True,True,False
mbpp_0916,Description_Simple,0.9,0.9,0.9,0.9,True,0.6464097499847412,0.2535902500152588,True,True,True,True,False
mbpp_0899,Description_Simple,0.0,0.0,0.0,0.0,False,0.3658023774623871,0.3658023774623871,True,False,False,False,True
mbpp_0891,Description_Simple,1.0,1.0,1.0,1.0,True,0.6232633590698242,0.3767366409301758,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.6413742303848267,0.35862576961517334,True,True,True,True,False
mbpp_0192,Description_Simple,1.0,1.0,1.0,1.0,True,0.6156684756278992,0.38433152437210083,True,True,True,True,False
mbpp_0172,Description_Simple,1.0,1.0,1.0,1.0,True,0.5781217217445374,0.42187827825546265,True,True,True,True,False
mbpp_0663,Description_Simple,0.6,0.6,0.6,0.6,True,0.708128809928894,0.10812880992889407,True,True,True,True,False
mbpp_0227,Description_Simple,1.0,1.0,1.0,1.0,True,0.6901929378509521,0.30980706214904785,True,True,True,True,False
mbpp_0018,Description_Simple,0.4,0.4,0.4,0.4,False,0.5344575643539429,0.13445756435394285,False,False,True,False,False
mbpp_0876,Description_Simple,1.0,1.0,1.0,1.0,True,0.7326552867889404,0.26734471321105957,True,True,True,True,False
mbpp_0520,Description_Simple,1.0,1.0,1.0,1.0,True,0.6278578042984009,0.3721421957015991,True,True,True,True,False
mbpp_0179,Description_Simple,1.0,1.0,1.0,1.0,True,0.8256849050521851,0.17431509494781494,True,True,True,True,False
mbpp_0364,Description_Simple,1.0,1.0,1.0,1.0,True,0.6774845719337463,0.32251542806625366,True,True,True,True,False
mbpp_0819,Description_Simple,0.5,0.5,0.5,0.5,True,0.7857868075370789,0.28578680753707886,True,True,True,True,False
mbpp_0836,Description_Simple,1.0,1.0,1.0,1.0,True,0.7260507941246033,0.27394920587539673,True,True,True,True,False
mbpp_0711,Description_Simple,0.9,0.9,0.9,0.9,True,0.7331079244613647,0.16689207553863528,True,True,True,True,False
mbpp_0815,Description_Simple,1.0,1.0,1.0,1.0,True,0.5726715326309204,0.4273284673690796,True,True,True,True,False
mbpp_0541,Description_Simple,1.0,1.0,1.0,1.0,True,0.6419700384140015,0.35802996158599854,True,True,True,True,False
mbpp_0195,Description_Simple,1.0,1.0,1.0,1.0,True,0.6710464954376221,0.32895350456237793,True,True,True,True,False
mbpp_0316,Description_Simple,1.0,1.0,1.0,1.0,True,0.6288062930107117,0.37119370698928833,True,True,True,True,False
mbpp_0136,Description_Simple,0.8,0.8,0.8,0.8,True,0.7370322942733765,0.06296770572662358,True,True,True,True,False
mbpp_0070,Description_Simple,0.0,0.0,0.0,0.0,False,0.47077322006225586,0.47077322006225586,True,False,False,False,True
mbpp_0326,Description_Simple,1.0,1.0,1.0,1.0,True,0.7486472725868225,0.2513527274131775,True,True,True,True,False
mbpp_0733,Description_Simple,1.0,1.0,1.0,1.0,True,0.6307706236839294,0.36922937631607056,True,True,True,True,False
mbpp_0603,Description_Simple,1.0,1.0,1.0,1.0,True,0.4178156852722168,0.5821843147277832,False,True,False,False,False
mbpp_0532,Description_Simple,1.0,1.0,1.0,1.0,True,0.6187906861305237,0.3812093138694763,True,True,True,True,False
mbpp_0907,Description_Simple,1.0,1.0,1.0,1.0,True,0.795805037021637,0.20419496297836304,True,True,True,True,False
mbpp_0480,Description_Simple,1.0,1.0,1.0,1.0,True,0.704864501953125,0.295135498046875,True,True,True,True,False
