Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02675,Description_Fewshot,0.0,0.0,0.0,False,0.3245568871498108,0.3245568871498108,True,False,False,False,True
p02675,Description_Reason,0.0,0.0,0.0,False,0.14395371079444885,0.14395371079444885,True,False,False,False,True
p02675,Description_Simple,0.0,0.0,0.0,False,0.20071683824062347,0.20071683824062347,True,False,False,False,True
p02970,Description_Fewshot,0.0,0.0,0.0,False,0.05751265212893486,0.05751265212893486,True,False,False,False,True
p02970,Description_Reason,0.0,0.0,0.0,False,0.221574068069458,0.221574068069458,True,False,False,False,True
p02970,Description_Simple,0.0,0.0,0.0,False,0.090360127389431,0.090360127389431,True,False,False,False,True
p03136,Description_Fewshot,0.0,0.0,0.0,False,0.18821141123771667,0.18821141123771667,True,False,False,False,True
p03136,Description_Reason,0.0,0.0,0.0,False,0.13142092525959015,0.13142092525959015,True,False,False,False,True
p03136,Description_Simple,0.0,0.0,0.0,False,0.06908559054136276,0.06908559054136276,True,False,False,False,True
p03261,Description_Fewshot,0.0,0.0,0.0,False,0.0511736236512661,0.0511736236512661,True,False,False,False,True
p03261,Description_Reason,0.0,0.0,0.0,False,0.052270952612161636,0.052270952612161636,True,False,False,False,True
p03261,Description_Simple,0.0,0.0,0.0,False,0.037451330572366714,0.037451330572366714,True,False,False,False,True
p03416,Description_Fewshot,0.0,0.0,0.0,False,0.08529286831617355,0.08529286831617355,True,False,False,False,True
p03416,Description_Reason,0.0,0.0,0.0,False,-0.053743816912174225,0.053743816912174225,True,False,False,False,True
p03416,Description_Simple,0.0,0.0,0.0,False,0.4352237582206726,0.4352237582206726,True,False,False,False,True
p02681,Description_Fewshot,0.0,0.0,0.0,False,0.13294717669487,0.13294717669487,True,False,False,False,True
p02681,Description_Reason,0.0,0.0,0.0,False,0.10117551684379578,0.10117551684379578,True,False,False,False,True
p02681,Description_Simple,0.0,0.0,0.0,False,0.17368559539318085,0.17368559539318085,True,False,False,False,True
p02677,Description_Fewshot,0.0,0.0,0.0,False,0.02401651442050934,0.02401651442050934,True,False,False,False,True
p02677,Description_Reason,0.4,0.0,0.2,False,0.47240155935287476,0.27240155935287474,True,False,False,False,True
p02677,Description_Simple,0.0,0.0,0.0,False,-0.08511887490749359,0.08511887490749359,True,False,False,False,True
p02759,Description_Fewshot,0.0,0.0,0.0,False,-0.07033178955316544,0.07033178955316544,True,False,False,False,True
p02759,Description_Reason,0.0,0.4,0.2,False,0.3013414144515991,0.10134141445159911,True,False,False,False,True
p02759,Description_Simple,0.0,0.0,0.0,False,0.35678601264953613,0.35678601264953613,True,False,False,False,True
p02835,Description_Fewshot,0.0,0.0,0.0,False,0.02691069059073925,0.02691069059073925,True,False,False,False,True
p02835,Description_Reason,0.0,0.0,0.0,False,0.22963964939117432,0.22963964939117432,True,False,False,False,True
p02835,Description_Simple,0.0,0.0,0.0,False,-0.005233735777437687,0.005233735777437687,True,False,False,False,True
p03239,Description_Fewshot,0.0,0.0,0.0,False,0.026298388838768005,0.026298388838768005,True,False,False,False,True
p03239,Description_Reason,0.0,0.0,0.0,False,-0.024763232097029686,0.024763232097029686,True,False,False,False,True
p03239,Description_Simple,0.0,0.0,0.0,False,0.27814000844955444,0.27814000844955444,True,False,False,False,True
p03449,Description_Fewshot,0.0,0.0,0.0,False,-0.04665523022413254,0.04665523022413254,True,False,False,False,True
p03449,Description_Reason,0.0,0.0,0.0,False,-0.025324026122689247,0.025324026122689247,True,False,False,False,True
p03449,Description_Simple,0.0,0.0,0.0,False,0.14697694778442383,0.14697694778442383,True,False,False,False,True
p03037,Description_Fewshot,0.0,0.0,0.0,False,0.09527197480201721,0.09527197480201721,True,False,False,False,True
p03037,Description_Reason,0.0,0.0,0.0,False,0.35247159004211426,0.35247159004211426,True,False,False,False,True
p03037,Description_Simple,0.0,0.0,0.0,False,0.11827485263347626,0.11827485263347626,True,False,False,False,True
p03042,Description_Fewshot,0.0,0.0,0.0,False,0.08768291026353836,0.08768291026353836,True,False,False,False,True
p03042,Description_Reason,0.0,0.0,0.0,False,0.029174156486988068,0.029174156486988068,True,False,False,False,True
p03042,Description_Simple,0.0,0.0,0.0,False,0.03662007302045822,0.03662007302045822,True,False,False,False,True
p00005,Description_Fewshot,0.0,0.0,0.0,False,-0.00815408956259489,0.00815408956259489,True,False,False,False,True
p00005,Description_Reason,0.0,0.0,0.0,False,0.34890639781951904,0.34890639781951904,True,False,False,False,True
p00005,Description_Simple,0.0,0.3,0.15,False,-0.0077116405591368675,0.15771164055913686,True,False,False,False,True
p02417,Description_Fewshot,0.0,0.0,0.0,False,0.13665911555290222,0.13665911555290222,True,False,False,False,True
p02417,Description_Reason,0.3,0.0,0.15,False,0.11346118152141571,0.036538818478584284,True,False,False,False,True
p02417,Description_Simple,0.0,0.0,0.0,False,0.4831259846687317,0.4831259846687317,True,False,False,False,True
p02578,Description_Fewshot,0.0,0.0,0.0,False,0.20363807678222656,0.20363807678222656,True,False,False,False,True
p02578,Description_Reason,0.0,0.0,0.0,False,0.44362205266952515,0.44362205266952515,True,False,False,False,True
p02578,Description_Simple,0.0,0.0,0.0,False,0.04951206594705582,0.04951206594705582,True,False,False,False,True
p03360,Description_Fewshot,0.0,0.0,0.0,False,0.5022936463356018,0.5022936463356018,False,False,True,False,False
p03360,Description_Reason,0.0,0.0,0.0,False,0.12465208768844604,0.12465208768844604,True,False,False,False,True
p03360,Description_Simple,1.0,0.0,0.5,True,0.10408145189285278,0.3959185481071472,False,True,False,False,False
p02910,Description_Fewshot,0.0,0.0,0.0,False,0.33531010150909424,0.33531010150909424,True,False,False,False,True
p02910,Description_Reason,0.0,1.0,0.5,True,0.29004377126693726,0.20995622873306274,False,True,False,False,False
p02910,Description_Simple,0.0,0.0,0.0,False,0.13474692404270172,0.13474692404270172,True,False,False,False,True
p03071,Description_Fewshot,0.0,0.0,0.0,False,-0.05072580650448799,0.05072580650448799,True,False,False,False,True
p03071,Description_Reason,0.0,0.0,0.0,False,0.21005067229270935,0.21005067229270935,True,False,False,False,True
p03071,Description_Simple,0.0,0.0,0.0,False,0.00022605061531066895,0.00022605061531066895,True,False,False,False,True
p03493,Description_Fewshot,0.0,0.0,0.0,False,0.02182304486632347,0.02182304486632347,True,False,False,False,True
p03493,Description_Reason,0.0,0.0,0.0,False,0.3490510582923889,0.3490510582923889,True,False,False,False,True
p03493,Description_Simple,0.0,0.0,0.0,False,0.08302348107099533,0.08302348107099533,True,False,False,False,True
p03161,Description_Fewshot,0.0,0.0,0.0,False,0.03871072083711624,0.03871072083711624,True,False,False,False,True
p03161,Description_Reason,0.0,0.0,0.0,False,0.03781317546963692,0.03781317546963692,True,False,False,False,True
