Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03493,Description_Detailed,1.0,1.0,1.0,True,0.1547202169895172,0.8452797830104828,False,True,False,False,False
p03493,Description_Fewshot,0.4,1.0,0.7,True,0.2184593379497528,0.48154066205024715,False,True,False,False,False
p03493,Description_Reason,0.9,0.3,0.6,True,0.4704110026359558,0.12958899736404417,False,True,False,False,False
p03493,Description_Simple,0.1,0.0,0.05,False,0.38003936409950256,0.3300393640995026,True,False,False,False,True
p03493,Description_Vague,0.1,0.9,0.5,True,0.13514351844787598,0.364856481552124,False,True,False,False,False
p03136,Description_Detailed,0.3,0.1,0.2,False,0.25357845425605774,0.05357845425605773,True,False,False,False,True
p03136,Description_Fewshot,1.0,0.1,0.55,True,0.5788328647613525,0.028832864761352495,True,True,True,True,False
p03136,Description_Reason,0.0,0.4,0.2,False,0.37403589487075806,0.17403589487075805,True,False,False,False,True
p03136,Description_Simple,0.1,0.1,0.1,False,0.47449952363967896,0.374499523639679,True,False,False,False,True
p03136,Description_Vague,0.9,0.9,0.9,True,0.18553981184959412,0.7144601881504059,False,True,False,False,False
p00007,Description_Detailed,0.0,1.0,0.5,True,0.30810850858688354,0.19189149141311646,False,True,False,False,False
p00007,Description_Fewshot,1.0,0.0,0.5,True,0.47337737679481506,0.026622623205184937,False,True,False,False,False
p00007,Description_Reason,0.1,0.1,0.1,False,0.3986571729183197,0.2986571729183197,True,False,False,False,True
p00007,Description_Simple,0.4,0.3,0.35,False,0.0335574671626091,0.3164425328373909,True,False,False,False,True
p00007,Description_Vague,0.1,0.1,0.1,False,0.5008909106254578,0.4008909106254578,False,False,True,False,False
p02951,Description_Detailed,0.0,0.0,0.0,False,0.10626384615898132,0.10626384615898132,True,False,False,False,True
p02951,Description_Fewshot,0.0,0.0,0.0,False,0.12499421834945679,0.12499421834945679,True,False,False,False,True
p02951,Description_Reason,0.0,0.0,0.0,False,0.12939147651195526,0.12939147651195526,True,False,False,False,True
p02951,Description_Simple,0.0,1.0,0.5,True,0.06517321616411209,0.4348267838358879,False,True,False,False,False
p02951,Description_Vague,0.0,0.0,0.0,False,0.1608850508928299,0.1608850508928299,True,False,False,False,True
p02829,Description_Detailed,0.4,0.0,0.2,False,0.2708199918270111,0.0708199918270111,True,False,False,False,True
p02829,Description_Fewshot,1.0,0.4,0.7,True,0.42947712540626526,0.2705228745937347,False,True,False,False,False
p02829,Description_Reason,0.0,0.0,0.0,False,0.20855136215686798,0.20855136215686798,True,False,False,False,True
p02829,Description_Simple,0.0,0.0,0.0,False,0.29584136605262756,0.29584136605262756,True,False,False,False,True
p02829,Description_Vague,0.0,0.0,0.0,False,0.19624432921409607,0.19624432921409607,True,False,False,False,True
p02687,Description_Detailed,0.0,0.0,0.0,False,0.08849285542964935,0.08849285542964935,True,False,False,False,True
p02687,Description_Fewshot,0.0,0.0,0.0,False,0.16410215198993683,0.16410215198993683,True,False,False,False,True
p02687,Description_Reason,0.0,0.0,0.0,False,0.20444458723068237,0.20444458723068237,True,False,False,False,True
p02687,Description_Simple,0.0,0.0,0.0,False,0.11242850124835968,0.11242850124835968,True,False,False,False,True
