Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03220,Description_Detailed,0.6,0.3,0.44999999999999996,False,0.38791149854660034,0.062088501453399614,True,False,False,False,True
p03220,Description_Fewshot,0.2,0.9,0.55,True,0.4974682331085205,0.05253176689147954,False,True,False,False,False
p03220,Description_Reason,0.2,0.2,0.2,False,0.5446459054946899,0.34464590549468993,False,False,True,False,False
p03220,Description_Simple,0.9,0.9,0.9,True,0.43784236907958984,0.4621576309204102,False,True,False,False,False
p03220,Description_Vague,0.9,0.9,0.9,True,0.09629058837890625,0.8037094116210938,False,True,False,False,False
p02403,Description_Detailed,0.9,0.3,0.6,True,0.45208847522735596,0.14791152477264402,False,True,False,False,False
p02403,Description_Fewshot,0.9,0.9,0.9,True,0.5525133013725281,0.34748669862747195,True,True,True,True,False
p02403,Description_Reason,0.9,0.9,0.9,True,0.5278633236885071,0.37213667631149294,True,True,True,True,False
p02403,Description_Simple,0.2,0.6,0.4,False,0.5296460390090942,0.12964603900909422,False,False,True,False,False
p02403,Description_Vague,0.9,0.2,0.55,True,0.1035718023777008,0.44642819762229924,False,True,False,False,False
p02418,Description_Detailed,0.9,0.8,0.8500000000000001,True,0.6274551153182983,0.22254488468170175,True,True,True,True,False
p02418,Description_Fewshot,0.9,0.9,0.9,True,0.6863223314285278,0.2136776685714722,True,True,True,True,False
p02418,Description_Reason,0.9,0.9,0.9,True,0.5956880450248718,0.3043119549751282,True,True,True,True,False
p02418,Description_Simple,0.9,0.9,0.9,True,0.6815629601478577,0.21843703985214236,True,True,True,True,False
p02418,Description_Vague,0.6,0.9,0.75,True,0.1434093415737152,0.6065906584262848,False,True,False,False,False
p02881,Description_Detailed,0.9,0.2,0.55,True,0.35996392369270325,0.1900360763072968,False,True,False,False,False
p02881,Description_Fewshot,0.9,0.9,0.9,True,0.3798099756240845,0.5201900243759155,False,True,False,False,False
p02881,Description_Reason,0.4,0.6,0.5,True,0.37161460518836975,0.12838539481163025,False,True,False,False,False
p02881,Description_Simple,0.9,0.9,0.9,True,0.3635438084602356,0.5364561915397644,False,True,False,False,False
p02881,Description_Vague,0.2,0.3,0.25,False,0.2540118396282196,0.0040118396282196045,True,False,False,False,True
p03035,Description_Detailed,0.9,0.9,0.9,True,0.2709798216819763,0.6290201783180237,False,True,False,False,False
p03035,Description_Fewshot,0.2,0.6,0.4,False,0.3454650044441223,0.05453499555587771,True,False,False,False,True
p03035,Description_Reason,0.6,0.6,0.6,True,0.3314751386642456,0.2685248613357544,False,True,False,False,False
p03035,Description_Simple,0.4,0.6,0.5,True,0.33491697907447815,0.16508302092552185,False,True,False,False,False
p03035,Description_Vague,0.0,0.6,0.3,False,0.02114393562078476,0.27885606437921523,True,False,False,False,True
p03001,Description_Detailed,0.6,0.0,0.3,False,0.6111816763877869,0.3111816763877869,False,False,True,False,False
p03001,Description_Fewshot,0.9,0.6,0.75,True,0.6574216485023499,0.09257835149765015,True,True,True,True,False
p03001,Description_Reason,0.9,0.9,0.9,True,0.4835837781429291,0.41641622185707095,False,True,False,False,False
p03001,Description_Simple,0.6,0.1,0.35,False,0.517180323600769,0.16718032360076907,False,False,True,False,False
p03001,Description_Vague,0.6,0.9,0.75,True,0.03383924812078476,0.7161607518792152,False,True,False,False,False
p03835,Description_Detailed,0.2,0.2,0.2,False,0.5440204739570618,0.34402047395706176,False,False,True,False,False
p03835,Description_Fewshot,0.8,0.8,0.8,True,0.5193629264831543,0.28063707351684575,True,True,True,True,False
p03835,Description_Reason,0.9,0.9,0.9,True,0.45245257019996643,0.4475474298000336,False,True,False,False,False
p03835,Description_Simple,0.9,0.9,0.9,True,0.47055789828300476,0.42944210171699526,False,True,False,False,False
p03835,Description_Vague,0.9,0.8,0.8500000000000001,True,0.09597481787204742,0.7540251821279527,False,True,False,False,False
p02420,Description_Detailed,0.2,0.8,0.5,True,0.36571478843688965,0.13428521156311035,False,True,False,False,False
p02420,Description_Fewshot,0.8,0.2,0.5,True,0.3513179123401642,0.14868208765983582,False,True,False,False,False
p02420,Description_Reason,0.0,0.2,0.1,False,0.3653767704963684,0.26537677049636843,True,False,False,False,True
p02420,Description_Simple,0.2,0.9,0.55,True,0.38908448815345764,0.1609155118465424,False,True,False,False,False
p02420,Description_Vague,0.9,0.0,0.45,False,0.06684967130422592,0.3831503286957741,True,False,False,False,True
p02255,Description_Detailed,0.9,0.2,0.55,True,0.7412291765213013,0.19122917652130123,True,True,True,True,False
p02255,Description_Fewshot,0.3,0.9,0.6,True,0.7002370357513428,0.1002370357513428,True,True,True,True,False
p02255,Description_Reason,0.9,0.9,0.9,True,0.6234562993049622,0.27654370069503786,True,True,True,True,False
p02255,Description_Simple,0.9,0.9,0.9,True,0.6607876420021057,0.2392123579978943,True,True,True,True,False
p02255,Description_Vague,0.2,0.3,0.25,False,0.1793510615825653,0.07064893841743469,True,False,False,False,True
p02730,Description_Detailed,0.6,0.6,0.6,True,0.6264830231666565,0.026483023166656516,True,True,True,True,False
p02730,Description_Fewshot,0.2,0.2,0.2,False,0.49217796325683594,0.2921779632568359,True,False,False,False,True
