Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02921,Description_Simple,0.6,0.6,0.6,0.6,True,0.5421730875968933,0.05782691240310667,True,True,True,True,False
p02577,Description_Simple,0.9,0.9,0.9,0.9,True,0.723563551902771,0.17643644809722903,True,True,True,True,False
p03469,Description_Simple,0.6,0.9,0.75,0.75,True,0.2799985408782959,0.4700014591217041,False,True,False,False,False
p03494,Description_Simple,0.0,0.0,0.0,0.0,False,0.19143861532211304,0.19143861532211304,True,False,False,False,True
p02773,Description_Simple,0.9,0.9,0.9,0.9,True,0.6673635244369507,0.23263647556304934,True,True,True,True,False
p03493,Description_Simple,0.3,0.5,0.4,0.45,False,0.14427073299884796,0.30572926700115205,True,False,False,False,True
p02910,Description_Simple,0.5,0.5,0.5,0.5,True,0.5576158761978149,0.05761587619781494,True,True,True,True,False
p03456,Description_Simple,0.2,0.2,0.2,0.2,False,0.3058531582355499,0.10585315823554992,True,False,False,False,True
p02570,Description_Simple,0.0,0.0,0.0,0.0,False,0.08554284274578094,0.08554284274578094,True,False,False,False,True
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.40866512060165405,0.20866512060165404,True,False,False,False,True
p02988,Description_Simple,0.2,0.2,0.2,0.2,False,0.3632122278213501,0.1632122278213501,True,False,False,False,True
p03035,Description_Simple,0.0,0.0,0.0,0.0,False,0.17734062671661377,0.17734062671661377,True,False,False,False,True
p02917,Description_Simple,0.6,0.6,0.6,0.6,True,0.516905665397644,0.08309433460235593,True,True,True,True,False
p02381,Description_Simple,0.3,0.3,0.3,0.3,False,0.6173340082168579,0.3173340082168579,False,False,True,False,False
p03059,Description_Simple,0.0,0.0,0.0,0.0,False,0.10060380399227142,0.10060380399227142,True,False,False,False,True
p02729,Description_Simple,0.2,0.2,0.2,0.2,False,0.336681991815567,0.136681991815567,True,False,False,False,True
p02718,Description_Simple,0.6,0.6,0.6,0.6,True,0.3231959342956543,0.2768040657043457,False,True,False,False,False
p03457,Description_Simple,0.6,0.6,0.6,0.6,True,0.601231575012207,0.0012315750122070535,True,True,True,True,False
p02582,Description_Simple,0.6,0.6,0.6,0.6,True,0.46406832337379456,0.13593167662620542,False,True,False,False,False
p02772,Description_Simple,0.2,0.2,0.2,0.2,False,0.5219558477401733,0.32195584774017333,False,False,True,False,False
p02571,Description_Simple,0.2,0.2,0.2,0.2,False,0.21635602414608002,0.016356024146080006,True,False,False,False,True
p04012,Description_Simple,0.5,0.5,0.5,0.5,True,0.6188474893569946,0.11884748935699463,True,True,True,True,False
p02911,Description_Simple,0.2,0.2,0.2,0.2,False,0.1759590059518814,0.024040994048118602,True,False,False,False,True
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.736181378364563,0.16381862163543703,True,True,True,True,False
p02786,Description_Simple,0.2,0.2,0.2,0.2,False,0.16628891229629517,0.033711087703704845,True,False,False,False,True
p03434,Description_Simple,0.1,0.1,0.1,0.1,False,0.32696062326431274,0.22696062326431274,True,False,False,False,True
p02576,Description_Simple,0.3,0.5,0.4,0.45,False,0.3162984848022461,0.13370151519775392,True,False,False,False,True
p02916,Description_Simple,0.2,0.2,0.2,0.2,False,0.27644863724708557,0.07644863724708556,True,False,False,False,True
p03239,Description_Simple,0.4,0.4,0.4,0.4,False,0.2894337773323059,0.11056622266769411,True,False,False,False,True
p03854,Description_Simple,0.1,0.0,0.05,0.07500000000000001,False,0.332875519990921,0.257875519990921,True,False,False,False,True
p02981,Description_Simple,0.0,0.0,0.0,0.0,False,0.11349983513355255,0.11349983513355255,True,False,False,False,True
p02547,Description_Simple,0.6,0.4,0.5,0.55,True,0.20834681391716003,0.34165318608284,False,True,False,False,False
p03435,Description_Simple,0.3,0.3,0.3,0.3,False,0.4896419644355774,0.1896419644355774,True,False,False,False,True
p02389,Description_Simple,0.9,0.9,0.9,0.9,True,0.43931302428245544,0.4606869757175446,False,True,False,False,False
p02945,Description_Simple,0.2,0.2,0.2,0.2,False,0.5521079897880554,0.3521079897880554,False,False,True,False,False
p02899,Description_Simple,0.2,0.2,0.2,0.2,False,0.21707803010940552,0.017078030109405506,True,False,False,False,True
p02987,Description_Simple,0.1,0.1,0.1,0.1,False,0.3985857665538788,0.2985857665538788,True,False,False,False,True
p02989,Description_Simple,0.1,0.1,0.1,0.1,False,0.19551582634449005,0.09551582634449005,True,False,False,False,True
p02264,Description_Simple,0.6,0.6,0.6,0.6,True,0.6393308043479919,0.039330804347991966,True,True,True,True,False
p02801,Description_Simple,0.6,0.6,0.6,0.6,True,0.6059709191322327,0.005970919132232688,True,True,True,True,False
p02717,Description_Simple,0.0,0.0,0.0,0.0,False,0.2533130645751953,0.2533130645751953,True,False,False,False,True
p02578,Description_Simple,0.2,0.2,0.2,0.2,False,0.2493710070848465,0.049371007084846485,True,False,False,False,True
p02719,Description_Simple,0.1,0.1,0.1,0.1,False,0.23982730507850647,0.13982730507850646,True,False,False,False,True
p03060,Description_Simple,0.2,0.2,0.2,0.2,False,0.11720318347215652,0.08279681652784349,True,False,False,False,True
p02263,Description_Simple,0.9,0.9,0.9,0.9,True,0.8744022846221924,0.02559771537780764,True,True,True,True,False
p02830,Description_Simple,0.2,0.2,0.2,0.2,False,0.32294827699661255,0.12294827699661254,True,False,False,False,True
p03775,Description_Simple,0.6,0.6,0.6,0.6,True,0.3258446753025055,0.2741553246974945,False,True,False,False,False
p03316,Description_Simple,0.0,0.0,0.0,0.0,False,0.1954183727502823,0.1954183727502823,True,False,False,False,True
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.4599820077419281,0.4400179922580719,False,True,False,False,False
p03147,Description_Simple,0.2,0.2,0.2,0.2,False,0.5927063226699829,0.3927063226699829,False,False,True,False,False
p02897,Description_Simple,0.1,0.1,0.1,0.1,False,0.2418263554573059,0.1418263554573059,True,False,False,False,True
p02836,Description_Simple,0.2,0.2,0.2,0.2,False,0.369180828332901,0.169180828332901,True,False,False,False,True
p02255,Description_Simple,0.9,0.9,0.9,0.9,True,0.7394325733184814,0.16056742668151858,True,True,True,True,False
p02411,Description_Simple,0.9,0.9,0.9,0.9,True,0.7092371582984924,0.1907628417015076,True,True,True,True,False
p02898,Description_Simple,0.6,0.6,0.6,0.6,True,0.33085164427757263,0.26914835572242735,False,True,False,False,False
p02404,Description_Simple,0.6,0.6,0.6,0.6,True,0.5032215118408203,0.09677848815917967,True,True,True,True,False
p02831,Description_Simple,0.6,0.6,0.6,0.6,True,0.5151342153549194,0.08486578464508054,True,True,True,True,False
p02405,Description_Simple,0.6,0.6,0.6,0.6,True,0.550437331199646,0.04956266880035398,True,True,True,True,False
p03146,Description_Simple,0.2,0.2,0.2,0.2,False,0.3846559524536133,0.18465595245361327,True,False,False,False,True
p02699,Description_Simple,0.0,0.0,0.0,0.0,False,0.3372211456298828,0.3372211456298828,True,False,False,False,True
p02402,Description_Simple,0.6,0.9,0.75,0.75,True,0.567607581615448,0.182392418384552,True,True,True,True,False
p02416,Description_Simple,0.2,0.6,0.4,0.4,False,0.5429055690765381,0.14290556907653806,False,False,True,False,False
p03720,Description_Simple,0.0,0.0,0.0,0.0,False,0.08586788922548294,0.08586788922548294,True,False,False,False,True
p02639,Description_Simple,0.0,0.0,0.0,0.0,False,0.17148393392562866,0.17148393392562866,True,False,False,False,True
p03107,Description_Simple,0.0,0.0,0.0,0.0,False,0.2925551235675812,0.2925551235675812,True,False,False,False,True
p02879,Description_Simple,0.0,0.0,0.0,0.0,False,0.16117040812969208,0.16117040812969208,True,False,False,False,True
p02418,Description_Simple,0.5,0.4,0.45,0.475,False,0.47412776947021484,0.000872230529785134,True,False,False,False,True
p02421,Description_Simple,0.4,0.0,0.2,0.2,False,0.5780718922615051,0.3780718922615051,False,False,True,False,False
p02613,Description_Simple,1.0,0.9,0.95,0.925,True,0.5404000282287598,0.3845999717712403,True,True,True,True,False
p03136,Description_Simple,0.4,0.0,0.2,0.2,False,0.2663089334964752,0.06630893349647521,True,False,False,False,True
p02420,Description_Simple,0.0,0.5,0.25,0.25,False,0.34149545431137085,0.09149545431137085,True,False,False,False,True
p02847,Description_Simple,0.1,0.0,0.05,0.07500000000000001,False,0.5154285430908203,0.4404285430908203,False,False,True,False,False
p02410,Description_Simple,1.0,0.9,0.95,0.925,True,0.7313477993011475,0.19365220069885258,True,True,True,True,False
p02419,Description_Simple,0.2,0.4,0.30000000000000004,0.35000000000000003,False,0.673560380935669,0.3235603809356689,False,False,True,False,False
p02622,Description_Simple,0.8,0.8,0.8,0.8,True,0.46422049403190613,0.3357795059680939,False,True,False,False,False
p03109,Description_Simple,0.4,0.5,0.45,0.42500000000000004,False,0.4458000659942627,0.02080006599426265,True,False,False,False,True
p03360,Description_Simple,0.1,0.2,0.15000000000000002,0.17500000000000002,False,0.4346984028816223,0.25969840288162227,True,False,False,False,True
p02677,Description_Simple,0.5,0.5,0.5,0.5,True,0.561512291431427,0.061512291431427,True,True,True,True,False
p02641,Description_Simple,0.1,0.0,0.05,0.07500000000000001,False,0.3591809570789337,0.2841809570789337,True,False,False,False,True
p02612,Description_Simple,0.6,0.5,0.55,0.575,True,0.43612247705459595,0.138877522945404,False,True,False,False,False
p02676,Description_Simple,0.0,0.0,0.0,0.0,False,0.2864741086959839,0.2864741086959839,True,False,False,False,True
p02993,Description_Simple,0.0,0.0,0.0,0.0,False,0.1891816258430481,0.1891816258430481,True,False,False,False,True
p02812,Description_Simple,0.0,0.0,0.0,0.0,False,0.2263563871383667,0.2263563871383667,True,False,False,False,True
p03073,Description_Simple,0.0,0.0,0.0,0.0,False,0.2833940088748932,0.2833940088748932,True,False,False,False,True
p02951,Description_Simple,0.0,0.0,0.0,0.0,False,0.14061124622821808,0.14061124622821808,True,False,False,False,True
p02682,Description_Simple,1.0,1.0,1.0,1.0,True,0.5560933351516724,0.44390666484832764,True,True,True,True,False
p02394,Description_Simple,0.0,0.0,0.0,0.0,False,0.3116309940814972,0.3116309940814972,True,False,False,False,True
p03042,Description_Simple,1.0,1.0,1.0,1.0,True,0.520458459854126,0.479541540145874,True,True,True,True,False
p02994,Description_Simple,0.0,0.0,0.0,0.0,False,0.3321012854576111,0.3321012854576111,True,False,False,False,True
p02640,Description_Simple,0.0,0.0,0.0,0.0,False,0.3117798864841461,0.3117798864841461,True,False,False,False,True
p02393,Description_Simple,0.6,0.9,0.75,0.75,True,0.7490365505218506,0.0009634494781494141,True,True,True,True,False
p03087,Description_Simple,0.9,1.0,0.95,0.925,True,0.705462634563446,0.219537365436554,True,True,True,True,False
