Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02753,Description_Simple,0.0,0.0,0.0,False,0.2816263735294342,0.2816263735294342,True,False,False,False,True
p03292,Description_Simple,0.4,0.0,0.2,False,0.4074292778968811,0.2074292778968811,True,False,False,False,True
p02641,Description_Simple,0.7,0.8,0.75,True,0.3329513370990753,0.4170486629009247,False,True,False,False,False
p02677,Description_Simple,0.0,0.0,0.0,False,0.44177472591400146,0.44177472591400146,True,False,False,False,True
p02621,Description_Simple,1.0,0.1,0.55,True,0.3912891745567322,0.15871082544326787,False,True,False,False,False
p03416,Description_Simple,0.0,0.0,0.0,False,0.14136362075805664,0.14136362075805664,True,False,False,False,True
p02628,Description_Simple,0.0,0.1,0.05,False,0.5693507194519043,0.5193507194519043,False,False,True,False,False
p03011,Description_Simple,0.0,0.1,0.05,False,0.2649316191673279,0.2149316191673279,True,False,False,False,True
p02953,Description_Simple,0.0,0.7,0.35,False,0.20522165298461914,0.14477834701538084,True,False,False,False,True
p03285,Description_Simple,0.0,0.0,0.0,False,0.3195478916168213,0.3195478916168213,True,False,False,False,True
p02791,Description_Simple,0.0,0.0,0.0,False,0.4479128122329712,0.4479128122329712,True,False,False,False,True
p02258,Description_Simple,0.0,0.2,0.1,False,0.5982254147529602,0.4982254147529602,False,False,True,False,False
p02801,Description_Simple,0.0,0.2,0.1,False,0.21989692747592926,0.11989692747592925,True,False,False,False,True
p03325,Description_Simple,1.0,0.1,0.55,True,0.37253254652023315,0.1774674534797669,False,True,False,False,False
p02705,Description_Simple,0.0,0.3,0.15,False,0.6746242046356201,0.5246242046356201,False,False,True,False,False
p00005,Description_Simple,0.4,0.9,0.65,True,0.7294073104858398,0.07940731048583982,True,True,True,True,False
p03109,Description_Simple,0.6,0.1,0.35,False,0.2373189628124237,0.11268103718757627,True,False,False,False,True
p03371,Description_Simple,0.0,0.1,0.05,False,0.3122156858444214,0.2622156858444214,True,False,False,False,True
p03456,Description_Simple,0.0,0.9,0.45,False,0.5612667202949524,0.11126672029495238,False,False,True,False,False
p03239,Description_Simple,1.0,0.6,0.8,True,0.12380430102348328,0.6761956989765168,False,True,False,False,False
p02263,Description_Simple,0.9,0.0,0.45,False,0.751647412776947,0.301647412776947,False,False,True,False,False
p03998,Description_Simple,0.0,0.6,0.3,False,0.3702634274959564,0.07026342749595643,True,False,False,False,True
p02947,Description_Simple,1.0,0.2,0.6,True,0.5309661030769348,0.06903389692306516,True,True,True,True,False
p02420,Description_Simple,0.0,0.2,0.1,False,0.3332746922969818,0.2332746922969818,True,False,False,False,True
p02571,Description_Simple,0.9,0.1,0.5,True,0.4732251763343811,0.026774823665618896,False,True,False,False,False
p02767,Description_Simple,0.0,0.2,0.1,False,0.36081498861312866,0.2608149886131287,True,False,False,False,True
p03243,Description_Simple,0.0,0.0,0.0,False,0.2862890362739563,0.2862890362739563,True,False,False,False,True
p02729,Description_Simple,0.6,0.6,0.6,True,0.1325487196445465,0.46745128035545347,False,True,False,False,False
p02577,Description_Simple,0.0,0.1,0.05,False,0.47022706270217896,0.42022706270217897,True,False,False,False,True
p02723,Description_Simple,0.0,0.0,0.0,False,0.3779711425304413,0.3779711425304413,True,False,False,False,True
p03695,Description_Simple,0.4,0.0,0.2,False,0.5085353851318359,0.3085353851318359,False,False,True,False,False
p02397,Description_Simple,0.4,0.0,0.2,False,0.6021908521652222,0.40219085216522216,False,False,True,False,False
p02995,Description_Simple,0.0,0.0,0.0,False,0.4690747857093811,0.4690747857093811,True,False,False,False,True
p02946,Description_Simple,0.1,0.1,0.1,False,0.32059258222579956,0.22059258222579955,True,False,False,False,True
p02917,Description_Simple,0.0,0.2,0.1,False,0.5142607688903809,0.4142607688903809,False,False,True,False,False
