Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02818,Description_Fewshot,0.0,0.1,0.05,False,0.2015146017074585,0.1515146017074585,True,False,False,False,True
p02818,Description_Reason,0.1,0.0,0.05,False,0.1295589655637741,0.0795589655637741,True,False,False,False,True
p02818,Description_Simple,0.0,0.0,0.0,False,0.1950049102306366,0.1950049102306366,True,False,False,False,True
p02713,Description_Fewshot,0.0,0.0,0.0,False,0.6397750377655029,0.6397750377655029,False,False,True,False,False
p02713,Description_Reason,0.0,0.0,0.0,False,0.1438225656747818,0.1438225656747818,True,False,False,False,True
p02713,Description_Simple,0.0,0.0,0.0,False,0.577460765838623,0.577460765838623,False,False,True,False,False
p03545,Description_Fewshot,0.0,0.0,0.0,False,0.4808654487133026,0.4808654487133026,True,False,False,False,True
p03545,Description_Reason,0.0,0.0,0.0,False,0.19786515831947327,0.19786515831947327,True,False,False,False,True
p03545,Description_Simple,0.0,0.1,0.05,False,0.541818380355835,0.49181838035583497,False,False,True,False,False
p02755,Description_Fewshot,0.0,0.9,0.45,False,0.4970301389694214,0.047030138969421376,True,False,False,False,True
p02755,Description_Reason,0.9,0.0,0.45,False,0.39481160044670105,0.05518839955329896,True,False,False,False,True
p02755,Description_Simple,0.3,0.0,0.15,False,0.4463712275028229,0.29637122750282285,True,False,False,False,True
p02705,Description_Fewshot,0.7,0.7,0.7,True,0.7059721350669861,0.005972135066986128,True,True,True,True,False
p02705,Description_Reason,0.0,0.0,0.0,False,0.6697009801864624,0.6697009801864624,False,False,True,False,False
p02705,Description_Simple,0.0,0.0,0.0,False,0.7376092672348022,0.7376092672348022,False,False,True,False,False
p02983,Description_Fewshot,0.7,0.0,0.35,False,0.5772688984870911,0.2272688984870911,False,False,True,False,False
p02983,Description_Reason,0.0,0.0,0.0,False,0.08793801069259644,0.08793801069259644,True,False,False,False,True
p02983,Description_Simple,0.0,0.0,0.0,False,0.505868136882782,0.505868136882782,False,False,True,False,False
p02723,Description_Fewshot,0.0,0.0,0.0,False,0.25588610768318176,0.25588610768318176,True,False,False,False,True
p02723,Description_Reason,0.0,0.7,0.35,False,0.19559195637702942,0.15440804362297056,True,False,False,False,True
p02723,Description_Simple,0.0,0.9,0.45,False,0.4855059087276459,0.03550590872764586,True,False,False,False,True
p03680,Description_Fewshot,0.0,0.0,0.0,False,0.3473544716835022,0.3473544716835022,True,False,False,False,True
p03680,Description_Reason,0.0,0.0,0.0,False,0.18107937276363373,0.18107937276363373,True,False,False,False,True
p03680,Description_Simple,0.9,0.9,0.9,True,0.33152851462364197,0.568471485376358,False,True,False,False,False
p03126,Description_Fewshot,0.0,0.0,0.0,False,0.3367345929145813,0.3367345929145813,True,False,False,False,True
p03126,Description_Reason,1.0,0.0,0.5,True,0.23682259023189545,0.26317740976810455,False,True,False,False,False
p03126,Description_Simple,0.0,0.0,0.0,False,0.3834148049354553,0.3834148049354553,True,False,False,False,True
p02860,Description_Fewshot,0.0,1.0,0.5,True,0.3352665901184082,0.1647334098815918,False,True,False,False,False
p02860,Description_Reason,0.0,0.0,0.0,False,0.12544116377830505,0.12544116377830505,True,False,False,False,True
p02860,Description_Simple,0.0,0.0,0.0,False,0.4632079005241394,0.4632079005241394,True,False,False,False,True
p02989,Description_Fewshot,0.4,0.0,0.2,False,0.3249414563179016,0.1249414563179016,True,False,False,False,True
p02989,Description_Reason,0.0,0.0,0.0,False,0.30748066306114197,0.30748066306114197,True,False,False,False,True
p02989,Description_Simple,0.0,0.0,0.0,False,0.3808659017086029,0.3808659017086029,True,False,False,False,True
p02921,Description_Fewshot,0.0,0.0,0.0,False,0.4368666112422943,0.4368666112422943,True,False,False,False,True
p02921,Description_Reason,0.0,0.0,0.0,False,0.25642871856689453,0.25642871856689453,True,False,False,False,True
p02921,Description_Simple,0.0,0.4,0.2,False,0.49292412400245667,0.29292412400245665,True,False,False,False,True
p02957,Description_Fewshot,0.0,0.0,0.0,False,0.5107007026672363,0.5107007026672363,False,False,True,False,False
p02957,Description_Reason,0.0,0.0,0.0,False,0.3162294328212738,0.3162294328212738,True,False,False,False,True
p02957,Description_Simple,0.0,0.0,0.0,False,0.5957258343696594,0.5957258343696594,False,False,True,False,False
p00006,Description_Fewshot,0.0,0.0,0.0,False,0.5582128167152405,0.5582128167152405,False,False,True,False,False
p00006,Description_Reason,0.0,0.0,0.0,False,0.6055161952972412,0.6055161952972412,False,False,True,False,False
p00006,Description_Simple,0.0,0.0,0.0,False,0.6287779211997986,0.6287779211997986,False,False,True,False,False
p03371,Description_Fewshot,0.7,0.0,0.35,False,0.5168477296829224,0.16684772968292239,False,False,True,False,False
p03371,Description_Reason,0.0,0.7,0.35,False,0.585260272026062,0.23526027202606203,False,False,True,False,False
p03371,Description_Simple,0.0,0.0,0.0,False,0.5356675982475281,0.5356675982475281,False,False,True,False,False
p02627,Description_Fewshot,0.0,0.3,0.15,False,0.6818282008171082,0.5318282008171081,False,False,True,False,False
p02627,Description_Reason,0.9,0.0,0.45,False,0.5336689352989197,0.08366893529891967,False,False,True,False,False
p02627,Description_Simple,0.0,0.0,0.0,False,0.7873934507369995,0.7873934507369995,False,False,True,False,False
p02982,Description_Fewshot,0.9,0.0,0.45,False,0.6682673096656799,0.21826730966567992,False,False,True,False,False
p02982,Description_Reason,0.0,0.0,0.0,False,0.1393672674894333,0.1393672674894333,True,False,False,False,True
p02982,Description_Simple,0.0,0.9,0.45,False,0.7345735430717468,0.2845735430717468,False,False,True,False,False
p02264,Description_Fewshot,0.4,0.9,0.65,True,0.6073192358016968,0.042680764198303245,True,True,True,True,False
p02264,Description_Reason,0.0,0.9,0.45,False,0.552290678024292,0.10229067802429198,False,False,True,False,False
p02264,Description_Simple,0.0,0.4,0.2,False,0.6344718933105469,0.43447189331054686,False,False,True,False,False
p02392,Description_Fewshot,0.0,0.4,0.2,False,0.5291740298271179,0.3291740298271179,False,False,True,False,False
p02392,Description_Reason,0.4,0.0,0.2,False,0.3523828387260437,0.1523828387260437,True,False,False,False,True
p02392,Description_Simple,0.0,0.0,0.0,False,0.729248046875,0.729248046875,False,False,True,False,False
p03075,Description_Fewshot,0.0,0.0,0.0,False,0.4175274968147278,0.4175274968147278,True,False,False,False,True
p03075,Description_Reason,0.4,0.0,0.2,False,0.3530377149581909,0.1530377149581909,True,False,False,False,True
p03075,Description_Simple,0.0,0.0,0.0,False,0.5665501356124878,0.5665501356124878,False,False,True,False,False
p02909,Description_Fewshot,0.0,0.0,0.0,False,0.3553330898284912,0.3553330898284912,True,False,False,False,True
p02909,Description_Reason,0.0,0.0,0.0,False,0.2601991295814514,0.2601991295814514,True,False,False,False,True
p02909,Description_Simple,0.0,0.0,0.0,False,0.26549792289733887,0.26549792289733887,True,False,False,False,True
p02421,Description_Fewshot,0.0,0.0,0.0,False,0.5780889987945557,0.5780889987945557,False,False,True,False,False
p02421,Description_Reason,0.0,0.0,0.0,False,0.42506682872772217,0.42506682872772217,True,False,False,False,True
p02421,Description_Simple,0.0,0.4,0.2,False,0.4432733654975891,0.2432733654975891,True,False,False,False,True
p03494,Description_Fewshot,0.0,0.0,0.0,False,0.3929315209388733,0.3929315209388733,True,False,False,False,True
p03494,Description_Reason,0.0,0.0,0.0,False,0.16322052478790283,0.16322052478790283,True,False,False,False,True
p03494,Description_Simple,0.0,0.4,0.2,False,0.5152214765548706,0.3152214765548706,False,False,True,False,False
p02640,Description_Fewshot,1.0,0.0,0.5,True,0.26293957233428955,0.23706042766571045,False,True,False,False,False
p02640,Description_Reason,0.0,0.1,0.05,False,0.23974043130874634,0.18974043130874635,True,False,False,False,True
p02640,Description_Simple,0.0,0.0,0.0,False,0.31403520703315735,0.31403520703315735,True,False,False,False,True
p02898,Description_Fewshot,0.3,0.0,0.15,False,0.12250999361276627,0.02749000638723373,True,False,False,False,True
p02898,Description_Reason,0.0,1.0,0.5,True,0.20131467282772064,0.29868532717227936,False,True,False,False,False
p02898,Description_Simple,0.1,0.0,0.05,False,0.17901381850242615,0.12901381850242616,True,False,False,False,True
p02835,Description_Fewshot,0.9,0.0,0.45,False,0.34079664945602417,0.10920335054397584,True,False,False,False,True
p02835,Description_Reason,0.0,0.0,0.0,False,0.23531097173690796,0.23531097173690796,True,False,False,False,True
p02835,Description_Simple,0.9,0.7,0.8,True,0.3531709909439087,0.44682900905609135,False,True,False,False,False
p02951,Description_Fewshot,0.0,0.9,0.45,False,0.05623376742005348,0.39376623257994653,True,False,False,False,True
p02951,Description_Reason,0.0,0.0,0.0,False,0.12550850212574005,0.12550850212574005,True,False,False,False,True
p02951,Description_Simple,0.0,0.0,0.0,False,0.12442295253276825,0.12442295253276825,True,False,False,False,True
p02576,Description_Fewshot,0.7,0.9,0.8,True,0.32782527804374695,0.4721747219562531,False,True,False,False,False
p02576,Description_Reason,0.0,0.0,0.0,False,0.16279514133930206,0.16279514133930206,True,False,False,False,True
