model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.803002,0.862004,0.860806,0.794444,0.829868,0.843985,0.828037,0.822097,0.867925,0.808743,0.844203,0.871269,0.859583,0.843691
GPT-3.5,0.803002,1,0.781481,0.773214,0.784906,0.776316,0.797373,0.755515,0.759259,0.817669,0.741472,0.770463,0.775362,0.768946,0.760589
O4-mini,0.862004,0.781481,1,0.876384,0.792976,0.821429,0.83209,0.857685,0.827392,0.825046,0.837338,0.859489,0.862709,0.868571,0.849057
Gemini,0.860806,0.773214,0.876384,1,0.80036,0.838235,0.84854,0.846435,0.827273,0.831541,0.860254,0.868327,0.878403,0.87061,0.844891
Llama-70B,0.794444,0.784906,0.792976,0.80036,1,0.801512,0.805607,0.776753,0.780669,0.829268,0.778182,0.797491,0.812844,0.79702,0.785185
Mistral,0.829868,0.776316,0.821429,0.838235,0.801512,1,0.838095,0.808271,0.819392,0.820561,0.795956,0.825137,0.834572,0.818868,0.789963
DeepSeek-V3.1,0.843985,0.797373,0.83209,0.84854,0.805607,0.838095,1,0.839623,0.833648,0.827778,0.836735,0.835443,0.879699,0.846881,0.817505
DeepSeek-R1,0.828037,0.755515,0.857685,0.846435,0.776753,0.808271,0.839623,1,0.817669,0.79235,0.834572,0.856881,0.849722,0.848197,0.822097
DeepSeek-V4-Pro,0.822097,0.759259,0.827392,0.827273,0.780669,0.819392,0.833648,0.817669,1,0.802947,0.805147,0.824275,0.833641,0.828302,0.80597
QwenCoder,0.867925,0.817669,0.825046,0.831541,0.829268,0.820561,0.827778,0.79235,0.802947,1,0.8,0.815603,0.827899,0.842991,0.820702
Qwen3.7,0.808743,0.741472,0.837338,0.860254,0.778182,0.795956,0.836735,0.834572,0.805147,0.8,1,0.83066,0.846715,0.841713,0.812844
Claude-5,0.844203,0.770463,0.859489,0.868327,0.797491,0.825137,0.835443,0.856881,0.824275,0.815603,0.83066,1,0.868468,0.836957,0.841818
GLM-5,0.871269,0.775362,0.862709,0.878403,0.812844,0.834572,0.879699,0.849722,0.833641,0.827899,0.846715,0.868468,1,0.888469,0.844732
Kimi-K2.7,0.859583,0.768946,0.868571,0.87061,0.79702,0.818868,0.846881,0.848197,0.828302,0.842991,0.841713,0.836957,0.888469,1,0.857143
GPT-5,0.843691,0.760589,0.849057,0.844891,0.785185,0.789963,0.817505,0.822097,0.80597,0.820702,0.812844,0.841818,0.844732,0.857143,1
