,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,0.0,21.2,2.8000000000000003,0.8,98.4,2.0,56.9672131147541,94.77911646586345,0.8,21.6,3.6290322580645165,62.4,97.6,27.200000000000003
GPT3.5,21.2,0.0,21.6,22.0,77.2,21.6,52.86885245901639,75.1004016064257,22.0,29.2,20.967741935483872,52.400000000000006,77.2,27.6
GPT4o,2.8000000000000003,21.6,0.0,2.8000000000000003,96.39999999999999,4.0,58.19672131147541,92.7710843373494,2.8000000000000003,22.8,4.838709677419355,62.0,95.6,29.2
Gemini,0.8,22.0,2.8000000000000003,0.0,99.2,1.2,57.786885245901644,95.58232931726907,0.0,21.6,2.82258064516129,63.2,98.4,28.000000000000004
LlamaVL,98.4,77.2,96.39999999999999,99.2,0.0,98.0,41.39344262295082,4.417670682730924,99.2,78.4,96.37096774193549,36.0,2.4,71.2
O4-mini,2.0,21.6,4.0,1.2,98.0,0.0,57.377049180327866,94.37751004016064,1.2,22.0,3.225806451612903,62.8,97.2,27.6
Qwen3VL,56.9672131147541,52.86885245901639,58.19672131147541,57.786885245901644,41.39344262295082,57.377049180327866,0.0,40.32921810699588,57.786885245901644,48.36065573770492,55.78512396694215,43.0327868852459,43.0327868852459,49.18032786885246
codellama,94.77911646586345,75.1004016064257,92.7710843373494,95.58232931726907,4.417670682730924,94.37751004016064,40.32921810699588,0.0,95.58232931726907,74.29718875502009,92.71255060728745,36.94779116465863,6.024096385542169,69.07630522088354
deepseek-r1,0.8,22.0,2.8000000000000003,0.0,99.2,1.2,57.786885245901644,95.58232931726907,0.0,21.6,2.82258064516129,63.2,98.4,28.000000000000004
mistral,21.6,29.2,22.8,21.6,78.4,22.0,48.36065573770492,74.29718875502009,21.6,0.0,20.56451612903226,59.199999999999996,77.60000000000001,35.199999999999996
qwencoder32B,3.6290322580645165,20.967741935483872,4.838709677419355,2.82258064516129,96.37096774193549,3.225806451612903,55.78512396694215,92.71255060728745,2.82258064516129,20.56451612903226,0.0,62.096774193548384,96.37096774193549,27.82258064516129
starchat,62.4,52.400000000000006,62.0,63.2,36.0,62.8,43.0327868852459,36.94779116465863,63.2,59.199999999999996,62.096774193548384,0.0,38.4,52.0
starcoder,97.6,77.2,95.6,98.4,2.4,97.2,43.0327868852459,6.024096385542169,98.4,77.60000000000001,96.37096774193549,38.4,0.0,70.39999999999999
Llama70B,27.200000000000003,27.6,29.2,28.000000000000004,71.2,27.6,49.18032786885246,69.07630522088354,28.000000000000004,35.199999999999996,27.82258064516129,52.0,70.39999999999999,0.0
